course_id,name,course_code,par,yardage,city,state,country
776,Sea Island Golf Club (Seaside Course),SS,70,"7,005",St. Simons Island,Georgia,USA
889,Sea Island Golf Club (Plantation Course),PL,72,"7,060",St. Simons Island,Georgia,USA
765,Port Royal Golf Course,PR,71,"6,828",Southampton,,BER
919,El Cardonal at Diamante Cabo San Lucas,CD,72,"7,452",Los Cabos,,MEX
875,ACCORDIA GOLF Narashino Country Club,AN,70,"7,079",Chiba,,JPN
538,TPC Summerlin,SM,71,"7,255",Las Vegas,Nevada,USA
930,Black Desert Resort,BD,71,"7,371",Ivins,Utah,USA
746,The Country Club of Jackson,CJ,72,"7,461",Jackson,Mississippi,USA
926,Silverado Resort (North Course),SC,72,"7,123",Napa,California,USA
933,East Lake Golf Club,EL,71,"7,490",Atlanta,Georgia,USA
406,Castle Pines Golf Club,CP,72,"8,130",Castle Rock,Colorado,USA
513,TPC Southwind,SW,70,"7,243",Memphis,Tennessee,USA
752,Sedgefield Country Club,SF,70,"7,131",Greensboro,North Carolina,USA
250,Le Golf National,GN,71,"7,174",Paris,,FRA
883,TPC Twin Cities,TC,71,"7,431",Blaine,Minnesota,USA
709,Royal Troon,RT,71,"7,385","Troon, South Ayrshire",,SCO
931,Tahoe Mountain Club (Old Greenwood),MT,71,"7,480",Truckee,California,USA
884,Keene Trace Golf Club (Champion Trace),KT,72,"7,328",Nicholasville,Kentucky,USA
977,The Renaissance Club,RC,70,"7,237",North Berwick,,SCO
669,TPC Deere Run,DR,71,"7,289",Silvis,Illinois,USA
876,Detroit Golf Club,DG,72,"7,370",Detroit,Michigan,USA
503,TPC River Highlands,TR,70,"6,835",Cromwell,Connecticut,USA
528,Pinehurst Resort & Country Club (Course No. 2),PH,70,"7,548",Village of Pinehurst,North Carolina,USA
023,Muirfield Village Golf Club,MV,72,"7,569",Dublin,Ohio,USA
874,Hamilton Golf & Country Club,HG,70,"7,084","Hamilton, ON",,CAN
021,Colonial Country Club,CC,70,"7,289",Fort Worth,Texas,USA
671,Valhalla Golf Club,VA,71,"7,609",Louisville,Kentucky,USA
872,Quail Hollow Club,QH,71,"7,538",Charlotte,North Carolina,USA
925,The Dunes Golf and Beach Club,DG,71,"7,347",Myrtle Beach,South Carolina,USA
921,TPC Craig Ranch,CR,71,"7,414",McKinney,Texas,USA
012,Harbour Town Golf Links,HT,71,"7,213",Hilton Head Island,South Carolina,USA
244,Puntacana Resort & Club (Corales Golf Course),CR,72,"7,670",Punta Cana,,DOM
014,Augusta National Golf Club,AN,72,"7,555",Augusta,Georgia,USA
770,TPC San Antonio (Oaks Course),SA,72,"7,438",San Antonio,Texas,USA
897,Memorial Park Golf Course,MP,70,"7,435",Houston,Texas,USA
