tournament_id,course_id
R2024493,776
R2024493,889
R2024528,765
R2024457,919
R2024527,875
R2024047,538
R2024554,930
R2024054,746
R2024464,926
R2024060,933
R2024028,406
R2024027,513
R2024013,752
R2024519,250
R2024525,883
R2024100,709
R2024472,931
R2024518,884
R2024541,977
R2024030,669
R2024524,876
R2024034,503
R2024026,528
R2024023,023
R2024032,874
R2024021,021
R2024033,671
R2024480,872
R2024553,925
R2024019,921
R2024012,012
R2024522,244
R2024014,014
R2024041,770
R2024020,897
R2024475,665
R2024011,011
R2024483,742
R2024009,009
R2024010,928
R2024540,978
R2024007,500
R2024003,510
R2024005,005
R2024005,205
R2024004,004
R2024004,104
R2024002,704
R2024002,202
R2024002,233
R2024006,006
R2024016,656
R2023549,776
R2023549,889
R2023548,765
R2023547,919
R2023546,875
R2023545,538
R2023544,746
R2023543,926
R2023060,688
R2023028,896
R2023027,513
R2023013,752
R2023525,883
R2023100,923
R2023541,977
R2023518,884
R2023030,669
R2023524,876
R2023034,503
R2023026,043
R2023032,908
R2023023,023
R2023021,021
R2023033,514
R2023019,921
R2023480,872
R2023540,978
R2023012,012
R2023014,014
R2023041,770
R2023522,244
R2023475,665
R2023011,011
R2023483,742
R2023009,009
R2023010,734
R2023007,500
R2023003,510
R2023005,005
R2023005,205
R2023005,769
R2023004,004
R2023004,104
R2023002,704
R2023002,202
R2023002,233
R2023006,006
R2023016,656
R2023493,776
R2023493,889
R2023020,897
R2023457,733
R2023528,765
R2023521,902
R2023527,875
R2023047,538
R2023054,746
R2023464,552
R2022060,688
R2022028,901
R2022027,513
R2022013,752
R2022524,876
R2022525,883
R2022100,668
R2022541,977
R2022518,884
R2022030,669
R2022034,503
R2022026,654
R2022032,772
R2022023,023
R2022021,021
R2022033,611
R2022019,894
R2022480,237
R2022540,978
R2022012,012
R2022014,014
R2022041,770
R2022522,244
R2022475,665
R2022011,011
R2022483,742
R2022009,009
R2022010,734
R2022007,500
R2022003,510
R2022005,005
R2022005,205
R2022005,769
R2022004,004
R2022004,104
R2022002,704
R2022002,202
R2022002,233
R2022006,006
R2022016,656
R2022493,776
R2022493,889
R2022020,897
R2022457,733
R2022528,765
R2022527,875
R2022521,899
R2022047,538
R2022054,746
R2022464,552
R2021060,688
R2021028,882
R2021027,886
R2021013,752
R2021476,513
R2021525,883
R2021518,884
R2021100,778
R2021030,669
R2021524,876
R2021034,503
R2021535,744
R2021538,902
R2021023,023
R2021021,021
R2021033,697
R2021019,894
R2021480,872
R2021475,665
R2021012,012
R2021536,905
R2021041,770
R2021534,906
R2021010,734
R2021011,011
R2021009,009
R2021483,742
R2021473,898
R2021007,500
R2021005,005
R2021005,205
R2021003,510
R2021004,004
R2021004,104
R2021002,704
R2021002,233
R2021006,006
R2021016,656
R2021457,733
R2021493,776
R2021493,889
R2021014,014
R2021020,897
R2021528,765
R2021527,881
R2021521,878
R2021047,538
R2021054,746
R2021522,244
R2021026,891
R2021464,552
R2020060,688
R2020028,896
R2020027,700
R2020013,752
R2020033,895
R2020476,513
R2020525,883
R2020023,023
R2020533,893
R2020524,876
R2020034,503
R2020012,012
R2020021,021
R2020009,009
R2020010,734
R2020473,240
R2020483,742
R2020007,500
R2020005,005
R2020005,205
R2020005,769
R2020003,510
R2020004,004
R2020004,104
R2020002,704
R2020002,202
R2020002,233
R2020006,006
R2020016,656
R2020493,776
R2020493,889
R2020457,733
R2020489,766
R2020528,765
R2020527,875
R2020521,242
R2020020,729
R2020047,538
R2020464,552
R2020054,746
