course_id,round_number,par,scoring_average_diff,scoring_diff_tendency,yardage,scoring_average,eagles,birdies,pars,bogeys,double_bogeys
776,,35,+0.209,ABOVE,3455,35.209,6,481,1664,399,56
776,,35,-0.192,BELOW,3550,34.808,15,510,1665,379,45
776,,70,+0.017,ABOVE,7005,70.017,21,991,3329,778,101
776,4,35,-0.651,BELOW,3395,34.349,0,117,440,56,8
776,4,35,-1.233,BELOW,3536,33.767,1,154,402,58,5
776,4,70,-1.884,BELOW,6931,68.116,1,271,842,114,13
776,3,35,-0.855,BELOW,3387,34.145,0,147,392,76,6
776,3,35,-0.957,BELOW,3484,34.043,3,137,407,71,3
776,3,70,-1.812,BELOW,6871,68.188,3,284,799,147,9
776,2,35,+1.854,ABOVE,3399,36.854,3,99,383,151,28
776,2,35,+1.359,ABOVE,3488,36.359,4,97,398,148,25
776,2,70,+3.213,ABOVE,6887,73.213,7,196,781,299,53
776,1,35,+0.333,ABOVE,3400,35.333,3,118,449,116,14
776,1,35,-0.090,BELOW,3488,34.910,7,122,458,102,12
776,1,70,+0.243,ABOVE,6888,70.243,10,240,907,218,26
889,,36,-0.059,BELOW,3688,35.941,11,262,894,203,30
889,,36,-1.141,BELOW,3372,34.859,8,339,896,145,16
889,,72,-1.200,BELOW,7060,70.800,19,601,1790,348,46
889,2,36,-0.089,BELOW,3601,35.911,9,123,453,101,15
889,2,36,-1.333,BELOW,3347,34.667,4,181,439,71,7
889,2,72,-1.422,BELOW,6948,70.578,13,304,892,172,22
889,1,36,-0.027,BELOW,3602,35.973,2,139,441,102,15
889,1,36,-0.948,BELOW,3347,35.052,4,158,457,74,9
889,1,72,-0.975,BELOW,6949,71.025,6,297,898,176,24
765,,36,-0.981,BELOW,3460,35.019,37,852,2106,403,57
765,,35,-0.045,BELOW,3368,34.955,44,681,2085,569,75
765,,71,-1.026,BELOW,6828,69.974,81,1533,4191,972,132
765,4,36,-0.360,BELOW,3460,35.640,7,135,428,92,10
765,4,35,+1.120,ABOVE,3368,36.120,9,94,405,141,23
765,4,71,+0.760,ABOVE,6828,71.760,16,229,833,233,33
765,3,36,-1.773,BELOW,3460,34.227,6,206,391,61,9
765,3,35,-0.826,BELOW,3368,34.174,9,149,423,85,7
765,3,71,-2.599,BELOW,6828,68.401,15,355,814,146,16
765,2,36,-1.592,BELOW,3460,34.408,12,284,626,102,10
765,2,35,-0.471,BELOW,3368,34.529,17,229,610,151,26
765,2,71,-2.063,BELOW,6828,68.937,29,513,1236,253,36
765,1,36,-0.293,BELOW,3460,35.707,12,227,661,148,28
765,1,35,+0.125,ABOVE,3368,35.125,9,209,647,192,19
765,1,71,-0.168,BELOW,6828,70.832,21,436,1308,340,47
919,,36,-1.185,BELOW,3826,34.815,31,884,2029,372,50
919,,36,-0.560,BELOW,3626,35.440,23,818,2012,429,68
919,,72,-1.745,BELOW,7452,70.255,54,1702,4041,801,118
919,4,36,-1.806,BELOW,3826,34.194,3,172,379,43,4
919,4,36,-1.477,BELOW,3626,34.523,6,165,360,67,4
919,4,72,-3.283,BELOW,7452,68.717,9,337,739,110,8
919,3,36,-1.397,BELOW,3826,34.603,6,161,373,66,6
919,3,36,-1.514,BELOW,3626,34.486,7,179,357,56,8
919,3,72,-2.911,BELOW,7452,69.089,13,340,730,122,14
919,2,36,-1.675,BELOW,3826,34.325,11,310,641,105,13
919,2,36,-0.692,BELOW,3626,35.308,5,275,638,134,22
919,2,72,-2.367,BELOW,7452,69.633,16,585,1279,239,35
919,1,36,-0.227,BELOW,3826,35.773,11,241,636,158,27
919,1,36,+0.627,ABOVE,3626,36.627,5,199,657,172,34
919,1,72,+0.400,ABOVE,7452,72.400,16,440,1293,330,61
875,,34,-0.473,BELOW,3293,33.527,1,575,1834,322,41
875,,36,-0.890,BELOW,3786,35.110,17,652,1736,342,33
875,,70,-1.363,BELOW,7079,68.637,18,1227,3570,664,74
875,4,34,-0.494,BELOW,3241,33.506,0,148,450,82,11
875,4,36,-1.078,BELOW,3769,34.922,4,154,461,69,5
875,4,70,-1.572,BELOW,7010,68.428,4,302,911,151,16
875,3,34,-0.910,BELOW,3243,33.090,0,156,460,69,7
875,3,36,-0.988,BELOW,3756,35.012,2,173,426,83,9
875,3,70,-1.898,BELOW,6999,68.102,2,329,886,152,16
875,2,34,-0.169,BELOW,3206,33.831,1,131,459,86,14
875,2,36,-0.948,BELOW,3758,35.052,5,168,422,91,7
875,2,70,-1.117,BELOW,6964,68.883,6,299,881,177,21
875,1,34,-0.321,BELOW,3218,33.679,0,140,465,85,9
875,1,36,-0.552,BELOW,3750,35.448,6,157,427,99,12
875,1,70,-0.873,BELOW,6968,69.127,6,297,892,184,21
538,,35,-0.170,BELOW,3630,34.830,19,708,2227,522,57
538,,36,-1.311,BELOW,3625,34.689,40,971,2078,394,52
538,,71,-1.481,BELOW,7255,69.519,59,1679,4305,916,109
538,4,35,-0.363,BELOW,3631,34.637,5,131,360,84,11
538,4,36,-1.698,BELOW,3548,34.302,11,160,363,52,7
538,4,71,-2.061,BELOW,7179,68.939,16,291,723,136,18
538,3,35,-0.848,BELOW,3595,34.152,2,129,394,62,6
538,3,36,-1.669,BELOW,3502,34.331,5,180,340,58,11
538,3,71,-2.517,BELOW,7097,68.483,7,309,734,120,17
538,2,35,+0.493,ABOVE,3479,35.493,3,205,725,206,25
538,2,36,-0.485,BELOW,3487,35.515,13,284,669,171,25
538,2,71,+0.008,ABOVE,6966,71.008,16,489,1394,377,50
538,1,35,-0.386,BELOW,3584,34.614,9,243,748,170,15
538,1,36,-1.758,BELOW,3532,34.242,11,347,706,113,9
538,1,71,-2.144,BELOW,7116,68.856,20,590,1454,283,24
930,,36,-0.895,BELOW,3676,35.105,28,892,2147,414,71
930,,35,-1.044,BELOW,3695,33.956,38,907,2149,384,75
930,,71,-1.939,BELOW,7371,69.061,66,1799,4296,798,146
930,4,36,-1.087,BELOW,3623,34.913,5,161,376,66,9
930,4,35,-0.580,BELOW,3632,34.420,6,142,381,75,15
930,4,71,-1.667,BELOW,7255,69.333,11,303,757,141,24
930,3,36,-1.015,BELOW,3625,34.985,2,168,365,71,14
930,3,35,-1.463,BELOW,3618,33.537,3,164,395,50,8
930,3,71,-2.478,BELOW,7243,68.522,5,332,760,121,22
930,2,36,-0.709,BELOW,3668,35.291,14,260,704,137,24
930,2,35,-0.961,BELOW,3627,34.039,15,289,677,131,27
930,2,71,-1.670,BELOW,7295,69.330,29,549,1381,268,51
930,1,36,-0.917,BELOW,3607,35.083,7,303,702,140,24
930,1,35,-1.145,BELOW,3610,33.855,14,312,696,128,25
930,1,71,-2.062,BELOW,7217,68.938,21,615,1398,268,49
746,,36,-1.276,BELOW,3733,34.724,12,846,2347,336,12
746,,36,-1.309,BELOW,3728,34.691,20,945,2173,375,36
746,,72,-2.585,BELOW,7461,69.415,32,1791,4520,711,48
746,4,36,-1.545,BELOW,3634,34.455,1,146,422,43,0
746,4,36,-1.441,BELOW,3605,34.559,9,154,380,64,5
746,4,72,-2.986,BELOW,7239,69.014,10,300,802,107,5
746,3,36,-1.441,BELOW,3651,34.559,2,150,404,56,0
746,3,36,-1.058,BELOW,3613,34.942,3,147,391,62,8
746,3,72,-2.499,BELOW,7264,69.501,5,297,795,118,8
746,2,36,-0.742,BELOW,3666,35.258,3,251,749,138,9
746,2,36,-1.423,BELOW,3626,34.577,5,322,693,121,7
746,2,72,-2.165,BELOW,7292,69.835,8,573,1442,259,16
746,1,36,-1.573,BELOW,3619,34.427,6,299,772,99,3
746,1,36,-1.262,BELOW,3612,34.738,3,322,709,128,16
746,1,72,-2.835,BELOW,7231,69.165,9,621,1481,227,19
926,,35,-0.025,BELOW,3480,34.975,17,696,2403,553,62
926,,37,-0.736,BELOW,3643,36.264,34,900,2255,460,84
926,,72,-0.761,BELOW,7123,71.239,51,1596,4658,1013,146
926,4,35,+0.215,ABOVE,3482,35.215,2,98,373,108,4
926,4,37,-0.554,BELOW,3629,36.446,5,126,370,69,14
926,4,72,-0.339,BELOW,7111,71.661,7,224,743,177,18
926,3,35,-0.155,BELOW,3474,34.845,1,133,351,81,14
926,3,37,-0.923,BELOW,3654,36.077,6,139,361,68,10
926,3,72,-1.078,BELOW,7128,70.922,7,272,712,149,24
926,2,35,-0.177,BELOW,3464,34.823,8,241,835,164,23
926,2,37,-0.803,BELOW,3614,36.197,12,332,734,162,35
926,2,72,-0.980,BELOW,7078,71.020,20,573,1569,326,58
926,1,35,+0.068,ABOVE,3489,35.068,6,224,844,200,21
926,1,37,-0.667,BELOW,3654,36.333,11,303,790,161,25
926,1,72,-0.599,BELOW,7143,71.401,17,527,1634,361,46
933,,35,-0.599,BELOW,3715,34.401,4,236,689,131,19
933,,36,-1.784,BELOW,3775,34.216,7,329,629,103,11
933,,71,-2.383,BELOW,7490,68.617,11,565,1318,234,30
933,4,35,-1.401,BELOW,3643,33.599,3,74,158,32,3
933,4,36,-1.733,BELOW,3639,34.267,2,84,154,26,3
933,4,71,-3.134,BELOW,7282,67.866,5,158,312,58,6
933,3,35,+0.267,ABOVE,3654,35.267,0,49,175,36,9
933,3,36,-1.867,BELOW,3667,34.133,1,83,159,25,2
933,3,71,-1.600,BELOW,7321,69.400,1,132,334,61,11
933,2,35,-0.801,BELOW,3572,34.199,0,63,171,33,3
933,2,36,-1.465,BELOW,3638,34.535,3,75,159,29,4
933,2,71,-2.266,BELOW,7210,68.734,3,138,330,62,7
933,1,35,-0.467,BELOW,3586,34.533,1,50,185,30,4
933,1,36,-2.068,BELOW,3633,33.932,1,87,157,23,2
933,1,71,-2.535,BELOW,7219,68.465,2,137,342,53,6
406,,36,-0.355,BELOW,4082,35.645,8,376,1088,249,29
406,,36,-0.272,BELOW,4048,35.728,7,413,1019,264,48
406,,72,-0.627,BELOW,8130,71.373,15,789,2107,513,77
406,4,36,-0.249,BELOW,4017,35.751,3,77,281,71,0
