course_id,label,value,detail,secondary_detail
776,Par,70,,
776,Yardage,"7,005",,
776,Record,260,Talor Gooch,2021
776,Fairway,419 Bermudagrass/Ryegrass,,
776,Rough,419 Bermudagrass/Ryegrass,,
776,Green,Tifeagle Bermudagrass,,
776,Established,1998,,
776,Design,Tom Fazio,,
889,Par,72,,
889,Yardage,"7,060",,
889,Record,260,Talor Gooch,2021
889,Fairway,419 Bermudagrass/Ryegrass,,
889,Rough,419 Bermudagrass/Ryegrass,,
889,Green,Tifeagle Bermudagrass,,
889,Established,1998,,
889,Design,Tom Fazio,,
765,Par,71,,
765,Yardage,"6,828",,
765,Record,260,Brendon Todd,2019
765,Fairway,419 Bermudagrass,,
765,Rough,419 Bermudagrass,,
765,Green,Tifdwarf Bermudagrass,,
765,Established,1970,,
765,Design,Robert Trent Jones,,
919,Par,72,,
919,Yardage,"7,452",,
919,Record,261,Erik van Rooyen,2023
919,Fairway,Paspalum,,
919,Rough,Paspalum,,
919,Green,Paspalum,,
919,Established,2014,,
919,Design,Tiger woods,,
875,Par,70,,
875,Yardage,"7,079",,
875,Record,260,Nico Echavarria,2024
875,Fairway,Zoysiagrass,,
875,Rough,Zoysiagrass,,
875,Green,Bentgrass,,
875,Established,1965,,
875,Design,Kinya Fujita,,
538,Par,71,,
538,Yardage,"7,255",,
538,Record,260,Tom Kim,2022
538,Fairway,Bermudagrass,,
538,Rough,Bermudagrass,,
538,Green,Bentgrass,,
538,Established,1992,,
538,Design,Bobby Weed \ Fuzzy Zoeller,,
930,Par,71,,
930,Yardage,"7,371",,
930,Record,261,Matt McCarty,2024
930,Established,2023,,
930,Design,Tom Weiskopf,,
746,Par,72,,
746,Yardage,"7,461",,
746,Record,263,Dan Halldorson,1986
746,Fairway,Bermudagrass,,
746,Rough,Bermudagrass,,
746,Green,328 Bermudagrass,,
746,Established,2008,,
746,Design,John Fought,,
926,Par,72,,
926,Yardage,"7,123",,
926,Record,262,Jamie Lovemark,2009
926,Fairway,Bermuda/Rye/Kikuya/Poa annua,,
926,Rough,Bermuda/Rye/Kikuya/Poa annua,,
926,Green,Bentgrass/Poa annua,,
926,Established,1966,,
926,Design,Robert Trent-Jones JR.,,
933,Par,71,,
933,Yardage,"7,490",,
933,Record,257,Tiger Woods,2007
933,Fairway,Meyer Zoysiagrass,,
933,Rough,Common 419 Bermudagrass,,
933,Green,328 Bermudagrass,,
933,Established,1928,,
933,Design,Tom Bendelow,,
406,Par,72,,
406,Yardage,"8,130",,
406,Record,260,Justin Rose,2018
406,Established,1981,,
406,Design,Jack Nicklaus,,
513,Par,70,,
513,Yardage,"7,243",,
513,Record,254,Dustin Johnson,2020
513,Fairway,Zoysiagrass,,
513,Rough,Bermudagrass,,
513,Green,Bermudagrass,,
513,Established,1987,,
513,Design,Ron Prichard,,
752,Par,70,,
752,Yardage,"7,131",,
752,Record,258,J.T. Poston,2019
752,Fairway,Bermudagrass,,
752,Rough,Bermudagrass,,
752,Green,Bermudagrass,,
752,Established,1926,,
752,Design,Donald Ross,,
250,Par,71,,
250,Yardage,"7,174",,
250,Record,265,Scottie Scheffler,2024
250,Established,1990,,
250,Design,Hubert Chesneau and Robert von Hagge,,
883,Par,71,,
883,Yardage,"7,431",,
883,Record,260,Lee Hodges,2023
883,Fairway,Southshore Bentgrass,,
883,Rough,Kentucky Bluegrass,,
883,Green,L-93 Bentgrass,,
883,Established,2000,,
883,Design,Arnold Palmer,,
709,Par,71,,
709,Yardage,"7,385",,
709,Record,264,Henrik Stenson,2016
709,Established,1878,,
931,Par,71,,
931,Yardage,"7,480",,
931,Fairway,Bentgrass/Ryegrass/Poa annua,,
931,Rough,Kentucky Bluegrass/Perennial Ryegrass,,
931,Green,Bentgrass/Poa annua,,
931,Established,2004,,
931,Design,Jack Nicklaus,,
884,Par,72,,
884,Yardage,"7,328",,
884,Record,262,Jim Herman,2019
884,Fairway,Bentgrass,,
884,Rough,Kentucky Bluegrass,,
884,Green,Bentgrass,,
884,Established,1987,,
884,Design,Arthur Hills,,
977,Par,70,,
977,Yardage,"7,237",,
977,Record,262,Robert MacIntyre,2024
977,Fairway,Bentgrass,,
977,Rough,Fescue/Rye,,
977,Green,Bentgrass,,
977,Established,2008,,
977,Design,Tom Doak,,
669,Par,71,,
669,Yardage,"7,289",,
669,Record,256,Davis Thompson,2024
669,Fairway,Southshore Bentgrass,,
669,Rough,Kentucky Bluegrass/fescue,,
669,Green,L-93 Bentgrass,,
669,Established,1998,,
669,Design,D.A. Weibring & Chris Gray,,
876,Par,72,,
876,Yardage,"7,370",,
876,Record,262,Tony Finau,2022
876,Fairway,Bentgrass/Poa annua,,
876,Rough,Bluegrass/Ryegrass,,
876,Green,Bentgrass/Poa annua,,
876,Established,1906,,
876,Design,Donald Ross,,
503,Par,70,,
503,Yardage,"6,835",,
503,Record,257,Keegan Bradley,2023
503,Fairway,Bentgrass/Poa annua,,
503,Rough,Bluegrass/Ryegrass,,
503,Green,Poa annua,,
503,Established,1928,,
503,Design,Robert J. Ross/Maurice Kearney,,
528,Par,70,,
528,Yardage,"7,548",,
528,Record,268,Rory McIlroy,2011
528,Established,1907,,
528,Design,Donald Ross,,
023,Par,72,,
023,Yardage,"7,569",,
023,Record,268,Tom Lehman,1994
023,Fairway,Bentgrass,,
023,Rough,Kentucky Bluegrass/Perennial Ryegrass,,
023,Green,Bentgrass,,
023,Established,1974,,
023,Design,Jack Nicklaus\Desmond Muirhead,,
874,Par,70,,
874,Yardage,"7,084",,
874,Record,258,Rory McIlroy,2019
874,Design,Harry Colt,,
021,Par,70,,
021,Yardage,"7,289",,
021,Record,259,Zach Johnson,2010
021,Fairway,Bermudagrass,,
021,Rough,Bermudagrass,,
021,Green,Bermudagrass/Ryegrass,,
021,Established,1936,,
021,Design,John Bredemus/Perry Maxwell,,
671,Par,71,,
671,Yardage,"7,609",,
671,Record,263,Xander Schauffele,2024
671,Established,1986,,
671,Design,Jack Nicklaus,,
872,Par,71,,
872,Yardage,"7,538",,
872,Record,265,Wyndham Clark,2023
872,Fairway,Bermudagrass/Overseeded Ryegrass,,
872,Rough,Bermudagrass/Overseeded Ryegrass,,
872,Green,Bermudagrass,,
872,Established,1961,,
872,Design,George Cobb,,
925,Par,71,,
925,Yardage,"7,347",,
925,Record,262,Chris Gotterup,2024
925,Fairway,Bermudagrass,,
925,Green,Bermudagrass,,
925,Established,1948,,
925,Design,Robert Trent Jones,,
921,Par,71,,
921,Yardage,"7,414",,
921,Record,259,Steven Bowditch,2015
921,Fairway,Zoysiagrass,,
921,Rough,Bermudagrass,,
921,Green,Bentgrass,,
921,Established,2004,,
921,Design,Tom Weiskopf,,
012,Par,71,,
012,Yardage,"7,213",,
012,Record,262,Webb Simpson,2020
012,Fairway,419 Bermudagrass & Buffalo Naturals,,
012,Rough,419 Bermudagrass & Buffalo Naturals,,
012,Green,419 Bermudagrass & Buffalo Naturals,,
012,Established,1969,,
012,Design,Pete Dye,,
244,Par,72,,
244,Yardage,"7,670",,
244,Record,265,Billy Horschel,2024
244,Fairway,Paspalum,,
244,Rough,Paspalum,,
244,Green,Paspalum,,
244,Established,2010,,
244,Design,Tom Fazio,,
014,Par,72,,
014,Yardage,"7,555",,
014,Record,268,Dustin Johnson,2020
014,Established,1933,,
014,Design,Mackenzie and Jones Jr.,,
770,Par,72,,
770,Yardage,"7,438",,
770,Record,254,Tommy Armour III,2003
770,Established,2009,,
770,Design,Pete Dye & Greg Norman,,
897,Par,70,,
897,Yardage,"7,435",,
897,Record,264,Tony Finau,2022
897,Fairway,Perennial Ryegrass,,
897,Rough,Perennial Ryegrass,,
897,Green,328 Bermudagrass,,
897,Established,1936,,
897,Design,John Bredemus,,
665,Par,71,,
665,Yardage,"7,340",,
665,Record,266,Vijay Singh,2004
665,Established,1972,,
665,Design,Larry Packard,,
011,Par,72,,
011,Yardage,"7,275",,
011,Record,264,Greg Norman,1994
011,Fairway,Tifsport Bermudagrass,,
011,Rough,Tifsport Bermudagrass,,
011,Green,Tifsport Bermudagrass,,
011,Established,1980,,
011,Design,Pete Dye,,
742,Par,72,,
742,Yardage,"7,506",,
742,Record,267,Nico Echavarria,2023
742,Established,2004,,
742,Design,Tom Kite,,
009,Par,72,,
009,Yardage,"7,466",,
009,Record,264,Payne Stewart,1987
009,Fairway,Bermudagrass/Ryegrass,,
009,Rough,Bermudagrass/Ryegrass,,
009,Green,Tifeagle Bermudagrass,,
009,Established,1961,,
009,Design,Dick Wilson\Joe Lee,,
928,Par,71,,
928,Yardage,"7,147",,
928,Record,264,Justin Leonard,2003
928,Fairway,419 Hybrid Bermudagrass,,
928,Rough,Bermudagrass/Overseeded Ryegrass,,
928,Green,Tifeagle Bermudagrass,,
928,Established,1981,,
928,Design,Tom Fazio,,
978,Par,71,,
978,Yardage,"7,456",,
978,Record,260,Tony Finau,2023
978,Fairway,Paspalum,,
978,Rough,Paspalum,,
978,Green,Paspalum,,
978,Established,1974,,
978,Design,Greg Norman,,
500,Par,71,,
500,Yardage,"7,322",,
500,Record,264,Lanny Wadkins,1985
500,Fairway,Kikuyugrass,,
500,Rough,Kikuyugrass,,
500,Green,Poa annua,,
500,Established,1926,,
500,Design,"G.C.Thomas, Jr.\ W.P. Bell",,
510,Par,71,,
510,Yardage,"7,261",,
510,Record,256,Phil Mickelson,2013
510,Fairway,328 Bermudagrass/Ryegrass,,
510,Rough,419 Bermudagrass/Ryegrass,,
510,Green,Bermudagrass/Ryegrass,,
510,Established,1988,,
510,Design,Tom Weiskopf \ Jay Morrish,,
005,Par,72,,
005,Yardage,"6,972",,
005,Record,265,Brandt Snedeker,2015
005,Fairway,Princeville Bentgrass,,
005,Rough,Princeville Bentgrass,,
005,Green,Poa annua,,
005,Established,1919,,
005,Design,Jack Neville & Douglas Grant,,
205,Par,72,,
205,Yardage,"7,041",,
205,Record,265,Brandt Snedeker,2015
205,Fairway,Princeville Bentgrass,,
205,Rough,Princeville Bentgrass,,
205,Green,Poa annua,,
205,Established,1919,,
205,Design,Jack Neville & Douglas Grant,,
004,Par,72,,
004,Yardage,"7,765",,
004,Record,266,Tiger Woods,1999
004,Fairway,Kikuyugrass/Ryegrass,,
004,Rough,Kikuyugrass/Ryegrass,,
004,Green,Bentgrass/Poa annua,,
004,Established,1957,,
004,Design,William Bell,,
104,Par,72,,
104,Yardage,"7,258",,
104,Record,266,Tiger Woods,1999
104,Fairway,Kikuyugrass/Ryegrass,,
104,Rough,Kikuyugrass/Ryegrass,,
104,Green,Bentgrass/Poa annua,,
