RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL VERT. LAUNCH ANGLE,TOTAL ATTEMPTS
1,0,22295,Darron Stiles,15.76,551.66,35
2,0,01132,Mark Brooks,14.92,432.74,29
3,0,07363,Craig Bowden,14.21,738.75,52
4,0,02214,Kirk Triplett,14.11,846.46,60
5,0,23325,Vaughn Taylor,13.98,811.08,58
6,0,21878,Mark Wilson,13.87,887.88,64
7,0,08537,J.P. Hayes,13.32,759.14,57
8,0,25273,Andrew Buckle,13.31,705.45,53
9,0,21949,Joe Ogilvie,12.95,893.75,69
10,0,20472,Alex Cejka,12.76,612.42,48
11,0,20105,Jeff Gove,12.73,903.91,71
12,0,10733,Kent Jones,12.61,832.26,66
13,0,23135,Tim Clark,12.59,641.95,51
14,0,27649,Brandt Snedeker,12.58,792.85,63
15,0,01035,Tommy Armour III,12.57,704.11,56
16,0,01724,Jeff Maggert,12.54,714.84,57
17,0,01766,Billy Mayfair,12.53,814.47,65
18,0,01945,Kenny Perry,12.52,688.74,55
19,0,02101,Joey Sindelar,12.50,650.21,52
20,0,22046,Geoff Ogilvy,12.45,647.19,52
21,0,01388,Robert Gamez,12.40,682.19,55
22,0,08375,Paul Stankowski,12.39,309.86,25
23,0,08931,Glen Day,12.36,655.29,53
24,0,12195,Tom Johnson,12.34,567.53,46
25,0,20433,Mark Hensby,12.33,702.63,57
26,0,21753,Brian Davis,12.30,762.38,62
27,0,20498,Briny Baird,12.26,919.62,75
28,0,08075,Jerry Kelly,12.22,782.38,64
29,0,19846,Brian Gay,12.21,927.69,76
30,0,10213,Dicky Pride,12.20,549.10,45
31,0,22293,Heath Slocum,12.17,888.41,73
32,0,12705,Cliff Kresge,12.16,875.81,72
32,0,24457,Jaco Van Zyl,12.16,401.43,33
32,0,10425,Jay Williamson,12.16,364.73,30
35,0,28158,Steve Marino,12.15,680.24,56
36,0,23983,Luke Donald,12.13,509.35,42
37,0,20623,Gavin Coles,12.09,616.48,51
38,0,19803,Ryan Armour,12.07,856.99,71
39,0,01249,John Daly,11.97,299.19,25
39,0,20628,Arron Oberholser,11.97,586.56,49
41,0,29718,Anthony Kim,11.95,657.02,55
41,0,02206,David Toms,11.95,633.48,53
43,0,01797,Rocco Mediate,11.93,680.17,57
43,0,06595,Kevin Sutherland,11.93,656.18,55
45,0,27060,John Mallinger,11.91,786.34,66
46,0,24290,D.J. Brigman,11.85,462.02,39
46,0,22348,Nick O'Hern,11.85,533.13,45
48,0,26360,Bubba Dickerson,11.84,319.74,27
49,0,12660,Jesper Parnevik,11.83,674.23,57
50,0,07749,Brett Quigley,11.81,460.62,39
51,0,07223,Brian Bateman,11.79,389.21,33
52,0,06527,Steve Stricker,11.78,683.19,58
53,0,27770,Camilo Villegas,11.76,505.80,43
54,0,20766,Padraig Harrington,11.74,399.02,34
55,0,27141,J.B. Holmes,11.73,410.70,35
56,0,07547,Craig Kanada,11.67,828.81,71
56,0,01928,Corey Pavin,11.67,571.59,49
56,0,06567,Vijay Singh,11.67,793.44,68
59,0,24358,Robert Garrigus,11.66,676.30,58
60,0,23800,Bryce Molder,11.64,337.54,29
61,0,12782,Tim Herron,11.61,731.60,63
62,0,01941,Tom Pernice Jr.,11.58,717.67,62
63,0,10117,Bob Heintz,11.55,543.05,47
64,0,23320,Ryan Palmer,11.54,611.40,53
65,0,01024,Billy Andrade,11.53,680.13,59
66,0,21660,Jason Schultz,11.51,333.83,29
67,0,24781,Hunter Mahan,11.50,586.53,51
68,0,12680,Shigeki Maruyama,11.45,629.58,55
69,0,20634,Peter Lonard,11.44,606.26,53
70,0,26420,Richard Johnson,11.42,536.57,47
71,0,23048,Eric Axley,11.39,763.05,67
72,0,10885,Robert Allenby,11.36,602.18,53
73,0,23788,D.J. Trahan,11.35,647.03,57
73,0,12602,Dean Wilson,11.35,601.70,53
75,0,06522,Ernie Els,11.34,374.32,33
76,0,27933,John Merrick,11.22,651.00,58
76,0,02239,Scott Verplank,11.22,572.32,51
78,0,21805,Harrison Frazar,11.19,481.17,43
79,0,01313,Steve Elkington,11.16,546.66,49
80,0,21959,Ted Purdy,11.11,611.07,55
81,0,24024,Zach Johnson,11.10,621.86,56
81,0,22405,Justin Rose,11.10,388.34,35
83,0,21350,Ryuji Imada,11.09,854.20,77
84,0,21470,Daisuke Maruyama,11.04,596.16,54
85,0,19824,Craig Barlow,11.03,286.79,26
86,0,01161,Mark Calcavecchia,10.98,625.81,57
86,0,08881,Tripp Isenhour,10.98,559.79,51
86,0,28475,Jeff Overton,10.98,417.36,38
86,0,23349,Charles Warren,10.98,724.83,66
90,0,22212,Craig Lile,10.96,515.18,47
91,0,24980,Scott Gutschewski,10.95,295.74,27
91,0,23623,Bo Van Pelt,10.95,722.72,66
93,0,11032,Frank Lickliter II,10.92,710.10,65
94,0,06251,Chris DiMarco,10.86,510.59,47
95,0,23108,Matt Kuchar,10.85,531.79,49
95,0,25190,Jeff Quinney,10.85,639.96,59
97,0,20382,Stephen Leaney,10.84,542.05,50
97,0,27963,Chris Stroud,10.84,411.81,38
99,0,02104,Jeff Sluman,10.83,324.96,30
100,0,23614,Rich Beem,10.82,638.12,59
100,0,25686,Jason Dufner,10.82,584.24,54
100,0,20378,Mathias Grönberg,10.82,670.60,62
100,0,02246,Duffy Waldorf,10.82,432.92,40
104,0,27702,Matt Hendrix,10.75,397.68,37
105,0,26679,Kevin Stadler,10.74,547.92,51
106,0,12652,Cameron Beckman,10.73,600.76,56
107,0,23933,Michael Boyd,10.70,374.52,35
108,0,24924,Bill Haas,10.69,566.71,53
109,0,01706,Davis Love III,10.66,458.29,43
110,0,20229,Stewart Cink,10.65,692.40,65
110,0,27120,Troy Matteson,10.65,585.49,55
110,0,24140,Sean O'Hair,10.65,681.47,64
113,0,25345,Carl Pettersson,10.64,808.47,76
114,0,20574,Mathew Goggin,10.61,657.89,62
115,0,29476,Kyle Reifers,10.59,317.69,30
116,0,21633,Steve Allan,10.55,400.79,38
117,0,24925,Jonathan Byrd,10.50,514.29,49
117,0,22892,Jason Gore,10.50,588.23,56
119,0,01473,Todd Hamilton,10.49,430.04,41
120,0,21646,David Branshaw,10.45,564.27,54
121,0,06643,Paul Goydos,10.44,417.60,40
122,0,08123,Jeff Brehaut,10.43,385.81,37
122,0,22913,John Rollins,10.43,667.75,64
124,0,01157,Tom Byrum,10.33,309.85,30
125,0,22621,Ben Curtis,10.31,546.34,53
126,0,23638,Brendon de Jonge,10.27,431.53,42
126,0,21806,Paul Gow,10.27,441.40,43
128,0,24507,Jason Bohn,10.25,358.73,35
129,0,21528,Henrik Stenson,10.22,286.25,28
130,0,24138,Ian Poulter,10.21,357.28,35
131,0,01381,Fred Funk,10.18,417.32,41
132,0,06034,Marco Dawson,10.17,427.17,42
132,0,20157,Retief Goosen,10.17,274.48,27
132,0,01707,Steve Lowery,10.17,508.37,50
135,0,10860,Justin Leonard,10.16,670.31,66
136,0,12716,Charley Hoffman,10.13,658.26,65
136,0,26881,Jarrod Lyle,10.13,486.32,48
