RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE (FEET),TOTAL STROKES
137,0,25364,Paul Casey,26' 5",4148.333,157
138,0,23125,Brad Elder,26' 6",4458.917,168
139,0,23778,Brad Adamonis,26' 7",8309.833,313
139,0,21633,Steve Allan,26' 7",4256.583,160
139,0,01473,Todd Hamilton,26' 7",5742.083,216
139,0,25345,Carl Pettersson,26' 7",11633.833,438
143,0,30750,Tommy Gainey,26' 10",4583.833,171
143,0,12782,Tim Herron,26' 10",8749.500,326
143,0,24449,Parker McLachlin,26' 10",7972.667,297
146,0,22371,Aaron Baddeley,27' 1",7330.667,271
146,0,23718,Nathan Green,27' 1",10326.583,381
146,0,12716,Charley Hoffman,27' 1",7823.917,289
149,0,24924,Bill Haas,27' 2",8912.750,328
149,0,10649,Tom Scherrer,27' 2",4190.000,154
151,0,06573,Brandt Jobe,27' 4",4211.750,154
152,0,21350,Ryuji Imada,27' 5",8830.500,322
153,0,01810,Phil Mickelson,27' 6",8454.917,307
154,0,24490,George McNeill,27' 7",10512.250,381
155,0,24663,Y.E. Yang,27' 8",8863.167,320
156,0,06522,Ernie Els,27' 9",5164.500,186
156,0,21209,Sergio Garcia,27' 9",7100.167,256
156,0,01706,Davis Love III,27' 9",7875.833,284
156,0,28475,Jeff Overton,27' 9",11507.083,415
160,0,06034,Marco Dawson,28' 1",4356.417,155
161,0,21805,Harrison Frazar,28' 2",5131.667,182
161,0,01577,Lee Janzen,28' 2",7152.750,254
161,0,06527,Steve Stricker,28' 2",8318.667,295
164,0,26631,Cody Freeman,28' 3",6729.500,238
165,0,10875,Todd Demsey,28' 4",5699.417,201
165,0,27613,David Lutterus,28' 4",4957.750,175
167,0,19913,Ron Whittaker,28' 6",2790.083,98
168,0,01226,Fred Couples,28' 9",6411.250,223
168,0,24502,Adam Scott,28' 9",5925.000,206
170,0,20850,Daniel Chopra,28' 10",10176.500,353
170,0,21961,Charles Howell III,28' 10",11805.833,410
172,0,24358,Robert Garrigus,29' 0",9162.500,316
173,0,23409,James Driscoll,29' 1",9931.250,341
173,0,27120,Troy Matteson,29' 1",10111.083,348
175,0,07749,Brett Quigley,29' 2",8770.333,301
175,0,25562,Andres Romero,29' 2",8593.583,295
177,0,01024,Billy Andrade,29' 4",6278.583,214
178,0,25720,Chad Collins,29' 5",7242.583,246
178,0,20663,Brenden Pappas,29' 5",5888.417,200
180,0,23497,Tag Ridings,29' 6",8947.500,303
181,0,30925,Dustin Johnson,30' 3",10483.333,347
182,0,12660,Jesper Parnevik,30' 4",9433.500,311
183,0,26300,Matt Jones,30' 5",12351.917,406
184,0,25804,Bubba Watson,30' 9",10030.750,326
185,0,26951,Johnson Wagner,31' 0",8253.417,266
186,0,23157,Richard Johnson,31' 6",9945.417,316
187,0,12823,Carlos Franco,31' 9",8504.917,268
188,0,28089,Jason Day,31' 11",8938.333,280
188,0,23797,Brett Rumford,31' 11",7505.500,235
190,0,23540,Jason Allred,32' 2",6117.667,190
191,0,20848,Ángel Cabrera,32' 10",8181.167,249
192,0,23048,Eric Axley,32' 11",13882.917,422
193,0,20766,Padraig Harrington,33' 3",5154.083,155
194,0,20229,Stewart Cink,33' 6",11114.417,332
195,0,25632,Jimmy Walker,33' 9",8813.583,261
196,0,27141,J.B. Holmes,35' 7",12832.000,361
197,0,09011,David Duval,37' 1",7305.083,197
