RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,DISTANCE (FEET),TOTAL PUTTS
1,0,25572,Graeme McDowell,12' 3",1827.000,149
2,0,32333,Kevin Tway,12' 2",1439.167,118
3,0,25834,Daniel Summerhays,12' 1",3338.750,276
4,0,28307,Matt Every,12' 0",2508.833,209
4,0,21731,Freddie Jacobson,12' 0",3005.583,250
6,0,28092,D.H. Lee,11' 11",1378.750,116
7,0,29926,Danny Lee,11' 10",2421.000,204
8,0,32334,Charlie Beljan,11' 8",2249.750,193
8,0,22621,Ben Curtis,11' 8",2120.417,182
10,0,23108,Matt Kuchar,11' 7",3041.167,262
10,0,21528,Henrik Stenson,11' 7",1493.083,129
12,0,20593,Greg Chalmers,11' 6",2613.083,228
12,0,21209,Sergio Garcia,11' 6",1596.667,139
12,0,19846,Brian Gay,11' 6",2004.833,174
12,0,23621,Rory Sabbatini,11' 6",2266.667,197
16,0,27436,Graham DeLaet,11' 5",2396.750,210
16,0,33418,Shawn Stefani,11' 5",1944.250,170
16,0,32150,Michael Thompson,11' 5",2244.917,196
16,0,30927,Brendon Todd,11' 5",3322.000,291
20,0,20098,Stuart Appleby,11' 4",3028.500,268
20,0,22378,Trevor Immelman,11' 4",2095.917,185
20,0,22293,Heath Slocum,11' 4",2094.000,185
23,0,24357,K.J. Choi,11' 3",2309.500,206
23,0,26300,Matt Jones,11' 3",2069.667,184
23,0,32640,Troy Merritt,11' 3",2006.750,179
23,0,20645,John Senden,11' 3",2815.583,250
23,0,34431,Robert Streb,11' 3",2293.333,204
23,0,27770,Camilo Villegas,11' 3",3083.750,275
23,0,26951,Johnson Wagner,11' 3",1591.917,142
30,0,24846,Ricky Barnes,11' 2",2722.750,244
30,0,23541,Ben Crane,11' 2",2514.917,226
30,0,23983,Luke Donald,11' 2",1582.750,142
33,0,29479,Scott Brown,11' 1",2912.583,262
33,0,06522,Ernie Els,11' 1",2112.000,191
33,0,27644,Brian Harman,11' 1",3466.500,313
33,0,23353,J.J. Henry,11' 1",2212.167,200
33,0,27408,Martin Kaymer,11' 1",1580.500,143
33,0,27933,John Merrick,11' 1",2324.500,210
39,0,12510,Chad Campbell,11' 0",1454.083,132
39,0,32200,Roberto Castro,11' 0",1745.667,159
39,0,34098,Russell Henley,11' 0",2627.500,238
39,0,26596,Ryan Moore,11' 0",2235.417,203
39,0,06567,Vijay Singh,11' 0",2346.750,214
39,0,27649,Brandt Snedeker,11' 0",2284.417,207
39,0,02206,David Toms,11' 0",1896.083,172
39,0,23623,Bo Van Pelt,11' 0",2189.417,199
39,0,24663,Y.E. Yang,11' 0",1914.167,174
48,0,20229,Stewart Cink,10' 11",2361.000,217
48,0,25720,Chad Collins,10' 11",1806.083,165
48,0,33461,Morgan Hoffmann,10' 11",3083.667,282
48,0,34174,John Huh,10' 11",2094.833,192
48,0,24912,Will MacKenzie,10' 11",2386.167,219
48,0,25396,Kevin Na,10' 11",2730.250,250
48,0,24138,Ian Poulter,10' 11",1423.333,130
48,0,29518,Brendan Steele,10' 11",2460.667,226
56,0,28259,Sangmoon Bae,10' 10",2357.583,217
56,0,25364,Paul Casey,10' 10",1656.917,153
56,0,34021,Bud Cauley,10' 10",1444.333,133
56,0,20157,Retief Goosen,10' 10",2515.833,232
56,0,25444,Justin Hicks,10' 10",2922.167,269
56,0,21961,Charles Howell III,10' 10",3129.667,288
56,0,29222,Billy Hurley III,10' 10",2262.750,209
56,0,24024,Zach Johnson,10' 10",2958.167,274
56,0,01706,Davis Love III,10' 10",1900.917,176
56,0,24490,George McNeill,10' 10",2537.250,235
56,0,20160,Charlie Wi,10' 10",1857.250,172
67,0,22371,Aaron Baddeley,10' 9",1961.917,182
67,0,33141,Keegan Bradley,10' 9",2231.000,207
67,0,10809,Jim Furyk,10' 9",2124.750,197
67,0,30926,Chris Kirk,10' 9",3021.583,280
67,0,10860,Justin Leonard,10' 9",1820.583,170
