RANK,MOVEMENT,PLAYER_ID,PLAYER,% UNDER THEN OVER PAR,TOTAL UNDER THEN OVER PAR,UNDER PAR
1,0,01998,Jack Renner,9.80,25,255
2,0,01559,Hale Irwin,10.40,21,202
3,0,01725,John Mahaffey,11.07,31,280
4,0,01226,Fred Couples,11.11,32,288
5,0,01235,Ben Crenshaw,11.28,29,257
6,0,01129,Bill Britton,11.56,26,225
6,0,02241,Bobby Wadkins,11.56,37,320
8,0,01996,Mike Reid,11.74,35,298
9,0,01958,Dan Pohl,11.84,38,321
10,0,01527,Scott Hoch,11.95,35,293
11,0,02267,D.A. Weibring,12.08,29,240
12,0,01871,Mike Nicolette,12.12,16,132
13,0,01960,Don Pooley,12.37,35,283
14,0,01475,Donnie Hammond,12.40,30,242
15,0,01928,Corey Pavin,12.50,31,248
16,0,01042,Paul Azinger,12.54,39,311
17,0,01952,Billy Pierot,12.57,21,167
18,0,01060,Dave Barr,12.59,35,278
19,0,02255,Denis Watson,12.65,41,324
20,0,01633,Tom Kite,12.67,37,292
21,0,01175,Jim Carter,12.68,36,284
22,0,01306,David Edwards,12.70,24,189
23,0,01682,Wayne Levi,12.86,36,280
24,0,01305,Danny Edwards,12.90,28,217
25,0,01093,Ronnie Black,13.18,39,296
26,0,01061,Ray Barr Jr.,13.20,26,197
27,0,02159,Curtis Strange,13.21,42,318
28,0,02094,Tony Sills,13.25,31,234
29,0,01968,Nick Price,13.26,35,264
30,0,02303,Robert Wrenn,13.50,27,200
31,0,01892,Aki Ohmachi,13.70,30,219
32,0,01457,Jay Haas,13.72,45,328
33,0,02118,J.C. Snead,13.83,35,253
34,0,01876,Greg Norman,13.86,28,202
35,0,02321,Fuzzy Zoeller,14.11,35,248
36,0,01782,Mike McCullough,14.14,28,198
37,0,02099,Scott Simpson,14.17,35,247
38,0,01161,Mark Calcavecchia,14.19,44,310
39,0,02146,Payne Stewart,14.20,47,331
40,0,01361,Dan Forsman,14.29,54,378
40,0,01837,Gil Morgan,14.29,21,147
42,0,01690,Bruce Lietzke,14.35,30,209
43,0,02256,Tom Watson,14.36,29,202
44,0,01390,Buddy Gardner,14.42,47,326
45,0,02133,Craig Stadler,14.44,40,277
46,0,01823,Larry Mize,14.47,34,235
47,0,01219,John Cook,14.48,42,290
48,0,01355,Raymond Floyd,14.52,27,186
49,0,01468,Gary Hallberg,14.53,43,296
50,0,02180,Harry Taylor,14.57,29,199
51,0,01323,Brad Fabel,14.62,31,212
51,0,02023,Clarence Rose,14.62,50,342
53,0,02010,Loren Roberts,14.63,30,205
54,0,02322,Richard Zokol,14.81,28,189
55,0,01943,Chris Perry,14.86,48,323
56,0,02223,Bob Tway,14.94,39,261
57,0,01715,Mark Lye,15.03,43,286
58,0,01469,Dan Halldorson,15.14,38,251
59,0,01783,Mark McCumber,15.17,49,323
60,0,01846,Jodie Mudd,15.29,48,314
61,0,01864,Larry Nelson,15.46,30,194
62,0,02170,Hal Sutton,15.51,47,303
63,0,01495,Morris Hatalsky,15.54,39,251
64,0,01887,Mark O'Meara,15.55,44,283
65,0,01717,Sandy Lyle,15.57,26,167
66,0,01203,Russ Cochran,15.71,52,331
67,0,01098,Jay Don Blake,15.72,47,299
68,0,01639,Kenny Knox,15.73,42,267
69,0,01282,Trevor Dodds,15.77,38,241
69,0,01736,Roger Maltbie,15.77,38,241
71,0,01878,Andy North,15.79,27,171
72,0,01072,Chip Beck,15.86,49,309
73,0,01156,Curt Byrum,15.92,57,358
73,0,01378,David Frost,15.92,53,333
75,0,02100,Tim Simpson,15.95,56,351
76,0,01891,David Ogrin,15.98,35,219
77,0,02033,Dave Rummells,16.08,59,367
78,0,01261,Jay Delsing,16.12,44,273
79,0,01197,Bobby Clampett,16.21,41,253
79,0,01790,Pat McGowan,16.21,41,253
81,0,01313,Steve Elkington,16.25,46,283
82,0,02195,Leonard Thompson,16.27,48,295
83,0,01797,Rocco Mediate,16.32,47,288
84,0,01248,Rick Dalpos,16.34,42,257
85,0,01926,Steve Pate,16.35,61,373
86,0,01346,Ed Fiori,16.40,41,250
87,0,01723,Andrew Magee,16.42,45,274
88,0,01288,Ed Dougherty,16.46,39,237
89,0,01935,Calvin Peete,16.48,29,176
90,0,01444,Ken Green,16.61,49,295
90,0,01599,Steve Jones,16.61,50,301
92,0,01569,Peter Jacobsen,16.73,42,251
93,0,02152,Dave Stockton,16.78,24,143
94,0,02067,Ted Schulz,16.96,29,171
95,0,01150,George Burns,17.07,56,328
96,0,01526,David Hobby,17.11,26,152
97,0,01706,Davis Love III,17.12,50,292
98,0,02190,Doug Tewell,17.18,39,227
99,0,01132,Mark Brooks,17.30,41,237
100,0,01501,Vance Heafner,17.31,36,208
101,0,01414,Bob Gilder,17.39,52,299
102,0,02242,Lanny Wadkins,17.48,50,286
103,0,01006,John Adams,17.56,49,279
104,0,01443,Hubert Green,17.58,32,182
105,0,01877,Tim Norris,17.62,43,244
106,0,01436,David Graham,17.65,27,153
107,0,01192,T.C. Chen,17.79,29,163
108,0,01984,Sam Randolph,17.80,42,236
109,0,02196,Robert Thompson,17.82,31,174
110,0,01593,Philip Jonas,17.86,25,140
111,0,01068,Andy Bean,17.92,31,173
112,0,02126,Bruce Soulsby,17.93,45,251
113,0,01771,Blaine McCallister,17.95,56,312
113,0,02041,Bill Sander,17.95,49,273
115,0,02098,Jim Simons,17.97,23,128
116,0,02101,Joey Sindelar,18.05,63,349
117,0,01200,Keith Clearwater,18.10,63,348
117,0,01648,Billy Kratzert,18.10,40,221
119,0,02160,Ron Streck,18.12,52,287
119,0,02225,Howard Twitty,18.12,54,298
121,0,01448,Tony Grimes,18.13,31,171
122,0,01157,Tom Byrum,18.18,58,319
122,0,02111,Mike Smith,18.18,34,187
124,0,02104,Jeff Sluman,18.29,64,350
125,0,01557,John Inman,18.37,52,283
126,0,01162,Rex Caldwell,18.38,34,185
127,0,01329,Brad Faxon,18.39,57,310
127,0,01975,Tom Purtzer,18.39,55,299
127,0,02294,Willie Wood,18.39,57,310
130,0,01701,Bob Lohr,18.49,54,292
131,0,02087,Don Shirey Jr.,18.52,50,270
132,0,02007,Larry Rinker,18.58,55,296
133,0,02049,Gene Sauers,18.65,58,311
134,0,01755,Dick Mast,18.92,56,296
135,0,01135,Ken Brown,19.00,42,221
136,0,01331,Rick Fehr,19.02,31,163
136,0,02016,Bill Rogers,19.02,39,205
138,0,02239,Scott Verplank,19.05,48,252
139,0,01284,Mike Donald,19.08,62,325
140,0,01168,David Canipe,19.18,42,219
140,0,01310,Dave Eichelberger,19.18,47,245
142,0,02244,Fred Wadsworth,19.35,54,279
143,0,01096,Phil Blackmar,19.38,63,325
144,0,01571,Barry Jaeckel,19.41,46,237
145,0,01278,Andy Dillard,19.42,47,242
146,0,01077,Mike Bender,19.53,42,215
146,0,02279,Mark Wiebe,19.53,66,338
148,0,01039,Perry Arthur,19.71,41,208
149,0,01666,Bernhard Langer,19.79,37,187
150,0,01196,Brian Claar,19.87,61,307
151,0,01179,Antonio Cerda,20.00,52,260
151,0,01584,Doug Johnson,20.00,34,170
151,0,01884,Mac O'Grady,20.00,50,250
151,0,01938,David Peoples,20.00,34,170
155,0,01549,Mike Hulbert,20.06,62,309
156,0,02148,Ray Stewart,20.16,49,243
157,0,02201,Jim Thorpe,20.31,26,128
158,0,01945,Kenny Perry,20.46,53,259
159,0,01418,Bill Glasson,20.49,58,283
160,0,01214,Frank Conner,20.55,30,146
161,0,01777,John McComish,20.75,44,212
162,0,01446,Brad Greer,20.93,45,215
163,0,01851,Bob Murphy,21.05,48,228
164,0,02167,Mike Sullivan,21.13,56,265
165,0,01385,Jim Gallagher Jr.,21.17,58,274
165,0,01522,Lon Hinkle,21.17,47,222
167,0,01206,Bobby Cole,21.19,57,269
168,0,01303,Bob Eastwood,21.31,62,291
169,0,01201,Lennie Clements,21.33,48,225
170,0,02229,Brett Upper,21.86,47,215
171,0,01103,Charles Bolling,22.03,65,295
172,0,02246,Duffy Waldorf,22.04,54,245
173,0,01392,Tom Garner,22.84,45,197
174,0,02090,Tom Sieckmann,23.16,63,272
175,0,01037,Dewey Arnette,23.37,43,184
176,0,02287,Jim Wilson,23.53,32,136
177,0,01641,Gary Koch,23.56,45,191
178,0,01654,Gary Krueger,23.59,46,195
179,0,02002,John Riegger,24.17,29,120
180,0,01949,Mark Pfeil,24.66,36,146
181,0,01499,Mark Hayes,24.76,79,319
182,0,01425,Ernie Gonzalez,25.00,70,280
183,0,01513,Denny Hepler,25.48,40,157
184,0,01676,Ted Lehmann,26.21,38,145
185,0,01534,John Horne,27.10,42,155
