RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR 320+,TOTAL DRIVES - OVERALL,RELATIVE TO PAR
1,0,01249,John Daly,16.49,31,188,-0.194
2,0,23621,Rory Sabbatini,10.70,26,243,-0.462
3,0,08793,Tiger Woods,10.63,27,254,-0.407
4,0,21961,Charles Howell III,9.40,44,468,-0.386
5,0,20663,Brenden Pappas,9.21,29,315,-0.414
6,0,20574,Mathew Goggin,9.18,29,316,-0.379
7,0,26289,Boo Weekley,9.15,26,284,-0.269
8,0,21633,Steve Allan,9.13,42,460,-0.405
9,0,01927,Dennis Paulson,8.54,35,410,-0.257
10,0,06613,Tommy Tolles,7.85,26,331,-0.577
11,0,22046,Geoff Ogilvy,7.73,31,401,-0.290
12,0,21805,Harrison Frazar,7.41,28,378,-0.143
13,0,24925,Jonathan Byrd,7.19,32,445,-0.406
14,0,10423,Mike Weir,6.94,25,360,-0.200
15,0,10117,Bob Heintz,6.92,22,318,-0.227
16,0,20645,John Senden,6.82,27,396,-0.667
17,0,12660,Jesper Parnevik,6.78,16,236,-0.500
18,0,23322,Brett Wetterich,6.56,29,442,-0.379
19,0,23623,Bo Van Pelt,6.54,27,413,-0.407
20,0,12663,Phil Tataurangi,6.48,25,386,-0.480
21,0,06527,Steve Stricker,6.42,14,218,-0.357
22,0,01514,Eduardo Herrera,6.41,20,312,-0.050
23,0,02106,Chris Smith,6.29,28,445,-0.250
24,0,08881,Tripp Isenhour,6.27,22,351,-0.364
25,0,07457,Steve Flesch,6.14,25,407,-0.240
26,0,06197,Michael Allen,6.12,20,327,-0.750
27,0,01226,Fred Couples,6.10,13,213,-0.538
28,0,12823,Carlos Franco,6.06,33,545,-0.394
29,0,08375,Paul Stankowski,5.98,25,418,-0.560
30,0,20095,Carl Paulson,5.97,25,419,-0.440
31,0,01810,Phil Mickelson,5.88,25,425,-0.360
32,0,01374,Robin Freeman,5.85,22,376,-0.364
32,0,01706,Davis Love III,5.85,23,393,-0.304
34,0,10585,Scott McCarron,5.66,24,424,-0.333
35,0,23541,Ben Crane,5.65,23,407,-0.391
36,0,10885,Robert Allenby,5.60,26,464,-0.269
37,0,20043,Edward Fryatt,5.57,23,413,-0.304
38,0,06515,Shaun Micheel,5.47,26,475,-0.346
39,0,20094,Jonathan Kaye,5.46,23,421,-0.522
40,0,06567,Vijay Singh,5.45,24,440,-0.375
41,0,20098,Stuart Appleby,5.41,22,407,-0.318
42,0,20572,Rod Pampling,5.34,21,393,-0.429
43,0,10107,Deane Pappas,5.33,21,394,-0.333
44,0,20593,Greg Chalmers,5.26,21,399,-0.381
44,0,12782,Tim Herron,5.26,23,437,-0.348
46,0,09011,David Duval,5.19,16,308,-0.375
47,0,01723,Andrew Magee,5.18,19,367,-0.263
48,0,10565,Ian Leggatt,5.16,22,426,-0.273
49,0,12388,Michael Clark II,5.12,23,449,-0.348
50,0,08633,Per-Ulrik Johansson,5.09,19,373,-0.474
51,0,21806,Paul Gow,5.08,25,492,-0.480
52,0,12645,Brent Geiberger,5.04,21,417,-0.524
53,0,01941,Tom Pernice Jr.,5.02,21,418,-0.476
54,0,20634,Peter Lonard,4.96,19,383,-0.316
55,0,23177,Kenneth Staton,4.92,25,508,-0.320
56,0,23353,J.J. Henry,4.89,25,511,-0.360
57,0,02223,Bob Tway,4.82,20,415,-0.350
58,0,02245,Grant Waite,4.68,22,470,-0.455
59,0,01945,Kenny Perry,4.67,21,450,-0.429
60,0,07223,Brian Bateman,4.58,21,459,-0.333
60,0,23614,Rich Beem,4.58,20,437,-0.550
62,0,20436,Garrett Willis,4.56,17,373,-0.647
63,0,21209,Sergio Garcia,4.38,12,274,-0.417
64,0,06332,Neal Lancaster,4.32,18,417,-0.167
65,0,06573,Brandt Jobe,4.31,20,464,-0.450
66,0,01685,J.L. Lewis,4.26,20,469,-0.600
67,0,20157,Retief Goosen,4.23,11,260,-0.364
68,0,11032,Frank Lickliter II,4.21,16,380,E
69,0,01388,Robert Gamez,4.17,15,360,-0.333
70,0,06621,Joe Durant,4.09,14,342,-0.143
71,0,21259,Jason Hill,3.90,11,282,-0.182
71,0,20548,Hidemichi Tanaka,3.90,18,462,-0.444
73,0,22913,John Rollins,3.75,22,587,-0.636
74,0,10962,Bradley Hughes,3.74,11,294,-0.545
75,0,06016,Brad Lardon,3.70,10,270,-0.500
76,0,20498,Briny Baird,3.67,18,491,-0.500
77,0,23338,David Gossett,3.65,16,438,-0.188
78,0,24357,K.J. Choi,3.64,15,412,-0.467
79,0,08123,Jeff Brehaut,3.50,16,457,-0.563
80,0,02101,Joey Sindelar,3.44,17,494,-0.118
81,0,23125,Brad Elder,3.42,11,322,-0.455
82,0,24361,Pat Perez,3.41,12,352,-0.250
83,0,10649,Tom Scherrer,3.40,15,441,-0.400
84,0,08535,Gary Nicklaus,3.39,10,295,-0.200
85,0,24937,Jess Daley,3.38,13,385,-0.462
86,0,07749,Brett Quigley,3.30,15,455,-0.200
87,0,12680,Shigeki Maruyama,3.25,11,338,E
88,0,01161,Mark Calcavecchia,3.21,9,280,-0.889
89,0,20566,Kaname Yokoo,3.19,10,313,-0.300
90,0,01035,Tommy Armour III,3.18,11,346,-0.182
91,0,08339,Spike McRoy,3.11,9,289,-0.222
91,0,21949,Joe Ogilvie,3.11,8,257,-0.250
91,0,02206,David Toms,3.11,15,483,-0.533
94,0,20502,Michael Long,3.08,12,389,+0.083
95,0,23903,Stephen Gangluff,3.04,12,395,-0.417
96,0,02133,Craig Stadler,2.88,7,243,-0.571
97,0,01553,John Huston,2.85,12,421,-0.167
98,0,08993,Franklin Langham,2.79,10,359,-0.200
98,0,10860,Justin Leonard,2.79,11,394,-0.364
98,0,02246,Duffy Waldorf,2.79,11,394,-0.273
101,0,06350,Bob May,2.78,12,432,-0.167
102,0,06004,Stephen Ames,2.68,9,336,-0.556
103,0,19881,Robert Damron,2.62,11,420,-0.091
103,0,01549,Mike Hulbert,2.62,6,229,-0.333
105,0,10733,Kent Jones,2.56,13,508,-0.692
106,0,01320,Bob Estes,2.54,10,394,-0.300
107,0,06617,Brian Henninger,2.51,8,319,-0.500
108,0,02170,Hal Sutton,2.49,7,281,-0.286
109,0,07867,Woody Austin,2.48,12,483,-0.083
110,0,19824,Craig Barlow,2.46,8,325,E
111,0,02104,Jeff Sluman,2.42,13,538,-0.462
112,0,20029,Notah Begay III,2.41,10,415,-0.300
113,0,01926,Steve Pate,2.37,6,253,-0.333
114,0,19846,Brian Gay,2.33,12,515,+0.083
115,0,20229,Stewart Cink,2.30,8,348,-0.500
115,0,06251,Chris DiMarco,2.30,10,435,-0.100
117,0,01887,Mark O'Meara,2.28,5,219,-0.600
117,0,02002,John Riegger,2.28,10,438,E
119,0,01948,Tim Petrovic,2.26,9,399,-0.444
120,0,01313,Steve Elkington,2.21,7,317,-0.286
120,0,23800,Bryce Molder,2.21,8,362,-0.625
122,0,01475,Donnie Hammond,2.20,6,273,-0.333
123,0,19958,Miguel Angel Jiménez,2.19,5,228,+0.400
124,0,01724,Jeff Maggert,2.15,7,325,E
125,0,02110,Jerry Smith,2.12,9,424,-0.111
126,0,23135,Tim Clark,2.10,8,381,+0.125
127,0,01677,Tom Lehman,2.09,5,239,-0.800
128,0,23983,Luke Donald,2.07,10,484,-0.200
129,0,06575,Dudley Hart,2.06,7,339,-0.571
129,0,01771,Blaine McCallister,2.06,7,340,-0.143
131,0,01307,Joel Edwards,2.02,10,495,-0.400
132,0,01132,Mark Brooks,2.01,8,399,-0.375
133,0,12652,Cameron Beckman,2.00,7,350,+0.143
134,0,06809,Bob Burns,1.94,8,413,-0.375
135,0,12826,Paul Claxton,1.87,8,427,-0.500
136,0,08537,J.P. Hayes,1.86,6,322,-0.167
137,0,06522,Ernie Els,1.85,5,270,-0.800
138,0,01042,Paul Azinger,1.82,4,220,-0.500
138,0,10912,Craig Perks,1.82,6,330,E
140,0,01024,Billy Andrade,1.81,8,441,-0.500
141,0,10457,Frank Nobilo,1.79,8,447,-0.750
142,0,01599,Steve Jones,1.78,5,281,-0.200
143,0,10809,Jim Furyk,1.76,6,340,-0.333
144,0,01329,Brad Faxon,1.71,6,351,+0.167
145,0,01569,Peter Jacobsen,1.69,5,295,-0.400
146,0,01219,John Cook,1.67,5,299,+0.200
146,0,01707,Steve Lowery,1.67,7,420,-0.429
148,0,12510,Chad Campbell,1.57,8,509,+0.500
149,0,01577,Lee Janzen,1.55,6,388,-0.667
149,0,10425,Jay Williamson,1.55,7,453,-0.714
151,0,07003,David Berganio Jr.,1.53,6,391,-0.500
152,0,01185,Brandel Chamblee,1.52,6,396,-0.667
