RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR <= 240,TOTAL DRVS - OVERALL,RELATIVE TO PAR
1,0,06522,Ernie Els,25.00,23,92,-0.30
2,0,01968,Nick Price,23.08,24,104,-0.38
3,0,06078,Esteban Toledo,22.04,41,186,+0.05
4,0,06315,Pete Jordan,21.83,31,142,+0.35
5,0,19972,José Coceres,21.79,17,78,+0.18
6,0,08553,Lee Porter,21.08,35,166,E
7,0,01666,Bernhard Langer,21.05,16,76,-0.06
8,0,02133,Craig Stadler,20.91,23,110,-0.26
9,0,01766,Billy Mayfair,20.78,32,154,-0.13
10,0,01928,Corey Pavin,20.31,26,128,+0.04
11,0,21209,Sergio Garcia,19.64,22,112,-0.14
12,0,02239,Scott Verplank,19.08,29,152,+0.21
13,0,02257,Brian Watts,18.27,19,104,+0.11
14,0,06575,Dudley Hart,18.06,26,144,-0.15
15,0,19817,Michael Muehr,17.42,23,132,+0.22
16,0,08633,Per-Ulrik Johansson,17.07,28,164,-0.07
17,0,20593,Greg Chalmers,17.06,29,170,+0.21
18,0,01707,Steve Lowery,16.46,26,158,-0.04
19,0,06527,Steve Stricker,16.33,16,98,-0.19
20,0,12660,Jesper Parnevik,16.15,21,130,-0.14
21,0,02110,Jerry Smith,15.85,26,164,+0.19
22,0,01577,Lee Janzen,15.82,25,158,-0.20
23,0,06036,Scott Dunlap,15.67,21,134,+0.10
24,0,01185,Brandel Chamblee,15.63,25,160,-0.08
25,0,20436,Garrett Willis,15.58,24,154,+0.13
26,0,01219,John Cook,15.49,22,142,-0.14
27,0,07721,Pat Bates,15.34,27,176,-0.07
28,0,10860,Justin Leonard,15.33,23,150,-0.52
29,0,02099,Scott Simpson,15.25,18,118,+0.17
30,0,08793,Tiger Woods,15.00,15,100,-0.27
31,0,02104,Jeff Sluman,14.80,29,196,-0.31
32,0,02223,Bob Tway,14.53,25,172,-0.24
33,0,01706,Davis Love III,14.49,20,138,-0.45
34,0,01761,Len Mattiace,14.44,26,180,-0.27
35,0,19846,Brian Gay,14.42,30,208,-0.17
36,0,19881,Robert Damron,14.38,23,160,+0.17
37,0,01014,Fulton Allem,14.29,17,119,+0.06
37,0,06004,Stephen Ames,14.29,22,154,E
37,0,01035,Tommy Armour III,14.29,22,154,+0.05
40,0,10649,Tom Scherrer,14.20,25,176,-0.16
41,0,01098,Jay Don Blake,14.06,27,192,-0.07
41,0,08931,Glen Day,14.06,27,192,-0.07
43,0,01361,Dan Forsman,14.00,21,150,+0.05
44,0,21806,Paul Gow,13.89,25,180,-0.04
45,0,01381,Fred Funk,13.86,28,202,-0.07
46,0,01887,Mark O'Meara,13.83,13,94,E
47,0,11011,Mike Sposa,13.81,29,210,-0.10
48,0,01599,Steve Jones,13.79,16,116,E
49,0,08537,J.P. Hayes,13.77,19,138,-0.11
50,0,06809,Bob Burns,13.44,25,186,E
51,0,10912,Craig Perks,13.38,19,142,-0.26
52,0,10201,Matt Gogel,13.28,17,128,+0.12
53,0,01024,Billy Andrade,13.25,22,166,-0.23
54,0,01042,Paul Azinger,13.21,14,106,-0.07
55,0,01457,Jay Haas,13.19,19,144,-0.11
56,0,22293,Heath Slocum,13.13,21,160,-0.05
57,0,01920,Craig Parry,13.11,16,122,+0.06
58,0,08545,Glen Hnatiuk,13.04,24,184,-0.13
59,0,20094,Jonathan Kaye,13.01,19,146,-0.11
60,0,08993,Franklin Langham,12.90,16,124,-0.06
61,0,23541,Ben Crane,12.80,21,164,+0.05
61,0,01723,Andrew Magee,12.80,21,164,+0.05
61,0,01948,Tim Petrovic,12.80,21,164,-0.14
64,0,06332,Neal Lancaster,12.78,23,180,-0.04
65,0,19824,Craig Barlow,12.73,14,110,+0.14
66,0,06621,Joe Durant,12.68,18,142,-0.17
67,0,06012,Greg Kraft,12.66,20,158,+0.35
68,0,01378,David Frost,12.65,21,166,-0.38
69,0,01161,Mark Calcavecchia,12.50,16,128,-0.25
70,0,06573,Brandt Jobe,12.36,22,178,-0.09
71,0,01724,Jeff Maggert,12.32,17,138,-0.18
72,0,01938,David Peoples,12.24,24,196,-0.08
73,0,22046,Geoff Ogilvy,12.20,20,164,+0.05
74,0,20095,Carl Paulson,12.03,19,158,E
75,0,20229,Stewart Cink,11.97,17,142,+0.29
75,0,12680,Shigeki Maruyama,11.97,17,142,-0.41
77,0,23338,David Gossett,11.93,21,176,-0.10
78,0,12652,Cameron Beckman,11.84,18,152,+0.06
78,0,24361,Pat Perez,11.84,18,152,-0.11
80,0,01619,Skip Kendall,11.83,22,186,-0.05
81,0,20043,Edward Fryatt,11.76,20,170,+0.20
81,0,02106,Chris Smith,11.76,20,170,-0.15
83,0,01175,Jim Carter,11.59,19,164,+0.05
83,0,10809,Jim Furyk,11.59,16,138,-0.06
83,0,02010,Loren Roberts,11.59,19,164,-0.42
86,0,01139,Olin Browne,11.58,22,190,-0.05
87,0,07867,Woody Austin,11.54,21,182,-0.05
87,0,01203,Russ Cochran,11.54,15,130,-0.07
89,0,20548,Hidemichi Tanaka,11.41,21,184,-0.10
90,0,08339,Spike McRoy,11.40,13,114,+0.15
91,0,23614,Rich Beem,11.36,20,176,-0.30
92,0,01569,Peter Jacobsen,11.29,14,124,-0.21
93,0,12826,Paul Claxton,11.25,18,160,+0.17
94,0,12645,Brent Geiberger,11.18,19,170,-0.05
94,0,01553,John Huston,11.18,19,170,E
94,0,10425,Jay Williamson,11.18,19,170,+0.16
97,0,20634,Peter Lonard,11.11,18,162,-0.61
98,0,23353,J.J. Henry,11.00,22,200,-0.18
99,0,10107,Deane Pappas,10.98,18,164,E
100,0,01320,Bob Estes,10.96,16,146,-0.25
101,0,07749,Brett Quigley,10.92,19,174,+0.37
102,0,21961,Charles Howell III,10.75,20,186,-0.20
103,0,10457,Frank Nobilo,10.67,19,178,+0.11
104,0,12510,Chad Campbell,10.50,21,200,-0.43
105,0,10565,Ian Leggatt,10.49,17,162,-0.18
106,0,01941,Tom Pernice Jr.,10.47,18,172,+0.11
107,0,23983,Luke Donald,10.42,20,192,+0.35
108,0,01527,Scott Hoch,10.34,12,116,-0.25
109,0,10423,Mike Weir,10.27,15,146,E
110,0,12388,Michael Clark II,10.23,18,176,+0.11
111,0,10733,Kent Jones,10.22,19,186,-0.16
112,0,12823,Carlos Franco,10.20,20,196,-0.10
113,0,02101,Joey Sindelar,10.11,18,178,+0.06
114,0,21633,Steve Allan,10.00,17,170,-0.29
114,0,09011,David Duval,10.00,12,120,-0.25
114,0,01810,Phil Mickelson,10.00,15,150,-0.20
117,0,20572,Rod Pampling,9.77,17,174,-0.41
118,0,01329,Brad Faxon,9.70,13,134,+0.08
119,0,02170,Hal Sutton,9.68,12,124,+0.08
120,0,23125,Brad Elder,9.56,13,136,E
121,0,20645,John Senden,9.52,16,168,+0.06
122,0,22913,John Rollins,9.46,21,222,-0.19
123,0,02206,David Toms,9.41,16,170,-0.44
124,0,06567,Vijay Singh,9.38,15,160,+0.07
125,0,20127,Chris Riley,9.09,16,176,E
126,0,02002,John Riegger,8.97,14,156,-0.21
127,0,01132,Mark Brooks,8.86,14,158,E
128,0,06251,Chris DiMarco,8.82,15,170,-0.13
129,0,02246,Duffy Waldorf,8.75,14,160,-0.57
130,0,06197,Michael Allen,8.70,12,138,-0.25
130,0,02245,Grant Waite,8.70,16,184,+0.06
132,0,12782,Tim Herron,8.62,15,174,-0.20
133,0,10117,Bob Heintz,8.46,11,130,+0.36
134,0,06498,Matt Peterson,8.44,13,154,+0.31
135,0,07457,Steve Flesch,8.33,15,180,-0.27
135,0,19958,Miguel Angel Jiménez,8.33,8,96,+0.38
135,0,06373,José María Olazábal,8.33,8,96,E
138,0,07223,Brian Bateman,8.24,14,170,E
139,0,01677,Tom Lehman,8.04,9,112,-0.33
140,0,08535,Gary Nicklaus,7.94,10,126,+0.30
141,0,23177,Kenneth Staton,7.89,15,190,-0.07
142,0,23135,Tim Clark,7.81,10,128,E
142,0,02214,Kirk Triplett,7.81,10,128,+0.20
144,0,06350,Bob May,7.60,13,171,+0.15
145,0,08123,Jeff Brehaut,7.41,12,162,+0.17
146,0,01313,Steve Elkington,7.35,10,136,-0.40
147,0,01549,Mike Hulbert,7.29,7,96,E
148,0,20498,Briny Baird,7.28,15,206,-0.40
149,0,06515,Shaun Micheel,7.07,13,184,-0.08
150,0,12663,Phil Tataurangi,7.05,11,156,E
151,0,01374,Robin Freeman,6.94,10,144,+0.20
152,0,24925,Jonathan Byrd,6.82,12,176,-0.17
153,0,23322,Brett Wetterich,6.79,11,162,-0.18
154,0,23800,Bryce Molder,6.78,8,118,-0.25
155,0,08375,Paul Stankowski,6.74,12,178,-0.17
156,0,20098,Stuart Appleby,6.67,10,150,-0.50
157,0,06617,Brian Henninger,6.45,8,124,E
158,0,06595,Kevin Sutherland,6.25,9,144,E
159,0,01685,J.L. Lewis,6.18,11,178,-0.45
160,0,01771,Blaine McCallister,6.06,8,132,E
161,0,01157,Tom Byrum,5.97,8,134,-0.25
162,0,11032,Frank Lickliter II,5.92,9,152,-0.11
163,0,12753,David Morland IV,5.66,6,106,-0.17
164,0,21805,Harrison Frazar,5.56,9,162,-0.11
165,0,08075,Jerry Kelly,5.42,9,166,E
166,0,01797,Rocco Mediate,5.36,6,112,E
167,0,06016,Brad Lardon,4.90,5,102,+0.80
168,0,01307,Joel Edwards,4.84,9,186,-0.11
169,0,10585,Scott McCarron,4.55,7,154,E
170,0,20566,Kaname Yokoo,4.48,6,134,-0.17
171,0,21259,Jason Hill,4.46,5,112,+0.40
172,0,01514,Eduardo Herrera,4.31,5,116,+0.80
173,0,20029,Notah Begay III,4.29,6,140,+1.00
174,0,21949,Joe Ogilvie,4.26,4,94,+0.50
175,0,20105,Jeff Gove,4.17,7,168,+0.29
176,0,02322,Richard Zokol,4.08,4,98,+0.25
177,0,07003,David Berganio Jr.,4.05,6,148,+0.50
