RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL HIT,TOTAL ATTEMPTS,RTP SCORE
1,0,34265,Will Wilcox,80.05,590,737,-168.00
2,0,31557,Jim Herman,79.37,1100,1386,-280.00
3,0,28089,Jason Day,78.95,810,1026,-312.00
4,0,25804,Bubba Watson,78.75,793,1007,-281.00
5,0,20229,Stewart Cink,78.69,934,1187,-238.00
6,0,25364,Paul Casey,78.29,887,1133,-261.00
7,0,21528,Henrik Stenson,78.16,619,792,-184.00
8,0,25900,Lucas Glover,78.09,1012,1296,-235.00
9,0,27214,Kevin Streelman,77.85,1023,1314,-270.00
10,0,26476,Chez Reavie,77.64,698,899,-172.00
11,0,29518,Brendan Steele,77.62,1061,1367,-326.00
12,0,33448,Justin Thomas,77.23,1333,1726,-429.00
13,0,33122,Russell Knox,77.20,1209,1566,-321.00
14,0,10809,Jim Furyk,77.14,722,936,-191.00
15,0,28500,Martin Flores,77.06,1095,1421,-262.00
16,0,29725,Tony Finau,77.03,1274,1654,-419.00
17,0,34264,Hudson Swafford,76.84,1148,1494,-358.00
18,0,21961,Charles Howell III,76.82,1369,1782,-360.00
19,0,24924,Bill Haas,76.78,979,1275,-237.00
20,0,32839,Hideki Matsuyama,76.75,967,1260,-316.00
21,0,30946,Alex Prugh,76.62,993,1296,-268.00
22,0,22405,Justin Rose,76.50,674,881,-223.00
23,0,33413,Ben Martin,76.48,1060,1386,-313.00
24,0,26951,Johnson Wagner,76.17,780,1024,-195.00
25,0,25198,Francesco Molinari,76.10,589,774,-141.00
26,0,29221,Webb Simpson,76.02,875,1151,-235.00
27,0,23353,J.J. Henry,75.95,1039,1368,-224.00
28,0,30944,Jason Kokrak,75.82,1091,1439,-306.00
29,0,35541,John Peterson,75.76,1050,1386,-259.00
30,0,29420,Billy Horschel,75.72,995,1314,-302.00
31,0,28023,Byron Smith,75.71,586,774,-127.00
32,0,33418,Shawn Stefani,75.63,1198,1584,-339.00
33,0,27095,Nick Watney,75.58,1102,1458,-287.00
34,0,28486,Michael Putnam,75.57,925,1224,-199.00
35,0,40026,Daniel Berger,75.54,1127,1492,-313.00
35,0,26289,Boo Weekley,75.54,911,1206,-250.00
37,0,27466,Spencer Levin,75.50,1125,1490,-263.00
38,0,20691,Greg Owen,75.38,542,719,-123.00
39,0,30925,Dustin Johnson,75.23,729,969,-255.00
40,0,24507,Jason Bohn,75.10,1176,1566,-347.00
41,0,37454,Whee Kim,75.07,756,1007,-200.00
42,0,22892,Jason Gore,75.00,783,1044,-223.00
42,0,34098,Russell Henley,75.00,903,1204,-283.00
44,0,24502,Adam Scott,74.83,431,576,-113.00
45,0,22056,Cameron Percy,74.78,780,1043,-221.00
46,0,36699,Patrick Rodgers,74.76,619,828,-194.00
47,0,34431,Robert Streb,74.75,1291,1727,-405.00
48,0,33141,Keegan Bradley,74.74,861,1152,-273.00
49,0,23621,Rory Sabbatini,74.73,887,1187,-244.00
