RANK,MOVEMENT,PLAYER_ID,PLAYER,ROUNDS
1,0,23623,Bo Van Pelt,61
2,0,22293,Heath Slocum,59
3,0,20498,Briny Baird,57
4,0,20850,Daniel Chopra,56
5,0,23718,Nathan Green,55
6,0,28158,Steve Marino,54
6,0,06567,Vijay Singh,54
8,0,20104,Ken Duke,53
8,0,24140,Sean O'Hair,53
10,0,10809,Jim Furyk,52
10,0,21350,Ryuji Imada,52
10,0,27649,Brandt Snedeker,52
13,0,19846,Brian Gay,51
13,0,25345,Carl Pettersson,51
15,0,21753,Brian Davis,50
15,0,07547,Craig Kanada,50
15,0,01766,Billy Mayfair,50
15,0,21949,Joe Ogilvie,50
15,0,01948,Tim Petrovic,50
20,0,12652,Cameron Beckman,49
20,0,08075,Jerry Kelly,49
20,0,12705,Cliff Kresge,49
20,0,23349,Charles Warren,49
24,0,07867,Woody Austin,48
24,0,24357,K.J. Choi,48
24,0,20574,Mathew Goggin,48
24,0,10733,Kent Jones,48
24,0,21959,Ted Purdy,48
24,0,22913,John Rollins,48
30,0,19803,Ryan Armour,47
30,0,20229,Stewart Cink,47
30,0,24490,George McNeill,47
33,0,25900,Lucas Glover,46
33,0,26596,Ryan Moore,46
35,0,01320,Bob Estes,45
35,0,20105,Jeff Gove,45
35,0,20378,Mathias Grönberg,45
35,0,24924,Bill Haas,45
35,0,29718,Anthony Kim,45
35,0,23108,Matt Kuchar,45
35,0,24912,Will MacKenzie,45
35,0,25396,Kevin Na,45
35,0,24361,Pat Perez,45
35,0,01941,Tom Pernice Jr.,45
35,0,25190,Jeff Quinney,45
35,0,23621,Rory Sabbatini,45
35,0,26289,Boo Weekley,45
35,0,20160,Charlie Wi,45
49,0,10885,Robert Allenby,44
49,0,20472,Alex Cejka,44
49,0,01313,Steve Elkington,44
49,0,07457,Steve Flesch,44
49,0,11032,Frank Lickliter II,44
49,0,12660,Jesper Parnevik,44
49,0,06527,Steve Stricker,44
49,0,02223,Bob Tway,44
49,0,26951,Johnson Wagner,44
58,0,22371,Aaron Baddeley,43
58,0,01142,Bart Bryant,43
58,0,24358,Robert Garrigus,43
58,0,12716,Charley Hoffman,43
58,0,27933,John Merrick,43
63,0,01035,Tommy Armour III,42
63,0,21731,Freddie Jacobson,42
63,0,22806,Doug LaBelle II,42
63,0,20382,Stephen Leaney,42
63,0,27060,John Mallinger,42
63,0,24449,Parker McLachlin,42
63,0,20645,John Senden,42
63,0,06595,Kevin Sutherland,42
63,0,23788,D.J. Trahan,42
