RANK,MOVEMENT,PLAYER_ID,PLAYER,%,FAIRWAYS HIT,POSSIBLE FAIRWAYS,RELATIVE TO PAR
1,0,22051,Ben Ferguson,100.00,12,12,+0.08
1,0,01388,Robert Gamez,100.00,4,4,-0.25
1,0,02279,Mark Wiebe,100.00,3,3,E
4,0,22122,Andrew McLardy,90.00,18,20,-0.11
5,0,06613,Tommy Tolles,88.89,8,9,-0.25
6,0,08545,Glen Hnatiuk,87.88,29,33,-0.14
7,0,06140,Sean Murphy,87.50,7,8,E
8,0,19881,Robert Damron,85.00,34,40,-0.29
9,0,01098,Jay Don Blake,84.48,49,58,-0.14
10,0,01381,Fred Funk,84.09,37,44,-0.14
10,0,06515,Shaun Micheel,84.09,37,44,-0.32
12,0,23353,J.J. Henry,83.78,31,37,-0.10
13,0,25083,Jeremy Anderson,83.33,10,12,-0.50
13,0,24604,Hunter Haas,83.33,5,6,E
15,0,01418,Bill Glasson,82.35,28,34,-0.25
16,0,01938,David Peoples,82.14,46,56,-0.37
17,0,08881,Tripp Isenhour,81.82,18,22,-0.39
17,0,06012,Greg Kraft,81.82,45,55,-0.27
19,0,01024,Billy Andrade,81.25,13,16,E
19,0,01487,Jeff Hart,81.25,26,32,-0.19
19,0,06315,Pete Jordan,81.25,26,32,-0.15
19,0,10565,Ian Leggatt,81.25,26,32,-0.15
23,0,08553,Lee Porter,80.77,21,26,-0.24
24,0,06621,Joe Durant,80.49,33,41,-0.33
25,0,07867,Woody Austin,80.00,24,30,-0.21
26,0,01771,Blaine McCallister,79.55,35,44,-0.37
27,0,06617,Brian Henninger,78.95,45,57,-0.11
27,0,08535,Gary Nicklaus,78.95,15,19,-0.13
27,0,01920,Craig Parry,78.95,15,19,-0.13
30,0,10962,Bradley Hughes,78.79,26,33,-0.35
31,0,20574,Mathew Goggin,78.57,33,42,-0.33
31,0,01577,Lee Janzen,78.57,44,56,-0.41
33,0,21961,Charles Howell III,78.18,43,55,-0.33
34,0,01619,Skip Kendall,77.78,42,54,-0.33
35,0,10885,Robert Allenby,77.59,45,58,-0.27
36,0,02239,Scott Verplank,76.92,50,65,-0.18
37,0,01307,Joel Edwards,76.74,33,43,-0.33
38,0,01157,Tom Byrum,76.47,26,34,-0.27
38,0,02206,David Toms,76.47,39,51,-0.33
40,0,01766,Billy Mayfair,76.06,54,71,-0.20
41,0,01666,Bernhard Langer,76.00,38,50,-0.16
42,0,01175,Jim Carter,75.00,39,52,-0.23
42,0,24357,K.J. Choi,75.00,9,12,E
42,0,12782,Tim Herron,75.00,3,4,-0.67
42,0,10733,Kent Jones,75.00,9,12,+0.11
42,0,02002,John Riegger,75.00,36,48,-0.25
42,0,11011,Mike Sposa,75.00,33,44,-0.24
48,0,20098,Stuart Appleby,74.55,41,55,-0.37
48,0,08931,Glen Day,74.55,41,55,-0.15
50,0,01226,Fred Couples,74.19,23,31,-0.09
51,0,19972,José Coceres,73.68,42,57,-0.05
51,0,01553,John Huston,73.68,14,19,-0.14
53,0,08339,Spike McRoy,73.53,25,34,-0.24
54,0,20043,Edward Fryatt,73.33,11,15,E
55,0,02218,Ted Tryba,73.17,30,41,-0.33
56,0,01527,Scott Hoch,72.97,27,37,-0.11
57,0,21633,Steve Allan,72.73,8,11,-0.50
57,0,08063,Kelly Grunewald,72.73,8,11,-0.13
57,0,06514,Kevin Johnson,72.73,8,11,-0.25
57,0,10213,Dicky Pride,72.73,16,22,-0.19
61,0,01761,Len Mattiace,72.00,18,25,-0.22
62,0,01139,Olin Browne,71.43,30,42,-0.33
62,0,12680,Shigeki Maruyama,71.43,25,35,-0.60
64,0,01035,Tommy Armour III,71.11,32,45,-0.19
65,0,20099,Doug Barron,70.59,12,17,-0.25
65,0,06036,Scott Dunlap,70.59,12,17,-0.33
65,0,08633,Per-Ulrik Johansson,70.59,24,34,-0.50
65,0,07547,Craig Kanada,70.59,12,17,-0.33
65,0,01724,Jeff Maggert,70.59,24,34,-0.17
65,0,02246,Duffy Waldorf,70.59,12,17,-0.17
71,0,20095,Carl Paulson,70.45,31,44,-0.26
71,0,20566,Kaname Yokoo,70.45,31,44,-0.39
73,0,02110,Jerry Smith,70.27,26,37,-0.42
74,0,02245,Grant Waite,70.00,28,40,-0.25
