RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# HIT,TOTAL ATTEMPTS
1,0,06621,Joe Durant,89.89,1005,1118
2,0,08545,Glen Hnatiuk,89.16,1258,1411
3,0,01219,John Cook,89.02,1095,1230
4,0,02214,Kirk Triplett,88.82,1033,1163
5,0,02170,Hal Sutton,88.58,1179,1331
6,0,01139,Olin Browne,88.52,1187,1341
7,0,23034,Brent Schwarzrock,88.05,774,879
8,0,21961,Charles Howell III,88.03,1044,1186
9,0,01475,Donnie Hammond,87.55,619,707
10,0,02223,Bob Tway,87.42,1292,1478
11,0,10962,Bradley Hughes,87.11,1142,1311
11,0,01619,Skip Kendall,87.11,1311,1505
13,0,01381,Fred Funk,87.10,1425,1636
14,0,10457,Frank Nobilo,87.04,1081,1242
15,0,01920,Craig Parry,86.96,767,882
16,0,06573,Brandt Jobe,86.72,1136,1310
17,0,06004,Stephen Ames,86.71,1018,1174
18,0,01945,Kenny Perry,86.69,1075,1240
19,0,01307,Joel Edwards,86.68,1197,1381
20,0,01487,Jeff Hart,86.67,1027,1185
21,0,01938,David Peoples,86.59,1124,1298
22,0,01014,Fulton Allem,86.57,677,782
23,0,01797,Rocco Mediate,86.47,837,968
24,0,19846,Brian Gay,86.40,1353,1566
25,0,07003,David Berganio Jr.,86.39,882,1021
26,0,01771,Blaine McCallister,86.36,962,1114
27,0,20498,Briny Baird,86.35,1240,1436
28,0,01175,Jim Carter,86.32,1224,1418
29,0,10585,Scott McCarron,86.29,1133,1313
29,0,06078,Esteban Toledo,86.29,1372,1590
31,0,06315,Pete Jordan,86.28,1239,1436
32,0,02106,Chris Smith,86.23,1165,1351
33,0,01457,Jay Haas,86.21,863,1001
34,0,02002,John Riegger,86.17,1009,1171
35,0,08123,Jeff Brehaut,86.14,926,1075
36,0,08553,Lee Porter,86.06,1080,1255
37,0,01677,Tom Lehman,85.94,941,1095
38,0,23614,Rich Beem,85.89,1065,1240
39,0,19881,Robert Damron,85.80,1088,1268
40,0,23353,J.J. Henry,85.74,1004,1171
41,0,01943,Chris Perry,85.73,931,1086
42,0,12652,Cameron Beckman,85.71,1182,1379
43,0,01203,Russ Cochran,85.69,874,1020
44,0,10809,Jim Furyk,85.66,1057,1234
45,0,06332,Neal Lancaster,85.65,1253,1463
45,0,01823,Larry Mize,85.65,883,1031
47,0,01157,Tom Byrum,85.57,1014,1185
48,0,08931,Glen Day,85.54,1000,1169
49,0,02239,Scott Verplank,85.51,1163,1360
50,0,08339,Spike McRoy,85.32,1081,1267
51,0,07867,Woody Austin,85.27,1129,1324
51,0,10733,Kent Jones,85.27,880,1032
53,0,01035,Tommy Armour III,85.25,1081,1268
54,0,01577,Lee Janzen,85.23,1096,1286
55,0,20127,Chris Riley,85.18,1190,1397
56,0,20094,Jonathan Kaye,85.14,1329,1561
57,0,02206,David Toms,85.13,1145,1345
58,0,21584,Richie Coughlan,85.09,782,919
58,0,12645,Brent Geiberger,85.09,936,1100
60,0,01766,Billy Mayfair,85.05,1189,1398
61,0,01707,Steve Lowery,85.04,1143,1344
62,0,01042,Paul Azinger,85.00,941,1107
62,0,20566,Kaname Yokoo,85.00,963,1133
64,0,20593,Greg Chalmers,84.97,1057,1244
65,0,01418,Bill Glasson,84.95,773,910
66,0,01388,Robert Gamez,84.90,697,821
67,0,01527,Scott Hoch,84.80,993,1171
68,0,01098,Jay Don Blake,84.67,1132,1337
69,0,06036,Scott Dunlap,84.62,935,1105
69,0,06643,Paul Goydos,84.62,990,1170
71,0,08075,Jerry Kelly,84.58,1190,1407
72,0,11011,Mike Sposa,84.55,1100,1301
73,0,25083,Jeremy Anderson,84.53,814,963
73,0,06809,Bob Burns,84.53,1049,1241
75,0,02257,Brian Watts,84.49,659,780
76,0,06012,Greg Kraft,84.48,1203,1424
77,0,10565,Ian Leggatt,84.47,990,1172
78,0,08633,Per-Ulrik Johansson,84.45,945,1119
79,0,10213,Dicky Pride,84.36,917,1087
80,0,20095,Carl Paulson,84.33,1098,1302
81,0,12388,Michael Clark II,84.29,1003,1190
82,0,01132,Mark Brooks,84.21,1035,1229
83,0,02110,Jerry Smith,84.06,1113,1324
84,0,19824,Craig Barlow,84.05,843,1003
85,0,19972,José Coceres,83.96,670,798
85,0,22892,Jason Gore,83.96,937,1116
87,0,21805,Harrison Frazar,83.92,981,1169
88,0,20433,Mark Hensby,83.85,831,991
88,0,10860,Justin Leonard,83.85,1163,1387
90,0,08375,Paul Stankowski,83.81,1030,1229
91,0,08881,Tripp Isenhour,83.80,1040,1241
