RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL MISSED,TOTAL FWYS,RELATIVE TO PAR
1,0,21633,Steve Allan,.00,0,11,E
1,0,01014,Fulton Allem,.00,0,32,E
1,0,25083,Jeremy Anderson,.00,0,12,E
1,0,01024,Billy Andrade,.00,0,16,E
1,0,20098,Stuart Appleby,.00,0,55,E
1,0,01035,Tommy Armour III,.00,0,45,E
1,0,20498,Briny Baird,.00,0,40,E
1,0,20099,Doug Barron,.00,0,17,E
1,0,23614,Rich Beem,.00,0,4,E
1,0,07003,David Berganio Jr.,.00,0,25,E
1,0,01098,Jay Don Blake,.00,0,58,E
1,0,01132,Mark Brooks,.00,0,27,E
1,0,01157,Tom Byrum,.00,0,34,E
1,0,01161,Mark Calcavecchia,.00,0,32,E
1,0,01175,Jim Carter,.00,0,52,E
1,0,01185,Brandel Chamblee,.00,0,11,E
1,0,24357,K.J. Choi,.00,0,12,E
1,0,01200,Keith Clearwater,.00,0,9,E
1,0,19972,José Coceres,.00,0,57,E
1,0,21584,Richie Coughlan,.00,0,9,E
1,0,01249,John Daly,.00,0,23,E
1,0,19881,Robert Damron,.00,0,40,E
1,0,06034,Marco Dawson,.00,0,26,E
1,0,07763,Doug Dunakey,.00,0,22,E
1,0,06036,Scott Dunlap,.00,0,17,E
1,0,06621,Joe Durant,.00,0,41,E
1,0,01307,Joel Edwards,.00,0,43,E
1,0,06522,Ernie Els,.00,0,39,E
1,0,22051,Ben Ferguson,.00,0,12,E
1,0,12823,Carlos Franco,.00,0,24,E
1,0,01374,Robin Freeman,.00,0,23,E
1,0,01378,David Frost,.00,0,36,E
1,0,20043,Edward Fryatt,.00,0,15,E
1,0,01381,Fred Funk,.00,0,44,E
1,0,10809,Jim Furyk,.00,0,42,E
1,0,01388,Robert Gamez,.00,0,4,E
1,0,12645,Brent Geiberger,.00,0,34,E
1,0,01418,Bill Glasson,.00,0,34,E
1,0,20574,Mathew Goggin,.00,0,42,E
1,0,22892,Jason Gore,.00,0,21,E
1,0,21806,Paul Gow,.00,0,15,E
1,0,23353,J.J. Henry,.00,0,37,E
1,0,20433,Mark Hensby,.00,0,6,E
1,0,12782,Tim Herron,.00,0,4,E
1,0,21007,Gabriel Hjertstedt,.00,0,21,E
1,0,08545,Glen Hnatiuk,.00,0,33,E
