RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL LEFT ROUGH,POSSIBLE FWYS,RELATIVE TO PAR
1,0,25083,Jeremy Anderson,.00,0,12,E
1,0,24357,K.J. Choi,.00,0,12,E
1,0,22051,Ben Ferguson,.00,0,12,E
1,0,01388,Robert Gamez,.00,0,4,E
1,0,08063,Kelly Grunewald,.00,0,11,E
1,0,24604,Hunter Haas,.00,0,6,E
1,0,06514,Kevin Johnson,.00,0,11,E
1,0,06090,Jim McGovern,.00,0,3,E
1,0,01943,Chris Perry,.00,0,12,E
1,0,06613,Tommy Tolles,.00,0,9,E
1,0,02279,Mark Wiebe,.00,0,3,E
12,0,06515,Shaun Micheel,2.27,1,44,E
13,0,06621,Joe Durant,2.44,1,41,E
14,0,23353,J.J. Henry,2.70,1,37,+1.00
15,0,01157,Tom Byrum,2.94,1,34,E
15,0,01418,Bill Glasson,2.94,1,34,E
17,0,06315,Pete Jordan,3.13,1,32,-1.00
18,0,08553,Lee Porter,3.85,1,26,-1.00
19,0,02206,David Toms,3.92,2,51,E
20,0,01761,Len Mattiace,4.00,1,25,E
20,0,02214,Kirk Triplett,4.00,1,25,E
22,0,01249,John Daly,4.35,1,23,E
23,0,22122,Andrew McLardy,5.00,1,20,+1.00
24,0,01098,Jay Don Blake,5.17,3,58,+0.33
25,0,01920,Craig Parry,5.26,1,19,E
26,0,06036,Scott Dunlap,5.88,1,17,E
27,0,07867,Woody Austin,6.67,2,30,E
27,0,19846,Brian Gay,6.67,2,30,+0.50
29,0,01381,Fred Funk,6.82,3,44,E
30,0,10885,Robert Allenby,6.90,4,58,+0.75
30,0,10585,Scott McCarron,6.90,4,58,E
32,0,06617,Brian Henninger,7.02,4,57,E
33,0,20498,Briny Baird,7.50,3,40,E
33,0,19881,Robert Damron,7.50,3,40,E
33,0,02245,Grant Waite,7.50,3,40,-0.67
36,0,06034,Marco Dawson,7.69,2,26,E
37,0,01666,Bernhard Langer,8.00,4,50,E
37,0,02099,Scott Simpson,8.00,2,25,+0.50
39,0,01527,Scott Hoch,8.11,3,37,+1.00
40,0,10201,Matt Gogel,8.70,2,23,+0.50
40,0,10649,Tom Scherrer,8.70,2,23,E
42,0,01724,Jeff Maggert,8.82,3,34,-0.67
43,0,01577,Lee Janzen,8.93,5,56,E
43,0,01677,Tom Lehman,8.93,5,56,-0.20
43,0,01938,David Peoples,8.93,5,56,-0.20
46,0,21633,Steve Allan,9.09,1,11,E
46,0,01185,Brandel Chamblee,9.09,1,11,E
46,0,21961,Charles Howell III,9.09,5,55,-0.40
46,0,10962,Bradley Hughes,9.09,3,33,E
46,0,08881,Tripp Isenhour,9.09,2,22,+0.50
46,0,06573,Brandt Jobe,9.09,2,22,-0.50
46,0,20094,Jonathan Kaye,9.09,3,33,-0.33
46,0,06012,Greg Kraft,9.09,5,55,-0.60
46,0,01771,Blaine McCallister,9.09,4,44,-0.25
46,0,22046,Geoff Ogilvy,9.09,2,22,E
46,0,12714,Chris Tidland,9.09,1,11,+1.00
57,0,01619,Skip Kendall,9.26,5,54,+0.40
58,0,01307,Joel Edwards,9.30,4,43,E
59,0,01014,Fulton Allem,9.38,3,32,-0.33
59,0,01487,Jeff Hart,9.38,3,32,-0.33
59,0,10565,Ian Leggatt,9.38,3,32,E
59,0,02010,Loren Roberts,9.38,3,32,+0.33
59,0,20436,Garrett Willis,9.38,3,32,E
64,0,21007,Gabriel Hjertstedt,9.52,2,21,E
65,0,01226,Fred Couples,9.68,3,31,-0.33
66,0,02218,Ted Tryba,9.76,4,41,+0.50
67,0,01766,Billy Mayfair,9.86,7,71,+0.14
68,0,21209,Sergio Garcia,10.26,4,39,+0.25
69,0,02002,John Riegger,10.42,5,48,-0.20
70,0,19972,José Coceres,10.53,6,57,-0.50
71,0,01941,Tom Pernice Jr.,10.64,5,47,E
72,0,02239,Scott Verplank,10.77,7,65,-0.29
73,0,08793,Tiger Woods,10.87,5,46,-0.20
74,0,08931,Glen Day,10.91,6,55,-0.17
