RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,GIR PUTTS,GREENS HIT,BIRDIE CONVERSION
1,0,23983,Luke Donald,1.700,1380,812,34.11
2,0,06527,Steve Stricker,1.710,1402,820,35.33
3,0,32102,Rickie Fowler,1.723,1620,940,33.69
4,0,25396,Kevin Na,1.724,1591,923,33.12
5,0,25562,Andres Romero,1.727,1478,856,34.47
5,0,27649,Brandt Snedeker,1.727,1715,993,32.52
7,0,23800,Bryce Molder,1.730,1619,936,31.84
8,0,29221,Webb Simpson,1.731,2133,1232,33.28
9,0,20593,Greg Chalmers,1.732,1642,948,29.26
10,0,23108,Matt Kuchar,1.735,1841,1061,31.86
11,0,28089,Jason Day,1.737,1482,853,33.80
12,0,27095,Nick Watney,1.738,1611,927,33.26
13,0,21731,Freddie Jacobson,1.739,1671,961,30.94
14,0,22371,Aaron Baddeley,1.741,1539,884,32.99
14,0,25274,Steven Bowditch,1.741,1635,939,33.80
16,0,25345,Carl Pettersson,1.744,1920,1101,31.42
17,0,07457,Steve Flesch,1.747,1581,905,31.08
17,0,01577,Lee Janzen,1.747,1111,636,31.17
19,0,23638,Brendon de Jonge,1.748,2112,1208,30.49
20,0,11123,Chris Couch,1.749,1494,854,32.16
20,0,22046,Geoff Ogilvy,1.749,1301,744,32.53
20,0,02206,David Toms,1.749,1635,935,29.65
23,0,10505,Shane Bertsch,1.750,1136,649,29.77
24,0,30926,Chris Kirk,1.751,1828,1044,31.03
24,0,24781,Hunter Mahan,1.751,1930,1102,32.36
24,0,21949,Joe Ogilvie,1.751,1322,755,31.21
27,0,25900,Lucas Glover,1.754,1540,878,30.67
27,0,20160,Charlie Wi,1.754,1668,951,30.60
29,0,19846,Brian Gay,1.755,1723,982,29.08
29,0,24361,Pat Perez,1.755,1571,895,31.28
31,0,24490,George McNeill,1.756,1238,705,30.00
31,0,26596,Ryan Moore,1.756,1491,849,30.46
31,0,23325,Vaughn Taylor,1.756,1858,1058,28.76
34,0,21753,Brian Davis,1.757,2237,1273,30.19
35,0,24024,Zach Johnson,1.758,1638,932,29.11
36,0,30925,Dustin Johnson,1.759,1537,874,33.41
37,0,27936,Martin Laird,1.761,1604,911,31.57
37,0,27939,Matt McQuillan,1.761,1092,620,28.80
37,0,24138,Ian Poulter,1.761,1060,602,29.12
40,0,29910,Blake Adams,1.762,2326,1320,30.07
40,0,27141,J.B. Holmes,1.762,1117,634,33.54
40,0,26300,Matt Jones,1.762,1404,797,30.19
40,0,29718,Anthony Kim,1.762,1387,787,31.13
44,0,12716,Charley Hoffman,1.763,1950,1106,32.24
44,0,27974,Sung Kang,1.763,1213,688,28.55
46,0,21407,Arjun Atwal,1.767,1831,1036,29.57
46,0,33141,Keegan Bradley,1.767,1824,1032,30.32
46,0,20848,Ángel Cabrera,1.767,935,529,32.51
46,0,22961,David Mathis,1.767,1574,891,29.21
50,0,24925,Jonathan Byrd,1.768,1713,969,29.50
50,0,24604,Hunter Haas,1.768,1940,1097,29.84
50,0,28158,Steve Marino,1.768,1591,900,31.33
50,0,28475,Jeff Overton,1.768,1869,1057,29.38
54,0,26476,Chez Reavie,1.769,2010,1136,30.16
54,0,30110,Kyle Stanley,1.769,1955,1105,31.45
56,0,07867,Woody Austin,1.770,1129,638,29.51
57,0,29478,Kevin Kisner,1.771,1236,698,28.22
57,0,27770,Camilo Villegas,1.771,1355,765,28.95
59,0,20070,Matt Bettencourt,1.772,1664,939,29.81
59,0,23320,Ryan Palmer,1.772,1627,918,30.53
59,0,25240,D.A. Points,1.772,1843,1040,30.95
59,0,24502,Adam Scott,1.772,1281,723,30.83
59,0,25632,Jimmy Walker,1.772,1611,909,29.03
64,0,01116,Michael Bradley,1.773,1511,852,26.97
64,0,12782,Tim Herron,1.773,1697,957,28.38
64,0,33413,Ben Martin,1.773,1447,816,29.85
64,0,25818,Scott Piercy,1.773,1555,877,31.24
64,0,33911,Nate Smith,1.773,1179,665,27.75
69,0,12652,Cameron Beckman,1.774,1352,762,29.74
69,0,30750,Tommy Gainey,1.774,2139,1206,30.56
69,0,35087,Bio Kim,1.774,1235,696,30.26
69,0,22348,Nick O'Hern,1.774,1809,1020,27.21
69,0,32150,Michael Thompson,1.774,1522,858,28.44
74,0,24507,Jason Bohn,1.775,1505,848,28.81
74,0,24924,Bill Haas,1.775,2041,1150,29.06
74,0,28620,Aron Price,1.775,1115,628,29.30
77,0,20157,Retief Goosen,1.776,1009,568,30.69
77,0,19970,Robert Karlsson,1.776,1195,673,30.46
77,0,25572,Graeme McDowell,1.776,993,559,29.57
80,0,21350,Ryuji Imada,1.777,1706,960,28.57
80,0,08075,Jerry Kelly,1.777,1695,954,27.23
80,0,01948,Tim Petrovic,1.777,1670,940,28.40
80,0,12602,Dean Wilson,1.777,1242,699,27.26
84,0,10585,Scott McCarron,1.778,1186,667,28.72
84,0,01810,Phil Mickelson,1.778,1650,928,31.46
84,0,20436,Garrett Willis,1.778,1422,800,28.29
87,0,06251,Chris DiMarco,1.779,1855,1043,27.76
87,0,21209,Sergio Garcia,1.779,1306,734,27.63
87,0,28679,Fabián Gómez,1.779,1587,892,28.07
87,0,27330,Josh Teater,1.779,2099,1180,29.54
87,0,24663,Y.E. Yang,1.779,1181,664,30.12
92,0,27120,Troy Matteson,1.780,1830,1028,28.84
92,0,20572,Rod Pampling,1.780,1351,759,28.12
92,0,26331,Charl Schwartzel,1.780,1184,665,30.06
