RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL 1ST TEE LATE ROUNDS
1,0,20157,Retief Goosen,69.53,2086,30
2,0,01142,Bart Bryant,69.54,1669,24
3,0,20645,John Senden,69.56,1878,27
4,0,06522,Ernie Els,69.59,2366,34
5,0,21805,Harrison Frazar,69.63,2089,30
6,0,06567,Vijay Singh,69.70,3764,54
7,0,01320,Bob Estes,69.76,1465,21
8,0,01810,Phil Mickelson,69.79,2722,39
9,0,01677,Tom Lehman,69.81,1466,21
10,0,23621,Rory Sabbatini,69.84,2165,31
11,0,12823,Carlos Franco,69.88,1817,26
12,0,06621,Joe Durant,69.89,1957,28
13,0,19881,Robert Damron,69.96,1819,26
14,0,06004,Stephen Ames,69.98,2939,42
15,0,08075,Jerry Kelly,70.00,3150,45
16,0,08793,Tiger Woods,70.02,2871,41
17,0,01381,Fred Funk,70.03,2801,40
17,0,01945,Kenny Perry,70.03,2381,34
19,0,12645,Brent Geiberger,70.09,2453,35
19,0,12660,Jesper Parnevik,70.09,2383,34
21,0,20433,Mark Hensby,70.10,2734,39
22,0,06595,Kevin Sutherland,70.13,1613,23
23,0,23325,Vaughn Taylor,70.20,2106,30
23,0,02239,Scott Verplank,70.20,3159,45
25,0,01249,John Daly,70.21,2036,29
26,0,10733,Kent Jones,70.23,1826,26
27,0,23623,Bo Van Pelt,70.26,2951,42
28,0,02206,David Toms,70.28,2038,29
29,0,02214,Kirk Triplett,70.33,2743,39
30,0,07867,Woody Austin,70.34,2040,29
30,0,10201,Matt Gogel,70.34,2673,38
32,0,01139,Olin Browne,70.36,1970,28
33,0,20229,Stewart Cink,70.38,2745,39
34,0,11032,Frank Lickliter II,70.39,2182,31
35,0,02010,Loren Roberts,70.48,2185,31
36,0,20663,Brenden Pappas,70.50,1833,26
37,0,01685,J.L. Lewis,70.51,2609,37
38,0,10885,Robert Allenby,70.59,2400,34
38,0,22548,Patrick Sheehan,70.59,2259,32
40,0,01024,Billy Andrade,70.60,1765,25
41,0,12510,Chad Campbell,70.63,1907,27
42,0,01157,Tom Byrum,70.65,1625,23
42,0,20850,Daniel Chopra,70.65,2614,37
44,0,21633,Steve Allan,70.66,2049,29
44,0,23983,Luke Donald,70.66,2049,29
44,0,20628,Arron Oberholser,70.66,2049,29
47,0,22046,Geoff Ogilvy,70.67,2120,30
47,0,24502,Adam Scott,70.67,1696,24
49,0,23320,Ryan Palmer,70.68,2403,34
50,0,10423,Mike Weir,70.69,2050,29
51,0,01388,Robert Gamez,70.71,2192,31
51,0,01553,John Huston,70.71,1202,17
53,0,25396,Kevin Na,70.72,2263,32
54,0,24507,Jason Bohn,70.74,1627,23
54,0,21209,Sergio Garcia,70.74,2688,38
56,0,01127,Danny Briggs,70.76,1203,17
56,0,01724,Jeff Maggert,70.76,1769,25
58,0,06251,Chris DiMarco,70.79,2973,42
59,0,01927,Dennis Paulson,70.80,1770,25
60,0,20029,Notah Begay III,70.83,1275,18
60,0,25686,Jason Dufner,70.83,1700,24
62,0,20498,Briny Baird,70.84,2267,32
62,0,23135,Tim Clark,70.84,2196,31
62,0,10585,Scott McCarron,70.84,2196,31
62,0,25345,Carl Pettersson,70.84,2267,32
66,0,24024,Zach Johnson,70.86,3472,49
67,0,19824,Craig Barlow,70.88,2410,34
67,0,08385,Omar Uresti,70.88,1772,25
67,0,02246,Duffy Waldorf,70.88,2339,33
70,0,01527,Scott Hoch,70.89,1276,18
71,0,01457,Jay Haas,70.90,2198,31
71,0,20580,Andre Stolz,70.90,709,10
73,0,20098,Stuart Appleby,70.93,2128,30
74,0,12652,Cameron Beckman,70.94,2483,35
75,0,07721,Pat Bates,70.96,1845,26
75,0,23552,Hank Kuehne,70.96,1916,27
75,0,22293,Heath Slocum,70.96,1703,24
78,0,01666,Bernhard Langer,71.00,1065,15
78,0,22405,Justin Rose,71.00,1775,25
80,0,01261,Jay Delsing,71.04,1634,23
80,0,01887,Mark O'Meara,71.04,1634,23
82,0,10107,Deane Pappas,71.05,1563,22
83,0,23353,J.J. Henry,71.06,2203,31
84,0,12782,Tim Herron,71.07,2061,29
84,0,20572,Rod Pampling,71.07,2132,30
84,0,21959,Ted Purdy,71.07,2914,41
87,0,20121,Todd Fischer,71.09,1635,23
88,0,20593,Greg Chalmers,71.10,1493,21
88,0,23541,Ben Crane,71.10,2062,29
88,0,26420,Richard Johnson,71.10,2204,31
91,0,01968,Nick Price,71.11,1280,18
92,0,12680,Shigeki Maruyama,71.13,2703,38
93,0,01035,Tommy Armour III,71.14,1494,21
93,0,06332,Neal Lancaster,71.14,2561,36
95,0,01473,Todd Hamilton,71.15,2348,33
95,0,21949,Joe Ogilvie,71.15,2348,33
97,0,01707,Steve Lowery,71.16,1779,25
98,0,06197,Michael Allen,71.17,1708,24
99,0,01706,Davis Love III,71.18,2420,34
100,0,02223,Bob Tway,71.19,2207,31
101,0,21731,Freddie Jacobson,71.21,1994,28
101,0,02002,John Riegger,71.21,1353,19
103,0,07363,Craig Bowden,71.25,2280,32
104,0,08931,Glen Day,71.26,1639,23
105,0,01219,John Cook,71.27,1069,15
105,0,07749,Brett Quigley,71.27,2637,37
107,0,01938,David Peoples,71.31,2282,32
107,0,02106,Chris Smith,71.31,2282,32
109,0,01941,Tom Pernice Jr.,71.32,2211,31
110,0,21961,Charles Howell III,71.33,2782,39
110,0,24361,Pat Perez,71.33,1498,21
112,0,22371,Aaron Baddeley,71.35,1855,26
112,0,01329,Brad Faxon,71.35,1855,26
114,0,20472,Alex Cejka,71.36,1998,28
114,0,02049,Gene Sauers,71.36,1784,25
116,0,10860,Justin Leonard,71.39,2213,31
116,0,01928,Corey Pavin,71.39,1999,28
118,0,26287,Roland Thatcher,71.40,1785,25
119,0,24357,K.J. Choi,71.41,2428,34
120,0,02104,Jeff Sluman,71.42,2714,38
120,0,20548,Hidemichi Tanaka,71.42,1857,26
120,0,10425,Jay Williamson,71.42,2214,31
123,0,25900,Lucas Glover,71.43,2000,28
124,0,08537,J.P. Hayes,71.44,1286,18
124,0,08881,Tripp Isenhour,71.44,1286,18
124,0,01577,Lee Janzen,71.44,2286,32
124,0,01619,Skip Kendall,71.44,2286,32
128,0,19846,Brian Gay,71.46,2644,37
129,0,12602,Dean Wilson,71.48,1930,27
130,0,01161,Mark Calcavecchia,71.50,1716,24
130,0,23063,Scott Hend,71.50,1859,26
130,0,24781,Hunter Mahan,71.50,2288,32
133,0,20094,Jonathan Kaye,71.56,1789,25
134,0,06373,José María Olazábal,71.58,1360,19
135,0,01361,Dan Forsman,71.59,1575,22
136,0,23108,Matt Kuchar,71.60,1790,25
137,0,07223,Brian Bateman,71.61,2005,28
137,0,06809,Bob Burns,71.61,2005,28
137,0,06575,Dudley Hart,71.61,1289,18
