RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL PUTTS,TOTAL ROUNDS
1,0,01748,Doug Martin,27.17,163,6
2,0,12661,Todd Barranger,27.43,192,7
3,0,01235,Ben Crenshaw,27.50,495,18
4,0,01161,Mark Calcavecchia,27.56,441,16
5,0,06609,Rob Boldt,27.57,193,7
6,0,01414,Bob Gilder,27.58,331,12
7,0,01378,David Frost,27.59,469,17
8,0,01096,Phil Blackmar,27.67,83,3
8,0,06016,Brad Lardon,27.67,166,6
10,0,02322,Richard Zokol,27.70,277,10
11,0,01876,Greg Norman,27.92,363,13
11,0,02239,Scott Verplank,27.92,335,12
13,0,01810,Phil Mickelson,28.00,420,15
13,0,02067,Ted Schulz,28.00,224,8
15,0,01116,Michael Bradley,28.07,393,14
16,0,06012,Greg Kraft,28.08,365,13
17,0,06791,Mark Wurtz,28.09,309,11
18,0,01945,Kenny Perry,28.11,534,19
19,0,01072,Chip Beck,28.13,422,15
20,0,02230,Stan Utley,28.14,197,7
21,0,06577,John Wilson,28.25,339,12
22,0,01132,Mark Brooks,28.33,595,21
22,0,01282,Trevor Dodds,28.33,255,9
24,0,06034,Marco Dawson,28.36,312,11
24,0,01823,Larry Mize,28.36,397,14
26,0,02159,Curtis Strange,28.38,454,16
27,0,01329,Brad Faxon,28.45,569,20
28,0,01024,Billy Andrade,28.47,484,17
28,0,01553,John Huston,28.47,484,17
30,0,06214,Guy Boros,28.50,456,16
30,0,02007,Larry Rinker,28.50,285,10
30,0,02225,Howard Twitty,28.50,456,16
33,0,01771,Blaine McCallister,28.53,542,19
34,0,01139,Olin Browne,28.54,371,13
34,0,01331,Rick Fehr,28.54,371,13
36,0,12663,Phil Tataurangi,28.56,257,9
37,0,01928,Corey Pavin,28.57,400,14
38,0,01510,Nolan Henke,28.58,343,12
38,0,06657,Steve Rintoul,28.58,343,12
40,0,02131,Mike Springer,28.59,486,17
41,0,01093,Ronnie Black,28.62,372,13
41,0,01385,Jim Gallagher Jr.,28.62,372,13
41,0,01824,Yoshinori Mizumaki,28.62,372,13
44,0,06567,Vijay Singh,28.64,401,14
45,0,02218,Ted Tryba,28.65,573,20
46,0,06088,Steve Gotsche,28.67,172,6
46,0,06332,Neal Lancaster,28.67,516,18
48,0,01475,Donnie Hammond,28.69,459,16
48,0,01755,Dick Mast,28.69,373,13
50,0,06809,Bob Burns,28.70,287,10
51,0,01129,Bill Britton,28.75,345,12
51,0,01313,Steve Elkington,28.75,345,12
51,0,10809,Jim Furyk,28.75,460,16
51,0,02033,Dave Rummells,28.75,460,16
55,0,01457,Jay Haas,28.76,604,21
56,0,06643,Paul Goydos,28.79,547,19
57,0,06527,Steve Stricker,28.80,576,20
58,0,01968,Nick Price,28.82,317,11
58,0,02095,Larry Silveira,28.82,317,11
60,0,01014,Fulton Allem,28.85,375,13
61,0,02321,Fuzzy Zoeller,28.86,404,14
62,0,06197,Michael Allen,28.88,462,16
62,0,01701,Bob Lohr,28.88,462,16
62,0,02303,Robert Wrenn,28.88,231,8
65,0,01495,Morris Hatalsky,28.92,376,13
65,0,06128,Steve Lamontagne,28.92,376,13
67,0,01418,Bill Glasson,28.93,405,14
68,0,01724,Jeff Maggert,28.94,492,17
69,0,01226,Fred Couples,29.00,319,11
69,0,01783,Mark McCumber,29.00,522,18
69,0,02167,Mike Sullivan,29.00,232,8
69,0,02201,Jim Thorpe,29.00,377,13
73,0,01185,Brandel Chamblee,29.06,465,16
73,0,01723,Andrew Magee,29.06,523,18
75,0,02206,David Toms,29.08,378,13
76,0,01098,Jay Don Blake,29.11,524,18
76,0,01266,Clark Dennis,29.11,524,18
78,0,01559,Hale Irwin,29.13,437,15
78,0,02010,Loren Roberts,29.13,437,15
78,0,02242,Lanny Wadkins,29.13,233,8
81,0,01890,Brett Ogle,29.14,204,7
