RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL RNDS
1,0,29221,Webb Simpson,60
2,0,27466,Spencer Levin,50
3,0,23108,Matt Kuchar,48
4,0,21961,Charles Howell III,47
5,0,23638,Brendon de Jonge,46
5,0,31323,Gary Woodland,46
7,0,29910,Blake Adams,45
8,0,08075,Jerry Kelly,43
9,0,21753,Brian Davis,41
9,0,06573,Brandt Jobe,41
9,0,31202,William McGirt,41
9,0,25345,Carl Pettersson,41
9,0,30110,Kyle Stanley,41
14,0,24924,Bill Haas,40
14,0,02206,David Toms,40
14,0,33419,Cameron Tringale,40
14,0,23623,Bo Van Pelt,40
18,0,12510,Chad Campbell,39
18,0,25396,Kevin Na,39
18,0,06527,Steve Stricker,39
21,0,28087,Kris Blanks,38
21,0,30926,Chris Kirk,38
21,0,24781,Hunter Mahan,38
24,0,23983,Luke Donald,37
24,0,30750,Tommy Gainey,37
24,0,26758,David Hearn,37
24,0,01766,Billy Mayfair,37
24,0,27649,Brandt Snedeker,37
29,0,10809,Jim Furyk,36
29,0,21731,Freddie Jacobson,36
29,0,23800,Bryce Molder,36
29,0,06567,Vijay Singh,36
29,0,27330,Josh Teater,36
29,0,27095,Nick Watney,36
35,0,22371,Aaron Baddeley,35
35,0,06251,Chris DiMarco,35
35,0,25686,Jason Dufner,35
35,0,12716,Charley Hoffman,35
35,0,26476,Chez Reavie,35
35,0,22913,John Rollins,35
35,0,27064,Jhonattan Vegas,35
42,0,28089,Jason Day,34
42,0,23353,J.J. Henry,34
42,0,24024,Zach Johnson,34
42,0,01948,Tim Petrovic,34
42,0,23621,Rory Sabbatini,34
42,0,27214,Kevin Streelman,34
42,0,27963,Chris Stroud,34
49,0,24925,Jonathan Byrd,33
49,0,32102,Rickie Fowler,33
49,0,19846,Brian Gay,33
49,0,26851,Marc Leishman,33
49,0,23548,Bill Lunde,33
49,0,27933,John Merrick,33
49,0,20645,John Senden,33
49,0,26679,Kevin Stadler,33
49,0,29518,Brendan Steele,33
58,0,25274,Steven Bowditch,32
58,0,27936,Martin Laird,32
58,0,22961,David Mathis,32
58,0,27120,Troy Matteson,32
58,0,28475,Jeff Overton,32
58,0,23325,Vaughn Taylor,32
58,0,32150,Michael Thompson,32
58,0,21878,Mark Wilson,32
66,0,33141,Keegan Bradley,31
66,0,26596,Ryan Moore,31
66,0,22348,Nick O'Hern,31
66,0,24361,Pat Perez,31
66,0,25804,Bubba Watson,31
71,0,10885,Robert Allenby,30
71,0,20593,Greg Chalmers,30
71,0,11123,Chris Couch,30
71,0,21350,Ryuji Imada,30
71,0,25240,D.A. Points,30
71,0,23497,Tag Ridings,30
71,0,23788,D.J. Trahan,30
71,0,25632,Jimmy Walker,30
79,0,01116,Michael Bradley,29
79,0,21209,Sergio Garcia,29
79,0,24358,Robert Garrigus,29
79,0,12782,Tim Herron,29
79,0,22378,Trevor Immelman,29
79,0,22293,Heath Slocum,29
79,0,20160,Charlie Wi,29
86,0,20070,Matt Bettencourt,28
86,0,01810,Phil Mickelson,28
86,0,20572,Rod Pampling,28
86,0,25562,Andres Romero,28
86,0,26951,Johnson Wagner,28
91,0,06004,Stephen Ames,27
91,0,21407,Arjun Atwal,27
91,0,20498,Briny Baird,27
91,0,25900,Lucas Glover,27
91,0,06643,Paul Goydos,27
91,0,24604,Hunter Haas,27
91,0,21949,Joe Ogilvie,27
91,0,22046,Geoff Ogilvy,27
91,0,25818,Scott Piercy,27
91,0,20127,Chris Riley,27
91,0,22405,Justin Rose,27
91,0,08375,Paul Stankowski,27
91,0,26287,Roland Thatcher,27
104,0,32366,Kevin Chappell,26
104,0,23541,Ben Crane,26
104,0,23718,Nathan Green,26
104,0,10733,Kent Jones,26
108,0,12652,Cameron Beckman,25
108,0,10505,Shane Bertsch,25
108,0,24507,Jason Bohn,25
108,0,23673,Michael Connell,25
