RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR 320+,TOTAL DRIVES - OVERALL,RELATIVE TO PAR
61,0,45157,Cam Davis,16.93%,170,1004,-0.229
62,0,50497,Adrien Dumont de Chassart,16.67%,134,804,-0.149
63,0,32070,Rafael Campos,16.61%,101,608,-0.218
64,0,35310,Lanto Griffin,16.42%,132,804,-0.341
65,0,57975,Harry Hall,16.16%,158,978,-0.354
66,0,33653,Thomas Detry,16.07%,144,896,-0.153
67,0,50188,S.H. Kim,15.89%,198,1246,-0.232
68,0,39975,Michael Kim,15.71%,137,872,-0.343
69,0,56630,Akshay Bhatia,15.70%,173,1102,-0.208
70,0,39997,Corey Conners,15.66%,171,1092,-0.263
71,0,32366,Kevin Chappell,15.61%,89,570,-0.348
72,0,47995,Davis Riley,15.57%,151,970,-0.272
73,0,60067,Joe Highsmith,15.55%,125,804,-0.384
74,0,52514,Trace Crowe,15.53%,114,734,-0.228
75,0,39977,Max Homa,15.49%,149,962,-0.195
76,0,33408,Tyson Alexander,15.48%,131,846,-0.191
77,0,47483,Will Zalatoris,15.44%,126,816,-0.119
78,0,34563,Chesson Hadley,15.25%,129,846,-0.202
79,0,40098,Matt Fitzpatrick,15.09%,131,868,-0.214
80,0,30926,Chris Kirk,14.76%,139,942,-0.324
81,0,39324,J.J. Spaun,14.65%,148,1010,-0.345
82,0,32757,Patton Kizzire,14.63%,108,738,-0.407
83,0,34587,Chan Kim,14.62%,143,978,-0.231
84,0,28089,Jason Day,14.37%,119,828,-0.311
85,0,59442,Parker Coody,14.20%,94,662,-0.096
86,0,27139,David Skinns,14.18%,133,938,-0.271
87,0,60004,Jacob Bridgeman,14.06%,117,832,-0.325
88,0,59143,Mac Meissner,14.03%,126,898,-0.317
89,0,34374,Erik Barnes,14.00%,85,607,-0.165
90,0,48887,Matt Wallace,13.93%,112,804,-0.304
91,0,50095,Austin Smotherman,13.64%,72,528,-0.236
92,0,48119,Ben Taylor,13.60%,102,750,-0.225
93,0,35617,Martin Trainer,13.56%,77,568,-0.026
94,0,48153,Matthieu Pavon,13.38%,99,740,-0.121
95,0,57362,Austin Eckroat,13.35%,145,1086,-0.166
96,0,32839,Hideki Matsuyama,13.31%,119,894,-0.235
97,0,47679,Victor Perez,13.04%,109,836,-0.257
98,0,12716,Charley Hoffman,12.83%,108,842,-0.296
99,0,29420,Billy Horschel,12.50%,116,928,-0.233
99,0,35461,Beau Hossler,12.50%,137,1096,-0.328
101,0,32791,K.H. Lee,12.38%,116,937,-0.422
102,0,33968,ThorbjÃ¸rn Olesen,12.23%,67,548,-0.313
103,0,47591,Eric Cole,12.20%,163,1336,-0.227
104,0,39971,Sungjae Im,12.09%,133,1100,-0.338
105,0,46442,Maverick McNealy,12.03%,132,1097,-0.348
106,0,34466,Peter Malnati,11.97%,113,944,-0.150
107,0,40026,Daniel Berger,11.75%,98,834,-0.347
108,0,47347,Adam Schenk,11.68%,132,1130,-0.212
109,0,45609,Tyler Duncan,11.67%,91,780,-0.242
110,0,49771,J.T. Poston,11.37%,123,1082,-0.285
111,0,34099,Harris English,11.36%,124,1092,-0.298
111,0,33204,Shane Lowry,11.36%,97,854,-0.155
113,0,35506,Mackenzie Hughes,11.32%,132,1166,-0.326
114,0,27330,Josh Teater,11.22%,59,526,-0.186
115,0,51997,Andrew Novak,11.06%,117,1058,-0.350
116,0,35532,Tom Hoge,10.96%,139,1268,-0.281
116,0,27214,Kevin Streelman,10.96%,87,794,-0.425
118,0,50525,Collin Morikawa,10.91%,105,962,-0.238
119,0,37455,Si Woo Kim,10.89%,118,1084,-0.144
120,0,30911,Tommy Fleetwood,10.83%,97,896,-0.268
121,0,55182,Tom Kim,10.81%,109,1008,-0.294
122,0,32102,Rickie Fowler,10.74%,102,950,-0.088
123,0,23320,Ryan Palmer,10.57%,52,492,-0.231
