RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,0,22405,Justin Rose,1.912,.459,.961,.491,46
2,0,08793,Tiger Woods,1.637,-.142,1.533,.247,43
3,0,21528,Henrik Stenson,1.614,.710,.776,.128,44
4,0,06527,Steve Stricker,1.474,.311,.567,.596,35
5,0,24502,Adam Scott,1.337,.734,.548,.055,44
6,0,10809,Jim Furyk,1.297,.023,.950,.323,64
7,0,34046,Jordan Spieth,1.291,.611,.480,.200,67
8,0,25804,Bubba Watson,1.164,.937,.292,-.065,59
9,0,33141,Keegan Bradley,1.153,.698,.270,.185,72
10,0,20396,Lee Westwood,1.088,.439,.479,.170,51
11,0,28237,Rory McIlroy,1.077,.624,.420,.032,41
12,0,24924,Bill Haas,.999,.365,.346,.289,69
12,0,23108,Matt Kuchar,.999,-.010,.731,.278,69
14,0,27436,Graham DeLaet,.969,.488,.640,-.159,81
15,0,26331,Charl Schwartzel,.967,.195,.711,.061,54
16,0,29221,Webb Simpson,.958,.216,.517,.225,70
17,0,32200,Roberto Castro,.931,.204,.379,.348,84
18,0,21209,Sergio Garcia,.928,.131,.538,.259,47
19,0,30925,Dustin Johnson,.906,.332,.663,-.090,51
20,0,06567,Vijay Singh,.851,.371,.501,-.021,48
21,0,25686,Jason Dufner,.812,.475,.440,-.103,61
22,0,01810,Phil Mickelson,.775,.021,.494,.260,57
23,0,26289,Boo Weekley,.774,.594,.401,-.221,83
24,0,25900,Lucas Glover,.765,.541,.307,-.083,52
25,0,23983,Luke Donald,.752,-.459,.583,.628,46
25,0,24781,Hunter Mahan,.752,.417,.285,.050,68
27,0,26679,Kevin Stadler,.751,.410,.451,-.110,69
28,0,23621,Rory Sabbatini,.743,.273,.468,.002,72
29,0,26300,Matt Jones,.740,.396,.123,.220,70
30,0,23638,Brendon de Jonge,.725,.280,.414,.032,97
31,0,32366,Kevin Chappell,.722,.276,.370,.077,67
32,0,20229,Stewart Cink,.654,-.264,.975,-.058,56
32,0,25632,Jimmy Walker,.654,.082,.407,.164,75
34,0,21731,Freddie Jacobson,.626,.075,.304,.247,46
35,0,27214,Kevin Streelman,.611,.406,.214,-.008,68
36,0,27770,Camilo Villegas,.608,-.183,.885,-.095,64
37,0,28089,Jason Day,.606,.452,-.013,.167,61
38,0,24358,Robert Garrigus,.553,.509,.571,-.528,49
39,0,23320,Ryan Palmer,.550,.411,.461,-.323,69
40,0,34174,John Huh,.525,.179,.155,.190,75
41,0,21878,Mark Wilson,.510,.185,.252,.072,50
42,0,24357,K.J. Choi,.508,.096,.154,.258,63
43,0,30926,Chris Kirk,.506,-.213,.620,.099,81
43,0,27095,Nick Watney,.506,.461,.362,-.317,73
45,0,28780,Nicholas Thompson,.505,.420,.373,-.288,86
46,0,24024,Zach Johnson,.479,.181,.251,.047,67
47,0,22913,John Rollins,.470,.164,.409,-.103,68
48,0,21753,Brian Davis,.458,.051,.222,.185,83
49,0,27933,John Merrick,.454,.038,.365,.051,68
50,0,12716,Charley Hoffman,.450,.333,.262,-.145,73
51,0,27649,Brandt Snedeker,.449,-.025,.121,.354,58
52,0,06522,Ernie Els,.444,.110,.191,.143,48
53,0,01320,Bob Estes,.424,-.216,.277,.362,62
53,0,21961,Charles Howell III,.424,.133,-.084,.374,80
55,0,25572,Graeme McDowell,.407,.251,.217,-.061,37
56,0,31323,Gary Woodland,.397,.331,.459,-.392,83
57,0,08075,Jerry Kelly,.394,.109,.159,.125,64
58,0,28307,Matt Every,.385,.323,.296,-.234,80
59,0,26476,Chez Reavie,.383,.381,.186,-.184,67
