RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL ROUNDS
1,0,29221,Webb Simpson,68.978,3539,47.881,52
2,1,46970,Jon Rahm,69.127,3991,18.356,58
3,2,33448,Justin Thomas,69.128,4538,24.461,66
4,2,28237,Rory McIlroy,69.219,4146,7.155,60
5,2,48081,Xander Schauffele,69.227,4832,13.902,70
6,-2,40026,Daniel Berger,69.237,4403,28.197,64
7,-5,47959,Bryson DeChambeau,69.241,4263,29.931,62
8,0,30925,Dustin Johnson,69.323,3378,18.845,49
9,0,34099,Harris English,69.496,5254,27.673,76
10,0,34363,Tyrrell Hatton,69.507,2901,18.304,42
11,0,34360,Patrick Reed,69.586,5136,13.399,74
12,2,46046,Scottie Scheffler,69.709,5680,36.165,82
13,0,35450,Patrick Cantlay,69.764,3201,8.135,46
14,-2,32839,Hideki Matsuyama,69.766,5137,25.668,74
15,1,50525,Collin Morikawa,69.856,5566,22.505,80
16,-1,45526,Abraham Ancer,69.892,5147,25.036,74
17,0,31323,Gary Woodland,69.930,4318,17.684,62
18,0,24502,Adam Scott,69.977,2647,12.114,38
19,1,39971,Sungjae Im,69.987,6539,39.769,94
20,-1,29725,Tony Finau,69.992,4998,41.441,72
21,0,27644,Brian Harman,70.041,5415,48.216,78
22,0,46717,Viktor Hovland,70.060,5160,24.447,74
23,0,40098,Matt Fitzpatrick,70.070,3789,- 5.222,54
24,3,27349,Alex Noren,70.127,3900,27.139,56
25,3,24138,Ian Poulter,70.140,3355,11.731,48
26,-1,30927,Brendon Todd,70.151,5994,38.954,86
27,2,34098,Russell Henley,70.157,4386,33.902,63
28,2,28089,Jason Day,70.163,3713,5.657,53
29,-3,23320,Ryan Palmer,70.196,4757,16.341,68
30,-6,29420,Billy Horschel,70.209,5528,18.507,79
31,0,30911,Tommy Fleetwood,70.259,2797,13.350,40
32,0,33204,Shane Lowry,70.265,3077,14.674,44
33,1,37189,Harold Varner III,70.297,5163,39.004,74
34,1,29518,Brendan Steele,70.302,4481,18.334,64
35,1,34021,Bud Cauley,70.308,4281,7.796,61
35,1,25804,Bubba Watson,70.308,4619,21.310,66
37,1,23108,Matt Kuchar,70.312,3927,10.465,56
38,1,29478,Kevin Kisner,70.360,5096,40.264,73
39,-6,45486,Joaquin Niemann,70.364,5312,35.688,76
40,1,25364,Paul Casey,70.373,3916,24.874,56
41,1,24024,Zach Johnson,70.388,4270,23.670,61
42,1,35449,Adam Long,70.410,6158,38.043,88
43,1,36801,Mark Hubbard,70.414,6005,50.597,86
44,1,34076,Joel Dahmen,70.415,5543,19.764,79
45,1,49771,J.T. Poston,70.429,5456,37.470,78
46,1,39997,Corey Conners,70.430,5191,20.824,74
46,-6,25396,Kevin Na,70.430,4974,26.553,71
48,1,35310,Lanto Griffin,70.451,6445,36.510,92
49,-1,47993,Denny McCarthy,70.454,5375,49.970,77
50,0,53165,Doc Redman,70.477,5725,54.078,82
51,9,48822,Sebastián Muñoz,70.485,5874,46.749,84
52,-1,26329,Louis Oosthuizen,70.493,3379,4.668,48
53,-1,32102,Rickie Fowler,70.499,3085,16.953,44
54,-1,56762,Will Gordon,70.524,2226,30.755,32
55,0,33667,Carlos Ortiz,70.528,5045,33.022,72
56,1,33419,Cameron Tringale,70.534,4403,40.613,63
57,1,46402,Talor Gooch,70.535,5820,34.365,83
58,1,36689,Brooks Koepka,70.546,2827,- 5.163,40
59,2,29535,Brice Garnett,70.563,4049,43.630,58
60,2,33948,Byeong Hun An,70.568,5271,21.567,75
61,2,47128,Richy Werenski,70.573,3923,29.100,56
62,2,21209,Sergio Garcia,70.574,3085,20.258,44
63,2,36871,Matthew NeSmith,70.575,4756,43.096,68
64,13,35506,Mackenzie Hughes,70.589,4918,23.195,70
64,2,22405,Justin Rose,70.589,2672,10.371,38
66,1,35532,Tom Hoge,70.605,5203,21.775,74
67,1,25493,Nick Taylor,70.607,4150,15.804,59
68,1,29926,Danny Lee,70.609,4843,28.990,69
69,1,33399,Adam Hadwin,70.610,4557,32.675,65
70,3,10809,Jim Furyk,70.616,2739,15.040,39
71,3,30944,Jason Kokrak,70.617,4353,25.284,62
72,3,29970,Dylan Frittelli,70.630,5770,21.698,82
73,3,45157,Cam Davis,70.639,4056,41.064,58
74,-2,35891,Cameron Smith,70.643,4497,24.166,64
75,3,26596,Ryan Moore,70.707,3090,21.114,44
76,3,21961,Charles Howell III,70.716,4844,35.399,69
77,3,56278,Matthew Wolff,70.726,5211,22.736,74
78,3,30692,Scott Stallings,70.727,4671,67.709,67
79,3,27649,Brandt Snedeker,70.731,3706,42.752,53
80,3,47347,Adam Schenk,70.732,5165,69.197,74
81,3,27214,Kevin Streelman,70.738,5141,22.885,73
82,3,33122,Russell Knox,70.760,4411,46.882,63
83,4,47504,Sam Burns,70.778,4073,32.133,58
84,4,23621,Rory Sabbatini,70.779,4645,26.437,66
85,4,46442,Maverick McNealy,70.790,5329,51.030,76
86,4,30163,Henrik Norlander,70.798,5190,49.076,74
87,4,29268,Bronson Burgoon,70.809,3701,51.870,53
88,4,26300,Matt Jones,70.817,5344,38.078,76
89,4,23325,Vaughn Taylor,70.827,4299,21.434,61
90,4,45609,Tyler Duncan,70.840,5836,43.705,83
91,4,33597,Harry Higgs,70.852,5844,36.707,83
92,4,24361,Pat Perez,70.853,3855,41.925,55
93,5,34046,Jordan Spieth,70.856,4367,26.085,62
94,5,33141,Keegan Bradley,70.861,4801,17.560,68
95,2,52372,Cameron Champ,70.868,4929,31.787,70
96,4,36699,Patrick Rodgers,70.869,6398,51.051,91
97,4,27064,Jhonattan Vegas,70.883,3505,39.158,50
98,4,31560,Brian Stuard,70.885,5679,62.709,81
99,4,49964,Aaron Wise,70.899,3162,28.455,45
100,4,27095,Nick Watney,70.902,3094,25.689,44
101,4,25349,Tim Wilkinson,70.936,3224,39.064,46
102,4,39977,Max Homa,70.942,4939,26.961,70
103,4,28252,Seamus Power,70.962,2239,31.770,32
104,4,31646,Emiliano Grillo,70.963,4567,45.589,65
105,4,30110,Kyle Stanley,71.008,3717,46.418,53
106,4,01810,Phil Mickelson,71.009,3599,22.481,51
107,4,26476,Chez Reavie,71.043,5428,42.307,77
