RANK,MOVEMENT,PLAYER_ID,PLAYER,%,OFFICIAL MONEY WON,POTENTIAL MONEY
1,0,08793,Tiger Woods,46.73,10628023,22745584
2,0,20400,Michael Campbell,26.80,1661810,6201584
3,0,06567,Vijay Singh,25.77,8017335,31106584
4,0,01810,Phil Mickelson,25.67,5699604,22207584
5,0,08635,Colin Montgomerie,20.53,1450735,7065584
6,0,20157,Retief Goosen,17.97,3494105,19447584
7,0,10809,Jim Furyk,15.65,4255368,27184584
8,0,20766,Padraig Harrington,15.56,2615731,16815000
9,0,02206,David Toms,15.08,3962013,26273584
10,0,01945,Kenny Perry,14.80,3607155,24376584
11,0,21209,Sergio Garcia,14.52,3213375,22124584
12,0,06251,Chris DiMarco,14.12,3562547,25222584
13,0,06522,Ernie Els,13.76,1627183,11825584
14,0,23983,Luke Donald,12.61,2480561,19669584
15,0,23541,Ben Crane,12.54,2457329,19592000
16,0,01142,Bart Bryant,12.44,3249135,26116584
17,0,24502,Adam Scott,12.42,2592255,20873584
18,0,22892,Jason Gore,12.28,871135,7092000
19,0,19825,Darren Clarke,11.22,1465921,13059584
20,0,06373,José María Olazábal,10.96,1764227,16101584
21,0,11123,Chris Couch,10.74,96666,900000
22,0,19991,Peter Hedblom,10.59,123857,1170000
23,0,10860,Justin Leonard,10.57,2665131,25204584
24,0,01706,Davis Love III,10.43,2658779,25501584
25,0,21528,Henrik Stenson,9.98,501985,5031584
25,0,02239,Scott Verplank,9.98,2580213,25861584
27,0,27702,Matt Hendrix,9.52,51428,540000
28,0,01381,Fred Funk,9.23,2830045,30656584
29,0,24140,Sean O'Hair,8.79,2461481,28008584
30,0,01139,Olin Browne,8.62,2171927,25204000
31,0,12510,Chad Campbell,8.61,2391431,27767584
32,0,23135,Tim Clark,8.50,2310037,27166584
33,0,01161,Mark Calcavecchia,8.46,2185309,25844584
34,0,20098,Stuart Appleby,8.45,2202506,26075584
35,0,06573,Brandt Jobe,8.37,2133149,25474000
36,0,06220,Jaxon Brigman,8.16,162961,1998000
37,0,07013,Wes Short Jr.,7.99,1029640,12879000
38,0,25900,Lucas Glover,7.98,2050067,25695000
39,0,01226,Fred Couples,7.93,1804178,22738584
