RANK,MOVEMENT,PLAYER_ID,PLAYER,AVERAGE BOGEYS PER ROUND,TOTAL BOGEYS,ROUNDS PLAYED
1,0,39971,Sungjae Im,2.00,176,88
2,0,36801,Mark Hubbard,2.01,137,68
3,0,24925,Jonathan Byrd,2.02,115,57
3,0,29725,Tony Finau,2.02,174,86
5,0,33204,Shane Lowry,2.03,118,58
6,0,40098,Matt Fitzpatrick,2.07,145,70
6,0,23108,Matt Kuchar,2.07,147,71
8,0,46402,Talor Gooch,2.10,149,71
9,0,46046,Scottie Scheffler,2.11,177,84
10,0,28237,Rory McIlroy,2.13,128,60
10,0,48081,Xander Schauffele,2.13,153,72
12,0,28252,Seamus Power,2.14,167,78
13,0,35449,Adam Long,2.20,194,88
14,0,49964,Aaron Wise,2.21,190,86
15,0,33448,Justin Thomas,2.22,169,76
16,0,45522,Christiaan Bezuidenhout,2.23,178,80
16,0,27644,Brian Harman,2.23,203,91
18,0,32839,Hideki Matsuyama,2.24,161,72
19,0,34256,Andrew Putnam,2.26,212,94
20,0,29420,Billy Horschel,2.27,159,70
20,0,27349,Alex Noren,2.27,145,64
20,0,27214,Kevin Streelman,2.27,200,88
23,0,35450,Patrick Cantlay,2.28,155,68
23,0,45609,Tyler Duncan,2.28,187,82
23,0,51890,Greyson Sigg,2.28,205,90
23,0,47483,Will Zalatoris,2.28,173,76
27,0,39997,Corey Conners,2.29,199,87
27,0,35891,Cameron Smith,2.29,142,62
29,0,47529,Mito Pereira,2.30,205,89
29,0,49771,J.T. Poston,2.30,202,88
31,0,45526,Abraham Ancer,2.31,134,58
31,0,33399,Adam Hadwin,2.31,208,90
33,0,47993,Denny McCarthy,2.32,232,100
34,0,35310,Lanto Griffin,2.33,182,78
34,0,35532,Tom Hoge,2.33,224,96
34,0,27936,Martin Laird,2.33,154,66
34,0,28775,Nate Lashley,2.33,177,76
34,0,45486,Joaquin Niemann,2.33,186,80
39,0,32448,James Hahn,2.34,166,71
39,0,51634,Sahith Theegala,2.34,264,113
41,0,47504,Sam Burns,2.35,188,80
42,0,19803,Ryan Armour,2.36,118,50
42,0,46970,Jon Rahm,2.36,165,70
44,0,46340,Alex Smalley,2.37,220,93
44,0,39324,J.J. Spaun,2.37,225,95
46,0,30911,Tommy Fleetwood,2.38,133,56
46,0,23325,Vaughn Taylor,2.38,126,53
48,0,33122,Russell Knox,2.40,214,89
48,0,39546,Keith Mitchell,2.40,206,86
48,0,50525,Collin Morikawa,2.40,144,60
51,0,54628,Lee Hodges,2.41,224,93
51,0,36699,Patrick Rodgers,2.41,205,85
51,0,30927,Brendon Todd,2.41,200,83
54,0,29535,Brice Garnett,2.42,186,77
54,0,46414,Aaron Rai,2.42,215,89
54,0,32150,Michael Thompson,2.42,203,84
54,0,37189,Harold Varner III,2.42,167,69
58,0,31646,Emiliano Grillo,2.43,204,84
58,0,21961,Charles Howell III,2.43,131,54
58,0,32816,Satoshi Kodaira,2.43,124,51
58,0,24502,Adam Scott,2.43,175,72
62,0,45157,Cam Davis,2.44,200,82
62,0,26476,Chez Reavie,2.44,207,85
62,0,50095,Austin Smotherman,2.44,188,77
65,0,24980,Scott Gutschewski,2.45,137,56
65,0,47995,Davis Riley,2.45,230,94
65,0,57366,Cameron Young,2.45,201,82
68,0,55708,Hayden Buckley,2.46,224,91
68,0,46435,Austin Cook,2.46,170,69
68,0,34098,Russell Henley,2.46,192,78
68,0,34046,Jordan Spieth,2.46,182,74
