RANK,MOVEMENT,PLAYER_ID,PLAYER,%,OFFICIAL MONEY WON,POTENTIAL MONEY
1,0,01666,Bernhard Langer,36.27,626937,1728500
2,0,01876,Greg Norman,33.02,1359653,4118000
3,0,01968,Nick Price,31.47,1478556,4698500
4,0,01042,Paul Azinger,24.59,1458456,5931500
5,0,01378,David Frost,18.32,1030717,5625500
6,0,01633,Tom Kite,17.54,887811,5063000
7,0,06567,Vijay Singh,17.00,657831,3870500
8,0,01385,Jim Gallagher Jr.,16.39,1078869,6584000
9,0,01226,Fred Couples,16.28,796579,4892000
10,0,06204,Jeff Barlow,16.11,8700,54000
11,0,02146,Payne Stewart,15.85,982874,6201500
12,0,01577,Lee Janzen,14.61,932335,6381500
13,0,01823,Larry Mize,13.32,724659,5441000
14,0,02099,Scott Simpson,13.00,707165,5441000
15,0,01014,Fulton Allem,12.83,851344,6633500
16,0,01326,Nick Faldo,12.38,188886,1526000
17,0,01154,Bill Buttner,12.31,6650,54000
17,0,08537,J.P. Hayes,12.31,6650,54000
19,0,01706,Davis Love III,12.11,777058,6417500
20,0,01306,David Edwards,12.07,653085,5409500
21,0,01928,Corey Pavin,11.89,675087,5679500
22,0,01724,Jeff Maggert,11.80,793023,6719000
23,0,01313,Steve Elkington,11.79,675383,5729000
24,0,01797,Rocco Mediate,11.51,680623,5913500
25,0,02002,John Riegger,11.25,22275,198000
26,0,01837,Gil Morgan,10.71,610311,5697500
27,0,01810,Phil Mickelson,10.59,628734,5938500
28,0,01553,John Huston,9.64,681440,7070000
29,0,02133,Craig Stadler,9.49,553623,5832500
30,0,01072,Chip Beck,9.38,603375,6435500
31,0,01331,Rick Fehr,9.36,556322,5940500
32,0,01161,Mark Calcavecchia,9.11,630365,6921500
33,0,01030,Isao Aoki,9.03,32500,360000
34,0,01457,Jay Haas,9.02,601602,6669500
35,0,02321,Fuzzy Zoeller,8.73,378175,4329500
36,0,02256,Tom Watson,8.58,342022,3987500
37,0,01355,Raymond Floyd,8.39,126516,1508000
38,0,01040,Emlyn Aubrey,8.06,18125,225000
39,0,01510,Nolan Henke,7.94,502374,6327500
40,0,01890,Brett Ogle,7.87,337373,4287000
41,0,02101,Joey Sindelar,7.65,391649,5121500
42,0,01783,Mark McCumber,7.61,363268,4770500
43,0,06090,Jim McGovern,7.58,587494,7747500
44,0,01361,Dan Forsman,7.51,410150,5463500
45,0,01320,Bob Estes,7.33,447187,6102500
46,0,01766,Billy Mayfair,7.18,513071,7144500
47,0,01677,Tom Lehman,7.11,422761,5949500
48,0,01475,Donnie Hammond,6.65,340432,5119500
49,0,01527,Scott Hoch,6.60,403741,6120500
50,0,02245,Grant Waite,6.51,411405,6323000
51,0,01219,John Cook,6.41,342321,5337500
52,0,02225,Howard Twitty,6.39,416833,6525500
53,0,01235,Ben Crenshaw,6.22,318605,5124000
54,0,01418,Bill Glasson,6.21,299799,4826000
55,0,06012,Greg Kraft,6.17,290580,4707000
55,0,02020,Eduardo Romero,6.17,18500,300000
57,0,02279,Mark Wiebe,6.07,360212,5931500
58,0,02267,D.A. Weibring,6.01,299293,4977500
59,0,01920,Craig Parry,5.98,323068,5400500
60,0,01887,Mark O'Meara,5.91,349515,5913500
61,0,01024,Billy Andrade,5.70,365758,6417500
62,0,01701,Bob Lohr,5.69,314982,5533500
63,0,01329,Brad Faxon,5.54,312023,5634500
64,0,10964,Clinton Whitelaw,5.33,19200,360000
65,0,02010,Loren Roberts,5.16,316505,6129500
66,0,01906,Masashi Jumbo Ozaki,5.14,66741,1298000
67,0,01559,Hale Irwin,5.03,252685,5022500
67,0,01771,Blaine McCallister,5.03,290434,5771000
69,0,01133,Billy Ray Brown,5.01,173661,3465000
70,0,01200,Keith Clearwater,5.00,348762,6971000
71,0,02106,Chris Smith,4.94,24000,486000
72,0,02242,Lanny Wadkins,4.91,244543,4984500
73,0,01203,Russ Cochran,4.87,293867,6030500
73,0,06575,Dudley Hart,4.87,316750,6505500
75,0,01723,Andrew Magee,4.85,269986,5569500
76,0,10457,Frank Nobilo,4.83,14500,300000
77,0,02159,Curtis Strange,4.81,262696,5459000
78,0,01444,Ken Green,4.79,229750,4795500
79,0,02135,Mike Standly,4.75,323886,6813500
80,0,01717,Sandy Lyle,4.74,86121,1818500
81,0,10962,Bradley Hughes,4.73,28125,594000
82,0,01569,Peter Jacobsen,4.51,222290,4923500
83,0,01051,Seve Ballesteros,4.49,34850,776000
83,0,01905,Joe Ozaki,4.49,139784,3110000
85,0,01858,Tommy Nakajima,4.41,50578,1146000
86,0,01690,Bruce Lietzke,4.34,163240,3765000
87,0,06197,Michael Allen,4.25,231071,5439000
87,0,01388,Robert Gamez,4.25,236458,5562500
89,0,01381,Fred Funk,4.24,309434,7299500
90,0,01926,Steve Pate,4.15,254841,6138500
91,0,02033,Dave Rummells,4.09,247962,6064500
92,0,12389,Barry Lane,4.08,24089,590000
93,0,01249,John Daly,4.05,225590,5571500
94,0,01489,Steve Hart,4.03,2175,54000
95,0,06527,Steve Stricker,3.85,46171,1199000
96,0,02008,Lee Rinker,3.81,11051,290000
97,0,01261,Jay Delsing,3.78,233483,6181500
98,0,02322,Richard Zokol,3.73,214419,5749500
99,0,01143,Brad Bryant,3.69,230139,6241500
99,0,01960,Don Pooley,3.69,123104,3334500
101,0,01132,Mark Brooks,3.67,249696,6795500
102,0,01197,Bobby Clampett,3.65,112293,3073500
102,0,01682,Wayne Levi,3.65,179520,4923500
102,0,02224,Greg Twiggs,3.65,231822,6345500
105,0,01557,John Inman,3.64,242139,6655500
106,0,02131,Mike Springer,3.63,214729,5922500
107,0,02246,Duffy Waldorf,3.61,202637,5621000
108,0,01006,John Adams,3.53,221752,6273500
108,0,01098,Jay Don Blake,3.53,202481,5730500
110,0,01353,Bruce Fleisher,3.52,214278,6091500
111,0,01607,Brian Kamm,3.47,183185,5283000
112,0,01755,Dick Mast,3.46,210125,6075500
113,0,06373,José María Olazábal,3.42,60160,1760000
114,0,01736,Roger Maltbie,3.35,155453,4637000
115,0,01495,Morris Hatalsky,3.34,111057,3321000
116,0,06124,Patrick Burke,3.30,100717,3051000
117,0,01096,Phil Blackmar,3.28,207310,6318000
118,0,02214,Kirk Triplett,3.27,189417,5793500
119,0,02300,Ian Woosnam,3.25,55425,1706000
120,0,01192,T.C. Chen,3.22,5800,180000
121,0,01945,Kenny Perry,3.16,196863,6225500
122,0,02190,Doug Tewell,3.15,132477,4207500
123,0,01748,Doug Martin,3.13,21381,684000
124,0,02104,Jeff Sluman,3.11,187840,6039500
125,0,02090,Tom Sieckmann,3.07,201429,6561000
126,0,01302,R.W. Eaks,3.01,5414,180000
127,0,01971,Dillard Pruitt,2.98,168053,5647500
128,0,01049,Ian Baker-Finch,2.96,140620,4752500
129,0,01060,Dave Barr,2.95,179263,6072500
129,0,01707,Steve Lowery,2.95,188286,6374000
131,0,01648,Billy Kratzert,2.94,78992,2691000
132,0,01196,Brian Claar,2.92,202623,6939500
133,0,01891,David Ogrin,2.91,155015,5319000
134,0,02294,Willie Wood,2.90,146205,5033000
135,0,06132,Sonny Skinner,2.88,1556,54000
136,0,01201,Lennie Clements,2.87,141526,4923000
137,0,01549,Mike Hulbert,2.81,193833,6903500
138,0,09011,David Duval,2.80,27180,972000
139,0,02257,Brian Watts,2.75,23235,846000
140,0,01214,Frank Conner,2.73,34154,1251000
141,0,02223,Bob Tway,2.69,148120,5508500
142,0,01750,Miguel Angel Martin,2.57,6019,234000
143,0,01116,Michael Bradley,2.53,126160,4995000
143,0,06058,John Flannery,2.53,161233,6383000
145,0,01414,Bob Gilder,2.49,148496,5973500
146,0,02067,Ted Schulz,2.47,164259,6639500
147,0,01468,Gary Hallberg,2.43,147705,6069000
148,0,01958,Dan Pohl,2.42,97830,4041000
149,0,01288,Ed Dougherty,2.40,167651,6993000
150,0,01550,Ed Humenik,2.38,152562,6421500
151,0,01715,Mark Lye,2.37,106935,4518000
152,0,01555,Stu Ingraham,2.35,7057,300000
152,0,01975,Tom Purtzer,2.35,107570,4581000
152,0,06725,Tom Wargo,2.35,7057,300000
155,0,01307,Joel Edwards,2.33,150623,6471500
156,0,06522,Ernie Els,2.31,38185,1652000
157,0,01360,Anders Forsbrand,2.28,34850,1526000
158,0,01185,Brandel Chamblee,2.26,126940,5607000
159,0,12387,Michael Christie,2.25,6525,290000
159,0,02007,Larry Rinker,2.25,130613,5809500
161,0,06332,Neal Lancaster,2.24,149381,6655500
162,0,02255,Denis Watson,2.18,111977,5134500
163,0,01408,Kelly Gibson,2.13,148003,6954500
163,0,01869,Jack Nicklaus,2.13,51532,2417000
163,0,02218,Ted Tryba,2.13,136669,6417000
166,0,01846,Jodie Mudd,2.09,89366,4270500
167,0,02167,Mike Sullivan,2.05,68587,3352500
168,0,01093,Ronnie Black,2.04,120040,5872500
169,0,02100,Tim Simpson,2.03,111435,5485500
