RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,ATTEMPTS,TOTAL DISTANCE (FEET),RELATIVE TO PAR
1,0,22122,Andrew McLardy,35' 0",70,2447.667,-4.00
2,0,26287,Roland Thatcher,35' 4",128,4518.250,+10.00
3,0,20766,Padraig Harrington,35' 10",93,3328.667,-2.00
4,0,24924,Bill Haas,35' 11",120,4311.083,-1.00
5,0,23788,D.J. Trahan,36' 1",165,5951.333,+2.00
6,0,01797,Rocco Mediate,36' 10",93,3424.083,+19.00
7,0,23541,Ben Crane,37' 1",113,4194.833,+11.00
7,0,08385,Omar Uresti,37' 1",73,2704.333,+2.00
9,0,07867,Woody Austin,37' 2",139,5161.417,+2.00
10,0,22046,Geoff Ogilvy,37' 4",112,4179.583,+5.00
11,0,29221,Webb Simpson,38' 0",164,6231.333,+10.00
12,0,01249,John Daly,38' 1",115,4384.250,E
12,0,27095,Nick Watney,38' 1",150,5714.000,+2.00
14,0,25804,Bubba Watson,38' 3",141,5388.917,-2.00
15,0,11123,Chris Couch,38' 4",89,3409.250,+11.00
15,0,01810,Phil Mickelson,38' 4",132,5063.833,+5.00
15,0,27302,Garth Mulroy,38' 4",75,2872.667,+15.00
18,0,24925,Jonathan Byrd,38' 5",149,5721.000,+11.00
19,0,29285,Brent Delahoussaye,38' 6",80,3082.000,+13.00
19,0,28780,Nicholas Thompson,38' 6",138,5312.583,+16.00
21,0,23621,Rory Sabbatini,38' 7",149,5748.417,+1.00
22,0,20645,John Senden,38' 8",145,5602.417,+7.00
23,0,27436,Graham DeLaet,38' 10",137,5315.417,+9.00
24,0,12714,Chris Tidland,39' 0",128,4989.417,+3.00
25,0,32102,Rickie Fowler,39' 1",170,6645.833,+14.00
26,0,07457,Steve Flesch,39' 3",96,3764.000,+3.00
26,0,27770,Camilo Villegas,39' 3",101,3962.750,+3.00
28,0,23135,Tim Clark,39' 4",84,3301.333,+6.00
28,0,21753,Brian Davis,39' 4",163,6415.333,+19.00
30,0,24357,K.J. Choi,39' 5",100,3938.250,+5.00
31,0,24227,Justin Bolli,39' 6",42,1658.667,+5.00
32,0,27120,Troy Matteson,39' 7",168,6643.583,+22.00
32,0,22293,Heath Slocum,39' 7",105,4153.083,+9.00
34,0,09011,David Duval,39' 8",86,3409.500,+6.00
35,0,12716,Charley Hoffman,39' 9",147,5848.833,+20.00
35,0,25562,Andres Romero,39' 9",164,6519.583,+14.00
35,0,22405,Justin Rose,39' 9",120,4769.417,-10.00
35,0,23325,Vaughn Taylor,39' 9",131,5208.833,+13.00
39,0,10809,Jim Furyk,40' 0",83,3320.833,-2.00
39,0,24358,Robert Garrigus,40' 0",153,6123.167,+22.00
39,0,26881,Jarrod Lyle,40' 0",79,3158.333,+3.00
39,0,24361,Pat Perez,40' 0",125,4999.167,+25.00
43,0,01941,Tom Pernice Jr.,40' 1",88,3525.083,+5.00
44,0,30946,Alex Prugh,40' 2",160,6425.667,+11.00
45,0,01945,Kenny Perry,40' 3",71,2855.667,+8.00
45,0,20127,Chris Riley,40' 3",122,4911.667,+16.00
45,0,10423,Mike Weir,40' 3",92,3704.750,+13.00
48,0,21209,Sergio Garcia,40' 4",63,2540.333,+12.00
49,0,27613,David Lutterus,40' 6",131,5310.250,+5.00
50,0,28307,Matt Every,40' 7",98,3974.750,+17.00
51,0,20098,Stuart Appleby,40' 8",154,6265.583,+14.00
51,0,01313,Steve Elkington,40' 8",105,4266.667,+4.00
51,0,24781,Hunter Mahan,40' 8",134,5451.250,+14.00
54,0,20850,Daniel Chopra,40' 9",169,6888.250,+17.00
54,0,19846,Brian Gay,40' 9",100,4071.000,+2.00
54,0,26851,Marc Leishman,40' 9",181,7374.917,+8.00
54,0,22056,Cameron Percy,40' 9",135,5504.250,+10.00
54,0,23322,Brett Wetterich,40' 9",110,4486.250,-10.00
59,0,24502,Adam Scott,40' 10",96,3917.917,+7.00
60,0,23320,Ryan Palmer,40' 11",160,6552.250,+10.00
61,0,20848,Ángel Cabrera,41' 0",136,5577.750,-1.00
61,0,20593,Greg Chalmers,41' 0",221,9057.167,+30.00
61,0,08537,J.P. Hayes,41' 0",114,4674.500,+12.00
61,0,06515,Shaun Micheel,41' 0",102,4177.750,+12.00
65,0,01706,Davis Love III,41' 3",101,4169.917,+9.00
66,0,01320,Bob Estes,41' 4",162,6692.583,+4.00
66,0,27466,Spencer Levin,41' 4",155,6405.833,+4.00
66,0,06527,Steve Stricker,41' 4",98,4054.250,-8.00
66,0,33419,Cameron Tringale,41' 4",83,3433.083,+10.00
70,0,24846,Ricky Barnes,41' 5",159,6581.000,+6.00
71,0,06004,Stephen Ames,41' 6",111,4602.667,+14.00
71,0,20472,Alex Cejka,41' 6",88,3653.500,+6.00
71,0,01766,Billy Mayfair,41' 6",103,4276.417,E
74,0,28087,Kris Blanks,41' 8",125,5207.750,+16.00
74,0,01724,Jeff Maggert,41' 8",102,4253.333,+15.00
76,0,28237,Rory McIlroy,41' 9",86,3591.833,+12.00
77,0,23638,Brendon de Jonge,41' 10",152,6354.250,+17.00
78,0,20070,Matt Bettencourt,41' 11",155,6491.417,+16.00
78,0,23409,James Driscoll,41' 11",187,7839.750,+11.00
78,0,10425,Jay Williamson,41' 11",95,3979.917,+16.00
81,0,23983,Luke Donald,42' 0",113,4743.250,+9.00
81,0,20157,Retief Goosen,42' 0",81,3402.000,+1.00
83,0,25686,Jason Dufner,42' 1",113,4751.583,+6.00
84,0,20378,Mathias Grönberg,42' 2",90,3791.333,+23.00
85,0,06522,Ernie Els,42' 3",132,5575.917,+7.00
85,0,25900,Lucas Glover,42' 3",98,4144.250,+11.00
87,0,06251,Chris DiMarco,42' 5",131,5557.500,+15.00
87,0,21949,Joe Ogilvie,42' 5",194,8225.417,+28.00
89,0,23108,Matt Kuchar,42' 6",97,4123.500,E
89,0,28475,Jeff Overton,42' 6",162,6879.250,+11.00
91,0,23548,Bill Lunde,42' 7",147,6257.917,+11.00
92,0,21959,Ted Purdy,42' 8",131,5594.583,+22.00
93,0,29910,Blake Adams,42' 9",125,5341.333,+15.00
93,0,27060,John Mallinger,42' 9",96,4106.167,+7.00
93,0,07749,Brett Quigley,42' 9",136,5814.500,+11.00
93,0,27214,Kevin Streelman,42' 9",154,6580.750,+6.00
93,0,32617,Jerod Turner,42' 9",79,3379.250,+18.00
98,0,27141,J.B. Holmes,42' 10",186,7973.917,+20.00
98,0,24912,Will MacKenzie,42' 10",110,4715.500,+23.00
98,0,20572,Rod Pampling,42' 10",108,4628.917,+13.00
101,0,30925,Dustin Johnson,42' 11",140,6010.417,+7.00
101,0,21878,Mark Wilson,42' 11",127,5445.750,+16.00
103,0,26695,Michael Letzig,43' 0",143,6147.833,+27.00
103,0,23349,Charles Warren,43' 0",89,3823.667,+9.00
105,0,01948,Tim Petrovic,43' 1",182,7848.083,+26.00
105,0,26392,Chris Wilson,43' 1",102,4392.500,+21.00
107,0,26596,Ryan Moore,43' 2",94,4056.750,+4.00
107,0,26679,Kevin Stadler,43' 2",128,5524.667,+13.00
109,0,27797,Derek Lamely,43' 3",147,6351.917,+13.00
110,0,06595,Kevin Sutherland,43' 4",115,4981.667,-7.00
110,0,23623,Bo Van Pelt,43' 4",167,7240.000,+19.00
110,0,25632,Jimmy Walker,43' 4",199,8616.417,+14.00
113,0,01707,Steve Lowery,43' 5",104,4514.583,+19.00
113,0,26301,James Nitties,43' 5",151,6557.250,+33.00
113,0,24663,Y.E. Yang,43' 5",106,4598.667,+15.00
116,0,06514,Kevin Johnson,43' 6",82,3568.333,+23.00
117,0,24024,Zach Johnson,43' 7",121,5275.333,+14.00
117,0,27936,Martin Laird,43' 7",174,7581.833,+8.00
119,0,12652,Cameron Beckman,43' 8",117,5108.583,+25.00
119,0,12705,Cliff Kresge,43' 8",70,3054.333,+2.00
119,0,20663,Brenden Pappas,43' 8",122,5331.667,+14.00
122,0,08725,Tom Gillis,43' 9",153,6692.083,+15.00
122,0,02206,David Toms,43' 9",120,5245.417,+11.00
124,0,12510,Chad Campbell,43' 10",129,5649.833,+13.00
124,0,25892,Steve Wheatcroft,43' 10",97,4248.000,+20.00
126,0,27649,Brandt Snedeker,43' 11",130,5712.750,+23.00
126,0,26951,Johnson Wagner,43' 11",119,5223.083,+12.00
128,0,24507,Jason Bohn,44' 0",116,5106.667,+17.00
128,0,26882,Michael Sim,44' 0",92,4047.667,-1.00
130,0,24140,Sean O'Hair,44' 1",131,5769.500,+2.00
130,0,25345,Carl Pettersson,44' 1",129,5689.833,+16.00
132,0,27330,Josh Teater,44' 2",178,7861.333,+34.00
133,0,28500,Martin Flores,44' 3",158,6987.583,+23.00
133,0,21961,Charles Howell III,44' 3",235,10402.667,+11.00
135,0,01329,Brad Faxon,44' 4",94,4168.000,+28.00
135,0,06567,Vijay Singh,44' 4",129,5722.083,+20.00
135,0,27963,Chris Stroud,44' 4",133,5899.167,-1.00
138,0,06621,Joe Durant,44' 5",73,3240.083,+12.00
138,0,26300,Matt Jones,44' 5",163,7241.500,+14.00
138,0,25240,D.A. Points,44' 5",145,6443.833,+15.00
141,0,01619,Skip Kendall,44' 6",64,2847.750,+14.00
141,0,27933,John Merrick,44' 6",160,7125.250,+27.00
141,0,23800,Bryce Molder,44' 6",163,7248.667,+13.00
144,0,24138,Ian Poulter,44' 7",80,3566.917,+15.00
145,0,25190,Jeff Quinney,44' 8",117,5226.500,+16.00
146,0,01577,Lee Janzen,44' 11",134,6014.917,+17.00
146,0,24490,George McNeill,44' 11",189,8485.833,+16.00
148,0,20160,Charlie Wi,45' 0",153,6880.000,+18.00
149,0,22621,Ben Curtis,45' 2",81,3658.583,+14.00
150,0,20691,Greg Owen,45' 3",116,5248.083,+27.00
151,0,20498,Briny Baird,45' 4",147,6658.417,+21.00
151,0,28089,Jason Day,45' 4",160,7255.500,+16.00
151,0,23307,Roger Tambellini,45' 4",125,5666.750,+35.00
154,0,26289,Boo Weekley,45' 5",129,5854.750,+15.00
155,0,32640,Troy Merritt,45' 6",172,7826.750,+15.00
156,0,01161,Mark Calcavecchia,45' 7",67,3053.417,+23.00
156,0,12755,Vance Veazey,45' 7",88,4007.667,+17.00
158,0,28620,Aron Price,45' 8",94,4292.000,+20.00
158,0,08375,Paul Stankowski,45' 8",81,3702.000,+4.00
160,0,20574,Mathew Goggin,45' 9",113,5171.250,+20.00
