RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL CLUB HEAD SPEED,TOTAL ATTEMPTS
1,0,35300,Andrew Loupe,125.50,8910.19,71
2,0,31323,Gary Woodland,124.78,8110.82,65
3,0,27064,Jhonattan Vegas,123.94,8675.94,70
4,0,29725,Tony Finau,123.67,8904.18,72
4,0,34264,Hudson Swafford,123.67,8656.86,70
6,0,21209,Sergio Garcia,122.83,2456.62,20
7,0,27129,Luke List,122.58,8457.80,69
8,0,30925,Dustin Johnson,122.42,7712.55,63
9,0,36689,Brooks Koepka,121.84,6579.48,54
10,0,25804,Bubba Watson,121.63,5594.83,46
11,0,27141,J.B. Holmes,121.16,7511.75,62
12,0,37273,Derek Ernst,120.85,4954.77,41
13,0,30944,Jason Kokrak,120.46,8312.07,69
14,0,29461,Jamie Lovemark,120.18,9494.55,79
15,0,46440,Smylie Kaufman,119.84,8269.02,69
15,0,28237,Rory McIlroy,119.84,5992.08,50
17,0,24502,Adam Scott,119.75,6226.86,52
18,0,36699,Patrick Rodgers,118.83,7605.38,64
19,0,21961,Charles Howell III,118.53,9838.25,83
20,0,34360,Patrick Reed,118.50,9954.21,84
21,0,26331,Charl Schwartzel,118.45,6159.43,52
22,0,22405,Justin Rose,118.38,4853.51,41
23,0,20691,Greg Owen,118.35,8284.16,70
24,0,29518,Brendan Steele,118.29,7215.48,61
25,0,28089,Jason Day,118.26,6622.42,56
26,0,27436,Graham DeLaet,118.21,6974.66,59
27,0,37189,Harold Varner III,118.18,9335.94,79
28,0,24846,Ricky Barnes,117.90,8960.36,76
29,0,20645,John Senden,117.83,5891.35,50
30,0,32102,Rickie Fowler,117.71,7180.38,61
31,0,25364,Paul Casey,117.62,6469.22,55
32,0,20229,Stewart Cink,117.28,5512.37,47
33,0,28114,Dawie van der Walt,117.23,5978.52,51
34,0,25274,Steven Bowditch,117.12,6792.76,58
35,0,32366,Kevin Chappell,117.02,7723.17,66
36,0,35451,Scott Pinckney,116.91,7950.19,68
37,0,24358,Robert Garrigus,116.90,5962.06,51
38,0,26300,Matt Jones,116.86,5375.76,46
39,0,33448,Justin Thomas,116.79,9343.35,80
40,0,33141,Keegan Bradley,116.67,7349.92,63
41,0,40026,Daniel Berger,116.35,8260.89,71
42,0,32618,Rhein Gibson,116.33,4769.41,41
43,0,22371,Aaron Baddeley,116.20,7901.33,68
44,0,34431,Robert Streb,116.17,8364.57,72
45,0,12716,Charley Hoffman,116.05,8819.91,76
46,0,33667,Carlos Ortiz,115.89,7532.65,65
47,0,29720,Andres Gonzales,115.87,6604.58,57
48,0,34099,Harris English,115.80,8337.75,72
49,0,25900,Lucas Glover,115.63,8556.71,74
50,0,20848,Ángel Cabrera,115.59,5895.21,51
50,0,29974,Branden Grace,115.59,4508.06,39
52,0,01810,Phil Mickelson,115.41,6232.38,54
53,0,27936,Martin Laird,115.33,7380.85,64
54,0,25632,Jimmy Walker,115.30,7840.60,68
55,0,35532,Tom Hoge,115.18,6910.68,60
56,0,34265,Will Wilcox,115.16,6679.18,58
57,0,26851,Marc Leishman,115.10,7711.79,67
58,0,29289,S.Y. Noh,115.02,8741.54,76
59,0,24490,George McNeill,114.96,5517.93,48
60,0,23320,Ryan Palmer,114.93,9194.44,80
61,0,37455,Si Woo Kim,114.75,10786.56,94
62,0,31646,Emiliano Grillo,114.67,8370.64,73
63,0,31557,Jim Herman,114.49,7785.65,68
64,0,24924,Bill Haas,114.43,7094.96,62
65,0,33418,Shawn Stefani,114.38,9493.16,83
66,0,28158,Steve Marino,114.24,5940.69,52
67,0,24140,Sean O'Hair,114.21,8451.64,74
68,0,33399,Adam Hadwin,114.05,10150.47,89
