RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SMASH FACTOR,TOTAL ATTEMPTS,HIGHEST VALUE,LOWEST VALUE
1,0,34099,Harris English,1.513,108.942,72,1.530,1.484
1,0,23320,Ryan Palmer,1.513,121.001,80,1.524,1.476
3,0,30944,Jason Kokrak,1.512,104.341,69,1.522,1.471
3,0,23325,Vaughn Taylor,1.512,108.869,72,1.528,1.477
5,0,02206,David Toms,1.511,96.730,64,1.538,1.444
6,0,35545,Blayne Barber,1.510,111.726,74,1.529,1.474
6,0,31416,Derek Fathauer,1.510,128.323,85,1.525,1.462
8,0,33410,Andrew Landry,1.509,42.246,28,1.521,1.484
8,0,31560,Brian Stuard,1.509,89.031,59,1.525,1.447
8,0,25632,Jimmy Walker,1.509,102.588,68,1.524,1.419
11,0,06522,Ernie Els,1.507,85.872,57,1.527,1.443
12,0,33204,Shane Lowry,1.506,57.245,38,1.527,1.474
12,0,32876,Martin Piller,1.506,69.260,46,1.527,1.455
12,0,25493,Nick Taylor,1.506,99.414,66,1.529,1.443
15,0,24358,Robert Garrigus,1.505,76.730,51,1.525,1.448
15,0,34563,Chesson Hadley,1.505,112.885,75,1.525,1.441
15,0,27936,Martin Laird,1.505,96.314,64,1.530,1.463
15,0,26329,Louis Oosthuizen,1.505,66.230,44,1.528,1.458
15,0,24502,Adam Scott,1.505,78.245,52,1.523,1.458
15,0,34046,Jordan Spieth,1.505,84.295,56,1.522,1.477
15,0,30692,Scott Stallings,1.505,99.351,66,1.531,1.469
22,0,10885,Robert Allenby,1.504,61.649,41,1.530,1.422
22,0,20104,Ken Duke,1.504,90.262,60,1.536,1.441
22,0,25818,Scott Piercy,1.504,96.275,64,1.530,1.454
22,0,25240,D.A. Points,1.504,49.619,33,1.528,1.445
22,0,29485,Brett Stegmaier,1.504,126.356,84,1.528,1.432
22,0,27770,Camilo Villegas,1.504,117.327,78,1.525,1.432
28,0,29268,Bronson Burgoon,1.503,90.162,60,1.527,1.469
28,0,23541,Ben Crane,1.503,106.745,71,1.522,1.463
28,0,35539,Luke Guthrie,1.503,66.148,44,1.527,1.438
28,0,26596,Ryan Moore,1.503,97.675,65,1.534,1.473
32,0,20766,Padraig Harrington,1.502,66.081,44,1.519,1.447
32,0,29926,Danny Lee,1.502,111.138,74,1.531,1.445
34,0,21961,Charles Howell III,1.501,124.560,83,1.524,1.450
34,0,25349,Tim Wilkinson,1.501,66.045,44,1.524,1.456
36,0,27974,Sung Kang,1.500,103.531,69,1.538,1.441
36,0,30926,Chris Kirk,1.500,120.023,80,1.530,1.450
36,0,26851,Marc Leishman,1.500,100.520,67,1.524,1.399
36,0,28475,Jeff Overton,1.500,105.009,70,1.528,1.437
36,0,35732,Wes Roach,1.500,61.501,41,1.524,1.426
41,0,29974,Branden Grace,1.499,58.443,39,1.533,1.435
42,0,29745,Tyler Aldridge,1.498,98.860,66,1.525,1.434
42,0,31557,Jim Herman,1.498,101.836,68,1.521,1.423
42,0,01810,Phil Mickelson,1.498,80.892,54,1.525,1.427
42,0,29289,S.Y. Noh,1.498,113.874,76,1.525,1.429
42,0,24140,Sean O'Hair,1.498,110.833,74,1.528,1.428
42,0,29476,Kyle Reifers,1.498,145.329,97,1.528,1.443
42,0,06527,Steve Stricker,1.498,67.426,45,1.526,1.467
49,0,29720,Andres Gonzales,1.497,85.354,57,1.528,1.434
49,0,24912,Will MacKenzie,1.497,104.761,70,1.520,1.276
49,0,32839,Hideki Matsuyama,1.497,85.348,57,1.523,1.449
49,0,33667,Carlos Ortiz,1.497,97.316,65,1.527,1.443
49,0,33448,Justin Thomas,1.497,119.727,80,1.524,1.459
49,0,28132,Tyrone Van Aswegen,1.497,124.270,83,1.523,1.442
49,0,25804,Bubba Watson,1.497,68.854,46,1.527,1.419
56,0,20472,Alex Cejka,1.496,77.788,52,1.530,1.431
56,0,28089,Jason Day,1.496,83.775,56,1.522,1.423
56,0,34174,John Huh,1.496,119.687,80,1.520,1.424
56,0,23108,Matt Kuchar,1.496,127.180,85,1.523,1.414
56,0,28237,Rory McIlroy,1.496,74.797,50,1.519,1.419
61,0,20098,Stuart Appleby,1.495,106.162,71,1.531,1.433
61,0,23353,J.J. Henry,1.495,88.192,59,1.522,1.401
61,0,26951,Johnson Wagner,1.495,118.105,79,1.535,1.447
64,0,29420,Billy Horschel,1.494,92.639,62,1.525,1.442
64,0,24024,Zach Johnson,1.494,107.587,72,1.520,1.455
64,0,35879,Kelly Kraft,1.494,64.248,43,1.529,1.448
67,0,45526,Abraham Ancer,1.493,49.262,33,1.521,1.436
67,0,12510,Chad Campbell,1.493,120.929,81,1.522,1.430
67,0,32102,Rickie Fowler,1.493,91.078,61,1.527,1.449
67,0,36699,Patrick Rodgers,1.493,94.076,63,1.520,1.425
71,0,27895,Jonas Blixt,1.492,102.940,69,1.527,1.445
71,0,23983,Luke Donald,1.492,92.489,62,1.522,1.418
71,0,34098,Russell Henley,1.492,102.954,69,1.523,1.435
71,0,32757,Patton Kizzire,1.492,114.890,77,1.533,1.446
71,0,34409,David Lingmerth,1.492,102.933,69,1.520,1.455
76,0,33141,Keegan Bradley,1.491,92.432,62,1.529,1.426
76,0,24357,K.J. Choi,1.491,102.913,69,1.533,1.429
76,0,26758,David Hearn,1.491,132.686,89,1.526,1.433
76,0,27141,J.B. Holmes,1.491,92.470,62,1.527,1.414
76,0,31420,Anirban Lahiri,1.491,81.994,55,1.516,1.426
76,0,32640,Troy Merritt,1.491,98.378,66,1.527,1.421
76,0,26476,Chez Reavie,1.491,119.246,80,1.518,1.444
83,0,12716,Charley Hoffman,1.490,113.240,76,1.527,1.455
83,0,32150,Michael Thompson,1.490,75.977,51,1.518,1.461
85,0,29479,Scott Brown,1.489,120.644,81,1.533,1.421
86,0,24781,Hunter Mahan,1.488,83.346,56,1.518,1.444
86,0,06567,Vijay Singh,1.488,110.090,74,1.524,1.444
88,0,25686,Jason Dufner,1.487,127.872,86,1.530,1.428
88,0,20157,Retief Goosen,1.487,86.234,58,1.529,1.423
88,0,37454,Whee Kim,1.487,99.656,67,1.517,1.433
91,0,24461,Thomas Aiken,1.486,68.360,46,1.526,1.407
91,0,22371,Aaron Baddeley,1.486,101.078,68,1.522,1.424
91,0,33461,Morgan Hoffmann,1.486,95.116,64,1.532,1.424
91,0,29518,Brendan Steele,1.486,89.170,60,1.523,1.426
95,0,29478,Kevin Kisner,1.485,109.926,74,1.524,1.390
95,0,34466,Peter Malnati,1.485,95.021,64,1.534,1.434
95,0,31202,William McGirt,1.485,114.370,77,1.518,1.421
95,0,29223,Sam Saunders,1.485,77.219,52,1.528,1.422
95,0,26289,Boo Weekley,1.485,112.845,76,1.530,1.399
100,0,20848,Ángel Cabrera,1.484,75.692,51,1.517,1.424
100,0,32200,Roberto Castro,1.484,129.131,87,1.524,1.404
100,0,25720,Chad Collins,1.484,90.550,61,1.520,1.423
100,0,25900,Lucas Glover,1.484,109.828,74,1.515,1.433
100,0,22892,Jason Gore,1.484,100.937,68,1.520,1.439
100,0,26300,Matt Jones,1.484,68.252,46,1.516,1.412
100,0,27466,Spencer Levin,1.484,133.562,90,1.520,1.417
100,0,30110,Kyle Stanley,1.484,126.156,85,1.537,1.388
108,0,24507,Jason Bohn,1.483,51.890,35,1.518,1.442
108,0,32448,James Hahn,1.483,93.407,63,1.528,1.435
110,0,25274,Steven Bowditch,1.482,85.964,58,1.522,1.436
110,0,28679,Fabián Gómez,1.482,109.654,74,1.523,1.429
110,0,30925,Dustin Johnson,1.482,93.381,63,1.520,1.424
110,0,26331,Charl Schwartzel,1.482,77.086,52,1.517,1.432
110,0,27649,Brandt Snedeker,1.482,102.238,69,1.520,1.421
110,0,27214,Kevin Streelman,1.482,87.434,59,1.527,1.424
116,0,33413,Ben Martin,1.481,124.445,84,1.531,1.433
117,0,28158,Steve Marino,1.480,75.463,51,1.538,1.431
117,0,35451,Scott Pinckney,1.480,100.664,68,1.534,1.420
117,0,10213,Dicky Pride,1.480,63.621,43,1.525,1.439
120,0,40026,Daniel Berger,1.479,104.978,71,1.522,1.411
120,0,20229,Stewart Cink,1.479,69.511,47,1.518,1.421
120,0,32618,Rhein Gibson,1.479,60.638,41,1.525,1.418
120,0,39975,Michael Kim,1.479,136.112,92,1.517,1.429
120,0,29461,Jamie Lovemark,1.479,116.875,79,1.539,1.425
125,0,24494,Erik Compton,1.478,76.840,52,1.513,1.370
125,0,23800,Bryce Molder,1.478,106.410,72,1.527,1.430
125,0,27942,Rob Oppenheim,1.478,72.419,49,1.538,1.436
125,0,34265,Will Wilcox,1.478,85.729,58,1.510,1.442
129,0,08075,Jerry Kelly,1.477,93.036,63,1.521,1.430
129,0,33122,Russell Knox,1.477,107.836,73,1.524,1.405
129,0,34261,Scott Langley,1.477,75.302,51,1.525,1.423
129,0,34431,Robert Streb,1.477,106.358,72,1.507,1.419
129,0,25834,Daniel Summerhays,1.477,119.619,81,1.514,1.441
134,0,36801,Mark Hubbard,1.476,134.338,91,1.518,1.433
134,0,28092,D.H. Lee,1.476,64.931,44,1.523,1.434
134,0,22046,Geoff Ogilvy,1.476,84.110,57,1.538,1.422
134,0,33419,Cameron Tringale,1.476,106.247,72,1.511,1.408
138,0,29725,Tony Finau,1.475,106.220,72,1.513,1.420
138,0,27644,Brian Harman,1.475,134.251,91,1.533,1.416
140,0,25364,Paul Casey,1.474,81.048,55,1.515,1.428
140,0,25572,Graeme McDowell,1.474,73.719,50,1.529,1.393
140,0,29221,Webb Simpson,1.474,78.098,53,1.518,1.423
140,0,27963,Chris Stroud,1.474,100.251,68,1.520,1.314
144,0,29222,Billy Hurley III,1.473,78.088,53,1.522,1.418
144,0,27747,Hiroshi Iwata,1.473,107.527,73,1.515,1.414
144,0,30163,Henrik Norlander,1.473,79.519,54,1.522,1.411
147,0,31646,Emiliano Grillo,1.472,107.448,73,1.517,1.428
147,0,24924,Bill Haas,1.472,91.294,62,1.519,1.399
147,0,33399,Adam Hadwin,1.472,131.036,89,1.517,1.418
147,0,37455,Si Woo Kim,1.472,138.406,94,1.519,1.404
147,0,23621,Rory Sabbatini,1.472,42.700,29,1.515,1.408
152,0,24846,Ricky Barnes,1.471,111.801,76,1.524,1.402
153,0,23638,Brendon de Jonge,1.470,96.996,66,1.515,1.419
153,0,10809,Jim Furyk,1.470,55.873,38,1.513,1.417
153,0,35300,Andrew Loupe,1.470,104.401,71,1.522,1.414
153,0,20691,Greg Owen,1.470,102.913,70,1.509,1.422
153,0,37189,Harold Varner III,1.470,114.658,78,1.535,1.422
158,0,32366,Kevin Chappell,1.468,96.873,66,1.521,1.394
158,0,27129,Luke List,1.468,101.258,69,1.513,1.411
158,0,25198,Francesco Molinari,1.468,82.214,56,1.507,1.433
158,0,30927,Brendon Todd,1.468,86.641,59,1.538,1.409
158,0,21878,Mark Wilson,1.468,80.726,55,1.517,1.417
163,0,27436,Graham DeLaet,1.467,86.532,59,1.517,1.420
163,0,35891,Cameron Smith,1.467,63.094,43,1.525,1.410
165,0,30711,Colt Knost,1.466,112.895,77,1.507,1.415
165,0,22405,Justin Rose,1.466,60.111,41,1.512,1.417
167,0,33418,Shawn Stefani,1.463,121.395,83,1.518,1.395
168,0,46440,Smylie Kaufman,1.462,100.873,69,1.516,1.418
168,0,24490,George McNeill,1.462,70.183,48,1.524,1.417
170,0,40058,Zac Blair,1.461,115.422,79,1.521,1.395
171,0,21731,Freddie Jacobson,1.459,110.905,76,1.495,1.372
171,0,20572,Rod Pampling,1.459,51.071,35,1.530,1.396
171,0,34360,Patrick Reed,1.459,122.574,84,1.508,1.379
174,0,27064,Jhonattan Vegas,1.458,102.050,70,1.510,1.413
175,0,31323,Gary Woodland,1.454,94.529,65,1.520,1.357
176,0,25892,Steve Wheatcroft,1.453,107.556,74,1.516,1.374
177,0,20645,John Senden,1.451,72.530,50,1.509,1.374
177,0,28114,Dawie van der Walt,1.451,73.998,51,1.510,1.365
179,0,36689,Brooks Koepka,1.450,76.838,53,1.517,1.391
180,0,25396,Kevin Na,1.448,95.582,66,1.514,1.407
181,0,34262,Jon Curran,1.447,130.226,90,1.514,1.372
181,0,37273,Derek Ernst,1.447,59.315,41,1.503,1.404
183,0,35532,Tom Hoge,1.442,86.494,60,1.498,1.348
184,0,34264,Hudson Swafford,1.441,100.836,70,1.515,1.376
185,0,21209,Sergio Garcia,1.431,28.624,20,1.531,1.379
