RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL VERT. LAUNCH ANGLE,TOTAL ATTEMPTS
1,0,02206,David Toms,13.42,859.17,64
2,0,24024,Zach Johnson,13.40,964.55,72
3,0,26758,David Hearn,13.17,1171.88,89
4,0,21878,Mark Wilson,13.16,723.61,55
5,0,40058,Zac Blair,13.12,1036.57,79
6,0,33448,Justin Thomas,12.91,1032.68,80
7,0,29485,Brett Stegmaier,12.88,1082.17,84
8,0,20157,Retief Goosen,12.85,745.06,58
9,0,33461,Morgan Hoffmann,12.84,821.51,64
10,0,32618,Rhein Gibson,12.65,518.79,41
11,0,23325,Vaughn Taylor,12.63,909.59,72
12,0,39975,Michael Kim,12.54,1153.77,92
13,0,24912,Will MacKenzie,12.52,876.27,70
14,0,29926,Danny Lee,12.50,924.99,74
15,0,28089,Jason Day,12.46,697.53,56
15,0,34563,Chesson Hadley,12.46,934.77,75
17,0,24461,Thomas Aiken,12.42,571.38,46
17,0,06522,Ernie Els,12.42,720.35,58
19,0,24357,K.J. Choi,12.33,850.94,69
20,0,28092,D.H. Lee,12.29,540.81,44
21,0,25818,Scott Piercy,12.11,774.92,64
22,0,20472,Alex Cejka,12.09,628.78,52
23,0,33141,Keegan Bradley,12.08,760.91,63
23,0,35879,Kelly Kraft,12.08,519.59,43
25,0,32448,James Hahn,12.07,760.59,63
26,0,34262,Jon Curran,11.99,1079.46,90
27,0,27141,J.B. Holmes,11.98,742.84,62
28,0,31420,Anirban Lahiri,11.95,657.45,55
29,0,34174,John Huh,11.92,953.31,80
30,0,28475,Jeff Overton,11.89,832.62,70
31,0,20766,Padraig Harrington,11.88,522.82,44
31,0,29223,Sam Saunders,11.88,617.54,52
33,0,23621,Rory Sabbatini,11.85,343.53,29
34,0,33410,Andrew Landry,11.78,329.91,28
35,0,34046,Jordan Spieth,11.67,653.38,56
36,0,26596,Ryan Moore,11.66,758.20,65
37,0,22405,Justin Rose,11.63,476.97,41
37,0,27649,Brandt Snedeker,11.63,802.20,69
39,0,32102,Rickie Fowler,11.62,708.60,61
39,0,24140,Sean O'Hair,11.62,859.59,74
39,0,23320,Ryan Palmer,11.62,929.56,80
42,0,24781,Hunter Mahan,11.57,647.74,56
43,0,01810,Phil Mickelson,11.55,623.75,54
44,0,08075,Jerry Kelly,11.53,726.64,63
45,0,29478,Kevin Kisner,11.52,852.57,74
46,0,32876,Martin Piller,11.51,529.57,46
47,0,10885,Robert Allenby,11.50,471.67,41
47,0,30692,Scott Stallings,11.50,759.25,66
49,0,22892,Jason Gore,11.47,780.00,68
50,0,27644,Brian Harman,11.45,1041.75,91
51,0,25240,D.A. Points,11.42,376.81,33
52,0,29420,Billy Horschel,11.34,703.11,62
52,0,27747,Hiroshi Iwata,11.34,828.14,73
54,0,23353,J.J. Henry,11.32,679.28,60
55,0,33418,Shawn Stefani,11.29,936.81,83
56,0,29479,Scott Brown,11.28,913.89,81
56,0,46440,Smylie Kaufman,11.28,778.32,69
58,0,32839,Hideki Matsuyama,11.27,642.53,57
59,0,26476,Chez Reavie,11.26,900.49,80
60,0,27895,Jonas Blixt,11.25,776.01,69
61,0,29745,Tyler Aldridge,11.23,741.00,66
62,0,29268,Bronson Burgoon,11.22,673.03,60
63,0,20098,Stuart Appleby,11.20,795.20,71
63,0,27974,Sung Kang,11.20,772.82,69
63,0,36699,Patrick Rodgers,11.20,716.55,64
66,0,35545,Blayne Barber,11.19,828.37,74
67,0,24507,Jason Bohn,11.16,390.48,35
68,0,29221,Webb Simpson,11.14,590.66,53
68,0,06567,Vijay Singh,11.14,824.06,74
70,0,12716,Charley Hoffman,11.12,844.95,76
70,0,34466,Peter Malnati,11.12,711.70,64
72,0,25349,Tim Wilkinson,11.11,488.90,44
73,0,32640,Troy Merritt,11.10,732.91,66
73,0,30927,Brendon Todd,11.10,655.15,59
75,0,31416,Derek Fathauer,11.08,941.89,85
76,0,35732,Wes Roach,11.06,453.60,41
77,0,33667,Carlos Ortiz,11.04,717.62,65
77,0,27963,Chris Stroud,11.04,750.46,68
79,0,37454,Whee Kim,11.02,738.31,67
80,0,23541,Ben Crane,11.01,782.05,71
81,0,29222,Billy Hurley III,10.98,581.97,53
81,0,25198,Francesco Molinari,10.98,636.97,58
81,0,28132,Tyrone Van Aswegen,10.98,911.52,83
84,0,25493,Nick Taylor,10.95,722.88,66
85,0,31560,Brian Stuard,10.90,643.30,59
86,0,23983,Luke Donald,10.88,674.75,62
87,0,29461,Jamie Lovemark,10.87,858.86,79
88,0,30711,Colt Knost,10.85,835.73,77
89,0,32150,Michael Thompson,10.84,563.45,52
90,0,22046,Geoff Ogilvy,10.83,617.37,57
90,0,33419,Cameron Tringale,10.83,779.68,72
90,0,37189,Harold Varner III,10.83,844.61,78
93,0,25632,Jimmy Walker,10.80,734.41,68
94,0,23108,Matt Kuchar,10.77,915.14,85
95,0,24924,Bill Haas,10.69,662.96,62
96,0,34409,David Lingmerth,10.65,734.86,69
97,0,31323,Gary Woodland,10.63,691.03,65
98,0,30926,Chris Kirk,10.61,848.55,80
99,0,20848,Ángel Cabrera,10.60,540.58,51
100,0,27770,Camilo Villegas,10.56,823.48,78
101,0,34264,Hudson Swafford,10.55,738.74,70
102,0,31646,Emiliano Grillo,10.54,769.74,73
103,0,40026,Daniel Berger,10.53,737.32,70
104,0,35532,Tom Hoge,10.51,630.73,60
105,0,33399,Adam Hadwin,10.49,933.33,89
106,0,12510,Chad Campbell,10.48,849.14,81
107,0,32366,Kevin Chappell,10.45,689.83,66
108,0,28158,Steve Marino,10.41,541.52,52
109,0,29476,Kyle Reifers,10.40,1019.64,98
110,0,24358,Robert Garrigus,10.39,529.88,51
111,0,35891,Cameron Smith,10.37,445.85,43
112,0,26951,Johnson Wagner,10.36,818.22,79
113,0,36801,Mark Hubbard,10.32,939.14,91
114,0,29289,S.Y. Noh,10.30,782.62,76
