RANK,MOVEMENT,PLAYER_ID,PLAYER,%,ATTEMPTS,NON-ATTEMPTS
1,0,21209,Sergio Garcia,78.57,77,21
2,0,28237,Rory McIlroy,76.83,126,38
3,0,22405,Justin Rose,71.43,120,48
4,0,25804,Bubba Watson,70.25,111,47
5,0,30925,Dustin Johnson,69.61,142,62
6,0,35300,Andrew Loupe,69.55,153,67
7,0,29725,Tony Finau,69.35,172,76
8,0,27129,Luke List,69.12,141,63
9,0,27064,Jhonattan Vegas,68.52,185,85
10,0,31323,Gary Woodland,67.77,164,78
11,0,32102,Rickie Fowler,67.65,138,66
12,0,36689,Brooks Koepka,67.20,125,61
13,0,25632,Jimmy Walker,65.57,139,73
14,0,27141,J.B. Holmes,65.50,131,69
15,0,23320,Ryan Palmer,65.04,160,86
16,0,24502,Adam Scott,64.63,106,58
17,0,28089,Jason Day,64.52,120,66
18,0,01810,Phil Mickelson,63.98,119,67
19,0,24358,Robert Garrigus,63.64,105,60
20,0,46440,Smylie Kaufman,63.56,150,86
21,0,20691,Greg Owen,63.03,133,78
22,0,37455,Si Woo Kim,62.82,196,116
23,0,24140,Sean O'Hair,62.79,162,96
23,0,26331,Charl Schwartzel,62.79,108,64
25,0,30944,Jason Kokrak,62.08,149,91
26,0,33448,Justin Thomas,61.50,139,87
27,0,27436,Graham DeLaet,61.34,119,75
28,0,37189,Harold Varner III,61.07,160,102
29,0,25364,Paul Casey,60.92,106,68
30,0,40026,Daniel Berger,60.00,138,92
30,0,32618,Rhein Gibson,60.00,84,56
32,0,20848,Ángel Cabrera,59.63,96,65
33,0,31646,Emiliano Grillo,59.57,137,93
34,0,25818,Scott Piercy,59.50,119,81
35,0,36699,Patrick Rodgers,59.48,138,94
36,0,29926,Danny Lee,59.21,135,93
37,0,25900,Lucas Glover,58.72,128,90
38,0,33667,Carlos Ortiz,58.67,115,81
39,0,29461,Jamie Lovemark,58.63,163,115
40,0,34360,Patrick Reed,58.47,145,103
41,0,26300,Matt Jones,58.42,111,79
42,0,27895,Jonas Blixt,58.11,129,93
43,0,34264,Hudson Swafford,57.93,168,122
44,0,26289,Boo Weekley,57.80,126,92
45,0,35451,Scott Pinckney,57.73,127,93
46,0,34046,Jordan Spieth,57.69,105,77
47,0,32839,Hideki Matsuyama,57.61,106,78
47,0,34265,Will Wilcox,57.61,106,78
49,0,33141,Keegan Bradley,57.29,110,82
50,0,33461,Morgan Hoffmann,57.14,104,78
51,0,29268,Bronson Burgoon,57.07,113,85
52,0,28158,Steve Marino,56.98,98,74
53,0,30692,Scott Stallings,56.19,109,85
54,0,26851,Marc Leishman,56.06,111,87
55,0,20229,Stewart Cink,55.71,78,62
56,0,29223,Sam Saunders,55.56,85,68
57,0,31420,Anirban Lahiri,55.41,82,66
58,0,24461,Thomas Aiken,55.33,83,67
59,0,25892,Steve Wheatcroft,55.00,121,99
60,0,35879,Kelly Kraft,54.86,79,65
61,0,29420,Billy Horschel,54.84,102,84
62,0,27747,Hiroshi Iwata,54.81,114,94
63,0,23621,Rory Sabbatini,54.76,69,57
64,0,20766,Padraig Harrington,54.48,73,61
65,0,34099,Harris English,54.46,116,97
65,0,27974,Sung Kang,54.46,122,102
67,0,28679,Fabián Gómez,54.35,125,105
68,0,29478,Kevin Kisner,54.25,115,97
69,0,29221,Webb Simpson,54.12,92,78
70,0,37273,Derek Ernst,54.01,74,63
71,0,06522,Ernie Els,53.98,95,81
72,0,32366,Kevin Chappell,53.97,136,116
72,0,25834,Daniel Summerhays,53.97,136,116
74,0,29485,Brett Stegmaier,53.95,123,105
75,0,33399,Adam Hadwin,53.87,153,131
76,0,06567,Vijay Singh,53.54,106,92
77,0,21961,Charles Howell III,53.52,137,119
77,0,25493,Nick Taylor,53.52,114,99
79,0,29518,Brendan Steele,53.45,124,108
80,0,34563,Chesson Hadley,53.27,114,100
81,0,27936,Martin Laird,53.04,122,108
82,0,22046,Geoff Ogilvy,53.01,88,78
83,0,30163,Henrik Norlander,52.98,89,79
84,0,34261,Scott Langley,52.91,91,81
85,0,31202,William McGirt,52.88,147,131
86,0,25572,Graeme McDowell,52.86,74,66
87,0,37454,Whee Kim,52.68,108,97
88,0,27649,Brandt Snedeker,52.61,121,109
89,0,12510,Chad Campbell,52.48,127,115
90,0,33413,Ben Martin,52.38,132,120
91,0,24781,Hunter Mahan,51.72,90,84
92,0,12716,Charley Hoffman,51.34,115,109
93,0,20472,Alex Cejka,51.20,85,81
94,0,29476,Kyle Reifers,51.13,158,151
95,0,24924,Bill Haas,50.99,103,99
96,0,29720,Andres Gonzales,50.75,102,99
97,0,32640,Troy Merritt,50.49,103,101
98,0,25686,Jason Dufner,50.44,114,112
99,0,26951,Johnson Wagner,50.43,118,116
100,0,32757,Patton Kizzire,50.41,122,120
100,0,26476,Chez Reavie,50.41,122,120
102,0,22371,Aaron Baddeley,50.00,121,121
102,0,33410,Andrew Landry,50.00,49,49
102,0,28114,Dawie van der Walt,50.00,86,86
105,0,23108,Matt Kuchar,49.57,116,118
105,0,33418,Shawn Stefani,49.57,116,118
107,0,25396,Kevin Na,49.52,103,105
108,0,29289,S.Y. Noh,49.28,102,105
109,0,23638,Brendon de Jonge,49.27,101,104
110,0,31557,Jim Herman,48.68,111,117
111,0,34098,Russell Henley,48.56,101,107
112,0,31416,Derek Fathauer,48.50,113,120
113,0,20645,John Senden,48.37,119,127
114,0,27644,Brian Harman,48.34,146,156
115,0,33204,Shane Lowry,48.21,54,58
116,0,35732,Wes Roach,48.12,64,69
117,0,20157,Retief Goosen,48.05,74,80
118,0,28475,Jeff Overton,48.04,86,93
119,0,35545,Blayne Barber,47.79,108,118
120,0,25198,Francesco Molinari,47.70,83,91
121,0,26329,Louis Oosthuizen,47.66,61,67
122,0,34431,Robert Streb,47.60,99,109
123,0,27963,Chris Stroud,47.47,103,114
124,0,20572,Rod Pampling,47.41,55,61
125,0,34409,David Lingmerth,47.37,90,100
126,0,24494,Erik Compton,47.20,76,85
127,0,33122,Russell Knox,47.00,94,106
128,0,29974,Branden Grace,46.27,62,72
129,0,29479,Scott Brown,46.15,102,119
130,0,32448,James Hahn,46.02,104,122
131,0,34174,John Huh,46.00,115,135
132,0,24846,Ricky Barnes,45.97,114,134
133,0,32200,Roberto Castro,45.83,132,156
134,0,27214,Kevin Streelman,45.54,102,122
135,0,20104,Ken Duke,45.33,68,82
136,0,30926,Chris Kirk,45.30,106,128
137,0,35532,Tom Hoge,45.21,85,103
138,0,35539,Luke Guthrie,44.93,62,76
138,0,27770,Camilo Villegas,44.93,102,125
140,0,25274,Steven Bowditch,44.91,75,92
141,0,36801,Mark Hubbard,44.78,120,148
142,0,32150,Michael Thompson,44.58,74,92
143,0,33419,Cameron Tringale,44.44,104,130
144,0,24490,George McNeill,44.30,66,83
145,0,28132,Tyrone Van Aswegen,44.24,119,150
146,0,22892,Jason Gore,43.94,87,111
147,0,25240,D.A. Points,43.80,53,68
148,0,29745,Tyler Aldridge,43.75,91,117
149,0,30110,Kyle Stanley,43.70,104,134
150,0,08075,Jerry Kelly,43.01,80,106
151,0,24507,Jason Bohn,42.47,79,107
152,0,39975,Michael Kim,41.95,112,155
153,0,24912,Will MacKenzie,41.67,85,119
154,0,27466,Spencer Levin,41.60,109,153
155,0,23353,J.J. Henry,41.41,82,116
156,0,21731,Freddie Jacobson,41.07,92,132
157,0,10885,Robert Allenby,40.63,52,76
158,0,24024,Zach Johnson,40.28,87,129
159,0,27942,Rob Oppenheim,40.24,66,98
160,0,40058,Zac Blair,39.84,100,151
161,0,26596,Ryan Moore,39.71,81,123
162,0,20098,Stuart Appleby,39.50,79,121
163,0,23541,Ben Crane,38.61,78,124
164,0,25720,Chad Collins,37.76,74,122
165,0,32876,Martin Piller,37.33,56,94
166,0,23325,Vaughn Taylor,37.14,78,132
167,0,45526,Abraham Ancer,36.84,42,72
168,0,10809,Jim Furyk,36.72,47,81
169,0,35891,Cameron Smith,36.62,52,90
170,0,23983,Luke Donald,35.64,67,121
171,0,30927,Brendon Todd,35.29,60,110
172,0,23800,Bryce Molder,34.86,76,142
173,0,28092,D.H. Lee,34.67,52,98
174,0,21878,Mark Wilson,34.15,56,108
175,0,34466,Peter Malnati,33.62,78,154
176,0,29222,Billy Hurley III,32.42,59,123
177,0,24357,K.J. Choi,31.42,71,155
178,0,26758,David Hearn,31.20,83,183
179,0,31560,Brian Stuard,30.98,57,127
180,0,10213,Dicky Pride,29.69,38,90
181,0,06527,Steve Stricker,29.23,38,92
182,0,25349,Tim Wilkinson,29.05,43,105
183,0,30711,Colt Knost,27.40,60,159
184,0,34262,Jon Curran,24.05,63,199
185,0,02206,David Toms,18.45,31,137
