RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# OF BIRDIE OR BETTER,ATTEMPTS,RTP-SUCCESSES,RTP-NOT GOING FOR THE GRN
1,0,25632,Jimmy Walker,67.86,114,168,-122,E
2,0,34046,Jordan Spieth,66.39,81,122,-86,-16.00
3,0,25274,Steven Bowditch,64.84,59,91,-62,+35.00
4,0,06527,Steve Stricker,64.44,29,45,-31,-20.00
5,0,29289,S.Y. Noh,64.41,76,118,-81,-7.00
6,0,21961,Charles Howell III,64.15,102,159,-109,-14.00
7,0,28237,Rory McIlroy,63.89,92,144,-98,-5.00
8,0,21731,Freddie Jacobson,63.81,67,105,-70,-7.00
9,0,23108,Matt Kuchar,63.43,85,134,-89,-28.00
10,0,32102,Rickie Fowler,63.41,104,164,-110,-10.00
11,0,37189,Harold Varner III,63.39,116,183,-123,-1.00
11,0,27770,Camilo Villegas,63.39,71,112,-78,+5.00
13,0,27129,Luke List,63.31,107,169,-111,+12.00
14,0,25349,Tim Wilkinson,63.27,31,49,-33,-18.00
15,0,30925,Dustin Johnson,63.25,105,166,-117,-9.00
16,0,12510,Chad Campbell,63.19,91,144,-93,-15.00
17,0,27936,Martin Laird,63.12,89,141,-92,+16.00
18,0,01810,Phil Mickelson,62.88,83,132,-86,+3.00
19,0,20104,Ken Duke,62.86,44,70,-51,-3.00
20,0,25720,Chad Collins,62.79,54,86,-58,-2.00
21,0,22405,Justin Rose,62.77,86,137,-91,+2.00
21,0,31323,Gary Woodland,62.77,118,188,-126,-8.00
23,0,28089,Jason Day,62.68,89,142,-99,-9.00
24,0,32150,Michael Thompson,62.35,53,85,-58,-10.00
25,0,27466,Spencer Levin,62.20,79,127,-84,-25.00
26,0,29926,Danny Lee,62.09,95,153,-101,-3.00
27,0,23325,Vaughn Taylor,61.96,57,92,-60,-6.00
28,0,23983,Luke Donald,61.84,47,76,-48,-7.00
29,0,24494,Erik Compton,61.63,53,86,-54,-3.00
30,0,24502,Adam Scott,61.60,77,125,-84,-11.00
31,0,33399,Adam Hadwin,61.58,109,177,-114,-5.00
32,0,25198,Francesco Molinari,61.46,59,96,-64,-9.00
33,0,29725,Tony Finau,61.40,132,215,-140,+9.00
34,0,20229,Stewart Cink,61.36,54,88,-59,-1.00
35,0,35545,Blayne Barber,61.29,76,124,-81,-15.00
36,0,29518,Brendan Steele,60.93,92,151,-97,-11.00
37,0,24461,Thomas Aiken,60.92,53,87,-55,-5.00
38,0,33419,Cameron Tringale,60.53,69,114,-76,-17.00
39,0,26851,Marc Leishman,60.47,78,129,-83,-1.00
40,0,33413,Ben Martin,60.40,90,149,-105,-19.00
41,0,26329,Louis Oosthuizen,60.27,44,73,-49,-11.00
42,0,36689,Brooks Koepka,60.26,94,156,-101,+4.00
43,0,25834,Daniel Summerhays,60.25,97,161,-104,-5.00
44,0,26758,David Hearn,60.00,57,95,-65,-25.00
44,0,34431,Robert Streb,60.00,66,110,-70,-8.00
46,0,46440,Smylie Kaufman,59.89,106,177,-114,+2.00
47,0,25818,Scott Piercy,59.86,85,142,-93,-6.00
48,0,25364,Paul Casey,59.84,73,122,-77,-6.00
49,0,32640,Troy Merritt,59.66,71,119,-73,E
50,0,34360,Patrick Reed,59.52,100,168,-108,-10.00
51,0,26331,Charl Schwartzel,59.50,72,121,-76,+3.00
52,0,29420,Billy Horschel,59.48,69,116,-72,+2.00
53,0,33461,Morgan Hoffmann,59.32,70,118,-81,-6.00
54,0,34262,Jon Curran,59.21,45,76,-46,-33.00
55,0,22371,Aaron Baddeley,59.15,84,142,-91,-13.00
56,0,30926,Chris Kirk,59.02,72,122,-76,-24.00
57,0,33448,Justin Thomas,58.90,96,163,-104,-1.00
58,0,29745,Tyler Aldridge,58.82,60,102,-63,-13.00
59,0,24846,Ricky Barnes,58.78,77,131,-78,-3.00
60,0,20472,Alex Cejka,58.76,57,97,-59,-19.00
61,0,28092,D.H. Lee,58.73,37,63,-41,-10.00
61,0,24140,Sean O'Hair,58.73,111,189,-116,+1.00
63,0,27895,Jonas Blixt,58.57,82,140,-88,-8.00
63,0,29485,Brett Stegmaier,58.57,82,140,-88,-9.00
65,0,30944,Jason Kokrak,58.52,103,176,-108,+4.00
66,0,28114,Dawie van der Walt,58.42,59,101,-64,-4.00
67,0,34099,Harris English,58.33,77,132,-81,-23.00
67,0,27974,Sung Kang,58.33,84,144,-94,+5.00
69,0,32757,Patton Kizzire,58.16,82,141,-86,-19.00
69,0,29461,Jamie Lovemark,58.16,114,196,-120,-7.00
71,0,29720,Andres Gonzales,58.12,68,117,-71,-5.00
72,0,26289,Boo Weekley,57.93,84,145,-88,-7.00
73,0,31646,Emiliano Grillo,57.86,92,159,-95,-6.00
74,0,27644,Brian Harman,57.83,96,166,-102,-9.00
75,0,33141,Keegan Bradley,57.81,74,128,-77,+5.00
76,0,27649,Brandt Snedeker,57.75,82,142,-85,-17.00
77,0,24358,Robert Garrigus,57.60,72,125,-79,+4.00
78,0,32200,Roberto Castro,57.52,88,153,-94,-35.00
79,0,02206,David Toms,57.50,23,40,-23,-34.00
80,0,32366,Kevin Chappell,57.32,90,157,-102,-1.00
81,0,37455,Si Woo Kim,57.21,127,222,-135,+4.00
82,0,36801,Mark Hubbard,57.14,80,140,-86,-16.00
82,0,30711,Colt Knost,57.14,40,70,-46,-37.00
84,0,26596,Ryan Moore,57.00,57,100,-60,-29.00
85,0,29223,Sam Saunders,56.99,53,93,-58,+3.00
86,0,20157,Retief Goosen,56.98,49,86,-51,-4.00
87,0,35539,Luke Guthrie,56.94,41,72,-45,-8.00
88,0,33122,Russell Knox,56.88,62,109,-65,-4.00
89,0,24024,Zach Johnson,56.86,58,102,-61,-33.00
90,0,25686,Jason Dufner,56.69,72,127,-78,-11.00
91,0,32448,James Hahn,56.56,69,122,-72,-1.00
92,0,40026,Daniel Berger,56.52,91,161,-96,-9.00
93,0,23320,Ryan Palmer,56.42,101,179,-109,-21.00
94,0,25804,Bubba Watson,56.34,80,142,-87,-12.00
95,0,08075,Jerry Kelly,56.18,50,89,-56,-14.00
96,0,27064,Jhonattan Vegas,55.98,117,209,-128,+4.00
97,0,25572,Graeme McDowell,55.95,47,84,-49,-2.00
98,0,26300,Matt Jones,55.91,71,127,-71,-11.00
99,0,20848,Ángel Cabrera,55.86,62,111,-65,+10.00
100,0,24357,K.J. Choi,55.84,43,77,-48,-22.00
101,0,20098,Stuart Appleby,55.68,49,88,-53,-37.00
102,0,32839,Hideki Matsuyama,55.65,69,124,-71,-22.00
103,0,35451,Scott Pinckney,55.63,84,151,-90,+7.00
104,0,20766,Padraig Harrington,55.56,50,90,-52,-6.00
105,0,28679,Fabián Gómez,55.48,81,146,-87,-8.00
106,0,25900,Lucas Glover,55.40,77,139,-81,-16.00
107,0,35300,Andrew Loupe,55.38,103,186,-107,-5.00
107,0,32876,Martin Piller,55.38,36,65,-38,+1.00
109,0,29478,Kevin Kisner,55.30,73,132,-78,-11.00
110,0,29222,Billy Hurley III,55.22,37,67,-40,-22.00
111,0,27141,J.B. Holmes,55.15,91,165,-94,+13.00
112,0,29221,Webb Simpson,55.05,60,109,-66,-4.00
113,0,36699,Patrick Rodgers,54.91,95,173,-104,+2.00
114,0,29974,Branden Grace,54.67,41,75,-42,-3.00
115,0,29268,Bronson Burgoon,54.62,71,130,-77,-15.00
115,0,30692,Scott Stallings,54.62,71,130,-73,-2.00
117,0,30110,Kyle Stanley,54.55,66,121,-72,-7.00
118,0,23353,J.J. Henry,54.46,55,101,-57,-17.00
119,0,33204,Shane Lowry,54.10,33,61,-36,+3.00
119,0,35891,Cameron Smith,54.10,33,61,-34,-2.00
121,0,25892,Steve Wheatcroft,54.01,74,137,-80,-16.00
122,0,34261,Scott Langley,54.00,54,100,-57,-4.00
123,0,23541,Ben Crane,53.93,48,89,-49,-16.00
124,0,26476,Chez Reavie,53.90,76,141,-83,-12.00
125,0,34264,Hudson Swafford,53.85,105,195,-115,-11.00
126,0,27436,Graham DeLaet,53.73,72,134,-78,-2.00
126,0,33418,Shawn Stefani,53.73,72,134,-77,-3.00
126,0,31560,Brian Stuard,53.73,36,67,-36,-16.00
129,0,35732,Wes Roach,53.42,39,73,-42,+2.00
130,0,31202,William McGirt,53.01,88,166,-94,-12.00
131,0,12716,Charley Hoffman,52.86,74,140,-82,-5.00
132,0,21209,Sergio Garcia,52.81,47,89,-51,+2.00
133,0,40058,Zac Blair,52.73,58,110,-59,-7.00
134,0,23638,Brendon de Jonge,52.63,60,114,-63,-12.00
135,0,34265,Will Wilcox,52.50,63,120,-67,-2.00
136,0,34409,David Lingmerth,52.38,55,105,-58,-12.00
137,0,10213,Dicky Pride,52.27,23,44,-25,-16.00
138,0,26951,Johnson Wagner,52.21,71,136,-78,-12.00
139,0,34098,Russell Henley,52.14,61,117,-67,-5.00
140,0,31420,Anirban Lahiri,52.13,49,94,-53,-5.00
141,0,06567,Vijay Singh,52.03,64,123,-67,-9.00
142,0,37454,Whee Kim,51.97,66,127,-70,-3.00
143,0,34174,John Huh,51.88,69,133,-71,-3.00
144,0,25396,Kevin Na,51.79,58,112,-63,-12.00
145,0,28132,Tyrone Van Aswegen,51.77,73,141,-75,-9.00
146,0,35879,Kelly Kraft,51.76,44,85,-49,-9.00
147,0,24507,Jason Bohn,51.65,47,91,-47,-27.00
148,0,23800,Bryce Molder,51.61,48,93,-53,-30.00
149,0,27747,Hiroshi Iwata,51.56,66,128,-74,+2.00
150,0,25493,Nick Taylor,51.45,71,138,-77,-3.00
