RANK,MOVEMENT,PLAYER_ID,PLAYER,PUTTS MADE
1,0,46046,Scottie Scheffler,7.7
2,0,35450,Patrick Cantlay,7.1
2,0,51766,Wyndham Clark,7.1
2,0,51977,Max Greyserman,7.1
2,0,46717,Viktor Hovland,7.1
2,0,47993,Denny McCarthy,7.1
7,0,52955,Ludvig Ãberg,6.9
8,0,48081,Xander Schauffele,6.8
8,0,40006,Erik van Rooyen,6.8
10,0,47504,Sam Burns,6.7
10,0,33204,Shane Lowry,6.7
10,0,51634,Sahith Theegala,6.7
13,0,39997,Corey Conners,6.6
13,0,33653,Thomas Detry,6.6
13,0,29725,Tony Finau,6.6
13,0,34098,Russell Henley,6.6
13,0,28237,Rory McIlroy,6.6
18,0,35532,Tom Hoge,6.5
18,0,40162,Justin Lower,6.5
18,0,39327,Ben Silverman,6.5
21,0,45522,Christiaan Bezuidenhout,6.4
21,0,29420,Billy Horschel,6.4
21,0,55182,Tom Kim,6.4
24,0,29936,Ryan Fox,6.3
24,0,24502,Adam Scott,6.3
24,0,55893,Sam Stevens,6.3
27,0,31646,Emiliano Grillo,6.2
27,0,35461,Beau Hossler,6.2
27,0,46442,Maverick McNealy,6.2
27,0,57366,Cameron Young,6.2
31,0,33141,Keegan Bradley,6.1
31,0,34099,Harris English,6.1
31,0,39971,Sungjae Im,6.1
31,0,30927,Brendon Todd,6.1
35,0,30911,Tommy Fleetwood,6.0
35,0,27644,Brian Harman,6.0
35,0,48153,Matthieu Pavon,6.0
35,0,40250,Taylor Pendrith,6.0
35,0,28252,Seamus Power,6.0
35,0,50484,Hayden Springer,6.0
41,0,33948,Byeong Hun An,5.9
41,0,28089,Jason Day,5.9
41,0,40098,Matt Fitzpatrick,5.9
41,0,32839,Hideki Matsuyama,5.9
41,0,27349,Alex Noren,5.9
46,0,32102,Rickie Fowler,5.8
46,0,49947,Taylor Moore,5.8
46,0,47679,Victor Perez,5.8
46,0,49771,J.T. Poston,5.8
50,0,56630,Akshay Bhatia,5.7
50,0,32366,Kevin Chappell,5.7
50,0,33399,Adam Hadwin,5.7
50,0,51287,Ryo Hisatsune,5.7
50,0,35506,Mackenzie Hughes,5.7
50,0,24024,Zach Johnson,5.7
50,0,47420,Jake Knapp,5.7
50,0,25493,Nick Taylor,5.7
58,0,60004,Jacob Bridgeman,5.6
58,0,59836,Pierceson Coody,5.6
58,0,25900,Lucas Glover,5.6
58,0,39977,Max Homa,5.6
58,0,37378,Min Woo Lee,5.6
58,0,57900,Chandler Phillips,5.6
58,0,46414,Aaron Rai,5.6
58,0,58168,Davis Thompson,5.6
58,0,48887,Matt Wallace,5.6
67,0,35310,Lanto Griffin,5.5
67,0,37455,Si Woo Kim,5.5
67,0,32791,K.H. Lee,5.5
67,0,59143,Mac Meissner,5.5
67,0,48867,Matti Schmid,5.5
67,0,32333,Kevin Tway,5.5
67,0,52513,Carson Young,5.5
67,0,47483,Will Zalatoris,5.5
75,0,57362,Austin Eckroat,5.4
75,0,57975,Harry Hall,5.4
75,0,12716,Charley Hoffman,5.4
75,0,36799,Stephan Jaeger,5.4
75,0,50525,Collin Morikawa,5.4
75,0,34256,Andrew Putnam,5.4
75,0,36699,Patrick Rodgers,5.4
75,0,22405,Justin Rose,5.4
75,0,33486,Roger Sloan,5.4
75,0,34046,Jordan Spieth,5.4
75,0,27214,Kevin Streelman,5.4
86,0,59866,Nick Dunlap,5.3
86,0,54591,Ben Griffin,5.3
86,0,51696,Rico Hoey,5.3
86,0,36801,Mark Hubbard,5.3
86,0,50188,S.H. Kim,5.3
86,0,47983,Chad Ramey,5.3
92,0,52215,Robert MacIntyre,5.2
92,0,47995,Davis Riley,5.2
94,0,34076,Joel Dahmen,5.1
94,0,51997,Andrew Novak,5.1
94,0,27139,David Skinns,5.1
94,0,50095,Austin Smotherman,5.1
94,0,27064,Jhonattan Vegas,5.1
94,0,51894,Vince Whaley,5.1
100,0,51349,Nico Echavarria,5.0
100,0,36884,Ben Kohles,5.0
100,0,33968,ThorbjÃ¸rn Olesen,5.0
100,0,47347,Adam Schenk,5.0
100,0,46441,Robby Shelton,5.0
100,0,49960,Sepp Straka,5.0
100,0,50493,Justin Suh,5.0
107,0,34021,Bud Cauley,4.9
107,0,47591,Eric Cole,4.9
107,0,52375,Doug Ghim,4.9
107,0,34587,Chan Kim,4.9
107,0,30926,Chris Kirk,4.9
107,0,27936,Martin Laird,4.9
107,0,28775,Nate Lashley,4.9
107,0,29221,Webb Simpson,4.9
107,0,33448,Justin Thomas,4.9
107,0,52666,Sami Valimaki,4.9
107,0,54783,Dylan Wu,4.9
118,0,52514,Trace Crowe,4.8
118,0,45157,Cam Davis,4.8
118,0,54576,Patrick Fishburn,4.8
118,0,47988,Nick Hardy,4.8
118,0,48117,Kurt Kitayama,4.8
118,0,32757,Patton Kizzire,4.8
118,0,27129,Luke List,4.8
118,0,40115,Adam Svensson,4.8
126,0,34563,Chesson Hadley,4.7
126,0,39546,Keith Mitchell,4.7
126,0,30163,Henrik Norlander,4.7
126,0,29908,C.T. Pan,4.7
130,0,32367,Jorge Campillo,4.6
130,0,50497,Adrien Dumont de Chassart,4.6
130,0,52453,Nicolai HÃ¸jgaard,4.6
130,0,23108,Matt Kuchar,4.6
130,0,55789,Taylor Montgomery,4.6
135,0,48084,Wesley Bryan,4.5
135,0,46113,Ryan McCormick,4.5
137,0,34255,Joseph Bramlett,4.4
137,0,39975,Michael Kim,4.4
137,0,37275,Sam Ryder,4.4
137,0,35617,Martin Trainer,4.4
137,0,31323,Gary Woodland,4.4
137,0,45242,Kevin Yu,4.4
143,0,40026,Daniel Berger,4.3
143,0,59095,Chris Gotterup,4.3
143,0,54628,Lee Hodges,4.3
143,0,29478,Kevin Kisner,4.3
143,0,39324,J.J. Spaun,4.3
143,0,38991,Alejandro Tosti,4.3
149,0,33408,Tyson Alexander,4.2
149,0,40058,Zac Blair,4.2
149,0,54421,Garrick Higgo,4.2
149,0,34466,Peter Malnati,4.2
149,0,26596,Ryan Moore,4.2
149,0,36871,Matt NeSmith,4.2
149,0,52374,Brandon Wu,4.2
156,0,59442,Parker Coody,4.1
157,0,22371,Aaron Baddeley,4.0
157,0,47663,Kevin Dougherty,4.0
157,0,56149,Wilson Furr,4.0
157,0,23320,Ryan Palmer,4.0
161,0,52372,Cameron Champ,3.9
161,0,29535,Brice Garnett,3.9
161,0,32640,Troy Merritt,3.9
164,0,45609,Tyler Duncan,3.8
164,0,51890,Greyson Sigg,3.8
164,0,27649,Brandt Snedeker,3.8
167,0,55708,Hayden Buckley,3.7
167,0,60767,Blaine Hale Jr.,3.7
169,0,34374,Erik Barnes,3.6
169,0,32070,Rafael Campos,3.6
169,0,36326,David Lipsky,3.6
169,0,26476,Chez Reavie,3.6
169,0,48699,Callum Tarren,3.6
174,0,60067,Joe Highsmith,3.5
174,0,46340,Alex Smalley,3.5
176,0,48119,Ben Taylor,3.4
176,0,48319,Tom Whitney,3.4
178,0,37212,Paul Barjon,3.3
179,0,47806,Raul Pereda,3.2
180,0,51070,Vincent Norrman,3.0
180,0,27770,Camilo Villegas,3.0
180,0,55454,Carl Yuan,3.0
183,0,28420,Ryan Brehm,2.9
183,0,27330,Josh Teater,2.9
