RANK,MOVEMENT,PLAYER_ID,PLAYER,% MADE,ATTEMPTS,PUTTS MADE
164,0,48084,Wesley Bryan,38.10%,21,8
164,0,46046,Scottie Scheffler,38.10%,42,16
166,0,57362,Austin Eckroat,37.78%,45,17
167,0,26596,Ryan Moore,37.50%,40,15
168,0,59143,Mac Meissner,37.25%,51,19
169,0,35310,Lanto Griffin,37.21%,43,16
170,0,37455,Si Woo Kim,37.04%,54,20
171,0,50497,Adrien Dumont de Chassart,36.84%,38,14
172,0,34255,Joseph Bramlett,36.36%,55,20
172,0,28775,Nate Lashley,36.36%,44,16
174,0,35450,Patrick Cantlay,35.90%,39,14
175,0,45242,Kevin Yu,35.42%,48,17
176,0,49947,Taylor Moore,35.09%,57,20
177,0,39997,Corey Conners,34.62%,52,18
178,0,60767,Blaine Hale Jr.,34.48%,29,10
179,0,27129,Luke List,33.33%,48,16
180,0,59442,Parker Coody,32.35%,34,11
180,0,39975,Michael Kim,32.35%,34,11
182,0,30163,Henrik Norlander,31.25%,32,10
183,0,34076,Joel Dahmen,30.00%,40,12
184,0,27139,David Skinns,29.55%,44,13
