RANK,MOVEMENT,PLAYER_ID,PLAYER,%,ATTEMPTS,PUTTS MADE
1,0,55789,Taylor Montgomery,67.91%,187,127
2,0,50188,S.H. Kim,65.33%,375,245
3,0,56630,Akshay Bhatia,64.86%,333,216
4,0,34256,Andrew Putnam,63.44%,279,177
5,0,51894,Vince Whaley,63.28%,177,112
6,0,40006,Erik van Rooyen,63.10%,271,171
7,0,48081,Xander Schauffele,62.92%,267,168
8,0,48153,Matthieu Pavon,62.75%,204,128
9,0,40098,Matt Fitzpatrick,62.50%,240,150
9,0,57975,Harry Hall,62.50%,312,195
9,0,50493,Justin Suh,62.50%,248,155
12,0,31646,Emiliano Grillo,62.42%,298,186
13,0,52372,Cameron Champ,62.23%,188,117
13,0,40250,Taylor Pendrith,62.23%,278,173
15,0,27644,Brian Harman,62.22%,315,196
16,0,29420,Billy Horschel,62.20%,246,153
17,0,24024,Zach Johnson,62.03%,187,116
18,0,39327,Ben Silverman,62.02%,287,178
19,0,47995,Davis Riley,61.99%,271,168
20,0,22371,Aaron Baddeley,61.74%,230,142
21,0,47504,Sam Burns,61.68%,274,169
22,0,47806,Raul Pereda,61.54%,169,104
23,0,35506,Mackenzie Hughes,61.52%,343,211
24,0,56149,Wilson Furr,61.32%,212,130
25,0,30927,Brendon Todd,61.26%,382,234
26,0,49771,J.T. Poston,61.06%,303,185
27,0,60004,Jacob Bridgeman,61.04%,249,152
28,0,59095,Chris Gotterup,61.02%,295,180
29,0,51349,Nico Echavarria,60.96%,292,178
30,0,23108,Matt Kuchar,60.93%,279,170
31,0,24502,Adam Scott,60.92%,238,145
32,0,34099,Harris English,60.69%,318,193
33,0,33408,Tyson Alexander,60.64%,249,151
34,0,47591,Eric Cole,60.53%,413,250
35,0,27649,Brandt Snedeker,60.42%,240,145
36,0,52666,Sami Valimaki,60.38%,265,160
37,0,52215,Robert MacIntyre,60.24%,254,153
38,0,35617,Martin Trainer,60.22%,181,109
39,0,47993,Denny McCarthy,60.20%,299,180
40,0,34098,Russell Henley,60.16%,256,154
41,0,34563,Chesson Hadley,60.08%,248,149
42,0,36799,Stephan Jaeger,60.07%,303,182
43,0,33968,ThorbjÃ¸rn Olesen,60.00%,170,102
44,0,28089,Jason Day,59.92%,242,145
45,0,52514,Trace Crowe,59.90%,197,118
46,0,34466,Peter Malnati,59.87%,309,185
47,0,33653,Thomas Detry,59.85%,269,161
48,0,28775,Nate Lashley,59.83%,239,143
49,0,32102,Rickie Fowler,59.71%,278,166
50,0,50525,Collin Morikawa,59.60%,302,180
51,0,51977,Max Greyserman,59.43%,244,145
52,0,46414,Aaron Rai,59.42%,276,164
53,0,22405,Justin Rose,59.38%,224,133
54,0,27936,Martin Laird,59.34%,241,143
55,0,37212,Paul Barjon,59.17%,169,100
55,0,30911,Tommy Fleetwood,59.17%,240,142
57,0,59866,Nick Dunlap,59.11%,269,159
58,0,29478,Kevin Kisner,59.07%,193,114
59,0,47347,Adam Schenk,59.04%,332,196
60,0,57900,Chandler Phillips,59.01%,322,190
61,0,45522,Christiaan Bezuidenhout,58.95%,285,168
62,0,60067,Joe Highsmith,58.73%,252,148
63,0,29908,C.T. Pan,58.56%,222,130
64,0,55893,Sam Stevens,58.42%,291,170
65,0,51766,Wyndham Clark,58.33%,252,147
66,0,28252,Seamus Power,58.15%,368,214
67,0,36699,Patrick Rodgers,58.14%,344,200
68,0,39971,Sungjae Im,58.13%,332,193
68,0,40162,Justin Lower,58.13%,320,186
70,0,46442,Maverick McNealy,57.98%,307,178
71,0,36884,Ben Kohles,57.93%,309,179
72,0,47983,Chad Ramey,57.59%,290,167
73,0,54628,Lee Hodges,57.55%,351,202
74,0,39977,Max Homa,57.49%,287,165
75,0,54576,Patrick Fishburn,57.40%,223,128
76,0,40058,Zac Blair,57.19%,292,167
77,0,36801,Mark Hubbard,57.18%,362,207
78,0,35532,Tom Hoge,57.14%,399,228
78,0,32839,Hideki Matsuyama,57.14%,245,140
80,0,32367,Jorge Campillo,57.07%,191,109
81,0,51634,Sahith Theegala,57.06%,340,194
82,0,48867,Matti Schmid,56.98%,258,147
83,0,37378,Min Woo Lee,56.96%,230,131
84,0,46717,Viktor Hovland,56.94%,209,119
85,0,29936,Ryan Fox,56.85%,292,166
86,0,49947,Taylor Moore,56.82%,352,200
87,0,51997,Andrew Novak,56.81%,301,171
88,0,49960,Sepp Straka,56.80%,250,142
89,0,35461,Beau Hossler,56.68%,307,174
90,0,46441,Robby Shelton,56.60%,265,150
91,0,59836,Pierceson Coody,56.59%,258,146
92,0,34374,Erik Barnes,56.52%,184,104
93,0,46113,Ryan McCormick,56.50%,177,100
93,0,47679,Victor Perez,56.50%,223,126
93,0,48887,Matt Wallace,56.50%,223,126
96,0,28237,Rory McIlroy,56.39%,227,128
96,0,25493,Nick Taylor,56.39%,321,181
98,0,58168,Davis Thompson,56.37%,314,177
98,0,31323,Gary Woodland,56.37%,259,146
100,0,51287,Ryo Hisatsune,56.34%,268,151
101,0,48119,Ben Taylor,56.28%,215,121
102,0,48319,Tom Whitney,56.22%,201,113
103,0,36326,David Lipsky,56.20%,242,136
104,0,27064,Jhonattan Vegas,56.13%,253,142
105,0,54591,Ben Griffin,56.02%,382,214
106,0,32757,Patton Kizzire,55.96%,218,122
107,0,33948,Byeong Hun An,55.83%,283,158
107,0,29535,Brice Garnett,55.83%,206,115
109,0,48117,Kurt Kitayama,55.82%,292,163
110,0,52513,Carson Young,55.79%,337,188
111,0,39975,Michael Kim,55.69%,255,142
112,0,47483,Will Zalatoris,55.65%,230,128
113,0,45242,Kevin Yu,55.47%,274,152
114,0,39997,Corey Conners,55.42%,332,184
115,0,47988,Nick Hardy,55.38%,325,180
116,0,39324,J.J. Spaun,55.36%,289,160
117,0,34587,Chan Kim,55.29%,293,162
118,0,34046,Jordan Spieth,55.22%,230,127
119,0,52955,Ludvig Ãberg,55.13%,263,145
119,0,40026,Daniel Berger,55.13%,234,129
121,0,51696,Rico Hoey,55.00%,260,143
121,0,52453,Nicolai HÃ¸jgaard,55.00%,200,110
123,0,52374,Brandon Wu,54.92%,244,134
124,0,23320,Ryan Palmer,54.90%,153,84
125,0,26476,Chez Reavie,54.89%,235,129
126,0,34021,Bud Cauley,54.87%,195,107
127,0,55182,Tom Kim,54.80%,281,154
128,0,33399,Adam Hadwin,54.74%,274,150
128,0,36871,Matt NeSmith,54.74%,232,127
130,0,27349,Alex Noren,54.63%,216,118
131,0,33141,Keegan Bradley,54.51%,277,151
131,0,47420,Jake Knapp,54.51%,277,151
133,0,32333,Kevin Tway,54.49%,167,91
134,0,33204,Shane Lowry,54.44%,259,141
135,0,37455,Si Woo Kim,54.43%,316,172
136,0,54421,Garrick Higgo,54.41%,272,148
137,0,30926,Chris Kirk,54.36%,298,162
138,0,35310,Lanto Griffin,54.33%,254,138
139,0,32791,K.H. Lee,54.29%,280,152
140,0,57362,Austin Eckroat,54.19%,310,168
141,0,48084,Wesley Bryan,54.14%,133,72
141,0,45157,Cam Davis,54.14%,314,170
143,0,57366,Cameron Young,54.12%,340,184
144,0,33448,Justin Thomas,54.09%,257,139
145,0,28420,Ryan Brehm,54.04%,161,87
146,0,46340,Alex Smalley,53.97%,239,129
147,0,46046,Scottie Scheffler,53.94%,254,137
148,0,34255,Joseph Bramlett,53.92%,306,165
148,0,59143,Mac Meissner,53.92%,293,158
150,0,32366,Kevin Chappell,53.90%,154,83
151,0,39546,Keith Mitchell,53.87%,336,181
152,0,40115,Adam Svensson,53.83%,392,211
153,0,33486,Roger Sloan,53.71%,229,123
154,0,59442,Parker Coody,53.50%,200,107
155,0,38991,Alejandro Tosti,53.44%,262,140
156,0,52375,Doug Ghim,53.42%,307,164
157,0,54783,Dylan Wu,53.41%,279,149
158,0,25900,Lucas Glover,53.38%,311,166
159,0,50095,Austin Smotherman,53.25%,154,82
160,0,27214,Kevin Streelman,53.13%,224,119
161,0,35450,Patrick Cantlay,52.91%,206,109
162,0,27770,Camilo Villegas,52.85%,193,102
163,0,30163,Henrik Norlander,52.55%,196,103
163,0,37275,Sam Ryder,52.55%,274,144
165,0,27139,David Skinns,52.54%,276,145
166,0,60767,Blaine Hale Jr.,52.53%,158,83
167,0,50484,Hayden Springer,52.27%,220,115
168,0,26596,Ryan Moore,52.12%,259,135
169,0,32070,Rafael Campos,51.96%,179,93
170,0,29725,Tony Finau,51.81%,276,143
170,0,27330,Josh Teater,51.81%,166,86
172,0,29221,Webb Simpson,51.79%,195,101
173,0,27129,Luke List,51.62%,277,143
174,0,12716,Charley Hoffman,51.47%,272,140
175,0,51070,Vincent Norrman,51.40%,179,92
176,0,55454,Carl Yuan,50.22%,225,113
177,0,32640,Troy Merritt,50.19%,263,132
178,0,45609,Tyler Duncan,50.00%,206,103
179,0,48699,Callum Tarren,49.82%,281,140
180,0,47663,Kevin Dougherty,49.04%,208,102
181,0,51890,Greyson Sigg,49.02%,255,125
182,0,55708,Hayden Buckley,48.50%,233,113
183,0,34076,Joel Dahmen,48.14%,322,155
184,0,50497,Adrien Dumont de Chassart,43.67%,229,100
