RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE (FEET),TOTAL STROKES
1,0,30978,Kiradech Aphibarnrat,21' 7",5736.000,266
2,0,26329,Louis Oosthuizen,22' 0",8081.500,367
2,0,21528,Henrik Stenson,22' 0",9237.917,420
4,0,29535,Brice Garnett,22' 1",15298.083,694
5,0,26476,Chez Reavie,22' 6",12704.083,564
6,0,33141,Keegan Bradley,22' 7",16258.583,719
7,0,35532,Tom Hoge,22' 8",16114.333,710
8,0,26596,Ryan Moore,22' 9",14795.250,651
9,0,34409,David Lingmerth,22' 11",14693.417,642
10,0,24138,Ian Poulter,23' 2",9465.750,408
11,0,33413,Ben Martin,23' 3",11144.167,479
11,0,25396,Kevin Na,23' 3",14078.667,605
13,0,24925,Jonathan Byrd,23' 4",8952.750,384
13,0,25686,Jason Dufner,23' 4",9745.167,417
13,0,31646,Emiliano Grillo,23' 4",15702.750,674
13,0,36799,Stephan Jaeger,23' 4",11392.750,489
13,0,27556,Ted Potter Jr.,23' 4",15886.750,680
18,0,34021,Bud Cauley,23' 5",7652.750,327
18,0,35506,Mackenzie Hughes,23' 5",12780.333,545
20,0,22371,Aaron Baddeley,23' 6",10624.000,452
20,0,29479,Scott Brown,23' 6",15617.917,665
20,0,30911,Tommy Fleetwood,23' 6",10212.167,435
20,0,24924,Bill Haas,23' 6",10898.583,463
20,0,39975,Michael Kim,23' 6",9113.500,388
20,0,33204,Shane Lowry,23' 6",9457.333,403
20,0,26331,Charl Schwartzel,23' 6",6842.583,291
20,0,47128,Richy Werenski,23' 6",14834.417,631
28,0,29926,Danny Lee,23' 7",13770.500,584
28,0,27214,Kevin Streelman,23' 7",17926.583,761
28,0,31323,Gary Woodland,23' 7",13188.250,559
31,0,20472,Alex Cejka,23' 8",12909.583,545
31,0,27649,Brandt Snedeker,23' 8",14177.500,600
33,0,39997,Corey Conners,23' 9",15886.000,670
33,0,33399,Adam Hadwin,23' 9",13532.000,569
33,0,34360,Patrick Reed,23' 9",10504.333,442
33,0,29221,Webb Simpson,23' 9",15269.667,643
37,0,33948,Byeong Hun An,23' 10",13182.167,553
37,0,23541,Ben Crane,23' 10",9866.167,414
37,0,25900,Lucas Glover,23' 10",8957.000,376
37,0,30926,Chris Kirk,23' 10",20099.417,844
37,0,30692,Scott Stallings,23' 10",14176.083,594
42,0,27958,Ryan Blaum,23' 11",14913.583,624
42,0,35461,Beau Hossler,23' 11",17864.750,746
42,0,20572,Rod Pampling,23' 11",9220.167,385
42,0,23621,Rory Sabbatini,23' 11",14767.250,617
46,0,29420,Billy Horschel,24' 0",17059.750,712
46,0,29478,Kevin Kisner,24' 0",13933.917,580
48,0,12716,Charley Hoffman,24' 1",11861.083,492
48,0,25572,Graeme McDowell,24' 1",8888.750,369
48,0,29485,Brett Stegmaier,24' 1",9032.083,375
51,0,32448,James Hahn,24' 2",14676.333,608
51,0,25818,Scott Piercy,24' 2",13629.000,564
51,0,08793,Tiger Woods,24' 2",11181.250,463
54,0,35879,Kelly Kraft,24' 3",16031.083,661
54,0,27936,Martin Laird,24' 3",12787.667,527
54,0,32876,Martin Piller,24' 3",12976.667,535
57,0,25364,Paul Casey,24' 4",8865.917,364
57,0,25198,Francesco Molinari,24' 4",11247.917,462
57,0,34358,Jonathan Randolph,24' 4",12301.167,506
57,0,28132,Tyrone Van Aswegen,24' 4",15500.750,637
61,0,45526,Abraham Ancer,24' 5",17370.083,712
61,0,20229,Stewart Cink,24' 5",12865.917,527
61,0,28679,Fabián Gómez,24' 5",14930.417,611
61,0,34174,John Huh,24' 5",17434.500,713
61,0,46601,Trey Mullinax,24' 5",10024.250,411
66,0,26499,Rafa Cabrera Bello,24' 6",9863.000,403
66,0,34076,Joel Dahmen,24' 6",15360.083,628
66,0,27349,Alex Noren,24' 6",9115.917,372
69,0,34363,Tyrrell Hatton,24' 7",7887.417,321
69,0,33122,Russell Knox,24' 7",15734.667,639
69,0,23108,Matt Kuchar,24' 7",13179.750,536
69,0,33410,Andrew Landry,24' 7",15576.417,634
69,0,31202,William McGirt,24' 7",15117.250,614
69,0,29908,C.T. Pan,24' 7",18662.833,759
69,0,39327,Ben Silverman,24' 7",16713.917,680
69,0,47287,Ethan Tracy,24' 7",10687.083,434
69,0,25892,Steve Wheatcroft,24' 7",10463.333,425
78,0,40058,Zac Blair,24' 8",9507.000,386
78,0,39954,Cody Gribble,24' 8",9776.417,397
78,0,34098,Russell Henley,24' 8",12519.500,507
78,0,37454,Whee Kim,24' 8",14849.917,602
78,0,28252,Seamus Power,24' 8",12200.417,495
78,0,30110,Kyle Stanley,24' 8",15743.417,639
84,0,19803,Ryan Armour,24' 9",24194.417,978
84,0,45609,Tyler Duncan,24' 9",17105.417,692
84,0,10809,Jim Furyk,24' 9",9806.250,396
84,0,19846,Brian Gay,24' 9",21145.750,853
84,0,26758,David Hearn,24' 9",11298.250,457
84,0,29222,Billy Hurley III,24' 9",11369.833,459
84,0,37455,Si Woo Kim,24' 9",15379.833,622
91,0,20593,Greg Chalmers,24' 10",8076.667,325
91,0,24781,Hunter Mahan,24' 10",10943.833,441
91,0,34256,Andrew Putnam,24' 10",15448.250,622
91,0,29223,Sam Saunders,24' 10",13318.417,537
91,0,27095,Nick Watney,24' 10",15353.333,619
91,0,25804,Bubba Watson,24' 10",12437.250,501
97,0,12510,Chad Campbell,24' 11",14219.583,570
97,0,32102,Rickie Fowler,24' 11",12569.750,504
97,0,23353,J.J. Henry,24' 11",14241.000,571
97,0,32757,Patton Kizzire,24' 11",14585.417,586
97,0,29461,Jamie Lovemark,24' 11",14421.250,579
97,0,22405,Justin Rose,24' 11",10842.000,435
103,0,46435,Austin Cook,25' 0",20984.333,839
103,0,35376,Roberto Díaz,25' 0",11945.917,478
103,0,32816,Satoshi Kodaira,25' 0",8542.500,342
103,0,32640,Troy Merritt,25' 0",15558.083,623
103,0,22056,Cameron Percy,25' 0",8722.000,349
103,0,39328,Conrad Shindler,25' 0",9968.667,399
103,0,39324,J.J. Spaun,25' 0",16062.750,642
103,0,31560,Brian Stuard,25' 0",20852.833,835
111,0,35545,Blayne Barber,25' 1",13345.000,532
111,0,28500,Martin Flores,25' 1",13260.167,529
111,0,31420,Anirban Lahiri,25' 1",13454.333,537
111,0,50526,Tom Lovelady,25' 1",12386.750,494
111,0,37275,Sam Ryder,25' 1",15666.500,625
111,0,33418,Shawn Stefani,25' 1",11547.750,460
117,0,34099,Harris English,25' 2",13680.250,543
117,0,28307,Matt Every,25' 2",11036.583,439
117,0,20157,Retief Goosen,25' 2",7390.500,294
117,0,32150,Michael Thompson,25' 2",12672.500,504
117,0,49964,Aaron Wise,25' 2",16973.583,675
122,0,47125,Matt Atkins,25' 3",7632.917,302
122,0,21961,Charles Howell III,25' 3",16019.750,635
122,0,37189,Harold Varner III,25' 3",14054.917,557
