RANK,MOVEMENT,PLAYER_ID,PLAYER,POINTS,# OF WINS,# OF TOP 10'S,POINTS BEHIND LEAD
1,0,08793,Tiger Woods,3431,5,11,0
2,0,06527,Steve Stricker,2155,2,8,1276
3,0,24024,Zach Johnson,2019,2,7,1412
4,0,01945,Kenny Perry,1993,2,7,1438
5,0,25900,Lucas Glover,1742,1,5,1689
6,0,01810,Phil Mickelson,1630,2,6,1801
7,0,24663,Y.E. Yang,1621,2,4,1810
8,0,22046,Geoff Ogilvy,1603,2,4,1828
9,0,19846,Brian Gay,1540,2,4,1891
10,0,24140,Sean O'Hair,1474,1,6,1957
11,0,20157,Retief Goosen,1459,1,4,1972
12,0,02206,David Toms,1394,0,7,2037
13,0,27095,Nick Watney,1388,1,3,2043
14,0,24781,Hunter Mahan,1282,0,6,2149
15,0,20229,Stewart Cink,1225,1,4,2206
16,0,10809,Jim Furyk,1188,0,7,2243
17,0,23621,Rory Sabbatini,1163,1,4,2268
18,0,25364,Paul Casey,1161,1,3,2270
19,0,30925,Dustin Johnson,1155,1,4,2276
20,0,22913,John Rollins,1112,1,4,2319
21,0,08075,Jerry Kelly,1068,1,5,2363
22,0,26596,Ryan Moore,1023,1,4,2408
23,0,25396,Kevin Na,1021,0,8,2410
24,0,23983,Luke Donald,993,0,5,2438
25,0,23135,Tim Clark,980,0,4,2451
26,0,10423,Mike Weir,968,0,5,2463
27,0,20848,Ángel Cabrera,968,1,2,2463
28,0,12716,Charley Hoffman,963,0,3,2468
29,0,29718,Anthony Kim,957,0,3,2474
30,0,28158,Steve Marino,938,0,4,2493
31,0,20645,John Senden,937,0,5,2494
32,0,21961,Charles Howell III,937,0,3,2494
33,0,24361,Pat Perez,920,1,2,2511
34,0,24138,Ian Poulter,907,0,4,2524
35,0,27770,Camilo Villegas,886,0,3,2545
36,0,01706,Davis Love III,851,0,2,2580
37,0,21878,Mark Wilson,848,1,2,2583
38,0,10885,Robert Allenby,846,0,3,2585
39,0,10860,Justin Leonard,838,0,5,2593
40,0,21753,Brian Davis,823,0,3,2608
41,0,23718,Nathan Green,822,1,1,2609
42,0,25686,Jason Dufner,787,0,5,2644
43,0,27060,John Mallinger,775,0,4,2656
44,0,27933,John Merrick,762,0,4,2669
45,0,07749,Brett Quigley,760,0,3,2671
46,0,23623,Bo Van Pelt,743,1,4,2688
47,0,06522,Ernie Els,733,0,5,2698
48,0,23541,Ben Crane,727,0,4,2704
49,0,06643,Paul Goydos,725,0,3,2706
50,0,12510,Chad Campbell,703,0,2,2728
51,0,20498,Briny Baird,695,0,3,2736
52,0,06595,Kevin Sutherland,693,0,2,2738
53,0,20160,Charlie Wi,683,0,3,2748
54,0,25804,Bubba Watson,677,0,2,2754
55,0,23800,Bryce Molder,669,0,2,2762
56,0,07867,Woody Austin,667,0,3,2764
57,0,20574,Mathew Goggin,662,0,3,2769
