RANK,MOVEMENT,PLAYER_ID,PLAYER,POINTS,# OF WINS,# OF TOP-10S
1,0,08793,Tiger Woods,4000,6,14
2,0,01810,Phil Mickelson,2920,3,7,1080
3,0,06527,Steve Stricker,2750,3,11,1250
4,0,10809,Jim Furyk,2438,0,10,1562
5,0,24140,Sean O'Hair,2200,1,9,1800
6,0,24024,Zach Johnson,2073,2,8,1927
7,0,20766,Padraig Harrington,2050,0,6,1950
8,0,22293,Heath Slocum,1855,1,3,2145
9,0,01945,Kenny Perry,1450,2,8,2550
10,0,02239,Scott Verplank,1245,0,6,2755
11,0,25686,Jason Dufner,855,0,6,3145
12,0,27095,Nick Watney,748,1,4,3252
13,0,22046,Geoff Ogilvy,713,2,5,3287
14,0,30925,Dustin Johnson,700,1,5,3300
15,0,28158,Steve Marino,698,0,5,3302
16,0,06522,Ernie Els,690,0,7,3310
17,0,25900,Lucas Glover,660,1,6,3340
18,0,20157,Retief Goosen,640,1,5,3360
19,0,02206,David Toms,608,0,7,3392
20,0,26851,Marc Leishman,593,0,3,3407
21,0,19846,Brian Gay,573,2,4,3427
22,0,08075,Jerry Kelly,570,1,6,3430
23,0,24663,Y.E. Yang,565,2,4,3435
24,0,20645,John Senden,560,0,6,3440
25,0,20848,Ángel Cabrera,558,1,3,3442
26,0,25396,Kevin Na,545,0,9,3455
27,0,24781,Hunter Mahan,515,0,6,3485
28,0,20229,Stewart Cink,505,1,4,3495
29,0,10423,Mike Weir,468,0,5,3532
30,0,23983,Luke Donald,458,0,6,3542
31,0,24138,Ian Poulter,1532,0,5,7164
32,0,21878,Mark Wilson,1438,1,3,7258
33,0,27649,Brandt Snedeker,1435,0,5,7261
34,0,23621,Rory Sabbatini,1426,1,4,7270
35,0,29718,Anthony Kim,1420,0,3,7276
36,0,23135,Tim Clark,1395,0,4,7301
37,0,12716,Charley Hoffman,1393,0,3,7303
38,0,21209,Sergio Garcia,1379,0,3,7317
39,0,10860,Justin Leonard,1371,0,5,7325
40,0,23108,Matt Kuchar,1364,0,3,7332
41,0,24924,Bill Haas,1362,0,4,7334
42,0,27770,Camilo Villegas,1336,0,4,7360
43,0,10885,Robert Allenby,1326,0,3,7370
44,0,06595,Kevin Sutherland,1276,0,2,7420
45,0,22913,John Rollins,1266,1,4,7430
46,0,24361,Pat Perez,1233,1,2,7463
47,0,26596,Ryan Moore,1215,1,4,7481
48,0,28089,Jason Day,1213,0,2,7483
49,0,21961,Charles Howell III,1202,0,3,7494
50,0,23623,Bo Van Pelt,1195,1,4,7501
51,0,01706,Davis Love III,1166,0,2,7530
52,0,25364,Paul Casey,1161,1,3,7535
53,0,25804,Bubba Watson,1140,0,2,7556
54,0,06643,Paul Goydos,1120,0,4,7576
55,0,06004,Stephen Ames,1102,0,4,7594
56,0,20160,Charlie Wi,1101,0,3,7595
57,0,21731,Freddie Jacobson,1087,0,3,7609
58,0,21753,Brian Davis,1045,0,3,7651
59,0,12510,Chad Campbell,1043,0,2,7653
60,0,27060,John Mallinger,1037,0,4,7659
61,0,23541,Ben Crane,996,0,4,7700
62,0,29221,Webb Simpson,986,0,3,7710
63,0,23718,Nathan Green,910,1,1,7786
64,0,23800,Bryce Molder,894,0,2,7802
65,0,07867,Woody Austin,892,0,3,7804
66,0,24925,Jonathan Byrd,888,0,2,7808
67,0,28475,Jeff Overton,880,0,3,7816
68,0,24507,Jason Bohn,876,0,2,7820
69,0,27141,J.B. Holmes,843,0,2,7853
70,0,01320,Bob Estes,824,0,2,7872
71,0,07749,Brett Quigley,812,0,3,7884
72,0,25240,D.A. Points,808,0,3,7888
73,0,26289,Boo Weekley,802,0,1,7894
74,0,20574,Mathew Goggin,782,0,3,7914
75,0,27933,John Merrick,762,0,4,7934
76,0,27214,Kevin Streelman,758,0,2,7938
77,0,20691,Greg Owen,756,0,1,7940
78,0,27120,Troy Matteson,754,0,7942
79,0,01577,Lee Janzen,738,0,2,7958
80,0,20498,Briny Baird,733,0,3,7963
81,0,06567,Vijay Singh,719,0,3,7977
82,0,10585,Scott McCarron,719,0,3,7977
83,0,23353,J.J. Henry,709,0,3,7987
84,0,01226,Fred Couples,709,0,4,7987
85,0,22405,Justin Rose,704,0,1,7992
