RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR 300-320,TOTAL DRIVES - OVERALL,RELATIVE TO PAR
1,0,01249,John Daly,34.67,199,574,-0.060
2,0,27141,J.B. Holmes,30.68,270,880,-0.022
3,0,23322,Brett Wetterich,28.99,294,1014,-0.156
4,0,12716,Charley Hoffman,28.35,351,1238,-0.154
5,0,21805,Harrison Frazar,27.77,291,1048,-0.131
6,0,23497,Tag Ridings,27.02,338,1251,-0.089
7,0,24980,Scott Gutschewski,26.27,165,628,-0.230
8,0,24925,Jonathan Byrd,26.17,196,749,-0.163
9,0,01810,Phil Mickelson,25.84,170,658,-0.218
10,0,01706,Davis Love III,25.81,206,798,-0.146
11,0,23616,Ryan Hietala,25.70,183,712,-0.016
12,0,24358,Robert Garrigus,25.63,265,1034,-0.094
13,0,02106,Chris Smith,25.52,209,819,-0.139
14,0,08793,Tiger Woods,25.48,132,518,-0.348
15,0,27943,Matt Hansen,24.88,201,808,-0.124
16,0,26360,Bubba Dickerson,24.35,292,1199,-0.134
17,0,28475,Jeff Overton,24.18,294,1216,-0.126
18,0,20850,Daniel Chopra,24.16,303,1254,-0.182
19,0,27770,Camilo Villegas,24.04,275,1144,-0.193
20,0,11123,Chris Couch,23.93,223,932,-0.175
21,0,27120,Troy Matteson,23.63,290,1227,-0.128
22,0,25900,Lucas Glover,23.34,281,1204,-0.238
23,0,24912,Will MacKenzie,23.18,242,1044,-0.132
24,0,23349,Charles Warren,23.05,260,1128,-0.177
24,0,25804,Bubba Watson,23.05,231,1002,-0.100
26,0,21961,Charles Howell III,22.76,251,1103,-0.199
27,0,27095,Nick Watney,22.58,271,1200,-0.170
28,0,20378,Mathias Grönberg,22.57,249,1103,-0.141
29,0,25936,Alex Aragon,22.41,169,754,-0.047
30,0,23614,Rich Beem,22.36,203,908,-0.192
31,0,08835,Kris Cox,22.31,224,1004,-0.134
32,0,23409,James Driscoll,22.26,236,1060,-0.123
33,0,28780,Nicholas Thompson,22.24,242,1088,-0.087
34,0,06573,Brandt Jobe,21.72,212,976,-0.203
35,0,25842,Jon Mills,21.69,164,756,-0.122
36,0,24924,Bill Haas,21.62,265,1226,-0.189
37,0,23623,Bo Van Pelt,21.58,271,1256,-0.181
38,0,06567,Vijay Singh,21.51,253,1176,-0.245
39,0,22892,Jason Gore,21.49,217,1010,-0.078
39,0,20645,John Senden,21.49,237,1103,-0.215
41,0,20574,Mathew Goggin,21.06,171,812,-0.094
42,0,22946,Henrik Bjornstad,20.82,259,1244,-0.116
43,0,22046,Geoff Ogilvy,20.77,152,732,-0.191
44,0,01226,Fred Couples,20.54,92,448,+0.011
45,0,24502,Adam Scott,20.53,146,711,-0.137
46,0,23320,Ryan Palmer,20.45,234,1144,-0.184
47,0,23307,Roger Tambellini,20.27,150,740,-0.193
48,0,01945,Kenny Perry,19.76,166,840,-0.139
49,0,22378,Trevor Immelman,19.67,200,1017,-0.235
50,0,25632,Jimmy Walker,19.62,153,780,-0.144
51,0,24361,Pat Perez,19.56,115,588,-0.096
52,0,20094,Jonathan Kaye,19.40,233,1201,-0.167
53,0,20157,Retief Goosen,19.31,124,642,-0.145
54,0,12782,Tim Herron,19.21,166,864,-0.108
55,0,22913,John Rollins,19.15,203,1060,-0.202
56,0,08375,Paul Stankowski,19.02,167,878,-0.108
57,0,23353,J.J. Henry,18.62,200,1074,-0.120
58,0,12823,Carlos Franco,18.53,199,1074,-0.131
59,0,24140,Sean O'Hair,18.48,197,1066,-0.152
59,0,20691,Greg Owen,18.48,160,866,-0.194
61,0,19824,Craig Barlow,18.35,149,812,-0.208
62,0,23621,Rory Sabbatini,18.05,161,892,-0.224
63,0,21209,Sergio Garcia,18.00,99,550,-0.162
64,0,23048,Eric Axley,17.91,197,1100,-0.203
64,0,06350,Bob May,17.91,134,748,-0.164
66,0,09011,David Duval,17.79,132,742,-0.167
67,0,21731,Freddie Jacobson,17.59,133,756,-0.105
68,0,06197,Michael Allen,17.46,176,1008,-0.114
69,0,12510,Chad Campbell,17.45,163,934,-0.129
70,0,10565,Ian Leggatt,17.42,170,976,-0.094
71,0,12660,Jesper Parnevik,17.39,177,1018,-0.266
72,0,10885,Robert Allenby,17.34,145,836,-0.159
73,0,21660,Jason Schultz,17.22,156,906,-0.083
74,0,07013,Wes Short Jr.,16.95,202,1192,-0.104
75,0,21949,Joe Ogilvie,16.87,184,1091,-0.168
76,0,07223,Brian Bateman,16.81,138,821,-0.087
77,0,23788,D.J. Trahan,16.79,178,1060,-0.230
78,0,22405,Justin Rose,16.76,201,1199,-0.209
79,0,06034,Marco Dawson,16.59,178,1073,-0.185
80,0,06595,Kevin Sutherland,16.34,198,1212,-0.227
81,0,20105,Jeff Gove,16.24,183,1127,-0.142
82,0,24781,Hunter Mahan,16.07,199,1238,-0.121
83,0,21959,Ted Purdy,15.98,179,1120,-0.229
84,0,12760,Danny Ellis,15.87,133,838,-0.188
85,0,06522,Ernie Els,15.75,103,654,-0.155
86,0,20229,Stewart Cink,15.48,157,1014,-0.248
87,0,01553,John Huston,15.38,139,904,-0.137
88,0,01761,Len Mattiace,15.35,111,723,-0.063
89,0,22548,Patrick Sheehan,15.33,186,1213,-0.215
90,0,20098,Stuart Appleby,15.29,137,896,-0.146
91,0,20608,David Howell,15.00,63,420,-0.111
92,0,01707,Steve Lowery,14.97,173,1156,-0.237
93,0,20572,Rod Pampling,14.57,132,906,-0.205
94,0,02223,Bob Tway,14.53,136,936,-0.118
95,0,25935,John Engler Jr.,14.43,127,880,-0.126
96,0,06373,José María Olazábal,14.31,78,545,-0.141
97,0,06515,Shaun Micheel,14.30,155,1084,-0.194
98,0,12755,Vance Veazey,14.15,107,756,-0.150
99,0,08537,J.P. Hayes,14.08,98,696,-0.245
100,0,12662,Thomas Levet,13.99,94,672,-0.064
101,0,01677,Tom Lehman,13.91,91,654,-0.110
102,0,24507,Jason Bohn,13.85,172,1242,-0.174
103,0,20628,Arron Oberholser,13.82,120,868,-0.200
104,0,22371,Aaron Baddeley,13.79,131,950,-0.130
105,0,01473,Todd Hamilton,13.68,107,782,-0.075
106,0,07749,Brett Quigley,13.67,179,1309,-0.184
107,0,12645,Brent Geiberger,13.65,171,1253,-0.193
108,0,23325,Vaughn Taylor,13.64,147,1078,-0.218
109,0,01313,Steve Elkington,13.59,87,640,-0.149
110,0,01042,Paul Azinger,13.55,151,1114,-0.265
111,0,21407,Arjun Atwal,13.49,154,1142,-0.156
112,0,02246,Duffy Waldorf,13.42,153,1140,-0.183
113,0,01666,Bernhard Langer,13.40,110,821,-0.182
114,0,20766,Padraig Harrington,13.35,71,532,-0.225
115,0,20472,Alex Cejka,13.26,148,1116,-0.196
116,0,02206,David Toms,13.19,115,872,-0.252
117,0,12680,Shigeki Maruyama,12.99,145,1116,-0.207
118,0,11011,Mike Sposa,12.96,105,810,-0.229
119,0,24024,Zach Johnson,12.94,139,1074,-0.209
120,0,25345,Carl Pettersson,12.93,136,1052,-0.176
121,0,24357,K.J. Choi,12.89,142,1102,-0.246
122,0,07867,Woody Austin,12.84,166,1293,-0.157
123,0,06621,Joe Durant,12.72,170,1336,-0.282
124,0,06004,Stephen Ames,12.66,78,616,-0.321
125,0,07457,Steve Flesch,12.60,181,1437,-0.249
126,0,21753,Brian Davis,12.46,141,1132,-0.142
127,0,10860,Justin Leonard,12.43,113,909,-0.088
128,0,20593,Greg Chalmers,12.31,98,796,-0.153
129,0,25240,D.A. Points,12.30,122,992,-0.180
130,0,26596,Ryan Moore,12.11,98,809,-0.265
131,0,11032,Frank Lickliter II,12.01,142,1182,-0.190
132,0,21646,David Branshaw,11.98,145,1210,-0.186
133,0,01577,Lee Janzen,11.86,112,944,-0.143
134,0,20631,David McKenzie,11.85,114,962,-0.123
135,0,20498,Briny Baird,11.68,114,976,-0.237
136,0,01035,Tommy Armour III,11.55,85,736,-0.059
137,0,02101,Joey Sindelar,11.44,121,1058,-0.223
138,0,10809,Jim Furyk,11.40,109,956,-0.211
139,0,10733,Kent Jones,11.19,137,1224,-0.197
