RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR 300-320,TOTAL DRVS - OVERALL,RELATIVE TO PAR
1,0,01249,John Daly,47.67,41,86,+3.73
2,0,23322,Brett Wetterich,41.67,65,156,+3.95
3,0,23616,Ryan Hietala,38.14,45,118,+3.84
4,0,27943,Matt Hansen,37.88,50,132,+3.48
5,0,24358,Robert Garrigus,37.35,62,166,+3.82
6,0,26360,Bubba Dickerson,35.94,69,192,+3.88
7,0,27141,J.B. Holmes,35.82,48,134,+3.52
8,0,23497,Tag Ridings,35.71,70,196,+3.90
9,0,12716,Charley Hoffman,35.64,67,188,+4.19
10,0,21805,Harrison Frazar,35.63,62,174,+3.94
11,0,01810,Phil Mickelson,34.91,37,106,+3.84
12,0,06573,Brandt Jobe,34.87,53,152,+4.13
13,0,20157,Retief Goosen,34.78,32,92,+3.97
14,0,23307,Roger Tambellini,34.43,42,122,+3.67
15,0,24980,Scott Gutschewski,34.31,35,102,+3.89
16,0,08793,Tiger Woods,34.21,26,76,+3.69
17,0,23409,James Driscoll,33.13,53,160,+3.53
18,0,25900,Lucas Glover,32.97,60,182,+3.82
19,0,02106,Chris Smith,32.84,44,134,+3.27
20,0,08835,Kris Cox,32.72,53,162,+3.81
21,0,24924,Bill Haas,32.29,62,192,+3.95
22,0,24925,Jonathan Byrd,32.26,40,124,+3.55
23,0,23349,Charles Warren,31.98,55,172,+3.64
24,0,25842,Jon Mills,31.82,42,132,+4.02
25,0,27120,Troy Matteson,31.68,64,202,+3.69
26,0,27095,Nick Watney,31.58,60,190,+3.53
27,0,20850,Daniel Chopra,31.55,65,206,+4.03
28,0,22046,Geoff Ogilvy,31.48,34,108,+3.74
29,0,28780,Nicholas Thompson,31.32,57,182,+3.51
30,0,24912,Will MacKenzie,31.25,55,176,+3.56
31,0,07223,Brian Bateman,30.77,40,130,+3.88
31,0,24502,Adam Scott,30.77,32,104,+3.56
33,0,28475,Jeff Overton,30.65,57,186,+3.96
34,0,01226,Fred Couples,30.26,23,76,+3.39
35,0,11123,Chris Couch,30.14,44,146,+3.55
36,0,01706,Davis Love III,29.69,38,128,+4.03
37,0,25936,Alex Aragon,29.51,36,122,+3.92
38,0,20645,John Senden,29.31,51,174,+3.59
39,0,20574,Mathew Goggin,28.79,38,132,+3.42
40,0,22913,John Rollins,28.74,50,174,+3.52
41,0,23623,Bo Van Pelt,28.65,55,192,+3.47
42,0,23320,Ryan Palmer,28.42,54,190,+3.94
43,0,12782,Tim Herron,28.36,38,134,+3.87
44,0,10565,Ian Leggatt,28.29,43,152,+3.77
45,0,20691,Greg Owen,28.17,40,142,+3.60
46,0,20378,Mathias Grönberg,28.09,50,178,+3.68
47,0,10885,Robert Allenby,27.87,34,122,+3.76
48,0,22892,Jason Gore,27.50,44,160,+3.52
49,0,22946,Henrik Bjornstad,27.37,52,190,+3.56
50,0,12823,Carlos Franco,27.33,47,172,+3.45
