RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL,START TOURNAMENT ID
1,0,01326,Nick Faldo,19,1989090
2,0,01823,Larry Mize,17,1990120
3,0,01633,Tom Kite,16,1990110
4,0,01771,Blaine McCallister,14,1990250
5,0,01876,Greg Norman,12,1990160
6,0,02100,Tim Simpson,11,1990210
7,0,01060,Dave Barr,10,1990250
7,0,01559,Hale Irwin,10,1990200
7,0,02300,Ian Woosnam,10,1989130
10,0,01444,Ken Green,9,1990310
10,0,01887,Mark O'Meara,9,1990280
12,0,01361,Dan Forsman,8,1990340
13,0,01049,Ian Baker-Finch,7,1990330
13,0,01072,Chip Beck,7,1990310
13,0,01284,Mike Donald,7,1990380
13,0,01435,Wayne Grady,7,1990260
13,0,01766,Billy Mayfair,7,1990370
13,0,02041,Bill Sander,7,1990340
19,0,01030,Isao Aoki,6,1990120
19,0,06373,José María Olazábal,6,1990150
19,0,01968,Nick Price,6,1990380
19,0,02196,Robert Thompson,6,1989390
23,0,01577,Lee Janzen,5,1990390
23,0,01690,Bruce Lietzke,5,1990340
23,0,01906,Masashi Jumbo Ozaki,5,1990120
23,0,01928,Corey Pavin,5,1990390
23,0,02225,Howard Twitty,5,1990400
28,0,06142,Mitch Adcock,4,1990390
28,0,01098,Jay Don Blake,4,1990390
28,0,06118,Greg Bruckner,4,1990390
28,0,01282,Trevor Dodds,4,1990360
28,0,01364,Peter Fowler,4,1984340
28,0,01457,Jay Haas,4,1990410
28,0,01510,Nolan Henke,4,1990400
28,0,01529,Mike Holland,4,1990350
28,0,01783,Mark McCumber,4,1990390
28,0,02010,Loren Roberts,4,1990420
28,0,02067,Ted Schulz,4,1990410
28,0,02146,Payne Stewart,4,1990420
28,0,02167,Mike Sullivan,4,1990400
28,0,02222,Billy Tuten,4,1990140
28,0,02223,Bob Tway,4,1990410
43,0,01024,Billy Andrade,3,1990420
43,0,01042,Paul Azinger,3,1990430
43,0,01096,Phil Blackmar,3,1990420
43,0,01321,Tom Eubank,3,1990400
43,0,01323,Brad Fabel,3,1990420
43,0,01388,Robert Gamez,3,1990430
43,0,01569,Peter Jacobsen,3,1990360
43,0,01599,Steve Jones,3,1990390
43,0,01670,Jack Larkin Sr.,3,1989360
43,0,01706,Davis Love III,3,1990430
43,0,01725,John Mahaffey,3,1990420
43,0,01777,John McComish,3,1990270
43,0,01837,Gil Morgan,3,1990430
43,0,02084,Bob Shearer,3,1984320
43,0,02180,Harry Taylor,3,1990400
43,0,02246,Duffy Waldorf,3,1990420
43,0,02256,Tom Watson,3,1990280
60,0,01035,Tommy Armour III,2,1990430
60,0,01040,Emlyn Aubrey,2,1990420
60,0,01080,Scott Bentley,2,1990070
60,0,01156,Curt Byrum,2,1990420
60,0,01157,Tom Byrum,2,1990430
60,0,01161,Mark Calcavecchia,2,1990440
60,0,01196,Brian Claar,2,1990430
60,0,06144,John Dowdall,2,1990410
60,0,01313,Steve Elkington,2,1990430
60,0,01353,Bruce Fleisher,2,1990360
60,0,11722,Stewart Ginn,2,1980350
60,0,01436,David Graham,2,1990250
60,0,01458,Jerry Haas,2,1990420
60,0,06284,Jim Hallet,2,1990430
60,0,01493,Mike Harwood,2,1987360
60,0,01494,Steve Haskins,2,1990040
60,0,01495,Morris Hatalsky,2,1990430
60,0,01553,John Huston,2,1990440
60,0,01556,Joe Inman,2,1987430
60,0,01597,Grier Jones,2,1984400
60,0,01639,Kenny Knox,2,1990430
60,0,01662,Greg Ladehoff,2,1990310
60,0,06332,Neal Lancaster,2,1990430
60,0,01793,Mac McLendon,2,1980430
60,0,01797,Rocco Mediate,2,1990430
60,0,01810,Phil Mickelson,2,1990020
60,0,01864,Larry Nelson,2,1990410
60,0,01866,Jack Newton,2,1982420
60,0,01892,Aki Ohmachi,2,1990080
60,0,01905,Joe Ozaki,2,1990340
60,0,01920,Craig Parry,2,1990330
60,0,01938,David Peoples,2,1990430
60,0,01960,Don Pooley,2,1990430
60,0,01978,Fran Quinn,2,1990290
60,0,01996,Mike Reid,2,1990430
60,0,01999,Larry Rentz,2,1986240
60,0,02007,Larry Rinker,2,1990430
60,0,02049,Gene Sauers,2,1990430
60,0,02091,Charles Sifford,2,1983020
60,0,02105,Bob Smith,2,1985280
60,0,02159,Curtis Strange,2,1990390
60,0,02170,Hal Sutton,2,1990430
60,0,02230,Stan Utley,2,1990430
60,0,02241,Bobby Wadkins,2,1990430
60,0,02292,Bob Wolcott,2,1990430
60,0,06503,Randy Wylie,2,1988480
60,0,02322,Richard Zokol,2,1990430
