RANK,MOVEMENT,PLAYER_ID,PLAYER,DISTANCE,TOURNAMENT,ROUND- COURSE,HOLE
1,0,27129,Luke List,255,Farmers Ins.,4,13 - Par 5
2,0,32150,Michael Thompson,231,THE PLAYERS,1,8 - Par 3 -
4,0,32366,Kevin Chappell,217,Arnold Palmer,2,14 - Par 3
5,0,08075,Jerry Kelly,216,THE PLAYERS,2,14 - Par 4
6,0,27895,Jonas Blixt,210,Sony Open,1,6 - Par 4 -
7,0,24781,Hunter Mahan,210,BMW Champ,3,17 - Par 3
8,0,29720,Andres Gonzales,205,Wyndham Champ,3,14 - Par 4
9,0,21951,Joey Snyder III,205,Travelers Champ,2,8 - Par 3 -
10,0,31560,Brian Stuard,204,Canadian Open,1,8 - Par 4 -
11,0,20593,Greg Chalmers,199,Texas Open,4,16 - Par 3
12,0,32698,Bobby Gates,194,Crowne Plaza,4,13 - Par 3
13,0,10885,Robert Allenby,193,Honda Classic,2,7 - Par 3 -
14,0,34174,John Huh,188,Travelers Champ,1,10 - Par 4
15,0,27963,Chris Stroud,186,THE PLAYERS,3,13 - Par 3
16,0,22295,Darron Stiles,185,John Deere Clas,2,7 - Par 3 -
17,0,26329,Louis Oosthuizen,184,The Greenbrier,4,2 - Par 4 -
18,0,34099,Harris English,181,St. Jude,2,5 - Par 4 -
19,0,30926,Chris Kirk,180,Humana,1,3 - Par 3 -
20,0,27933,John Merrick,179,AT&T National,2,7 - Par 3 -
21,0,29740,Brad Fritsch,177,St. Jude,4,18 - Par 4
22,0,12782,Tim Herron,177,Northern Trust,3,5 - Par 4 -
23,0,26331,Charl Schwartzel,176,Canadian Open,2,2 - Par 5 -
24,0,30750,Tommy Gainey,175,RBC Heritage,1,18 - Par 4
25,0,26851,Marc Leishman,172,THE PLAYERS,2,18 - Par 4
26,0,33141,Keegan Bradley,170,TOUR Champ,4,7 - Par 4 -
27,0,21961,Charles Howell III,169,Memorial Tourn,1,1 - Par 4 -
29,0,12716,Charley Hoffman,169,Travelers Champ,1,10 - Par 4
30,0,23409,James Driscoll,168,Humana,1,15 - Par 3
31,0,28237,Rory McIlroy,164,BMW Champ,4,12 - Par 4
32,0,29420,Billy Horschel,163,BMW Champ,2,16 - Par 4
33,0,33869,Eric Meierdierks,162,St. Jude,3,8 - Par 3 -
35,0,31323,Gary Woodland,161,Wells Fargo,3,18 - Par 4
36,0,24024,Zach Johnson,160,WGC-Cadillac,2,11 - Par 4
37,0,24490,George McNeill,160,Zurich Classic,2,15 - Par 4
39,0,30944,Jason Kokrak,158,Canadian Open,3,4 - Par 3 -
40,0,32200,Roberto Castro,158,The Barclays,3,18 - Par 4
41,0,27958,Ryan Blaum,158,Sanderson Farms,1,15 - Par 3
42,0,25686,Jason Dufner,158,THE PLAYERS,1,18 - Par 4
43,0,23541,Ben Crane,157,Phoenix Open,4,11 - Par 4
44,0,12652,Cameron Beckman,156,Canadian Open,3,10 - Par 4
45,0,21878,Mark Wilson,156,Canadian Open,4,9 - Par 4 -
48,0,06251,Chris DiMarco,153,Sanderson Farms,2,10 - Par 4
49,0,35139,Richard Lee,153,Humana,4,15 - Par 3
50,0,22806,Doug LaBelle II,153,St. Jude,4,1 - Par 4 -
51,0,35901,Paul Haley II,151,The Greenbrier,1,16 - Par 4
52,0,28118,Peter Tomasulo,149,Wells Fargo,2,11 - Par 4
53,0,34098,Russell Henley,149,AT&T National,2,9 - Par 5 -
54,0,27554,Scott Harrington,149,Northern Trust,3,12 - Par 4
55,0,24361,Pat Perez,148,Northern Trust,2,3 - Par 4 -
56,0,21407,Arjun Atwal,148,Wyndham Champ,1,13 - Par 4
57,0,26758,David Hearn,147,Honda Classic,1,1 - Par 4 -
58,0,27095,Nick Watney,146,AT&T National,1,4 - Par 4 -
59,0,26476,Chez Reavie,146,Shell Houston,3,3 - Par 4 -
60,0,27770,Camilo Villegas,145,Memorial Tourn,2,6 - Par 4 -
61,0,25345,Carl Pettersson,143,Shell Houston,2,7 - Par 3 -
63,0,23497,Tag Ridings,142,Farmers Ins.,1,3 - Par 3 -
64,0,34360,Patrick Reed,142,The Greenbrier,2,5 - Par 4 -
67,0,39412,Zack Fischer,139,HP Byron Nelson,3,18 - Par 4
68,0,22348,Nick O'Hern,138,Sanderson Farms,2,13 - Par 4
69,0,23638,Brendon de Jonge,138,Zurich Classic,1,1 - Par 4 -
73,0,24357,K.J. Choi,135,The Barclays,3,14 - Par 3
74,0,28259,Sangmoon Bae,134,Arnold Palmer,4,3 - Par 4 -
75,0,27120,Troy Matteson,132,John Deere Clas,2,3 - Par 3 -
76,0,33419,Cameron Tringale,131,The Barclays,3,1 - Par 4 -
77,0,20104,Ken Duke,130,Memorial Tourn,2,18 - Par 4
79,0,10213,Dicky Pride,128,The Greenbrier,3,14 - Par 4
80,0,30852,Ryo Ishikawa,128,HP Byron Nelson,4,16 - Par 5
81,0,34046,Jordan Spieth,127,AT&T National,4,1 - Par 4 -
82,0,28307,Matt Every,126,Canadian Open,2,11 - Par 4
83,0,23983,Luke Donald,124,Canadian Open,2,5 - Par 4 -
85,0,24227,Justin Bolli,123,RBC Heritage,1,15 - Par 5
86,0,21753,Brian Davis,122,AT&T Pebble,1,13 - Par 4
88,0,22371,Aaron Baddeley,120,The Barclays,1,1 - Par 4 -
89,0,28310,Lee Williams,119,Sanderson Farms,1,17 - Par 4
90,0,24924,Bill Haas,117,Arnold Palmer,1,6 - Par 5 -
91,0,10809,Jim Furyk,115,BMW Champ,2,15 - Par 4
92,0,20157,Retief Goosen,115,Texas Open,2,4 - Par 4 -
93,0,19846,Brian Gay,114,Travelers Champ,2,6 - Par 5 -
94,0,26679,Kevin Stadler,114,Zurich Classic,1,2 - Par 5 -
95,0,24846,Ricky Barnes,113,HP Byron Nelson,4,7 - Par 5 -
99,0,36884,Ben Kohles,112,Canadian Open,2,17 - Par 4
101,0,29518,Brendan Steele,110,AT&T National,1,16 - Par 5
103,0,22792,Peter Hanson,108,THE PLAYERS,1,9 - Par 5 -
104,0,29221,Webb Simpson,107,Wyndham Champ,4,8 - Par 4 -
105,0,23452,Nicolas Colsaerts,106,Wells Fargo,1,5 - Par 5 -
107,0,26289,Boo Weekley,105,Zurich Classic,2,10 - Par 4
108,0,20160,Charlie Wi,105,Crowne Plaza,1,2 - Par 4 -
110,0,30711,Colt Knost,103,Humana,3,16 - Par 4
111,0,10860,Justin Leonard,101,Northern Trust,2,17 - Par 5
112,0,01116,Michael Bradley,100,Sanderson Farms,1,10 - Par 4
113,0,06527,Steve Stricker,99,BMW Champ,3,15 - Par 4
114,0,32102,Rickie Fowler,98,BMW Champ,2,9 - Par 4 -
116,0,28500,Martin Flores,97,Wyndham Champ,1,17 - Par 4
117,0,25818,Scott Piercy,96,HP Byron Nelson,3,6 - Par 4 -
118,0,25804,Bubba Watson,96,The Barclays,3,12 - Par 4
120,0,25632,Jimmy Walker,93,Shell Houston,2,13 - Par 5
122,0,06573,Brandt Jobe,90,Wyndham Champ,1,8 - Par 4 -
125,0,12510,Chad Campbell,88,John Deere Clas,1,10 - Par 5
127,0,23108,Matt Kuchar,86,Deutsche Bank,2,2 - Par 5 -
132,0,26596,Ryan Moore,82,John Deere Clas,2,10 - Par 5
137,0,07013,Wes Short Jr.,74,Shell Houston,4,15 - Par 5
138,0,01724,Jeff Maggert,71,Phoenix Open,1,3 - Par 5 -
141,0,02206,David Toms,67,Wyndham Champ,4,6 - Par 4 -
142,0,35539,Luke Guthrie,66,Farmers Ins.,1,18 - Par 5
145,0,12602,Dean Wilson,59,Sony Open,2,9 - Par 5 -
146,0,22913,John Rollins,58,Wells Fargo,4,8 - Par 4 -
147,0,26951,Johnson Wagner,56,Texas Open,2,5 - Par 4 -
148,0,06567,Vijay Singh,55,The Greenbrier,2,4 - Par 4 -
150,0,06522,Ernie Els,54,Canadian Open,3,18 - Par 5
152,0,27556,Ted Potter Jr.,52,Hyundai T of C,3,15 - Par 5
154,0,20645,John Senden,48,Farmers Ins.,1,12 - Par 4
156,0,23800,Bryce Molder,46,Texas Open,2,14 - Par 5
157,0,33418,Shawn Stefani,45,Phoenix Open,2,17 - Par 4
160,0,25198,Francesco Molinari,42,Arnold Palmer,2,4 - Par 5 -
162,0,35541,John Peterson,40,Zurich Classic,3,10 - Par 4
163,0,27330,Josh Teater,40,Tampa Bay,3,16 - Par 4
164,0,27796,Joe Affrunti,39,Travelers Champ,1,1 - Par 4 -
166,0,01320,Bob Estes,38,Crowne Plaza,1,5 - Par 4 -
169,0,30927,Brendon Todd,38,Wyndham Champ,2,15 - Par 5
170,0,25396,Kevin Na,37,Honda Classic,2,17 - Par 3
175,0,24956,Mikko Ilonen,36,WGC-Bridgestone,3,18 - Par 4
177,0,20098,Stuart Appleby,36,Shell Houston,1,13 - Par 5
180,0,27644,Brian Harman,35,Honda Classic,2,18 - Par 5
181,0,33461,Morgan Hoffmann,35,HP Byron Nelson,4,10 - Par 4
184,0,08725,Tom Gillis,34,Humana,4,2 - Par 5 -
188,0,28092,D.H. Lee,33,HP Byron Nelson,3,8 - Par 4 -
191,0,35459,Chris Williams,33,Travelers Champ,4,18 - Par 4
195,0,02239,Scott Verplank,32,St. Jude,2,16 - Par 5
196,0,22764,Michael Block,32,Northern Trust,1,11 - Par 5
200,0,20396,Lee Westwood,31,THE PLAYERS,2,11 - Par 5
201,0,19904,Paul Lawrie,31,WGC-Cadillac,4,12 - Par 5
202,0,29479,Scott Brown,31,The Greenbrier,3,12 - Par 5
203,0,26695,Michael Letzig,31,Farmers Ins.,4,15 - Par 4
205,0,21528,Henrik Stenson,31,THE PLAYERS,2,9 - Par 5 -
207,0,27896,Ross Fisher,31,Wyndham Champ,3,14 - Par 4
208,0,23797,Brett Rumford,31,WGC-Bridgestone,3,9 - Par 4 -
210,0,32334,Charlie Beljan,31,Farmers Ins.,1,10 - Par 4
213,0,37273,Derek Ernst,30,Wells Fargo,1,16 - Par 4
221,0,22961,David Mathis,29,AT&T National,2,3 - Par 4 -
222,0,25562,Andres Romero,29,Phoenix Open,2,3 - Par 5 -
