RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL,START TOURNAMENT ID
1,0,08793,Tiger Woods,59,1998050
2,0,06522,Ernie Els,24,1999340
3,0,08635,Colin Montgomerie,22,1998330
4,0,01042,Paul Azinger,18,2000050
5,0,10423,Mike Weir,16,2000210
6,0,02010,Loren Roberts,15,2000180
7,0,10885,Robert Allenby,12,2000230
8,0,21209,Sergio Garcia,11,2000150
9,0,01313,Steve Elkington,9,2000210
9,0,07457,Steve Flesch,9,2000360
9,0,02245,Grant Waite,9,2000360
12,0,19905,Andrew Coltart,8,1998350
12,0,02239,Scott Verplank,8,2000360
14,0,10944,Thomas Bjørn,7,2000130
14,0,06251,Chris DiMarco,7,2000400
14,0,12823,Carlos Franco,7,2000350
14,0,01706,Davis Love III,7,2000350
14,0,01724,Jeff Maggert,7,2000370
14,0,01810,Phil Mickelson,7,2000310
14,0,02246,Duffy Waldorf,7,2000350
21,0,20229,Stewart Cink,6,2000350
21,0,19825,Darren Clarke,6,2000150
21,0,01381,Fred Funk,6,2000420
21,0,20766,Padraig Harrington,6,2000150
21,0,01619,Skip Kendall,6,2000400
21,0,01633,Tom Kite,6,2000030
21,0,06350,Bob May,6,2000410
21,0,12660,Jesper Parnevik,6,2000310
29,0,01219,John Cook,5,2000420
29,0,12782,Tim Herron,5,2000360
29,0,01560,David Ishii,5,1996070
29,0,01577,Lee Janzen,5,2000430
29,0,06140,Sean Murphy,5,2000430
29,0,01920,Craig Parry,5,2000360
29,0,02206,David Toms,5,2000430
29,0,20396,Lee Westwood,5,2000250
37,0,01249,John Daly,4,2000410
37,0,01329,Brad Faxon,4,2000440
37,0,10201,Matt Gogel,4,2000430
37,0,08537,J.P. Hayes,4,2000420
37,0,10860,Justin Leonard,4,2000440
37,0,01707,Steve Lowery,4,2000440
37,0,01968,Nick Price,4,2000370
37,0,02190,Doug Tewell,4,1999230
45,0,20098,Stuart Appleby,3,2000460
45,0,01035,Tommy Armour III,3,2000455
45,0,07867,Woody Austin,3,2000440
45,0,12661,Todd Barranger,3,2000290
45,0,20099,Doug Barron,3,2000455
45,0,01157,Tom Byrum,3,2000430
45,0,01224,Jeff Coston,3,1989360
45,0,06036,Scott Dunlap,3,2000430
45,0,09011,David Duval,3,2000420
45,0,20043,Edward Fryatt,3,2000440
45,0,20763,Pierre Fulke,3,1999290
45,0,12645,Brent Geiberger,3,2000420
45,0,20157,Retief Goosen,3,2000370
45,0,06575,Dudley Hart,3,2000440
45,0,06617,Brian Henninger,3,2000440
45,0,01527,Scott Hoch,3,2000460
45,0,19958,Miguel Angel Jiménez,3,2000350
45,0,06012,Greg Kraft,3,2000455
45,0,01666,Bernhard Langer,3,2000310
45,0,08993,Franklin Langham,3,2000460
45,0,01677,Tom Lehman,3,2000370
45,0,10585,Scott McCarron,3,2000410
45,0,01823,Larry Mize,3,2000420
45,0,01824,Yoshinori Mizumaki,3,2000360
45,0,10457,Frank Nobilo,3,2000420
45,0,06373,José María Olazábal,3,2000350
45,0,01943,Chris Perry,3,2000460
45,0,01958,Dan Pohl,3,2000300
45,0,06731,Jeff Roth,3,1998320
45,0,02084,Bob Shearer,3,1984320
45,0,06567,Vijay Singh,3,2000460
45,0,02104,Jeff Sluman,3,2000440
45,0,11011,Mike Sposa,3,2000430
45,0,08375,Paul Stankowski,3,2000390
45,0,20548,Hidemichi Tanaka,3,2000350
45,0,06078,Esteban Toledo,3,2000455
45,0,02256,Tom Watson,3,2000250
45,0,02257,Brian Watts,3,2000455
83,0,21633,Steve Allan,2,1999250
83,0,01093,Ronnie Black,2,2000460
83,0,01118,Gordon Brand Jr.,2,1998295
83,0,24356,Jason Buha,2,2000460
83,0,20848,Ángel Cabrera,2,2000350
83,0,01161,Mark Calcavecchia,2,2000480
83,0,20400,Michael Campbell,2,2000370
83,0,01175,Jim Carter,2,2000460
83,0,01185,Brandel Chamblee,2,2000440
83,0,01226,Fred Couples,2,2000440
83,0,11653,Paul Curry,2,2000455
83,0,08931,Glen Day,2,2000460
83,0,07763,Doug Dunakey,2,2000460
83,0,01326,Nick Faldo,2,2000350
83,0,20939,Keiichiro Fukabori,2,2000390
83,0,10809,Jim Furyk,2,2000430
83,0,06064,Jeff Gallagher,2,2000170
83,0,01418,Bill Glasson,2,2000460
83,0,12626,Joey Gullion,2,2000290
83,0,01457,Jay Haas,2,2000455
83,0,08545,Glen Hnatiuk,2,2000460
83,0,12449,Ryan Howison,2,2000455
83,0,10962,Bradley Hughes,2,2000460
83,0,01557,John Inman,2,1997290
83,0,01559,Hale Irwin,2,1999330
83,0,06573,Brandt Jobe,2,2000460
83,0,01685,J.L. Lewis,2,2000460
83,0,19985,Santiago Luna,2,1998295
83,0,12461,Paul McGinley,2,2000370
83,0,01793,Mac McLendon,2,1980430
83,0,01796,Mark McNulty,2,1999290
83,0,11106,Frankie Minoza,2,1998295
83,0,12753,David Morland IV,2,2000460
83,0,20650,Jarrod Moseley,2,1999470
83,0,01866,Jack Newton,2,1982420
83,0,01871,Mike Nicolette,2,1999120
83,0,01883,Christy O'Connor,2,1992360
83,0,20601,Gary Orr,2,2000370
83,0,01906,Masashi Jumbo Ozaki,2,2000150
83,0,20572,Rod Pampling,2,1999350
83,0,20505,Lucas Parsons,2,2000310
83,0,20474,Phillip Price,2,2000370
83,0,10213,Dicky Pride,2,2000460
83,0,21959,Ted Purdy,2,1999450
83,0,01975,Tom Purtzer,2,2000460
83,0,20127,Chris Riley,2,2000455
83,0,20385,Dean Robertson,2,1999290
83,0,23621,Rory Sabbatini,2,2000440
83,0,20387,Jarmo Sandelin,2,2000310
83,0,02064,John Schroeder,2,1995300
