RANK,MOVEMENT,PLAYER_ID,PLAYER,VALUE,ATTEMPTS(<= 5'),TOT MADE (>=20'),TOT MADE (<= 5')
170,0,20634,Peter Lonard,97.75,1113,30,1058
171,0,20766,Padraig Harrington,97.73,660,21,624
172,0,21806,Paul Gow,97.72,835,21,795
172,0,24924,Bill Haas,97.72,1184,25,1132
174,0,23788,D.J. Trahan,97.61,1340,34,1274
175,0,29718,Anthony Kim,97.58,1156,28,1100
176,0,21470,Daisuke Maruyama,97.54,1096,24,1045
177,0,27702,Matt Hendrix,97.51,803,17,766
178,0,27933,John Merrick,97.50,1198,29,1139
179,0,24138,Ian Poulter,97.49,557,9,534
180,0,02101,Joey Sindelar,97.43,973,24,924
181,0,26679,Kevin Stadler,97.42,1165,31,1104
182,0,20691,Greg Owen,97.38,1067,29,1010
183,0,19824,Craig Barlow,97.34,638,16,605
184,0,20098,Stuart Appleby,97.19,853,23,806
185,0,06621,Joe Durant,97.07,1126,39,1054
186,0,10423,Mike Weir,97.06,885,19,840
187,0,10885,Robert Allenby,97.05,1119,33,1053
188,0,07457,Steve Flesch,97.02,1310,30,1241
189,0,22405,Justin Rose,96.99,564,16,531
190,0,20645,John Senden,96.92,1232,26,1168
191,0,02214,Kirk Triplett,96.81,1004,22,950
192,0,20105,Jeff Gove,96.77,1425,38,1341
193,0,01766,Billy Mayfair,96.27,1205,27,1133
194,0,27141,J.B. Holmes,95.87,969,21,908
195,0,01249,John Daly,95.76,708,16,662
196,0,22295,Darron Stiles,94.93,808,15,752
