RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS
1,0,28237,Rory McIlroy,2.266,108.746,95.596,13.150,48
2,0,21209,Sergio Garcia,1.984,79.369,72.707,6.662,40
3,0,10809,Jim Furyk,1.796,118.540,112.517,6.024,66
4,0,24502,Adam Scott,1.720,96.308,84.001,12.309,56
5,0,23108,Matt Kuchar,1.573,119.574,84.859,34.717,76
6,0,22405,Justin Rose,1.466,76.256,78.322,-2.062,52
7,0,28089,Jason Day,1.389,45.849,35.398,10.451,33
8,0,25804,Bubba Watson,1.352,75.695,78.510,-2.812,56
9,0,26331,Charl Schwartzel,1.341,72.436,69.444,2.994,54
10,0,30925,Dustin Johnson,1.331,54.553,51.193,3.362,41
11,0,23320,Ryan Palmer,1.265,84.769,65.041,19.733,67
12,0,25632,Jimmy Walker,1.253,91.491,56.508,34.989,73
13,0,25572,Graeme McDowell,1.171,53.881,13.290,40.589,46
14,0,27436,Graham DeLaet,1.168,74.753,80.741,-5.982,64
15,0,32839,Hideki Matsuyama,1.152,73.751,98.883,-25.129,64
16,0,24924,Bill Haas,1.090,89.418,77.360,12.063,82
17,0,25364,Paul Casey,1.008,44.336,31.892,12.446,44
18,0,33141,Keegan Bradley,.994,66.589,49.587,17.003,67
19,0,21528,Henrik Stenson,.992,37.693,44.141,-6.447,38
20,0,34046,Jordan Spieth,.980,77.400,45.885,31.520,79
21,0,36689,Brooks Koepka,.958,40.255,33.472,6.783,42
22,0,12716,Charley Hoffman,.956,72.688,52.502,20.191,76
23,0,25396,Kevin Na,.954,74.378,49.791,24.589,78
24,0,30944,Jason Kokrak,.908,55.384,41.851,13.532,61
25,0,31323,Gary Woodland,.900,65.730,76.581,-10.847,73
26,0,29221,Webb Simpson,.880,65.133,42.933,22.203,74
27,0,01810,Phil Mickelson,.868,43.419,31.697,11.722,50
28,0,30926,Chris Kirk,.862,74.138,42.014,32.127,86
29,0,24024,Zach Johnson,.857,72.001,63.114,8.889,84
30,0,26596,Ryan Moore,.836,51.844,49.218,2.629,62
31,0,33122,Russell Knox,.822,68.253,77.881,-9.627,83
32,0,20645,John Senden,.805,65.177,26.594,38.587,81
33,0,24490,George McNeill,.799,55.920,36.968,18.955,70
34,0,30927,Brendon Todd,.793,72.207,11.781,60.431,91
35,0,32102,Rickie Fowler,.769,47.703,29.729,17.976,62
36,0,21961,Charles Howell III,.755,71.686,68.141,3.549,95
37,0,26851,Marc Leishman,.749,51.681,52.826,-1.140,69
38,0,29420,Billy Horschel,.738,50.919,35.712,15.210,69
39,0,32366,Kevin Chappell,.692,60.194,84.364,-24.167,87
40,0,23983,Luke Donald,.690,30.361,7.628,22.733,44
41,0,34099,Harris English,.677,50.126,52.223,-2.092,74
42,0,25834,Daniel Summerhays,.675,59.422,16.152,43.275,88
43,0,33419,Cameron Tringale,.668,65.428,54.924,10.507,98
44,0,20396,Lee Westwood,.646,27.796,21.287,6.509,43
45,0,27649,Brandt Snedeker,.644,42.505,20.967,21.541,66
46,0,27095,Nick Watney,.613,34.303,38.498,-4.191,56
47,0,08075,Jerry Kelly,.527,34.784,19.033,15.752,66
48,0,25686,Jason Dufner,.522,21.916,46.128,-24.208,42
49,0,24781,Hunter Mahan,.520,37.461,22.576,14.888,72
50,0,29518,Brendan Steele,.519,36.317,27.856,8.462,70
51,0,27644,Brian Harman,.515,52.053,40.657,11.399,101
52,0,28307,Matt Every,.497,32.337,-15.331,47.669,65
53,0,06522,Ernie Els,.483,30.434,41.192,-10.756,63
54,0,02206,David Toms,.460,24.858,21.893,2.970,54
55,0,26758,David Hearn,.451,36.991,11.154,25.838,82
56,0,34431,Robert Streb,.438,28.039,20.432,7.609,64
57,0,24358,Robert Garrigus,.429,31.319,27.885,3.439,73
58,0,33413,Ben Martin,.421,26.545,8.209,18.338,63
59,0,33418,Shawn Stefani,.418,23.809,32.143,-8.331,57
59,0,27963,Chris Stroud,.418,30.098,16.983,13.118,72
61,0,21731,Freddie Jacobson,.411,33.253,-23.735,56.992,81
61,0,26679,Kevin Stadler,.411,26.720,57.074,-30.351,65
63,0,27141,J.B. Holmes,.401,30.894,36.650,-5.753,77
64,0,29478,Kevin Kisner,.397,27.811,.637,27.176,70
65,0,23623,Bo Van Pelt,.378,25.325,28.903,-3.574,67
66,0,20098,Stuart Appleby,.361,30.300,-10.572,40.874,84
67,0,34265,Will Wilcox,.349,13.943,22.085,-8.141,40
68,0,29479,Scott Brown,.345,28.635,11.134,17.502,83
69,0,29425,Andrew Svoboda,.344,22.707,24.413,-1.704,66
70,0,34360,Patrick Reed,.331,24.461,6.021,18.440,74
71,0,20157,Retief Goosen,.329,25.623,-1.838,27.461,78
72,0,31560,Brian Stuard,.326,24.108,3.141,20.973,74
73,0,30852,Ryo Ishikawa,.323,20.002,14.324,5.682,62
74,0,27770,Camilo Villegas,.315,26.478,26.502,-.021,84
75,0,29222,Billy Hurley III,.309,22.216,19.404,2.815,72
76,0,29289,S.Y. Noh,.306,22.945,32.036,-9.089,75
77,0,24846,Ricky Barnes,.302,23.518,11.286,12.237,78
78,0,35539,Luke Guthrie,.299,22.746,8.293,14.457,76
79,0,24357,K.J. Choi,.293,19.630,-2.623,22.255,67
80,0,34261,Scott Langley,.284,22.474,1.289,21.185,79
81,0,12510,Chad Campbell,.275,12.663,32.617,-19.952,46
82,0,25345,Carl Pettersson,.259,22.027,33.767,-11.737,85
83,0,22293,Heath Slocum,.249,15.426,20.289,-4.862,62
84,0,27408,Martin Kaymer,.244,11.708,17.044,-5.332,48
85,0,23638,Brendon de Jonge,.224,20.596,23.559,-2.961,92
85,0,24912,Will MacKenzie,.224,16.386,5.114,11.273,73
87,0,28500,Martin Flores,.218,14.839,24.601,-9.760,68
88,0,28259,Sangmoon Bae,.216,14.056,-13.120,27.179,65
89,0,20848,Ángel Cabrera,.205,12.493,12.056,.439,61
90,0,32150,Michael Thompson,.149,8.923,-19.026,27.951,60
91,0,25562,Andres Romero,.145,10.473,-14.925,25.399,72
92,0,25349,Tim Wilkinson,.127,9.034,-5.534,14.569,71
93,0,20229,Stewart Cink,.113,8.122,17.521,-9.399,72
93,0,26300,Matt Jones,.113,6.793,-1.716,8.511,60
95,0,28486,Michael Putnam,.108,9.853,47.056,-37.202,91
96,0,10885,Robert Allenby,.105,7.370,18.805,-11.431,70
97,0,23135,Tim Clark,.086,5.317,3.781,1.538,62
98,0,31202,William McGirt,.079,6.596,-19.768,26.367,84
99,0,27214,Kevin Streelman,.074,4.424,4.092,.333,60
100,0,25444,Justin Hicks,.066,5.952,-.233,6.188,90
101,0,21753,Brian Davis,.061,4.928,-6.847,11.779,81
101,0,28475,Jeff Overton,.061,4.038,2.911,1.129,66
103,0,29740,Brad Fritsch,.060,2.342,4.290,-1.947,39
104,0,22371,Aaron Baddeley,.044,2.589,-48.855,51.445,59
105,0,33461,Morgan Hoffmann,.034,3.045,-42.474,45.523,90
