RANK,MOVEMENT,PLAYER_ID,PLAYER,STROKE DIFFERENTIAL,PLAYER'S SCORE,FIELD AVERAGE SCORE
1,0,34046,Jordan Spieth,+2.22,6909,71.31
2,0,28089,Jason Day,+2.21,68.89,71.10
3,0,21528,Henrik Stenson,+1.91,69.65,71.56
4,0,25804,Bubba Watson,+1.88,69.29,71.17
5,0,30925,Dustin Johnson,+1.58,69.82,71.40
6,0,22405,Justin Rose,+1.53,69.91,71.44
7,0,10809,Jim Furyk,+1.51,70.27,71.78
8,0,32839,Hideki Matsuyama,+1.42,69.84,71.26
9,0,21209,Sergio Garcia,+1.33,70.30,71.63
10,0,24024,Zach Johnson,+1.22,69.67,70.89
11,0,36689,Brooks Koepka,+1.19,69.95,71.14
12,0,23108,Matt Kuchar,+1.16,69.87,71.03
13,0,32102,Rickie Fowler,+1.11,70.33,71.44
14,0,25364,Paul Casey,+1.09,69.77,70.86
15,0,26329,Louis Oosthuizen,+1.08,70.24,71.32
15,0,34265,Will Wilcox,+1.08,69.28,70.36
17,0,25396,Kevin Na,+1.03,70.18,71.21
18,0,34431,Robert Streb,+.98,69.86,70.84
18,0,33448,Justin Thomas,+.98,69.61,70.59
20,0,34360,Patrick Reed,+.96,70.13,71.09
20,0,29518,Brendan Steele,+.96,70.14,71.10
22,0,23320,Ryan Palmer,+.91,70.26,71.17
23,0,24507,Jason Bohn,+.89,69.72,70.61
24,0,25632,Jimmy Walker,+.88,70.31,71.19
25,0,27649,Brandt Snedeker,+.87,70.11,70.98
26,0,20396,Lee Westwood,+.82,71.00,71.82
27,0,29725,Tony Finau,+.78,70.03,70.81
28,0,24138,Ian Poulter,+.77,70.75,71.52
29,0,34099,Harris English,+.76,69.99,70.75
29,0,24502,Adam Scott,+.76,70.85,71.61
31,0,33141,Keegan Bradley,+.75,70.42,71.17
31,0,27141,J.B. Holmes,+.75,70.53,71.28
33,0,29221,Webb Simpson,+.74,70.13,70.87
34,0,33122,Russell Knox,+.73,70.07,70.80
35,0,29478,Kevin Kisner,+.71,70.19,70.90
35,0,33418,Shawn Stefani,+.71,70.15,70.86
37,0,01810,Phil Mickelson,+.70,70.86,71.56
38,0,25198,Francesco Molinari,+.67,70.53,71.20
39,0,29926,Danny Lee,+.66,70.08,70.74
40,0,24361,Pat Perez,+.64,70.24,70.88
41,0,26596,Ryan Moore,+.61,70.68,71.29
42,0,25834,Daniel Summerhays,+.60,70.14,70.74
43,0,12716,Charley Hoffman,+.59,70.48,71.07
43,0,08075,Jerry Kelly,+.59,69.87,70.46
45,0,26300,Matt Jones,+.58,70.43,71.01
45,0,23621,Rory Sabbatini,+.58,70.00,70.58
47,0,40026,Daniel Berger,+.54,70.16,70.70
47,0,30927,Brendon Todd,+.54,70.39,70.93
49,0,34098,Russell Henley,+.53,70.46,70.99
49,0,26851,Marc Leishman,+.53,70.64,71.17
49,0,24490,George McNeill,+.53,70.24,70.77
52,0,24924,Bill Haas,+.52,70.60,71.12
53,0,23638,Brendon de Jonge,+.50,70.29,70.79
54,0,32366,Kevin Chappell,+.48,70.51,70.99
55,0,25686,Jason Dufner,+.47,70.84,71.31
56,0,23983,Luke Donald,+.46,70.77,71.23
57,0,31202,William McGirt,+.43,70.22,70.65
58,0,35541,John Peterson,+.42,70.38,70.80
59,0,12510,Chad Campbell,+.40,70.32,70.72
59,0,27095,Nick Watney,+.40,70.37,70.77
61,0,25720,Chad Collins,+.39,70.16,70.55
62,0,27436,Graham DeLaet,+.38,70.42,70.80
62,0,30944,Jason Kokrak,+.38,70.36,70.74
62,0,25818,Scott Piercy,+.38,70.34,70.72
65,0,30926,Chris Kirk,+.37,70.85,71.22
66,0,26758,David Hearn,+.36,70.51,70.87
66,0,31557,Jim Herman,+.36,70.25,70.61
66,0,27936,Martin Laird,+.36,70.48,70.84
69,0,20229,Stewart Cink,+.34,70.38,70.72
69,0,29420,Billy Horschel,+.34,70.83,71.17
69,0,34409,David Lingmerth,+.34,70.43,70.77
69,0,26289,Boo Weekley,+.34,70.42,70.76
73,0,30711,Colt Knost,+.33,70.17,70.50
74,0,27644,Brian Harman,+.31,70.46,70.77
75,0,21961,Charles Howell III,+.30,70.56,70.86
75,0,34264,Hudson Swafford,+.30,70.26,70.56
77,0,40058,Zac Blair,+.29,70.32,70.61
77,0,25274,Steven Bowditch,+.29,70.34,70.63
77,0,33419,Cameron Tringale,+.29,70.96,71.25
80,0,24925,Jonathan Byrd,+.28,70.17,70.45
80,0,20645,John Senden,+.28,71.12,71.40
82,0,06567,Vijay Singh,+.27,70.46,70.73
83,0,29479,Scott Brown,+.26,70.39,70.65
83,0,25369,Jamie Donaldson,+.26,71.62,71.88
85,0,32448,James Hahn,+.25,70.62,70.87
85,0,24781,Hunter Mahan,+.25,70.92,71.17
87,0,31323,Gary Woodland,+.22,71.15,71.37
88,0,23800,Bryce Molder,+.21,70.30,70.51
89,0,35532,Tom Hoge,+.20,70.37,70.57
89,0,25345,Carl Pettersson,+.20,70.59,70.79
89,0,36699,Patrick Rodgers,+.20,70.09,70.29
92,0,24140,Sean O'Hair,+.19,70.55,70.74
92,0,26951,Johnson Wagner,+.19,70.28,70.47
94,0,28259,Sangmoon Bae,+.16,70.92,71.08
94,0,27466,Spencer Levin,+.16,70.49,70.65
94,0,29476,Kyle Reifers,+.16,70.45,70.61
97,0,28475,Jeff Overton,+.15,70.59,70.74
97,0,26331,Charl Schwartzel,+.15,71.38,71.53
99,0,33461,Morgan Hoffmann,+.13,70.86,70.99
100,0,34262,Jon Curran,+.11,70.57,70.68
100,0,33413,Ben Martin,+.11,70.68,70.79
102,0,20472,Alex Cejka,+.09,70.62,70.71
102,0,33399,Adam Hadwin,+.09,70.72,70.81
102,0,27214,Kevin Streelman,+.09,70.75,70.84
105,0,35545,Blayne Barber,+.08,70.78,70.86
105,0,24357,K.J. Choi,+.08,71.06,71.14
105,0,28500,Martin Flores,+.08,70.51,70.59
105,0,02206,David Toms,+.08,70.67,70.75
109,0,33667,Carlos Ortiz,+.07,70.71,70.78
109,0,25892,Steve Wheatcroft,+.07,70.52,70.59
111,0,34174,John Huh,+.06,70.61,70.67
111,0,27963,Chris Stroud,+.06,70.75,70.81
113,0,28486,Michael Putnam,+.04,70.76,70.80
114,0,34261,Scott Langley,+.03,70.70,70.73
115,0,21878,Mark Wilson,+.02,70.60,70.62
116,0,22056,Cameron Percy,+.01,70.47,70.48
116,0,30946,Alex Prugh,+.01,70.61,70.62
118,0,29222,Billy Hurley III,E,70.75,70.75
119,0,37454,Whee Kim,-.01,70.36,70.35
120,0,27895,Jonas Blixt,-.02,70.96,70.94
120,0,27770,Camilo Villegas,-.02,71.07,71.05
122,0,24494,Erik Compton,-.05,70.74,70.69
123,0,20771,Steven Alker,-.06,70.32,70.26
124,0,35451,Scott Pinckney,-.08,70.68,70.60
125,0,30852,Ryo Ishikawa,-.09,70.80,70.71
126,0,26476,Chez Reavie,-.11,70.61,70.50
127,0,35539,Luke Guthrie,-.15,70.91,70.76
128,0,36801,Mark Hubbard,-.16,70.58,70.42
128,0,22046,Geoff Ogilvy,-.16,71.77,71.61
130,0,22371,Aaron Baddeley,-.17,70.76,70.59
131,0,20593,Greg Chalmers,-.18,70.89,70.71
131,0,29289,S.Y. Noh,-.18,71.15,70.97
131,0,31560,Brian Stuard,-.18,71.00,70.82
134,0,32150,Michael Thompson,-.19,70.96,70.77
135,0,25900,Lucas Glover,-.20,71.04,70.84
135,0,28679,Fabián Gómez,-.20,70.92,70.72
135,0,27933,John Merrick,-.20,70.93,70.73
138,0,20157,Retief Goosen,-.21,71.56,71.35
138,0,22892,Jason Gore,-.21,70.69,70.48
138,0,32640,Troy Merritt,-.21,71.13,70.92
141,0,23353,J.J. Henry,-.22,70.93,70.71
142,0,01706,Davis Love III,-.25,71.10,70.85
142,0,27064,Jhonattan Vegas,-.25,70.97,70.72
144,0,31416,Derek Fathauer,-.26,71.18,70.92
144,0,25562,Andres Romero,-.26,71.59,71.33
146,0,20691,Greg Owen,-.27,70.93,70.66
147,0,29720,Andres Gonzales,-.29,70.99,70.70
147,0,23623,Bo Van Pelt,-.29,71.15,70.86
149,0,29535,Brice Garnett,-.32,71.13,70.81
150,0,20104,Ken Duke,-.34,70.93,70.59
150,0,28780,Nicholas Thompson,-.34,71.05,70.71
152,0,34563,Chesson Hadley,-.35,71.41,71.06
153,0,30692,Scott Stallings,-.36,71.70,71.34
154,0,32200,Roberto Castro,-.43,71.04,70.61
155,0,06522,Ernie Els,-.44,71.84,71.40
156,0,25191,Gonzalo Fernandez-Castaño,-.45,71.14,70.69
156,0,25493,Nick Taylor,-.45,70.99,70.54
158,0,10860,Justin Leonard,-.47,71.13,70.66
158,0,34130,Sung Joon Park,-.47,71.13,70.66
160,0,24846,Ricky Barnes,-.49,71.27,70.78
161,0,20848,Ángel Cabrera,-.52,71.60,71.08
161,0,34358,Jonathan Randolph,-.52,71.03,70.51
163,0,29223,Sam Saunders,-.53,71.10,70.57
164,0,25240,D.A. Points,-.54,71.40,70.86
164,0,28132,Tyrone Van Aswegen,-.54,71.04,70.50
166,0,21753,Brian Davis,-.55,71.30,70.75
166,0,37273,Derek Ernst,-.55,71.18,70.63
168,0,39977,Max Homa,-.63,71.39,70.76
169,0,20766,Padraig Harrington,-.72,72.02,71.30
170,0,24358,Robert Garrigus,-.73,71.53,70.80
171,0,23541,Ben Crane,-.75,71.38,70.63
172,0,28023,Byron Smith,-.78,71.00,70.22
173,0,25349,Tim Wilkinson,-.82,71.54,70.72
174,0,23548,Bill Lunde,-.84,71.00,70.16
175,0,23048,Eric Axley,-.92,71.40,70.48
175,0,32334,Charlie Beljan,-.92,71.74,70.82
177,0,30736,Oscar Fraustro,-.97,71.48,70.51
177,0,29425,Andrew Svoboda,-.97,71.83,70.86
179,0,34256,Andrew Putnam,-.99,71.95,70.96
180,0,28307,Matt Every,-1.07,72.71,71.64
181,0,10885,Robert Allenby,-1.10,72.00,70.90
182,0,22293,Heath Slocum,-1.16,71.74,70.58
183,0,31193,Jim Renner,-1.37,72.03,70.66
184,0,33486,Roger Sloan,-1.42,71.81,70.39
