RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL ATTEMPTS
1,1,46046,Scottie Scheffler,3.896,1083,278
2,1,25364,Paul Casey,3.905,660,169
3,1,35450,Patrick Cantlay,3.909,688,176
3,1,23108,Matt Kuchar,3.909,731,187
5,1,40026,Daniel Berger,3.910,997,255
6,-5,29478,Kevin Kisner,3.911,876,224
7,8,46970,Jon Rahm,3.919,874,223
8,0,35449,Adam Long,3.921,1243,317
9,-2,29221,Webb Simpson,3.923,863,220
9,1,31560,Brian Stuard,3.923,1220,311
11,2,48081,Xander Schauffele,3.925,938,239
12,-1,29974,Branden Grace,3.926,585,149
12,-1,33419,Cameron Tringale,3.926,899,229
14,19,28237,Rory McIlroy,3.928,813,207
15,-1,30911,Tommy Fleetwood,3.929,440,112
15,-6,33448,Justin Thomas,3.929,935,238
17,-2,34098,Russell Henley,3.931,1018,259
17,-2,24361,Pat Perez,3.931,684,174
19,8,47959,Bryson DeChambeau,3.935,1031,262
19,2,32839,Hideki Matsuyama,3.935,913,232
21,-3,39997,Corey Conners,3.936,1051,267
21,-3,29535,Brice Garnett,3.936,866,220
21,-3,33204,Shane Lowry,3.936,614,156
24,7,25396,Kevin Na,3.937,933,237
25,-4,53165,Doc Redman,3.939,1229,312
26,-3,26499,Rafa Cabrera Bello,3.940,654,166
27,-2,30163,Henrik Norlander,3.941,1009,256
28,-1,24502,Adam Scott,3.942,473,120
29,-4,39971,Sungjae Im,3.945,1357,344
30,-1,27644,Brian Harman,3.947,1275,323
30,-1,30110,Kyle Stanley,3.947,825,209
32,-1,34076,Joel Dahmen,3.949,1078,273
33,12,45486,Joaquin Niemann,3.951,1126,285
34,22,52372,Cameron Champ,3.952,905,229
35,-1,37189,Harold Varner III,3.953,1016,257
36,0,28089,Jason Day,3.954,597,151
36,7,35310,Lanto Griffin,3.954,1297,328
36,0,35532,Tom Hoge,3.954,1123,284
39,9,29420,Billy Horschel,3.956,985,249
40,-2,40009,Dominic Bozzelli,3.957,368,93
40,21,30925,Dustin Johnson,3.957,740,187
40,-2,26329,Louis Oosthuizen,3.957,637,161
40,-2,22056,Cameron Percy,3.957,641,162
40,19,34360,Patrick Reed,3.957,1017,257
40,-2,29518,Brendan Steele,3.957,1001,253
46,1,45526,Abraham Ancer,3.959,966,244
47,-3,33399,Adam Hadwin,3.961,903,228
48,-14,34099,Harris English,3.963,1185,299
48,-2,30692,Scott Stallings,3.963,967,244
50,-2,40098,Matt Fitzpatrick,3.965,674,170
50,-2,33597,Harry Higgs,3.965,1257,317
50,3,48822,Sebastián Muñoz,3.965,1344,339
53,-2,28775,Nate Lashley,3.968,750,189
53,-2,35732,Wes Roach,3.968,373,94
55,-2,28679,Fabián Gómez,3.969,774,195
55,-2,27129,Luke List,3.969,1024,258
57,1,29725,Tony Finau,3.971,953,240
58,-1,31323,Gary Woodland,3.972,854,215
59,-36,34363,Tyrrell Hatton,3.975,477,120
59,0,29926,Danny Lee,3.975,966,243
61,0,33410,Andrew Landry,3.976,1006,253
61,0,48119,Ben Taylor,3.976,489,123
63,1,28252,Seamus Power,3.977,342,86
63,1,27649,Brandt Snedeker,3.977,859,216
65,20,46717,Viktor Hovland,3.978,923,232
66,0,10809,Jim Furyk,3.979,768,193
66,0,32757,Patton Kizzire,3.979,955,240
68,0,25686,Jason Dufner,3.980,983,247
68,0,32254,Xinjun Zhang,3.980,1015,255
70,0,36699,Patrick Rodgers,3.982,1354,340
70,0,23325,Vaughn Taylor,3.982,884,222
72,0,27214,Kevin Streelman,3.984,972,244
73,0,46402,Talor Gooch,3.986,1375,345
74,0,33404,Chris Baker,3.987,598,150
75,0,26596,Ryan Moore,3.988,642,161
75,0,47347,Adam Schenk,3.988,1005,252
77,4,35506,Mackenzie Hughes,3.989,1117,280
77,0,47993,Denny McCarthy,3.989,1133,284
79,-1,45157,Cam Davis,3.991,854,214
79,-1,56762,Will Gordon,3.991,451,113
