RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL CLUB HEAD SPEED,TOTAL ATTEMPTS
1,0,27141,J.B. Holmes,125.25,5135.18,41
2,0,25804,Bubba Watson,124.55,6974.67,56
3,0,31323,Gary Woodland,124.34,6590.07,53
4,0,27064,Jhonattan Vegas,122.20,7820.55,64
5,0,30925,Dustin Johnson,122.13,5740.18,47
6,0,24358,Robert Garrigus,121.89,6338.26,52
7,0,31401,Zack Miller,120.78,6401.49,53
8,0,11123,Chris Couch,120.33,6016.74,50
8,0,23497,Tag Ridings,120.33,7340.30,61
10,0,20848,Ángel Cabrera,119.72,3472.02,29
11,0,21209,Sergio Garcia,119.43,5135.51,43
12,0,30692,Scott Stallings,119.25,7989.42,67
13,0,22371,Aaron Baddeley,119.14,6791.07,57
14,0,30110,Kyle Stanley,118.81,8316.93,70
15,0,35087,Bio Kim,118.61,5693.50,48
16,0,01810,Phil Mickelson,118.48,6042.70,51
17,0,23409,James Driscoll,118.47,6397.38,54
18,0,34072,Will Strickler,118.42,4026.20,34
19,0,22378,Trevor Immelman,118.40,6512.12,55
20,0,25274,Steven Bowditch,118.11,7677.28,65
21,0,12716,Charley Hoffman,118.10,8739.75,74
22,0,27095,Nick Watney,118.01,7552.50,64
23,0,25632,Jimmy Walker,117.80,6714.58,57
24,0,19970,Robert Karlsson,117.69,4825.42,41
25,0,27936,Martin Laird,117.65,7059.17,60
26,0,24846,Ricky Barnes,117.54,6699.83,57
27,0,33141,Keegan Bradley,117.49,7519.60,64
28,0,24502,Adam Scott,117.26,5511.40,47
29,0,24924,Bill Haas,117.18,7968.05,68
30,0,28089,Jason Day,117.02,5500.12,47
31,0,27797,Derek Lamely,116.98,5263.94,45
32,0,24490,George McNeill,116.82,6191.42,53
33,0,26331,Charl Schwartzel,116.67,4083.43,35
34,0,20645,John Senden,116.59,9210.38,79
35,0,32698,Bobby Gates,116.55,6527.00,56
36,0,27120,Troy Matteson,116.52,8389.24,72
37,0,25900,Lucas Glover,116.50,6640.61,57
38,0,21961,Charles Howell III,116.46,9782.28,84
39,0,26300,Matt Jones,116.25,6044.86,52
40,0,26851,Marc Leishman,116.20,8714.86,75
41,0,25562,Andres Romero,116.02,7425.52,64
42,0,01706,Davis Love III,115.89,4519.68,39
42,0,25818,Scott Piercy,115.89,6026.38,52
44,0,24140,Sean O'Hair,115.87,5214.15,45
45,0,23788,D.J. Trahan,115.81,8686.09,75
46,0,27330,Josh Teater,115.75,7870.82,68
