RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DIST. TO IMPACT,TOTAL ATTEMPTS
1,0,27141,J.B. Holmes,314.8,11645.8,37
2,0,25804,Bubba Watson,300.7,12929.3,43
3,0,24358,Robert Garrigus,297.9,13703.2,46
4,0,30925,Dustin Johnson,296.7,11571.6,39
5,0,31323,Gary Woodland,296.4,12448.6,42
6,0,27064,Jhonattan Vegas,294.9,15630.0,53
7,0,23497,Tag Ridings,294.8,14741.5,50
8,0,01810,Phil Mickelson,293.9,10581.8,36
9,0,28089,Jason Day,289.9,10148.2,35
10,0,12716,Charley Hoffman,289.2,19087.2,66
11,0,33141,Keegan Bradley,289.0,17053.5,59
11,0,34072,Will Strickler,289.0,9247.2,32
13,0,20848,Ángel Cabrera,288.7,6639.2,23
14,0,27936,Martin Laird,288.5,14713.4,51
15,0,30110,Kyle Stanley,287.9,16696.1,58
16,0,19970,Robert Karlsson,287.4,10344.9,36
17,0,27330,Josh Teater,287.3,16375.6,57
18,0,11123,Chris Couch,286.9,11763.9,41
19,0,25818,Scott Piercy,286.8,13478.5,47
20,0,31401,Zack Miller,286.2,12305.9,43
21,0,20766,Padraig Harrington,285.4,9134.0,32
22,0,23320,Ryan Palmer,285.3,13692.1,48
23,0,30692,Scott Stallings,285.1,16819.0,59
24,0,25274,Steven Bowditch,284.8,15664.2,55
25,0,01706,Davis Love III,284.6,9392.3,33
26,0,21805,Harrison Frazar,283.9,9369.7,33
26,0,24924,Bill Haas,283.9,17035.2,60
26,0,26851,Marc Leishman,283.9,17036.8,60
29,0,26331,Charl Schwartzel,283.6,9075.3,32
30,0,32102,Rickie Fowler,283.3,15580.1,55
31,0,27797,Derek Lamely,283.1,11039.2,39
32,0,27120,Troy Matteson,282.8,16118.5,57
33,0,24502,Adam Scott,282.7,12154.8,43
34,0,28486,Michael Putnam,282.6,10456.0,37
35,0,25632,Jimmy Walker,282.3,12137.9,43
36,0,22371,Aaron Baddeley,281.7,13521.8,48
37,0,24490,George McNeill,281.5,12665.9,45
37,0,23623,Bo Van Pelt,281.5,17454.5,62
39,0,34255,Joseph Bramlett,281.2,12652.0,45
39,0,30946,Alex Prugh,281.2,14901.0,53
41,0,27095,Nick Watney,280.8,15163.2,54
42,0,22913,John Rollins,280.0,17362.5,62
43,0,25562,Andres Romero,279.9,14834.1,53
44,0,30750,Tommy Gainey,279.8,20429.0,73
45,0,28158,Steve Marino,279.6,15098.4,54
45,0,23788,D.J. Trahan,279.6,16496.9,59
47,0,20229,Stewart Cink,279.4,10336.0,37
48,0,06567,Vijay Singh,279.1,18140.7,65
49,0,09011,David Duval,279.0,12275.8,44
50,0,29718,Anthony Kim,278.6,12536.1,45
50,0,35087,Bio Kim,278.6,11142.7,40
52,0,32698,Bobby Gates,278.0,12508.1,45
53,0,26679,Kevin Stadler,277.8,15279.6,55
54,0,24781,Hunter Mahan,277.6,17767.7,64
55,0,21209,Sergio Garcia,277.3,8597.7,31
55,0,20157,Retief Goosen,277.3,8041.9,29
57,0,06573,Brandt Jobe,277.0,16617.5,60
58,0,30926,Chris Kirk,276.7,17155.7,62
59,0,29518,Brendan Steele,276.6,18533.4,67
59,0,27770,Camilo Villegas,276.6,11063.1,40
61,0,25900,Lucas Glover,276.5,12719.6,46
62,0,31193,Jim Renner,276.4,12163.1,44
62,0,20645,John Senden,276.4,19626.3,71
64,0,24925,Jonathan Byrd,276.3,14090.5,51
65,0,29420,Billy Horschel,276.1,14082.0,51
65,0,23548,Bill Lunde,276.1,17944.8,65
67,0,32366,Kevin Chappell,275.9,14622.4,53
68,0,29221,Webb Simpson,275.8,19858.7,72
69,0,23409,James Driscoll,275.5,12123.8,44
70,0,26758,David Hearn,275.3,16791.2,61
71,0,06522,Ernie Els,275.1,12379.6,45
72,0,33413,Ben Martin,275.0,10998.7,40
73,0,23621,Rory Sabbatini,274.9,11820.4,43
74,0,31557,Jim Herman,274.8,11268.5,41
74,0,32150,Michael Thompson,274.8,11541.3,42
76,0,26300,Matt Jones,274.5,12352.3,45
77,0,24140,Sean O'Hair,274.2,10419.3,38
78,0,29910,Blake Adams,274.0,18904.5,69
78,0,24980,Scott Gutschewski,274.0,11234.8,41
78,0,22046,Geoff Ogilvy,274.0,12603.0,46
81,0,21949,Joe Ogilvie,273.7,12315.5,45
81,0,28475,Jeff Overton,273.7,16698.5,61
83,0,27974,Sung Kang,273.6,9575.7,35
83,0,22405,Justin Rose,273.6,15868.4,58
85,0,10885,Robert Allenby,273.1,17204.0,63
86,0,24361,Pat Perez,273.0,15289.7,56
86,0,27649,Brandt Snedeker,273.0,16108.7,59
88,0,26476,Chez Reavie,272.9,17190.0,63
89,0,33419,Cameron Tringale,272.8,21825.8,80
90,0,26287,Roland Thatcher,272.7,12270.7,45
91,0,22378,Trevor Immelman,272.6,10905.9,40
92,0,21961,Charles Howell III,272.3,18790.5,69
92,0,24663,Y.E. Yang,272.3,9531.6,35
94,0,27214,Kevin Streelman,272.2,15241.0,56
95,0,27963,Chris Stroud,272.1,16327.1,60
96,0,20070,Matt Bettencourt,271.5,16562.5,61
97,0,24290,D.J. Brigman,271.3,10037.3,37
98,0,12782,Tim Herron,271.1,14913.2,55
99,0,12510,Chad Campbell,270.8,16517.4,61
100,0,26596,Ryan Moore,270.5,13793.6,51
101,0,27933,John Merrick,270.3,13243.8,49
102,0,26881,Jarrod Lyle,270.2,14590.5,54
103,0,29720,Andres Gonzales,269.9,9447.7,35
103,0,26289,Boo Weekley,269.9,11874.1,44
105,0,28679,Fabián Gómez,269.8,12142.2,45
106,0,25345,Carl Pettersson,269.7,20494.6,76
