RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL BALL SPEED,TOTAL ATTEMPTS
1,0,27141,J.B. Holmes,185.73,7614.88,41
2,0,25804,Bubba Watson,184.22,10316.24,56
3,0,31323,Gary Woodland,182.85,9690.90,53
4,0,24358,Robert Garrigus,180.94,9408.80,52
5,0,27064,Jhonattan Vegas,180.60,11558.51,64
6,0,30925,Dustin Johnson,180.44,8480.46,47
7,0,23497,Tag Ridings,178.27,10874.18,61
8,0,31401,Zack Miller,177.44,9404.33,53
9,0,20848,Ángel Cabrera,176.97,5132.15,29
10,0,22371,Aaron Baddeley,176.34,10051.59,57
11,0,11123,Chris Couch,176.10,8804.78,50
12,0,30110,Kyle Stanley,176.01,12320.76,70
13,0,30692,Scott Stallings,175.62,11766.37,67
14,0,01810,Phil Mickelson,175.37,8943.91,51
15,0,21209,Sergio Garcia,175.17,7532.41,43
16,0,27095,Nick Watney,175.01,11200.96,64
17,0,34072,Will Strickler,174.91,5946.78,34
18,0,12716,Charley Hoffman,174.77,12932.80,74
19,0,25632,Jimmy Walker,174.67,9955.91,57
20,0,27936,Martin Laird,174.65,10479.24,60
21,0,22378,Trevor Immelman,174.55,9600.15,55
22,0,23409,James Driscoll,174.04,9398.37,54
23,0,19970,Robert Karlsson,173.92,7130.79,41
24,0,35087,Bio Kim,173.89,8346.58,48
25,0,25274,Steven Bowditch,173.66,11287.99,65
26,0,24502,Adam Scott,173.64,8161.02,47
27,0,33141,Keegan Bradley,173.44,11099.86,64
28,0,27797,Derek Lamely,173.28,7797.48,45
29,0,24924,Bill Haas,173.23,11779.48,68
30,0,24490,George McNeill,173.21,9180.17,53
31,0,28089,Jason Day,173.07,8134.43,47
32,0,26851,Marc Leishman,172.43,12932.12,75
33,0,21961,Charles Howell III,172.38,14480.20,84
34,0,26300,Matt Jones,172.36,8962.56,52
34,0,26331,Charl Schwartzel,172.36,6032.49,35
36,0,27120,Troy Matteson,172.25,12402.27,72
37,0,21805,Harrison Frazar,172.19,6715.24,39
38,0,24846,Ricky Barnes,171.95,9801.37,57
38,0,32698,Bobby Gates,171.95,9629.18,56
40,0,25562,Andres Romero,171.92,11002.81,64
41,0,20645,John Senden,171.89,13579.61,79
42,0,25818,Scott Piercy,171.85,8935.96,52
43,0,31557,Jim Herman,171.67,7896.75,46
44,0,01706,Davis Love III,171.64,6693.97,39
45,0,27330,Josh Teater,171.61,11669.31,68
46,0,24140,Sean O'Hair,171.51,7717.83,45
47,0,25900,Lucas Glover,171.42,9770.68,57
48,0,28486,Michael Putnam,171.12,7871.59,46
49,0,30946,Alex Prugh,171.05,10433.86,61
50,0,06573,Brandt Jobe,171.00,11798.76,69
51,0,09011,David Duval,170.92,8375.31,49
52,0,20766,Padraig Harrington,170.89,6493.88,38
53,0,34255,Joseph Bramlett,170.88,8543.79,50
54,0,24980,Scott Gutschewski,170.57,7504.92,44
55,0,23320,Ryan Palmer,170.50,10400.24,61
56,0,29718,Anthony Kim,170.19,10211.18,60
57,0,20157,Retief Goosen,170.18,6466.79,38
58,0,20229,Stewart Cink,170.16,7827.32,46
59,0,23788,D.J. Trahan,170.05,12753.48,75
60,0,24925,Jonathan Byrd,169.94,11555.84,68
61,0,22913,John Rollins,169.80,11885.93,70
62,0,29910,Blake Adams,169.75,13410.01,79
63,0,32102,Rickie Fowler,169.63,11025.79,65
64,0,27214,Kevin Streelman,169.55,10512.30,62
65,0,01116,Michael Bradley,169.19,9136.19,54
66,0,28158,Steve Marino,169.17,10995.92,65
67,0,20098,Stuart Appleby,169.13,9978.85,59
68,0,30750,Tommy Gainey,169.08,14033.37,83
69,0,20070,Matt Bettencourt,168.94,11656.94,69
69,0,23638,Brendon de Jonge,168.94,14867.15,88
71,0,23623,Bo Van Pelt,168.91,11316.89,67
72,0,26289,Boo Weekley,168.73,8267.87,49
73,0,23621,Rory Sabbatini,168.68,9108.53,54
74,0,28475,Jeff Overton,168.46,11960.64,71
75,0,29518,Brendan Steele,168.42,11957.54,71
76,0,29221,Webb Simpson,168.37,14311.76,85
77,0,33419,Cameron Tringale,168.32,14644.20,87
78,0,31202,William McGirt,168.16,14293.22,85
79,0,26596,Ryan Moore,168.12,9750.88,58
80,0,29720,Andres Gonzales,168.08,6891.43,41
80,0,23718,Nathan Green,168.08,9244.54,55
82,0,12510,Chad Campbell,168.06,12772.65,76
83,0,31193,Jim Renner,167.92,8060.07,48
84,0,27770,Camilo Villegas,167.85,8728.37,52
85,0,32366,Kevin Chappell,167.84,9230.97,55
86,0,26881,Jarrod Lyle,167.72,9895.65,59
87,0,33413,Ben Martin,167.70,7546.53,45
87,0,24663,Y.E. Yang,167.70,7043.28,42
89,0,06567,Vijay Singh,167.41,12053.70,72
90,0,22046,Geoff Ogilvy,167.25,8697.14,52
91,0,32150,Michael Thompson,167.23,9030.62,54
92,0,08725,Tom Gillis,167.18,8191.86,49
93,0,26287,Roland Thatcher,167.09,8187.33,49
94,0,22405,Justin Rose,167.05,10691.22,64
95,0,23548,Bill Lunde,167.04,12360.74,74
96,0,24361,Pat Perez,167.03,10188.80,61
97,0,10585,Scott McCarron,166.98,7848.03,47
98,0,26679,Kevin Stadler,166.96,10184.75,61
99,0,25572,Graeme McDowell,166.58,6163.29,37
100,0,06522,Ernie Els,166.57,8828.04,53
101,0,27963,Chris Stroud,166.46,12151.77,73
102,0,10885,Robert Allenby,166.40,10816.27,65
103,0,28679,Fabián Gómez,166.36,7819.07,47
104,0,20572,Rod Pampling,166.32,7816.95,47
105,0,23353,J.J. Henry,166.16,12462.28,75
106,0,30926,Chris Kirk,166.09,12456.38,75
107,0,12782,Tim Herron,166.08,10794.98,65
108,0,01577,Lee Janzen,166.06,6974.36,42
109,0,25396,Kevin Na,166.02,8135.16,49
110,0,27974,Sung Kang,165.80,6466.30,39
111,0,24781,Hunter Mahan,165.76,12266.43,74
112,0,21731,Freddie Jacobson,165.69,10769.67,65
113,0,32640,Troy Merritt,165.35,7771.39,47
114,0,29420,Billy Horschel,165.02,9405.94,57
115,0,21949,Joe Ogilvie,164.99,8579.47,52
116,0,32876,Martin Piller,164.98,7259.15,44
117,0,26758,David Hearn,164.90,10883.41,66
118,0,25457,Alexandre Rocha,164.86,6429.37,39
119,0,25345,Carl Pettersson,164.69,13833.59,84
120,0,06527,Steve Stricker,164.51,9212.62,56
