RANK,MOVEMENT,PLAYER_ID,PLAYER,%,SUCCESSES,ATTEMPTS
1,0,06527,Steve Stricker,69.44,50,72
2,0,20127,Chris Riley,67.80,40,59
3,0,21209,Sergio Garcia,67.35,33,49
4,0,09011,David Duval,66.04,35,53
5,0,12652,Cameron Beckman,63.89,46,72
6,0,23048,Eric Axley,63.57,82,129
7,0,01035,Tommy Armour III,63.01,46,73
8,0,01161,Mark Calcavecchia,62.79,27,43
9,0,20498,Briny Baird,62.65,52,83
10,0,10423,Mike Weir,62.50,45,72
11,0,20157,Retief Goosen,62.00,31,50
12,0,23108,Matt Kuchar,61.80,55,89
13,0,20098,Stuart Appleby,61.76,42,68
14,0,07547,Craig Kanada,61.25,49,80
15,0,11032,Frank Lickliter II,61.16,74,121
16,0,26668,Marc Turnesa,60.82,59,97
17,0,07749,Brett Quigley,60.47,52,86
18,0,08075,Jerry Kelly,60.22,56,93
19,0,20623,Gavin Coles,60.00,24,40
20,0,08931,Glen Day,59.68,37,62
21,0,01766,Billy Mayfair,59.63,65,109
22,0,20766,Padraig Harrington,59.46,22,37
23,0,12782,Tim Herron,59.05,62,105
24,0,28158,Steve Marino,58.93,66,112
25,0,24449,Parker McLachlin,58.77,67,114
26,0,25349,Tim Wilkinson,58.43,52,89
27,0,12660,Jesper Parnevik,58.33,63,108
28,0,20574,Mathew Goggin,58.24,53,91
29,0,06595,Kevin Sutherland,58.00,58,100
30,0,12680,Shigeki Maruyama,57.89,33,57
31,0,25190,Jeff Quinney,57.65,49,85
32,0,21949,Joe Ogilvie,57.28,59,103
33,0,07457,Steve Flesch,57.14,48,84
33,0,06012,Greg Kraft,57.14,36,63
35,0,20160,Charlie Wi,56.98,49,86
36,0,26500,Alejandro Cañizares,56.67,34,60
37,0,20382,Stephen Leaney,56.60,30,53
38,0,27060,John Mallinger,56.57,56,99
39,0,20850,Daniel Chopra,56.18,50,89
40,0,10585,Scott McCarron,56.16,41,73
41,0,23125,Brad Elder,55.88,38,68
42,0,27649,Brandt Snedeker,55.84,43,77
43,0,10875,Todd Demsey,55.56,55,99
43,0,01810,Phil Mickelson,55.56,30,54
43,0,02223,Bob Tway,55.56,35,63
46,0,20443,Jin Park,55.41,41,74
47,0,22621,Ben Curtis,55.22,37,67
47,0,02002,John Riegger,55.22,37,67
49,0,20848,Ángel Cabrera,54.84,17,31
50,0,20105,Jeff Gove,54.76,23,42
51,0,19846,Brian Gay,54.55,54,99
51,0,22348,Nick O'Hern,54.55,48,88
51,0,02239,Scott Verplank,54.55,30,55
54,0,20433,Mark Hensby,54.43,43,79
55,0,23353,J.J. Henry,54.37,56,103
56,0,01941,Tom Pernice Jr.,54.21,58,107
57,0,12602,Dean Wilson,54.17,52,96
58,0,06251,Chris DiMarco,54.12,46,85
59,0,01320,Bob Estes,54.02,47,87
60,0,23718,Nathan Green,53.85,70,130
61,0,23409,James Driscoll,53.68,51,95
61,0,25396,Kevin Na,53.68,51,95
63,0,26695,Michael Letzig,53.66,44,82
63,0,27095,Nick Watney,53.66,44,82
65,0,06567,Vijay Singh,53.45,31,58
