RANK,MOVEMENT,PLAYER_ID,PLAYER,MONEY PER EVENT,TOTAL MONEY
1,0,08793,Tiger Woods,$370745,6673412
2,0,06567,Vijay Singh,$280515,7573907
3,0,01706,Davis Love III,$264430,6081896
4,0,10423,Mike Weir,$234233,4918909
5,0,06522,Ernie Els,$198308,3371237
6,0,10809,Jim Furyk,$191957,5182864
7,0,01945,Kenny Perry,$169235,4400122
8,0,20157,Retief Goosen,$166651,3166373
9,0,12510,Chad Campbell,$144891,3912063
10,0,02206,David Toms,$142727,3710904
11,0,01968,Nick Price,$133594,2271110
12,0,10860,Justin Leonard,$106544,2450525
13,0,01457,Jay Haas,$102541,2563544
14,0,01226,Fred Couples,$101138,1820494
15,0,01329,Brad Faxon,$100683,2718445
16,0,02223,Bob Tway,$100061,2601600
17,0,20098,Stuart Appleby,$98612,2662537
18,0,21731,Freddie Jacobson,$98346,786770
19,0,20094,Jonathan Kaye,$91660,2474837
20,0,10944,Thomas Bjørn,$91402,548412
21,0,10885,Robert Allenby,$90685,2176452
22,0,02239,Scott Verplank,$88719,2306714
23,0,24502,Adam Scott,$88481,1238736
24,0,20766,Padraig Harrington,$87385,961235
25,0,06251,Chris DiMarco,$87060,2350630
26,0,21961,Charles Howell III,$82869,2568954
27,0,20382,Stephen Leaney,$80442,723985
28,0,02214,Kirk Triplett,$80062,2001560
29,0,01797,Rocco Mediate,$76360,1832656
30,0,20127,Chris Riley,$75108,2178133
31,0,12782,Tim Herron,$75047,2176389
32,0,01320,Bob Estes,$72976,1824414
33,0,08075,Jerry Kelly,$71944,2158341
34,0,01810,Phil Mickelson,$70571,1623137
35,0,01527,Scott Hoch,$70485,1198249
36,0,07457,Steve Flesch,$68776,2269629
37,0,22621,Ben Curtis,$68329,1434910
38,0,01553,John Huston,$68048,1565118
39,0,20498,Briny Baird,$66742,2202518
40,0,01685,J.L. Lewis,$65782,2039259
41,0,06515,Shaun Micheel,$65250,1827000
42,0,01381,Fred Funk,$64989,2144652
43,0,20229,Stewart Cink,$63638,1781885
44,0,24357,K.J. Choi,$62489,1999663
45,0,19906,Gary Evans,$60706,121412
46,0,22913,John Rollins,$59715,1612314
47,0,12680,Shigeki Maruyama,$59617,1669291
48,0,23621,Rory Sabbatini,$59433,1604700
49,0,02133,Craig Stadler,$58483,584830
50,0,21753,Brian Davis,$57152,228611
51,0,22046,Geoff Ogilvy,$56817,1477246
52,0,22405,Justin Rose,$54534,599874
53,0,01948,Tim Petrovic,$54354,1739348
54,0,02010,Loren Roberts,$54072,1297739
55,0,01569,Peter Jacobsen,$52851,1162726
56,0,23541,Ben Crane,$52558,1419069
57,0,01364,Peter Fowler,$52324,52324
58,0,02104,Jeff Sluman,$51927,1609748
59,0,20634,Peter Lonard,$50907,1323593
60,0,23135,Tim Clark,$50147,1253690
61,0,22371,Aaron Baddeley,$49458,989168
62,0,24925,Jonathan Byrd,$49328,1430538
63,0,01388,Robert Gamez,$49025,1519803
64,0,07867,Woody Austin,$48990,1518706
65,0,02246,Duffy Waldorf,$48240,1206004
66,0,19825,Darren Clarke,$47745,763931
67,0,01677,Tom Lehman,$46929,1173237
68,0,01161,Mark Calcavecchia,$46711,1121069
69,0,10585,Scott McCarron,$46327,1250849
70,0,01577,Lee Janzen,$45280,1132000
71,0,01761,Len Mattiace,$45239,1221476
72,0,11032,Frank Lickliter II,$44681,1340435
73,0,01361,Dan Forsman,$42229,1140209
74,0,25732,S.K. Ho,$41329,41329
74,0,19983,Andy Oldcorn,$41329,41329
76,0,01035,Tommy Armour III,$40564,932984
77,0,06595,Kevin Sutherland,$40478,1092918
78,0,06621,Joe Durant,$39964,1119001
79,0,20663,Brenden Pappas,$39630,1307808
80,0,20572,Rod Pampling,$39443,1064974
81,0,20472,Alex Cejka,$39429,1182882
82,0,02170,Hal Sutton,$39154,939719
83,0,01941,Tom Pernice Jr.,$39049,1210541
84,0,23614,Rich Beem,$38998,1013950
85,0,23552,Hank Kuehne,$37919,872139
86,0,25345,Carl Pettersson,$37579,977075
87,0,01326,Nick Faldo,$37465,262258
88,0,06004,Stephen Ames,$37257,1005959
89,0,12645,Brent Geiberger,$36783,588532
90,0,22400,Hennie Otto,$36030,108092
91,0,10201,Matt Gogel,$35896,897410
92,0,20585,Niclas Fasth,$34427,481982
93,0,08375,Paul Stankowski,$34258,719435
94,0,21633,Steve Allan,$34240,616325
95,0,20548,Hidemichi Tanaka,$34155,1024678
96,0,01619,Skip Kendall,$34074,1022244
97,0,21209,Sergio Garcia,$33319,666386
98,0,24427,Chris Downes,$32910,32910
99,0,19904,Paul Lawrie,$32281,225973
100,0,12663,Phil Tataurangi,$32189,354083
101,0,01707,Steve Lowery,$32148,932293
102,0,20378,Mathias Grönberg,$32003,128013
103,0,06573,Brandt Jobe,$31436,691603
104,0,01724,Jeff Maggert,$31131,747165
105,0,01927,Dennis Paulson,$30176,452648
106,0,06373,José María Olazábal,$29947,479155
107,0,20719,Adam Mednick,$29849,29849
107,0,21592,Gary Murphy,$29849,29849
107,0,20480,Marco Ruiz,$29849,29849
110,0,06643,Paul Goydos,$29371,734283
111,0,07749,Brett Quigley,$29121,786293
112,0,21805,Harrison Frazar,$28773,776876
113,0,23338,David Gossett,$27494,769839
114,0,01766,Billy Mayfair,$27167,842185
115,0,02256,Tom Watson,$27004,108017
116,0,20848,Ángel Cabrera,$26589,372252
117,0,01666,Bernhard Langer,$26475,555981
118,0,20763,Pierre Fulke,$26140,78420
119,0,23983,Luke Donald,$26115,705121
120,0,01203,Russ Cochran,$25850,103400
121,0,22293,Heath Slocum,$25494,815811
122,0,08931,Glen Day,$25437,788557
123,0,20474,Phillip Price,$25102,225926
124,0,20628,Arron Oberholser,$24794,619865
125,0,12602,Dean Wilson,$24235,654345
126,0,02101,Joey Sindelar,$23838,691328
127,0,10733,Kent Jones,$23466,539737
128,0,12652,Cameron Beckman,$23422,608981
129,0,08537,J.P. Hayes,$23413,585330
130,0,12705,Cliff Kresge,$22958,734667
131,0,01024,Billy Andrade,$22748,659693
132,0,01938,David Peoples,$22474,674222
133,0,01378,David Frost,$22429,583177
134,0,12823,Carlos Franco,$22400,672022
135,0,01723,Andrew Magee,$22252,578558
136,0,19824,Craig Barlow,$22024,638721
137,0,23353,J.J. Henry,$21301,660341
138,0,10213,Dicky Pride,$21040,483923
139,0,22379,Mark Foster,$20664,41329
140,0,08123,Jeff Brehaut,$20313,650019
141,0,10425,Jay Williamson,$20230,627131
142,0,26420,Richard Johnson,$19965,559021
