RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL MONEY,OFFICIAL MONEY,WGC MONEY ONLY
1,0,20766,Padraig Harrington,$1021235,96123534,6000000
2,0,23552,Hank Kuehne,$872139,87213900
3,0,20382,Stephen Leaney,$818986,72398588,9500000
4,0,21731,Freddie Jacobson,$786771,78677092
5,0,22405,Justin Rose,$744529,59987400,14465477
6,0,10944,Thomas Bjørn,$650733,54841200,10232142
7,0,20585,Niclas Fasth,$568982,48198215,8700000
8,0,25364,Paul Casey,$363450,13670000,22675000
9,0,02020,Eduardo Romero,$308098,15651500,15158333
10,0,22378,Trevor Immelman,$307150,12615037,18100000
11,0,10821,Toshi Izawa,$296000,7300000,22300000
12,0,01326,Nick Faldo,$283383,26225840,2112500
13,0,20474,Phillip Price,$280551,22592614,5462500
14,0,21753,Brian Davis,$270111,22861120,4150000
15,0,19904,Paul Lawrie,$255974,22597375,3000000
16,0,06064,Jeff Gallagher,$163900,16389972
17,0,22400,Hennie Otto,$162593,10809280,5450000
18,0,08635,Colin Montgomerie,$159607,5052343,10908333
19,0,20396,Lee Westwood,$136590,6359000,7300000
20,0,20473,Ignacio Garrido,$133250,0,13325000
21,0,20378,Mathias Grönberg,$128013,12801320
22,0,19906,Gary Evans,$121413,12141280
23,0,24781,Hunter Mahan,$106300,10630000
24,0,24138,Ian Poulter,$103693,3085948,7283333
25,0,20763,Pierre Fulke,$103045,7842026,2462500
26,0,20218,Shingo Katayama,$91499,6149916,3000000
27,0,27095,Nick Watney,$73255,7325500
28,0,12461,Paul McGinley,$68330,4132960,2700000
29,0,22379,Mark Foster,$68205,4132960,2687500
30,0,01473,Todd Hamilton,$62600,3660000,2600000
31,0,01364,Peter Fowler,$52324,5232434
32,0,19970,Robert Karlsson,$52000,0,5200000
33,0,24184,Alastair Forsyth,$51431,1518068,3625000
34,0,20608,David Howell,$46071,0,4607143
35,0,01886,Peter O'Malley,$45300,1105000,3425000
36,0,20832,Raphael Jacquelin,$44839,1621392,2862500
37,0,25732,S.K. Ho,$41330,4132960
37,0,19983,Andy Oldcorn,$41330,4132960
39,0,19817,Michael Muehr,$35376,3537600
40,0,21691,Robert-Jan Derksen,$33750,0,3375000
41,0,01191,Barry Cheesman,$32910,3291000
41,0,24427,Chris Downes,$32910,3291000
43,0,21407,Arjun Atwal,$32500,0,3250000
44,0,08535,Gary Nicklaus,$32300,3230000
45,0,22034,Yasuharu Imano,$31275,3127500
46,0,20773,Taichi Teshima,$31083,0,3108334
47,0,20859,Anders Hansen,$30000,0,3000000
47,0,22117,Jyoti Randhawa,$30000,0,3000000
49,0,06498,Matt Peterson,$29962,2996154
50,0,20719,Adam Mednick,$29849,2984916
50,0,21592,Gary Murphy,$29849,2984916
50,0,20480,Marco Ruiz,$29849,2984916
53,0,22986,Søren Kjeldsen,$28625,0,2862500
54,0,24511,Thongchai Jaidee,$27375,0,2737500
55,0,20952,Philip Golding,$26250,0,2625000
56,0,25396,Kevin Na,$23375,0,2337500
56,0,02202,Steen Tinning,$23375,0,2337500
58,0,20650,Jarrod Moseley,$21125,0,2112500
59,0,19795,Kelly Mitchum,$20795,2079500
60,0,20945,Markus Brier,$18859,1885948
60,0,22540,Anthony Wall,$18859,1885948
62,0,27120,Troy Matteson,$18135,1813500
63,0,12454,Mario Tiziani,$17780,1778000
64,0,21099,David Lynn,$16214,1621392
64,0,01796,Mark McNulty,$16214,1621392
66,0,25190,Jeff Quinney,$14550,1455000
67,0,07707,Mike Small,$14430,1443000
68,0,11155,Katsuyoshi Tomori,$13988,1398848
69,0,02300,Ian Woosnam,$13432,1343212
70,0,23739,Ryan Dillon,$13334,1333400
71,0,21836,Michael Flynn,$12600,1260000
72,0,23349,Charles Warren,$11984,1198400
73,0,01127,Danny Briggs,$11712,1171200
74,0,25005,Mark Walker,$11536,1153600
75,0,25041,Todd Rose,$11100,1110000
76,0,23091,Alan Morin,$10150,1015000
77,0,25349,Tim Wilkinson,$9900,990000
78,0,20051,Joe Acosta Jr.,$9765,976500
79,0,02166,Chip Sullivan,$9675,967500
80,0,25572,Graeme McDowell,$9620,962000
81,0,24847,Michael Harris,$9450,945000
82,0,25052,Derek Gillespie,$8988,898800
82,0,25842,Jon Mills,$8988,898800
84,0,20433,Mark Hensby,$8880,888000
85,0,23821,Yusaku Miyazato,$8775,877500
86,0,12753,David Morland IV,$8022,802200
87,0,23788,D.J. Trahan,$7880,788000
88,0,06036,Scott Dunlap,$7600,760000
88,0,21350,Ryuji Imada,$7600,760000
90,0,20043,Edward Fryatt,$7280,728000
91,0,06315,Pete Jordan,$6720,672000
