RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,GIR RANK
1,0,27330,Josh Teater,32' 1",15574.583,485,Under
2,0,27556,Ted Potter Jr.,32' 6",19482.667,599,Under
3,0,23325,Vaughn Taylor,32' 9",25513.833,779,Under
4,0,52375,Doug Ghim,32' 10",16398.417,499,Under
4,0,31646,Emiliano Grillo,32' 10",28140.000,856,Under
4,0,34563,Chesson Hadley,32' 10",27041.000,823,1 Under
7,0,25686,Jason Dufner,32' 11",33052.083,1004,Under
7,0,53165,Doc Redman,32' 11",41225.583,1251,1 Under
9,0,10809,Jim Furyk,33' 0",21301.083,645,Under
9,0,33204,Shane Lowry,33' 0",21097.833,639,Under
11,0,29221,Webb Simpson,33' 1",30100.417,910,1 Under
12,0,26476,Chez Reavie,33' 3",33779.917,1017,1 Under
13,0,34098,Russell Henley,33' 4",34573.917,1036,1 Under
13,0,25349,Tim Wilkinson,33' 4",19045.833,572,Under
15,1,21407,Arjun Atwal,33' 5",11794.333,353,Under
15,1,24361,Pat Perez,33' 5",23898.500,715,Under
15,1,28252,Seamus Power,33' 5",12542.833,375,Under
15,1,29518,Brendan Steele,33' 5",33121.500,992,1 Under
19,2,34076,Joel Dahmen,33' 6",37745.083,1127,1 Under
19,2,48045,Michael Gellerman,33' 6",17966.750,536,Under
19,-3,30925,Dustin Johnson,33' 6",27977.917,835,1 Under
19,-6,45486,Joaquin Niemann,33' 6",38721.583,1155,1 Under
23,2,26329,Louis Oosthuizen,33' 7",23641.500,704,Under
24,2,29974,Branden Grace,33' 8",19718.750,586,Under
24,2,33122,Russell Knox,33' 8",29255.333,870,Under
24,2,33413,Ben Martin,33' 8",13242.250,393,Under
24,2,30110,Kyle Stanley,33' 8",25737.250,764,Under
28,3,46717,Viktor Hovland,33' 9",34727.917,1030,1 Under
29,-8,34363,Tyrrell Hatton,33' 10",20524.417,606,1 Under
29,2,50525,Collin Morikawa,33' 10",42739.583,1262,1 Under
31,2,25900,Lucas Glover,34' 0",30127.667,886,Under
31,2,30163,Henrik Norlander,34' 0",33861.417,995,1 Under
33,2,56762,Will Gordon,34' 1",13358.167,392,Under
