RANK,MOVEMENT,PLAYER_ID,PLAYER,POINTS,WGC POINTS
1,0,21528,Henrik Stenson,1081,62
2,0,20396,Lee Westwood,637,138
3,0,28237,Rory McIlroy,585,152
4,0,27896,Ross Fisher,496,190
5,0,25572,Graeme McDowell,405,50
6,0,27506,Oliver Wilson,389,246
7,0,27408,Martin Kaymer,339,90
8,0,23624,Soren Hansen,331,90
9,0,20686,Jeev Milkha Singh,331,168
10,0,19958,Miguel Angel Jiménez,261,144
11,0,22986,Søren Kjeldsen,256,117
12,0,20218,Shingo Katayama,220,70
13,0,29926,Danny Lee,210,17
14,0,27072,Alvaro Quiros,196,136
15,0,22792,Peter Hanson,194,97
16,0,25198,Francesco Molinari,185,0
17,0,22000,Chris Wood,181,0
18,0,24461,Thomas Aiken,175,92
19,0,19970,Robert Karlsson,132,61
20,0,26331,Charl Schwartzel,129,47
21,0,22080,Prayad Marksaeng,112,112
22,0,19825,Darren Clarke,107,68
23,0,24511,Thongchai Jaidee,97,10
24,0,24459,Richard Sterne,93,24
25,0,20669,James Kingston,89,48
26,0,32366,Kevin Chappell,89,0
27,0,30110,Kyle Stanley,88,0
28,0,26329,Louis Oosthuizen,77,71
29,0,12662,Thomas Levet,75,0
30,0,25191,Gonzalo Fernandez-Castaño,70,1
31,0,26882,Michael Sim,70,0
32,0,29419,Tadd Fujikawa,70,0
33,0,27124,Chris Baryla,69,0
34,0,23725,Brendan Jones,66,23
35,0,22951,Azuma Yano,66,1
36,0,20121,Todd Fischer,61,0
37,0,27088,Johan Edfors,57,0
38,0,24236,Nick Dougherty,48,17
39,0,20859,Anders Hansen,46,46
40,0,20940,Kenichi Kuboya,41,0
41,0,23533,Anthony Kang,32,32
42,0,21498,Hideto Tanihara,30,0
43,0,21207,José Manuel Lara,29,0
44,0,24725,Richard Finch,29,29
45,0,32876,Martin Piller,28,0
46,0,27797,Derek Lamely,27,0
47,0,12755,Vance Veazey,27,0
48,0,29974,Branden Grace,27,0
48,0,12461,Paul McGinley,27,0
48,0,22540,Anthony Wall,27,0
51,0,27784,Wen-Tang Lin,26,26
52,0,24494,Erik Compton,24,0
53,0,27436,Graham DeLaet,23,0
53,0,29461,Jamie Lovemark,23,0
55,0,32262,Mark Brown,22,22
55,0,19904,Paul Lawrie,22,0
55,0,27302,Garth Mulroy,22,22
58,0,32698,Bobby Gates,20,0
59,0,20598,Christian Cévaër,17,17
59,0,31044,Matt Harmon,17,0
61,0,23834,Jean-Francois Lucquin,16,0
61,0,22122,Andrew McLardy,16,0
63,0,20608,David Howell,16,0
63,0,23969,Graeme Storm,16,0
63,0,25892,Steve Wheatcroft,16,0
66,0,29938,Alan Wagner,15,0
67,0,32058,José de Jesús Rodríguez,15,0
68,0,30852,Ryo Ishikawa,14,0
69,0,23613,Rich Barcelo,14,0
69,0,21284,Hiroyuki Fujita,14,0
71,0,08123,Jeff Brehaut,13,0
71,0,32210,Trevor Murphy,13,0
73,0,19824,Craig Barlow,12,0
73,0,30151,Fernando Mechereffe,12,0
75,0,23783,Felipe Aguilar,11,0
75,0,31577,Tano Goya,11,0
75,0,32532,Manuel Villegas,11,0
78,0,20569,Richard Green,10,0
78,0,07941,Mike Grob,10,0
80,0,08191,Paul Broadhurst,10,0
80,0,24179,David Drysdale,10,0
82,0,29720,Andres Gonzales,9,0
83,0,27129,Luke List,6,0
84,0,24121,Andy Matthews,6,0
85,0,20367,Fredrik Andersson Hed,5,0
86,0,32888,Lucas Lee,3,0
87,0,20624,David Smail,2,0
88,0,28456,Andrew Ruthkoski,2,0
89,0,06078,Esteban Toledo,2,0
89,0,25437,James Vargas,2,0
91,0,27447,John Ellis,1,0
91,0,30926,Chris Kirk,1,0
93,0,22368,Daniel Gaunt,1,0
94,0,29664,Gregory Bisconti,1,0
94,0,27463,Matthew Loving,1,0
96,0,22896,Grégory Havret,1,1
97,0,25768,Chih-Bing Lam,1,1
98,0,33204,Shane Lowry,1,1
98,0,33545,Grant Sturgeon,1,0
100,0,21290,Yuji Igarashi,1,1
100,0,27090,Junpei Takayama,1,0
102,0,24184,Alastair Forsyth,1,0
102,0,29670,Pablo Larrazabal,1,1
104,0,33046,Cortland Lowe,1,0
105,0,28380,Ryan Helminen,0
