RANK,MOVEMENT,PLAYER_ID,PLAYER,POINTS PER EVENT,TOTAL POINTS
1,0,08793,Tiger Woods,263.896,3430.646
2,0,02256,Tom Watson,165.000,330.000
3,0,06527,Steve Stricker,119.720,2154.967
4,0,01810,Phil Mickelson,116.406,1629.690
5,0,22046,Geoff Ogilvy,100.188,1603.000
6,0,01945,Kenny Perry,99.638,1992.750
7,0,25364,Paul Casey,96.771,1161.250
8,0,24024,Zach Johnson,96.142,2018.984
9,0,20157,Retief Goosen,91.192,1459.071
10,0,24663,Y.E. Yang,85.328,1621.241
11,0,25900,Lucas Glover,79.163,1741.593
12,0,24140,Sean O'Hair,77.589,1474.188
13,0,20848,Ángel Cabrera,74.442,967.750
14,0,19846,Brian Gay,73.349,1540.320
15,0,27095,Nick Watney,73.050,1387.950
16,0,20229,Stewart Cink,68.066,1225.193
17,0,02206,David Toms,66.373,1393.829
18,0,10809,Jim Furyk,65.990,1187.821
19,0,24138,Ian Poulter,64.782,906.954
20,0,24781,Hunter Mahan,64.116,1282.328
21,0,23621,Rory Sabbatini,61.232,1163.400
22,0,23983,Luke Donald,58.406,992.900
23,0,30925,Dustin Johnson,57.748,1154.957
24,0,23135,Tim Clark,54.452,980.127
25,0,29718,Anthony Kim,53.169,957.033
26,0,22913,John Rollins,52.945,1111.843
27,0,24361,Pat Perez,51.129,920.313
28,0,10423,Mike Weir,50.967,968.367
29,0,08075,Jerry Kelly,50.877,1068.419
30,0,10885,Robert Allenby,49.735,845.500
31,0,27770,Camilo Villegas,49.199,885.576
32,0,06522,Ernie Els,48.857,732.850
33,0,26596,Ryan Moore,48.714,1022.997
34,0,25396,Kevin Na,46.406,1020.938
35,0,12716,Charley Hoffman,45.876,963.391
36,0,01761,Len Mattiace,44.000,44.000
37,0,01226,Fred Couples,43.738,568.600
38,0,23800,Bryce Molder,41.834,669.350
39,0,21961,Charles Howell III,40.754,937.333
40,0,01706,Davis Love III,40.545,851.455
41,0,28089,Jason Day,39.950,599.250
42,0,10860,Justin Leonard,39.928,838.490
43,0,28158,Steve Marino,39.099,938.383
44,0,20645,John Senden,39.059,937.406
45,0,01823,Larry Mize,39.000,39.000
46,0,21878,Mark Wilson,38.561,848.350
47,0,06643,Paul Goydos,38.182,725.450
48,0,20766,Padraig Harrington,37.979,607.667
49,0,27060,John Mallinger,36.881,774.500
50,0,06373,José María Olazábal,36.375,145.500
51,0,23541,Ben Crane,36.350,727.000
52,0,21209,Sergio Garcia,35.803,501.239
53,0,25686,Jason Dufner,35.755,786.600
54,0,07867,Woody Austin,35.125,667.380
55,0,06004,Stephen Ames,34.822,591.980
56,0,27933,John Merrick,34.626,761.767
57,0,23718,Nathan Green,34.267,822.397
58,0,06567,Vijay Singh,34.051,646.963
59,0,25804,Bubba Watson,33.853,677.060
60,0,12510,Chad Campbell,33.476,703.000
61,0,24507,Jason Bohn,33.184,630.500
62,0,26287,Roland Thatcher,33.121,364.333
63,0,07749,Brett Quigley,33.032,759.725
64,0,21753,Brian Davis,32.906,822.660
65,0,26679,Kevin Stadler,32.764,556.980
66,0,23623,Bo Van Pelt,32.289,742.656
67,0,24925,Jonathan Byrd,32.270,580.854
68,0,02239,Scott Verplank,32.040,640.805
69,0,27141,J.B. Holmes,31.763,635.250
70,0,06595,Kevin Sutherland,31.519,693.410
71,0,20574,Mathew Goggin,31.503,661.563
72,0,20160,Charlie Wi,31.056,683.233
73,0,27649,Brandt Snedeker,30.842,616.833
74,0,22621,Ben Curtis,30.656,490.500
75,0,01320,Bob Estes,30.552,611.043
76,0,20498,Briny Baird,30.236,695.429
77,0,26289,Boo Weekley,29.481,589.626
78,0,23108,Matt Kuchar,29.208,554.943
79,0,28475,Jeff Overton,28.463,597.729
80,0,06573,Brandt Jobe,28.375,227.000
81,0,12680,Shigeki Maruyama,28.295,141.477
82,0,24503,Jeff Klauk,28.037,644.862
83,0,23353,J.J. Henry,27.360,656.630
84,0,22405,Justin Rose,27.328,491.909
85,0,26695,Michael Letzig,27.135,596.980
86,0,23409,James Driscoll,26.742,427.872
87,0,20593,Greg Chalmers,25.860,543.068
88,0,26300,Matt Jones,25.214,353.000
89,0,26851,Marc Leishman,24.885,547.467
90,0,10585,Scott McCarron,24.625,566.370
91,0,24357,K.J. Choi,24.583,491.667
92,0,01577,Lee Janzen,24.538,490.755
93,0,06197,Michael Allen,24.467,440.410
94,0,22348,Nick O'Hern,24.393,512.250
95,0,21959,Ted Purdy,24.177,580.250
96,0,21350,Ryuji Imada,23.760,498.960
97,0,12652,Cameron Beckman,23.429,468.583
98,0,01717,Sandy Lyle,23.250,46.500
99,0,24924,Bill Haas,23.242,534.577
100,0,21731,Freddie Jacobson,23.198,417.561
101,0,25818,Scott Piercy,23.079,530.820
102,0,25240,D.A. Points,23.069,530.580
103,0,24490,George McNeill,22.869,480.250
104,0,01161,Mark Calcavecchia,22.808,410.550
105,0,22371,Aaron Baddeley,22.661,430.563
106,0,20572,Rod Pampling,22.624,452.473
107,0,23788,D.J. Trahan,22.583,542.000
108,0,29221,Webb Simpson,22.554,518.750
109,0,27214,Kevin Streelman,22.532,518.239
110,0,24502,Adam Scott,22.294,379.000
111,0,20127,Chris Riley,22.158,376.688
112,0,26301,James Nitties,22.050,507.149
113,0,01527,Scott Hoch,22.000,22.000
114,0,01116,Michael Bradley,21.864,306.093
115,0,01948,Tim Petrovic,21.711,542.778
