RANK,MOVEMENT,PLAYER_ID,PLAYER,POINTS,# OF WINS,# OF TOP 10'S,POINTS BEHIND LEAD
1,0,28237,Rory McIlroy,-18,3,14,0
2,0,48081,Xander Schauffele,-14,2,6,0
3,0,36689,Brooks Koepka,-13,3,9,0
3,0,33448,Justin Thomas,-13,1,7,0
5,0,25364,Paul Casey,-9,1,7,0
6,0,24502,Adam Scott,-8,0,9,0
7,0,29725,Tony Finau,-7,0,6,0
8,0,26476,Chez Reavie,-6,1,6,0
9,0,29478,Kevin Kisner,-5,1,5,0
9,0,32839,Hideki Matsuyama,-5,0,7,0
9,0,34360,Patrick Reed,-5,1,5,0
12,0,47959,Bryson DeChambeau,-4,1,5,0
12,0,46970,Jon Rahm,-4,1,12,0
14,0,30944,Jason Kokrak,-3,0,5,0
15,0,31323,Gary Woodland,-2,1,8,0
16,0,30911,Tommy Fleetwood,-1,0,6,0
16,0,23108,Matt Kuchar,-1,2,8,0
16,0,29221,Webb Simpson,-1,0,6,0
19,0,32102,Rickie Fowler,E,1,6,0
19,0,39971,Sungjae Im,E,0,7,0
21,0,45526,Abraham Ancer,+1,0,4,0
21,0,35450,Patrick Cantlay,+1,1,9,0
21,0,26329,Louis Oosthuizen,+1,0,5,0
24,0,26851,Marc Leishman,+2,1,7,0
24,0,27649,Brandt Snedeker,+2,0,6,0
26,0,39997,Corey Conners,+3,1,4,0
26,0,22405,Justin Rose,+3,1,7,0
28,0,21961,Charles Howell III,+4,1,5,0
29,0,25900,Lucas Glover,+10,0,7,0
29,0,30925,Dustin Johnson,+10,1,7,0
31,0,32333,Kevin Tway,1242,1,2,0
32,0,49771,J.T. Poston,1238,1,3,0
33,0,33204,Shane Lowry,1197,1,4,0
34,0,34256,Andrew Putnam,1145,0,3,0
35,0,23320,Ryan Palmer,1141,1,6,0
36,0,23621,Rory Sabbatini,1140,0,6,0
37,0,29908,C.T. Pan,1125,1,2,0
38,0,37189,Harold Varner III,1122,0,3,0
39,0,25818,Scott Piercy,1104,0,6,0
40,0,25198,Francesco Molinari,1080,1,3,0
41,0,24138,Ian Poulter,1072,0,6,0
42,0,08793,Tiger Woods,1069,1,4,0
43,0,29420,Billy Horschel,1065,0,4,0
44,0,34046,Jordan Spieth,1026,0,4,0
45,0,27974,Sung Kang,1003,1,4,0
46,0,37455,Si Woo Kim,956,0,5,0
47,0,01810,Phil Mickelson,948,1,2,0
48,0,26596,Ryan Moore,944,0,2,0
49,0,23325,Vaughn Taylor,937,0,4,0
50,0,39546,Keith Mitchell,926,1,3,0
51,0,10809,Jim Furyk,911,0,3,0
52,0,33399,Adam Hadwin,904,0,5,0
53,0,33948,Byeong Hun An,892,0,3,0
54,0,28089,Jason Day,891,0,6,0
55,0,34076,Joel Dahmen,868,0,2,0
56,0,27141,J.B. Holmes,856,1,2,0
57,0,28775,Nate Lashley,849,1,2,0
58,0,32640,Troy Merritt,842,0,4,0
59,0,50525,Collin Morikawa,840,1,3,0
60,0,39977,Max Homa,825,1,2,0
61,0,25396,Kevin Na,823,1,3,0
62,0,52372,Cameron Champ,819,1,3,0
63,0,29970,Dylan Frittelli,802,1,1,0
64,0,51766,Wyndham Clark,771,0,3,0
65,0,31646,Emiliano Grillo,765,0,2,0
66,0,33141,Keegan Bradley,761,0,3,0
67,0,45486,Joaquin Niemann,751,0,4,0
68,0,25572,Graeme McDowell,750,1,3,0
69,0,35449,Adam Long,734,1,2,0
70,0,26499,Rafa Cabrera Bello,713,0,2,0
71,0,47347,Adam Schenk,657,0,3,0
72,0,21209,Sergio Garcia,637,0,5,0
73,0,29926,Danny Lee,633,0,3,0
74,0,56278,Matthew Wolff,613,1,1,0
75,0,27214,Kevin Streelman,609,0,4,0
76,0,27064,Jhonattan Vegas,602,0,3,0
77,0,29974,Branden Grace,588,0,2,0
78,0,12716,Charley Hoffman,576,0,2,0
79,0,34363,Tyrrell Hatton,574,0,3,0
80,0,34563,Chesson Hadley,573,0,3,0
81,0,25804,Bubba Watson,572,0,3,0
82,0,31560,Brian Stuard,572,0,3,0
83,0,30978,Kiradech Aphibarnrat,568,0,3,0
84,0,35891,Cameron Smith,566,0,3,0
85,0,32139,Danny Willett,565,0,2,0
86,0,28307,Matt Every,561,0,2,0
87,0,34098,Russell Henley,553,0,1,0
88,0,27644,Brian Harman,534,0,4,0
89,0,32150,Michael Thompson,527,0,4,0
90,0,21528,Henrik Stenson,523,0,3,0
91,0,26300,Matt Jones,515,0,2,0
92,0,27129,Luke List,506,0,4,0
93,0,33486,Roger Sloan,505,0,3,0
94,0,47504,Sam Burns,493,0,3,0
95,0,34021,Bud Cauley,482,0,2,0
96,0,33410,Andrew Landry,481,0,1,0
97,0,27095,Nick Watney,480,0,3,0
98,0,35506,Mackenzie Hughes,479,0,2,0
99,0,39324,J.J. Spaun,479,0,2,0
100,0,19803,Ryan Armour,475,0,1,0
101,0,46402,Talor Gooch,474,0,2,0
102,0,27963,Chris Stroud,473,0,4,0
103,0,30110,Kyle Stanley,471,0,1,0
104,0,29535,Brice Garnett,466,0,2,0
105,0,36699,Patrick Rodgers,459,0,1,0
106,0,33419,Cameron Tringale,459,0,2,0
107,0,37275,Sam Ryder,458,0,2,0
108,0,32791,K.H. Lee,453,0,2,0
109,0,30692,Scott Stallings,452,0,2,0
110,0,33122,Russell Knox,452,0,2,0
111,0,47993,Denny McCarthy,443,0,2,0
112,0,29479,Scott Brown,442,0,4,0
113,0,33667,Carlos Ortiz,441,0,3,0
114,0,49964,Aaron Wise,441,0,1,0
115,0,49960,Sepp Straka,432,0,1,0
116,0,22371,Aaron Baddeley,428,0,3,0
117,0,48822,Sebastián Muñoz,423,0,3,0
118,0,34466,Peter Malnati,423,0,1,0
119,0,19846,Brian Gay,415,0,2,0
120,0,25493,Nick Taylor,408,0,1,0
121,0,27936,Martin Laird,408,0,4,0
122,0,32757,Patton Kizzire,406,0,1,0
123,0,35879,Kelly Kraft,399,0,3,0
124,0,27895,Jonas Blixt,392,0,1,0
125,0,24361,Pat Perez,376,0,3,0
126,0,47128,Richy Werenski,374,0,1,0
127,0,33418,Shawn Stefani,374,0,2,0
128,0,34431,Robert Streb,372,0,2,0
129,0,27349,Alex Noren,367,0,0
130,0,46435,Austin Cook,364,0,2,0
131,0,40026,Daniel Berger,361,0,1,0
132,0,35617,Martin Trainer,354,1,1,0
133,0,29484,Peter Uihlein,353,0,2,0
134,0,35732,Wes Roach,345,0,2,0
135,0,29268,Bronson Burgoon,343,0,2,0
136,0,25686,Jason Dufner,327,0,2,0
137,0,27958,Ryan Blaum,323,0,1,0
138,0,31557,Jim Herman,321,1,1,0
139,0,40009,Dominic Bozzelli,316,0,2,0
