RANK,MOVEMENT,PLAYER_ID,PLAYER,MONEY PER EVENT,TOTAL MONEY
1,0,46046,Scottie Scheffler,$561876,14046910
2,0,35891,Cameron Smith,$561550,10107897
3,0,28237,Rory McIlroy,$540910,8654566
4,0,35450,Patrick Cantlay,$468480,9369605
5,0,47483,Will Zalatoris,$391878,9405082
6,0,48081,Xander Schauffele,$353681,7427299
7,0,40098,Matt Fitzpatrick,$350634,7012672
8,0,33448,Justin Thomas,$325218,6829576
9,0,47504,Sam Burns,$294749,7073986
10,0,46970,Jon Rahm,$276222,5248220
11,0,32839,Hideki Matsuyama,$275062,5776298
12,0,57366,Cameron Young,$260824,6520598
13,0,55182,Tom Kim,$256780,2824580
14,0,50525,Collin Morikawa,$254593,4837271
15,0,25364,Paul Casey,$248612,1740282
16,0,29725,Tony Finau,$244715,6117886
17,0,46717,Viktor Hovland,$231831,4868461
18,0,34046,Jordan Spieth,$228111,5018444
19,0,29420,Billy Horschel,$224573,4940600
20,0,39977,Max Homa,$220410,5289842
21,0,39971,Sungjae Im,$214153,5567974
22,0,45486,Joaquin Niemann,$211502,5076060
23,0,33204,Shane Lowry,$200927,3616679
24,0,30925,Dustin Johnson,$191896,2302749
25,0,54591,Ben Griffin,$178850,357700
26,0,30911,Tommy Fleetwood,$169059,2874008
27,0,46402,Talor Gooch,$169045,3718990
28,0,46798,Anthony Quayle,$165583,165583
29,0,29478,Kevin Kisner,$156559,3757424
30,0,39997,Corey Conners,$155064,3876590
31,0,55509,Hurly Long,$153088,306175
32,0,34363,Tyrrell Hatton,$149989,2849792
33,0,40026,Daniel Berger,$147462,1769539
34,0,24502,Adam Scott,$145660,2913198
35,0,33141,Keegan Bradley,$144925,3623137
36,0,49964,Aaron Wise,$143938,3454521
37,0,49960,Sepp Straka,$143104,4722434
38,0,35532,Tom Hoge,$134689,4310046
39,0,34098,Russell Henley,$128977,2837505
40,0,31420,Anirban Lahiri,$128525,3084598
41,0,39058,Lucas Herbert,$127922,2558440
42,0,30692,Scott Stallings,$126890,3933593
43,0,30944,Jason Kokrak,$123156,2339960
44,0,25369,Jamie Donaldson,$121850,243700
45,0,32791,K.H. Lee,$119542,3347180
46,0,27644,Brian Harman,$119513,3226839
47,0,28252,Seamus Power,$119240,3100241
48,0,27747,Hiroshi Iwata,$118718,118718
49,0,39546,Keith Mitchell,$118013,3068341
50,0,48018,Sadom Kaewkanjana,$115500,231000
51,0,40250,Taylor Pendrith,$110992,2330840
52,0,56676,John Augenstein,$110425,220850
53,0,29518,Brendan Steele,$110083,2531909
54,0,47995,Davis Riley,$110027,3190793
55,0,49771,J.T. Poston,$109748,3292443
56,0,47154,Martin Contini,$106533,106533
57,0,48117,Kurt Kitayama,$106163,2547912
58,0,33419,Cameron Tringale,$105190,3050519
59,0,47529,Mito Pereira,$103627,2797925
60,0,23108,Matt Kuchar,$102565,2051300
61,0,48822,Sebastián Muñoz,$101805,2545121
62,0,39324,J.J. Spaun,$101764,2951152
63,0,35986,Todd Sinnott,$100331,100331
64,0,37189,Harold Varner III,$99745,2294141
65,0,46442,Maverick McNealy,$99621,2689754
66,0,47993,Denny McCarthy,$99406,2882771
67,0,33399,Adam Hadwin,$99015,2574396
68,0,45526,Abraham Ancer,$98750,1777504
69,0,27129,Luke List,$97669,2734720
70,0,51634,Sahith Theegala,$97646,3124668
71,0,30926,Chris Kirk,$96357,2408913
72,0,26300,Matt Jones,$95728,1914560
73,0,45522,Christiaan Bezuidenhout,$93054,2233289
74,0,56278,Matthew Wolff,$92824,1485181
75,0,55789,Taylor Montgomery,$90090,180180
76,0,27349,Alex Noren,$89615,1971531
77,0,26851,Marc Leishman,$87633,2015561
78,0,54781,Grant Hirschman,$86683,86683
79,0,48372,Marcus Helligkilde,$86642,173283
80,0,31323,Gary Woodland,$86641,1992732
81,0,35506,Mackenzie Hughes,$84304,2276212
82,0,25396,Kevin Na,$82537,1155513
83,0,36689,Brooks Koepka,$82318,1317085
84,0,33653,Thomas Detry,$81995,409974
85,0,34264,Hudson Swafford,$81663,1714926
86,0,31569,Jason Scrivener,$79614,238842
87,0,45157,Cam Davis,$79560,1989011
88,0,22405,Justin Rose,$79277,1426994
89,0,33974,Dean Burmester,$77760,388800
90,0,46601,Trey Mullinax,$77584,2172365
91,0,37455,Si Woo Kim,$77040,2234151
92,0,31646,Emiliano Grillo,$74809,2094647
93,0,35310,Lanto Griffin,$74677,1717566
94,0,35461,Beau Hossler,$74627,1716430
95,0,34360,Patrick Reed,$74309,1560485
96,0,52666,Sami Valimaki,$73400,73400
97,0,32640,Troy Merritt,$73319,1906304
98,0,25900,Lucas Glover,$69350,1941796
99,0,21209,Sergio Garcia,$68949,896343
100,0,57975,Harry Hall,$68250,204750
101,0,26476,Chez Reavie,$68167,1908670
102,0,25804,Bubba Watson,$67850,610649
103,0,30927,Brendon Todd,$66362,1659052
104,0,34076,Joel Dahmen,$65882,1712942
105,0,47959,Bryson DeChambeau,$64991,519928
106,0,21961,Charles Howell III,$64125,1026002
107,0,34256,Andrew Putnam,$64013,1920393
108,0,29275,Naoto Nakanishi,$63780,63780
109,0,34174,John Huh,$62767,1631948
110,0,49947,Taylor Moore,$62544,1751237
111,0,45523,Thriston Lawrence,$62200,124400
112,0,32627,Espen Kofstad,$61314,122629
113,0,33122,Russell Knox,$60122,1683424
114,0,32775,Shugo Imahira,$59359,118718
115,0,48867,Matti Schmid,$59200,118400
116,0,52686,Rasmus Hojgaard,$59017,413120
117,0,58594,Spencer Ralston,$58275,58275
118,0,39067,MJ Daffue,$58266,116531
119,0,30957,Maximilian Kieffer,$58100,58100
119,0,29370,Mikko Korhonen,$58100,58100
121,0,52215,Robert MacIntyre,$57704,461631
122,0,29926,Danny Lee,$57542,1265934
123,0,28089,Jason Day,$57182,1086460
124,0,46464,Jordan L Smith,$57000,114000
