RANK,MOVEMENT,PLAYER_ID,PLAYER,FREQUENCY,# OF HOLES,# OF EAGLES
1,0,06567,Vijay Singh,104.8,1782,17
2,0,19824,Craig Barlow,117.7,1530,13
3,0,12823,Carlos Franco,120.6,1206,10
4,0,21805,Harrison Frazar,123.4,1728,14
5,0,02206,David Toms,123.6,1854,15
6,0,20094,Jonathan Kaye,129.6,1944,15
7,0,21949,Joe Ogilvie,138.0,1656,12
8,0,02218,Ted Tryba,138.9,1944,14
9,0,02106,Chris Smith,140.4,1404,10
10,0,01249,John Daly,141.8,1134,8
11,0,01226,Fred Couples,144.0,1008,7
12,0,01569,Peter Jacobsen,146.0,1314,9
13,0,01927,Dennis Paulson,148.5,1782,12
14,0,08793,Tiger Woods,150.0,1350,9
15,0,06575,Dudley Hart,151.2,1512,10
16,0,01810,Phil Mickelson,152.0,1368,9
17,0,01943,Chris Perry,154.3,2160,14
18,0,23349,Charles Warren,155.3,1242,8
19,0,09011,David Duval,157.5,1260,8
20,0,01797,Rocco Mediate,158.0,1422,9
21,0,20098,Stuart Appleby,158.4,1584,10
22,0,02245,Grant Waite,158.7,1746,11
23,0,07753,Kevin Wentworth,159.8,1278,8
24,0,01941,Tom Pernice Jr.,160.2,1602,10
25,0,01707,Steve Lowery,162.0,1782,11
26,0,01723,Andrew Magee,164.0,1476,9
27,0,01116,Michael Bradley,166.5,1332,8
28,0,06522,Ernie Els,168.0,1008,6
29,0,02239,Scott Verplank,170.0,1530,9
30,0,01685,J.L. Lewis,171.0,1710,10
31,0,02246,Duffy Waldorf,172.0,1548,9
32,0,20029,Notah Begay III,174.6,1746,10
33,0,23621,Rory Sabbatini,175.5,1404,8
34,0,06599,John Elliott,177.8,1422,8
35,0,06251,Chris DiMarco,178.2,1782,10
36,0,12652,Cameron Beckman,182.3,1458,8
37,0,06062,Charles Raulerson,183.6,1836,10
38,0,01385,Jim Gallagher Jr.,184.5,1476,8
38,0,01945,Kenny Perry,184.5,1476,8
40,0,11032,Frank Lickliter II,187.2,1872,10
41,0,01619,Skip Kendall,189.0,1890,10
42,0,06643,Paul Goydos,190.0,1710,9
43,0,01175,Jim Carter,192.0,1728,9
43,0,21007,Gabriel Hjertstedt,192.0,1728,9
45,0,02214,Kirk Triplett,193.5,1548,8
46,0,01282,Trevor Dodds,194.0,1746,9
46,0,10423,Mike Weir,194.0,1746,9
48,0,01035,Tommy Armour III,198.0,1584,8
48,0,08375,Paul Stankowski,198.0,1386,7
50,0,01266,Clark Dennis,200.3,1602,8
51,0,06527,Steve Stricker,201.0,1206,6
52,0,06332,Neal Lancaster,207.0,1656,8
53,0,01577,Lee Janzen,208.3,1458,7
54,0,01823,Larry Mize,210.0,1260,6
55,0,06036,Scott Dunlap,210.9,1476,7
56,0,20593,Greg Chalmers,212.0,1908,9
57,0,12663,Phil Tataurangi,213.0,1278,6
58,0,11123,Chris Couch,216.0,1296,6
58,0,01553,John Huston,216.0,1296,6
58,0,20213,Katsumasa Miyamoto,216.0,1080,5
61,0,23623,Bo Van Pelt,219.0,1314,6
62,0,01533,P.H. Horgan III,220.5,1764,8
63,0,01527,Scott Hoch,222.8,1782,8
64,0,02133,Craig Stadler,225.0,900,4
65,0,02279,Mark Wiebe,228.0,1368,6
66,0,06809,Bob Burns,228.9,1602,7
66,0,11011,Mike Sposa,228.9,1602,7
