RANK,MOVEMENT,PLAYER_ID,PLAYER,DISTANCE,YEAR/TOURN#,ROUND,HOLE
1,0,22986,Søren Kjeldsen,90' 0",Shell Houston,3,3 - Par 4 -
2,0,06251,Chris DiMarco,88' 6",Canadian Open,3,17 - Par 4
3,0,28089,Jason Day,88' 3",John Deere Clas,4,4 - Par 4 -
4,0,34047,John Little II,87' 8",Texas Open,1,7 - Par 3 -
5,0,22371,Aaron Baddeley,87' 7",Texas Open,2,17 - Par 4
6,0,26300,Matt Jones,79' 8",Farmers Ins.,1,9 - Par 5 -
7,0,06004,Stephen Ames,79' 7",Turning Stone,4,8 - Par 5 -
8,0,23135,Tim Clark,79' 0",Memorial Tourn,1,5 - Par 5 -
9,0,12716,Charley Hoffman,77' 8",St. Jude,2,14 - Par 3
10,0,27963,Chris Stroud,77' 7",Texas Open,2,1 - Par 4 -
11,0,20691,Greg Owen,77' 1",The McGladrey,1,18 - Par 4
12,0,06197,Michael Allen,76' 8",Phoenix Open,2,8 - Par 4 -
13,0,25720,Chad Collins,73' 8",Quail Hollow,4,18 - Par 4
14,0,24138,Ian Poulter,73' 2",BMW Champ,1,14 - Par 3
15,0,27072,Alvaro Quiros,72' 9",Phoenix Open,4,5 - Par 4 -
16,0,30925,Dustin Johnson,71' 9",Sony Open,1,14 - Par 4
17,0,08075,Jerry Kelly,70' 9",WGC-CA Champ,4,14 - Par 4
18,0,24786,Jeff Burns,69' 9",Texas Open,2,17 - Par 4
19,0,21961,Charles Howell III,68' 9",Turning Stone,1,13 - Par 4
21,0,21753,Brian Davis,67' 5",AT&T National,1,12 - Par 4
22,0,20105,Jeff Gove,66' 2",Wyndham Champ.,2,10 - Par 4
23,0,28158,Steve Marino,66' 2",Deutsche Bank,3,11 - Par 3
24,0,24748,WC Liang,66' 0",Sony Open,3,5 - Par 4 -
25,0,20574,Mathew Goggin,65' 6",Phoenix Open,4,13 - Par 5
27,0,30852,Ryo Ishikawa,65' 4",Arnold Palmer,4,5 - Par 4 -
28,0,21949,Joe Ogilvie,65' 4",Shell Houston,4,18 - Par 4
29,0,26882,Michael Sim,65' 4",Deutsche Bank,3,5 - Par 4 -
30,0,01810,Phil Mickelson,65' 2",Memorial Tourn,2,7 - Par 5 -
31,0,08931,Glen Day,65' 1",Turning Stone,1,5 - Par 5 -
33,0,07749,Brett Quigley,64' 9",John Deere Clas,2,15 - Par 4
34,0,06567,Vijay Singh,64' 7",Honda Classic,2,17 - Par 3
35,0,29285,Brent Delahoussaye,64' 4",Turning Stone,2,6 - Par 3 -
36,0,26679,Kevin Stadler,64' 2",Zurich Classic,1,7 - Par 5 -
37,0,27797,Derek Lamely,63' 11",Farmers Ins.,3,2 - Par 4 -
38,0,26420,Richard Johnson,63' 10",John Deere Clas,2,15 - Par 4
39,0,34448,Brendan Gielow,63' 9",Wyndham Champ.,2,3 - Par 3 -
40,0,23108,Matt Kuchar,63' 7",BMW Champ,1,12 - Par 3
41,0,27933,John Merrick,63' 4",Shell Houston,1,3 - Par 4 -
42,0,24358,Robert Garrigus,62' 10",Frys.com Open,4,18 - Par 4
43,0,01941,Tom Pernice Jr.,62' 6",Zurich Classic,1,12 - Par 4
44,0,24449,Parker McLachlin,62' 0",Phoenix Open,2,7 - Par 3 -
45,0,27214,Kevin Streelman,61' 8",The Barclays,4,4 - Par 4 -
47,0,23718,Nathan Green,61' 5",Turning Stone,3,7 - Par 4 -
48,0,23322,Brett Wetterich,61' 4",Wyndham Champ.,4,18 - Par 4
50,0,06595,Kevin Sutherland,61' 1",Memorial Tourn,2,1 - Par 4 -
51,0,08793,Tiger Woods,61' 1",AT&T National,1,5 - Par 3 -
52,0,08725,Tom Gillis,61' 0",Heritage,3,3 - Par 4 -
53,0,12510,Chad Campbell,60' 8",Viking Classic,2,1 - Par 4 -
54,0,20686,Jeev Milkha Singh,60' 7",Transitions Chp,2,3 - Par 4 -
55,0,27141,J.B. Holmes,60' 6",The McGladrey,1,2 - Par 4 -
57,0,20645,John Senden,60' 2",Crowne Plaza,2,5 - Par 4 -
