RANK,MOVEMENT,PLAYER_ID,PLAYER,POINTS,# OF WINS,# OF TOP-10S,POINTS BEHIND LEAD
1,0,08793,Tiger Woods,53607,2,3,0
2,0,01810,Phil Mickelson,27394,1,2,26213
3,0,06527,Steve Stricker,25126,1,3,28481
4,0,24357,K.J. Choi,21750,0,1,31857
5,0,23621,Rory Sabbatini,21491,0,4,32116
6,0,06567,Vijay Singh,21193,0,1,32414
7,0,24024,Zach Johnson,19214,0,1,34393
8,0,10809,Jim Furyk,19214,1,8,34393
9,0,22371,Aaron Baddeley,17703,0,2,35904
10,0,01161,Mark Calcavecchia,16285,0,2,37322
11,0,21209,Sergio Garcia,15824,0,2,37783
12,0,24502,Adam Scott,15630,0,1,37977
13,0,21961,Charles Howell III,13427,1,5,40180
14,0,02239,Scott Verplank,13403,0,1,40204
15,0,22046,Geoff Ogilvy,13390,0,2,40217
16,0,24781,Hunter Mahan,13380,0,1,40227
17,0,27649,Brandt Snedeker,13277,1,6,40330
18,0,07867,Woody Austin,13240,1,3,40367
19,0,22405,Justin Rose,12682,0,1,40925
20,0,06522,Ernie Els,12112,0,1,41495
21,0,23135,Tim Clark,10817,0,2,42790
22,0,26289,Boo Weekley,10790,1,4,42817
23,0,22913,John Rollins,10577,0,4,43030
24,0,10885,Robert Allenby,10470,0,1,43137
25,0,27770,Camilo Villegas,10337,0,3,43270
26,0,20229,Stewart Cink,10227,0,1,43380
27,0,20766,Padraig Harrington,10208,1,3,43399
28,0,24925,Jonathan Byrd,9969,0,1,43638
29,0,23322,Brett Wetterich,9854,0,1,43753
30,0,22293,Heath Slocum,9132,0,4,44475
31,0,23983,Luke Donald,9075,0,5,44532
32,0,02206,David Toms,8859,0,7,44748
33,0,20628,Arron Oberholser,8811,0,1,44796
34,0,08075,Jerry Kelly,8259,0,1,45348
35,0,25900,Lucas Glover,7729,0,3,45878
36,0,25345,Carl Pettersson,7309,0,1,46298
37,0,25804,Bubba Watson,7198,0,5,46409
38,0,20098,Stuart Appleby,7189,0,3,46418
39,0,21528,Henrik Stenson,6948,1,2,46659
40,0,22378,Trevor Immelman,6931,0,4,46676
41,0,21878,Mark Wilson,6888,1,2,46719
42,0,24138,Ian Poulter,6884,0,2,46723
43,0,27095,Nick Watney,6881,1,2,46726
44,0,29718,Anthony Kim,6856,0,4,46751
45,0,24361,Pat Perez,6820,0,5,46787
46,0,23718,Nathan Green,6767,0,2,46840
47,0,20848,Ángel Cabrera,6709,1,1,46898
48,0,20104,Ken Duke,6656,0,4,46951
49,0,27120,Troy Matteson,6502,0,1,47105
50,0,12716,Charley Hoffman,6457,1,1,47150
51,0,01766,Billy Mayfair,6309,0,5,47298
52,0,24140,Sean O'Hair,6292,0,1,47315
53,0,06595,Kevin Sutherland,6278,0,3,47329
54,0,20645,John Senden,6268,0,3,47339
55,0,20572,Rod Pampling,6180,0,2,47427
56,0,26596,Ryan Moore,6171,0,2,47436
57,0,25190,Jeff Quinney,6160,0,5,47447
58,0,21350,Ryuji Imada,6071,0,2,47536
59,0,27060,John Mallinger,5888,0,3,47719
60,0,06643,Paul Goydos,5665,1,1,47942
61,0,23623,Bo Van Pelt,5604,0,2,48003
62,0,01945,Kenny Perry,5550,0,3,48057
63,0,23325,Vaughn Taylor,5447,0,3,48160
64,0,22348,Nick O'Hern,5330,0,3,48277
65,0,07457,Steve Flesch,5314,1,2,48293
66,0,01797,Rocco Mediate,5271,0,3,48336
67,0,07223,Brian Bateman,5102,1,1,48505
68,0,06004,Stephen Ames,5100,0,3,48507
69,0,28158,Steve Marino,5017,0,4,48590
70,0,19972,José Coceres,4980,0,3,48627
71,0,01666,Bernhard Langer,4917,0,4,48690
72,0,24912,Will MacKenzie,4831,0,3,48776
73,0,12602,Dean Wilson,4789,0,3,48818
74,0,20634,Peter Lonard,4764,0,3,48843
75,0,21753,Brian Davis,4653,0,2,48954
76,0,01948,Tim Petrovic,4642,0,1,48965
77,0,01381,Fred Funk,4626,1,2,48981
78,0,19846,Brian Gay,4619,0,2,48988
79,0,20382,Stephen Leaney,4596,0,2,49011
80,0,01142,Bart Bryant,4555,0,2,49052
81,0,21731,Freddie Jacobson,4540,0,1,49067
82,0,22892,Jason Gore,4483,0,2,49124
83,0,24358,Robert Garrigus,4441,0,1,49166
84,0,01706,Davis Love III,4317,0,3,49290
85,0,21949,Joe Ogilvie,4311,1,1,49296
86,0,20160,Charlie Wi,4038,0,2,49569
87,0,23349,Charles Warren,4012,0,2,49595
88,0,10423,Mike Weir,4003,0,2,49604
89,0,10860,Justin Leonard,3998,0,2,49609
90,0,23614,Rich Beem,3987,0,1,49620
91,0,01313,Steve Elkington,3965,0,2,49642
92,0,12705,Cliff Kresge,3915,0,1,49692
93,0,23108,Matt Kuchar,3915,0,2,49692
94,0,20157,Retief Goosen,3796,0,1,49811
95,0,01677,Tom Lehman,3702,0,3,49905
96,0,01941,Tom Pernice Jr.,3679,0,2,49928
97,0,23353,J.J. Henry,3624,0,1,49983
98,0,24490,George McNeill,3524,0,1,50083
99,0,20498,Briny Baird,3517,0,1,50090
100,0,06251,Chris DiMarco,3385,0,1,50222
101,0,25396,Kevin Na,3362,0,3,50245
102,0,01724,Jeff Maggert,3304,0,1,50303
103,0,12782,Tim Herron,3289,0,1,50318
104,0,06515,Shaun Micheel,3263,0,2,50344
105,0,06373,José María Olazábal,3202,0,1,50405
106,0,07547,Craig Kanada,3189,0,1,50418
107,0,12510,Chad Campbell,3144,0,1,50463
108,0,01320,Bob Estes,3119,0,3,50488
109,0,21959,Ted Purdy,3056,0,1,50551
110,0,26679,Kevin Stadler,3055,0,2,50552
111,0,27141,J.B. Holmes,3035,0,2,50572
112,0,28475,Jeff Overton,2977,0,2,50630
113,0,01035,Tommy Armour III,2973,0,1,50634
114,0,07749,Brett Quigley,2963,0,1,50644
115,0,22621,Ben Curtis,2955,0,2,50652
116,0,20850,Daniel Chopra,2919,0,1,50688
117,0,10117,Bob Heintz,2888,0,2,50719
118,0,23788,D.J. Trahan,2874,0,2,50733
119,0,08537,J.P. Hayes,2767,0,2,50840
120,0,22806,Doug LaBelle II,2734,0,1,50873
121,0,21805,Harrison Frazar,2710,0,2,50897
122,0,19803,Ryan Armour,2705,0,2,50902
123,0,25686,Jason Dufner,2530,0,1,51077
124,0,06621,Joe Durant,2500,0,51107
125,0,21633,Steve Allan,2479,0,1,51128
126,0,20574,Mathew Goggin,2468,0,51139
127,0,24924,Bill Haas,2461,0,1,51146
128,0,26951,Johnson Wagner,2420,0,1,51187
129,0,20472,Alex Cejka,2400,0,2,51207
130,0,27933,John Merrick,2358,0,1,51249
131,0,11032,Frank Lickliter II,2350,0,51257
132,0,24507,Jason Bohn,2334,0,51273
133,0,20623,Gavin Coles,2174,0,2,51433
134,0,23320,Ryan Palmer,2142,0,1,51465
135,0,08881,Tripp Isenhour,2099,0,1,51508
136,0,01928,Corey Pavin,2081,0,1,51526
