RANK,MOVEMENT,PLAYER_ID,PLAYER,%,POINTS WON,POTENTIAL PTS,# OF WINS,# OF TOP 10'S
1,0,08793,Tiger Woods,49.77,30574,61425,5,9
2,0,01810,Phil Mickelson,19.11,16037,83925,2,5
3,0,10809,Jim Furyk,18.92,16691,88200,1,8
4,0,06567,Vijay Singh,17.97,19129,106425,2,6
5,0,24502,Adam Scott,15.90,11196,70425,1,5
6,0,24357,K.J. Choi,15.89,15485,97425,2,6
7,0,22405,Justin Rose,15.46,8698,56250,0,6
8,0,23621,Rory Sabbatini,15.32,13548,88425,1,6
9,0,24024,Zach Johnson,15.09,13341,88425,2,4
10,0,21209,Sergio Garcia,14.98,10547,70425,0,5
11,0,06522,Ernie Els,14.62,8980,61425,0,4
12,0,21528,Henrik Stenson,12.81,6718,52425,1,2
13,0,02239,Scott Verplank,12.77,10691,83700,1,8
14,0,20766,Padraig Harrington,12.47,8783,70425,1,3
15,0,21961,Charles Howell III,12.45,12126,97425,1,5
16,0,06527,Steve Stricker,12.01,10621,88425,0,6
17,0,20848,Ángel Cabrera,11.54,5997,51975,1,1
18,0,22371,Aaron Baddeley,11.20,9402,83925,1,5
19,0,23983,Luke Donald,10.92,8676,79425,0,5
20,0,23135,Tim Clark,10.80,6342,58725,0,3
21,0,27649,Brandt Snedeker,10.64,11870,111600,1,6
22,0,07867,Woody Austin,10.42,10483,100575,1,3
23,0,22046,Geoff Ogilvy,10.27,8623,83925,0,5
24,0,01161,Mark Calcavecchia,9.96,8966,90000,1,4
25,0,19972,José Coceres,9.66,4870,50400,0,3
26,0,24781,Hunter Mahan,9.65,10185,105525,1,5
27,0,02206,David Toms,9.33,8251,88425,0,7
28,0,26289,Boo Weekley,9.29,9591,103275,1,4
29,0,22913,John Rollins,9.12,9708,106425,0,4
30,0,24925,Jonathan Byrd,8.93,7757,86850,1,3
31,0,07223,Brian Bateman,8.51,4843,56925,1,1
32,0,06012,Greg Kraft,8.48,1335,15750,0,1
33,0,10885,Robert Allenby,8.11,7536,92925,0,7
34,0,20229,Stewart Cink,8.01,7080,88425,0,5
35,0,01666,Bernhard Langer,7.98,4917,61650,0,4
36,0,22293,Heath Slocum,7.67,6801,88650,0,4
37,0,22378,Trevor Immelman,7.52,6309,83925,0,4
38,0,27095,Nick Watney,7.34,6420,87525,1,2
39,0,20098,Stuart Appleby,7.32,6799,92925,0,3
40,0,25804,Bubba Watson,7.21,6589,91350,0,5
41,0,21878,Mark Wilson,7.17,6225,86850,1,2
42,0,08075,Jerry Kelly,7.05,6679,94725,0,6
43,0,01797,Rocco Mediate,6.97,4767,68400,0,3
44,0,28475,Jeff Overton,6.96,2977,42750,0,2
45,0,06643,Paul Goydos,6.86,5267,76725,1,1
46,0,06595,Kevin Sutherland,6.61,5888,89100,0,3
47,0,25190,Jeff Quinney,6.50,6053,93150,0,5
48,0,20157,Retief Goosen,6.48,3688,56925,0,1
49,0,24361,Pat Perez,6.30,6212,98550,0,5
50,0,20104,Ken Duke,6.27,6436,102600,0,4
50,0,29718,Anthony Kim,6.27,6013,95850,0,4
52,0,24138,Ian Poulter,6.15,4334,70425,0,3
53,0,01766,Billy Mayfair,5.95,6109,102600,0,5
53,0,27770,Camilo Villegas,5.95,5329,89550,0,3
55,0,22348,Nick O'Hern,5.93,4980,83925,0,3
56,0,12716,Charley Hoffman,5.89,5941,100800,1,1
57,0,20628,Arron Oberholser,5.71,4538,79425,0,4
58,0,06004,Stephen Ames,5.70,4787,83925,0,3
58,0,20645,John Senden,5.70,5729,100575,0,3
60,0,25345,Carl Pettersson,5.67,6012,105975,0,3
61,0,26596,Ryan Moore,5.59,5383,96300,0,2
62,0,01381,Fred Funk,5.57,4501,80775,1,2
63,0,25900,Lucas Glover,5.49,5954,108450,0,3
64,0,20572,Rod Pampling,5.45,5559,101925,0,2
65,0,21731,Freddie Jacobson,5.39,3176,58950,0,3
66,0,23322,Brett Wetterich,5.33,5430,101925,0,3
67,0,01945,Kenny Perry,5.28,4926,93375,0,3
68,0,01142,Bart Bryant,5.16,4271,82800,0,2
69,0,23325,Vaughn Taylor,5.14,4868,94725,0,3
70,0,27060,John Mallinger,5.09,4600,90450,0,3
71,0,27120,Troy Matteson,5.07,4986,98325,0,2
72,0,01677,Tom Lehman,5.05,3702,73350,0,3
73,0,21753,Brian Davis,5.01,4442,88650,0,2
74,0,20382,Stephen Leaney,4.93,4596,93150,0,2
75,0,23718,Nathan Green,4.87,5115,105075,0,2
76,0,28158,Steve Marino,4.79,4790,99900,0,4
77,0,21350,Ryuji Imada,4.77,5005,104850,0,2
78,0,24140,Sean O'Hair,4.76,4580,96300,0,2
79,0,01706,Davis Love III,4.68,4142,88425,0,3
80,0,23623,Bo Van Pelt,4.62,4723,102150,0,2
81,0,20634,Peter Lonard,4.48,4764,106425,0,3
82,0,19846,Brian Gay,4.47,4345,97200,0,2
83,0,06332,Neal Lancaster,4.36,1080,24750,0,1
84,0,06373,José María Olazábal,4.30,3202,74475,0,1
85,0,12602,Dean Wilson,4.27,4408,103275,0,3
86,0,25396,Kevin Na,4.26,3261,76500,0,3
87,0,24912,Will MacKenzie,4.19,4558,108900,0,3
88,0,23108,Matt Kuchar,4.17,3493,83700,0,2
89,0,22892,Jason Gore,4.08,3963,97200,0,2
90,0,21949,Joe Ogilvie,4.02,4193,104400,1,1
90,0,10423,Mike Weir,4.02,3556,88425,0,2
92,0,10860,Justin Leonard,3.85,3885,101025,0,2
92,0,23349,Charles Warren,3.85,3915,101700,0,2
94,0,01724,Jeff Maggert,3.81,3104,81450,0,1
95,0,21633,Steve Allan,3.80,2479,65250,0,1
96,0,01313,Steve Elkington,3.79,3543,93600,0,2
97,0,07457,Steve Flesch,3.78,4119,108900,1,2
97,0,01948,Tim Petrovic,3.78,4102,108450,0,1
99,0,20160,Charlie Wi,3.77,3138,83250,0,2
100,0,01035,Tommy Armour III,3.75,2865,76500,0,1
101,0,27141,J.B. Holmes,3.61,2860,79200,0,2
102,0,23353,J.J. Henry,3.56,3624,101925,0,1
103,0,06515,Shaun Micheel,3.44,3263,94725,0,2
104,0,01320,Bob Estes,3.40,3016,88650,0,3
105,0,06251,Chris DiMarco,3.32,3385,101925,0,1
106,0,01941,Tom Pernice Jr.,3.29,3561,108225,0,2
107,0,24358,Robert Garrigus,3.22,2987,92700,0,1
108,0,22621,Ben Curtis,3.19,2955,92700,0,2
108,0,20859,Anders Hansen,3.19,1989,62325,0
108,0,12782,Tim Herron,3.19,3055,95850,0,1
111,0,12705,Cliff Kresge,3.14,3125,99450,0,1
112,0,02256,Tom Watson,3.10,293,9450,0
113,0,20498,Briny Baird,3.09,3069,99450,0,1
113,0,08537,J.P. Hayes,3.09,2653,85950,0,2
115,0,26679,Kevin Stadler,3.06,3055,99675,0,2
116,0,20472,Alex Cejka,3.05,2400,78750,0,2
117,0,24507,Jason Bohn,3.03,2334,76950,0
118,0,21959,Ted Purdy,2.99,3056,102150,0,1
119,0,12510,Chad Campbell,2.98,3036,101925,0,1
120,0,24490,George McNeill,2.93,2848,97200,0,1
121,0,07547,Craig Kanada,2.90,3076,106200,0,1
122,0,10117,Bob Heintz,2.75,2163,78750,0,2
123,0,21805,Harrison Frazar,2.71,2710,99900,0,2
124,0,27933,John Merrick,2.69,2358,87750,0,1
125,0,06575,Dudley Hart,2.68,1388,51750,0,1
126,0,01139,Olin Browne,2.67,1284,48150,0,1
127,0,23788,D.J. Trahan,2.65,2766,104400,0,2
128,0,20623,Gavin Coles,2.61,2174,83250,0,2
129,0,08385,Omar Uresti,2.60,293,11250,0
130,0,20396,Lee Westwood,2.59,991,38250,0
131,0,06034,Marco Dawson,2.56,1669,65250,0,1
132,0,26882,Michael Sim,2.54,1144,45000,0
133,0,23541,Ben Crane,2.50,691,27675,0
134,0,20850,Daniel Chopra,2.49,2819,113400,0,1
135,0,25679,B.J. Staten,2.48,727,29250,0,1
136,0,07749,Brett Quigley,2.46,2613,106200,0,1
137,0,01619,Skip Kendall,2.45,440,18000,0,1
138,0,20574,Mathew Goggin,2.42,2468,102150,0
139,0,22806,Doug LaBelle II,2.39,2427,101700,0,1
140,0,25273,Andrew Buckle,2.37,1771,74700,0,1
141,0,06621,Joe Durant,2.35,2392,101925,0
142,0,01707,Steve Lowery,2.34,1536,65700,0,1
143,0,12755,Vance Veazey,2.32,783,33750,0,1
144,0,24924,Bill Haas,2.30,2336,101700,0,1
144,0,12660,Jesper Parnevik,2.30,1976,85950,0
146,0,11032,Frank Lickliter II,2.23,2175,97650,0
147,0,23614,Rich Beem,2.22,2101,94500,0,1
148,0,01024,Billy Andrade,2.18,2019,92700,0
149,0,19803,Ryan Armour,2.14,2165,101250,0,2
149,0,23320,Ryan Palmer,2.14,2142,99900,0,1
151,0,01577,Lee Janzen,2.08,1694,81450,0
152,0,08881,Tripp Isenhour,2.06,2099,101700,0,1
152,0,01928,Corey Pavin,2.06,1967,95400,0,1
154,0,26951,Johnson Wagner,2.05,2317,112950,0,1
155,0,08931,Glen Day,2.01,1672,83250,0
155,0,25686,Jason Dufner,2.01,2180,108450,0,1
