RANK,MOVEMENT,PLAYER_ID,PLAYER,POINTS,# OF WINS,# OF TOP-10S
1,0,21528,Henrik Stenson,4750,2,8
176,0,22348,Nick O'Hern,169,0,1,6560
177,0,24399,Scott Gardiner,161,0,6568
178,0,12652,Cameron Beckman,150,0,1,6579
179,0,32698,Bobby Gates,144,0,1,6585
180,0,25336,Alistair Presnell,140,0,6589
181,0,01226,Fred Couples,138,0,6591
182,0,28310,Lee Williams,134,0,6595
183,0,23548,Bill Lunde,133,0,1,6596
184,0,30711,Colt Knost,130,0,6599
185,0,10885,Robert Allenby,129,0,1,6600
186,0,06595,Kevin Sutherland,129,0,6600
187,0,28135,Aaron Watkins,126,0,1,6603
188,0,22295,Darron Stiles,125,0,6604
189,0,20443,Jin Park,125,0,6604
190,0,06251,Chris DiMarco,118,0,1,6611
191,0,08931,Glen Day,113,0,1,6616
192,0,27060,John Mallinger,112,0,6617
193,0,01948,Tim Petrovic,109,0,1,6620
194,0,20572,Rod Pampling,109,0,6620
195,0,20070,Matt Bettencourt,102,0,6627
195,0,22293,Heath Slocum,102,0,6627
197,0,25364,Paul Casey,100,0,6629
198,0,29720,Andres Gonzales,96,0,1,6633
199,0,23718,Nathan Green,92,0,6637
200,0,25396,Kevin Na,92,0,6637
201,0,28158,Steve Marino,91,0,6638
202,0,29425,Andrew Svoboda,89,0,6640
203,0,21951,Joey Snyder III,85,0,6644
204,0,01766,Billy Mayfair,79,0,1,6650
205,0,35901,Paul Haley II,74,0,6655
206,0,01116,Michael Bradley,74,0,6655
207,0,33869,Eric Meierdierks,72,0,6657
208,0,20105,Jeff Gove,69,0,6660
209,0,01024,Billy Andrade,63,0,1,6666
210,0,07457,Steve Flesch,60,0,6669
211,0,23552,Hank Kuehne,59,0,6670
212,0,21949,Joe Ogilvie,58,0,6671
213,0,01945,Kenny Perry,58,0,6671
214,0,02239,Scott Verplank,57,0,6672
215,0,27796,Joe Affrunti,56,0,6673
216,0,23204,Gary Christian,52,0,6677
217,0,07013,Wes Short Jr.,51,0,6678
218,0,01666,Bernhard Langer,42,0,6687
219,0,26695,Michael Letzig,41,0,6688
220,0,06621,Joe Durant,40,0,6689
221,0,02246,Duffy Waldorf,35,0,6694
222,0,20127,Chris Riley,35,0,6694
223,0,02256,Tom Watson,32,0,6697
224,0,21350,Ryuji Imada,32,0,6697
225,0,20634,Peter Lonard,28,0,6701
225,0,08375,Paul Stankowski,28,0,6701
227,0,01142,Bart Bryant,27,0,6702
227,0,01203,Russ Cochran,27,0,6702
229,0,12602,Dean Wilson,24,0,6705
230,0,01378,David Frost,22,0,6707
231,0,01388,Robert Gamez,21,0,6708
232,0,12660,Jesper Parnevik,20,0,6709
233,0,06373,José María Olazábal,20,0,6709
234,0,01619,Skip Kendall,19,0,6710
235,0,01249,John Daly,18,0,6711
236,0,27141,J.B. Holmes,17,0,6712
237,0,01717,Sandy Lyle,16,0,6713
238,0,06332,Neal Lancaster,16,0,6713
239,0,28308,Troy Kelly,15,0,6714
240,0,20580,Andre Stolz,13,0,6716
241,0,26668,Marc Turnesa,13,0,6716
242,0,01677,Tom Lehman,11,0,6718
242,0,01887,Mark O'Meara,11,0,6718
244,0,25457,Alexandre Rocha,10,0,6719
245,0,06034,Marco Dawson,8,0,6721
245,0,10733,Kent Jones,8,0,6721
247,0,01577,Lee Janzen,8,0,6721
248,0,09011,David Duval,5,0,6724
249,0,21407,Arjun Atwal,4,0,6725
250,0,10585,Scott McCarron,2,0,6727
251,0,11032,Frank Lickliter II,1,0,6728
251,0,21959,Ted Purdy,1,0,6728
253,0,01473,Todd Hamilton,1,0,6728
