RANK,MOVEMENT,PLAYER_ID,PLAYER,POINTS,# OF WINS,# OF TOP-10S
1,0,21528,Henrik Stenson,4750,2,8
2,0,08793,Tiger Woods,2743,5,8,2007
3,0,06527,Steve Stricker,2650,0,8,2100
4,0,24502,Adam Scott,2278,2,6,2472
5,0,24024,Zach Johnson,2238,1,8,2512
6,0,23108,Matt Kuchar,1823,2,8,2927
7,0,34046,Jordan Spieth,1690,1,9,3060
8,0,27436,Graham DeLaet,1415,0,7,3335
9,0,01810,Phil Mickelson,1313,2,7,3437
10,0,22405,Justin Rose,1300,1,7,3450
11,0,29221,Webb Simpson,1050,0,5,3700
12,0,27649,Brandt Snedeker,853,2,9,3897
13,0,30925,Dustin Johnson,760,1,6,3990
14,0,10809,Jim Furyk,758,0,7,3992
15,0,27095,Nick Watney,738,0,4,4012
16,0,29420,Billy Horschel,728,1,8,4022
17,0,28089,Jason Day,698,0,7,4052
18,0,33141,Keegan Bradley,693,0,7,4057
19,0,25686,Jason Dufner,685,1,5,4065
20,0,24781,Hunter Mahan,653,0,5,4097
21,0,32200,Roberto Castro,645,0,4,4105
22,0,21209,Sergio Garcia,635,0,6,4115
23,0,31323,Gary Woodland,603,1,2,4147
24,0,24924,Bill Haas,573,1,9,4177
25,0,27214,Kevin Streelman,553,1,5,4197
26,0,23638,Brendon de Jonge,503,0,4,4247
27,0,26331,Charl Schwartzel,490,0,5,4260
28,0,23983,Luke Donald,483,0,5,4267
29,0,26289,Boo Weekley,455,1,4,4295
30,0,25240,D.A. Points,453,1,3,4297
31,0,34099,Harris English,1442,1,4,5287
32,0,26300,Matt Jones,1419,0,5,5310
33,0,26679,Kevin Stadler,1412,0,3,5317
34,0,30926,Chris Kirk,1399,0,3,5330
35,0,21961,Charles Howell III,1398,0,5,5331
36,0,25632,Jimmy Walker,1388,0,5,5341
37,0,25804,Bubba Watson,1365,0,3,5364
38,0,32102,Rickie Fowler,1334,0,5,5395
39,0,27933,John Merrick,1331,1,2,5398
40,0,25834,Daniel Summerhays,1307,0,4,5422
41,0,20396,Lee Westwood,1291,0,6,5438
42,0,34174,John Huh,1279,0,2,5450
43,0,27963,Chris Stroud,1245,0,4,5484
44,0,34098,Russell Henley,1238,1,3,5491
45,0,32366,Kevin Chappell,1237,0,3,5492
46,0,23621,Rory Sabbatini,1230,0,5,5499
47,0,21753,Brian Davis,1224,0,4,5505
48,0,21099,David Lynn,1204,0,2,5525
49,0,25818,Scott Piercy,1193,0,4,5536
50,0,28237,Rory McIlroy,1190,0,5,5539
51,0,26596,Ryan Moore,1185,0,3,5544
52,0,27895,Jonas Blixt,1135,1,2,5594
53,0,24138,Ian Poulter,1133,0,4,5596
54,0,34360,Patrick Reed,1125,1,5,5604
55,0,25572,Graeme McDowell,1116,1,4,5613
56,0,26758,David Hearn,1105,0,2,5624
57,0,19846,Brian Gay,1099,1,1,5630
58,0,28307,Matt Every,1097,0,4,5632
59,0,26851,Marc Leishman,1071,0,4,5658
60,0,28780,Nicholas Thompson,1043,0,2,5686
61,0,12716,Charley Hoffman,1016,0,5,5713
62,0,30944,Jason Kokrak,1013,0,4,5716
63,0,30692,Scott Stallings,991,0,4,5738
64,0,23800,Bryce Molder,979,0,5750
65,0,20848,Ángel Cabrera,956,0,2,5773
66,0,32150,Michael Thompson,938,1,3,5791
67,0,20104,Ken Duke,930,1,2,5799
68,0,06522,Ernie Els,918,0,1,5811
69,0,28259,Sangmoon Bae,918,1,2,5811
70,0,29518,Brendan Steele,876,0,2,5853
71,0,23320,Ryan Palmer,823,0,4,5906
72,0,21731,Freddie Jacobson,821,0,3,5908
73,0,24357,K.J. Choi,816,0,2,5913
74,0,27936,Martin Laird,814,1,2,5915
75,0,34409,David Lingmerth,806,0,3,5923
76,0,20229,Stewart Cink,783,0,3,5946
77,0,30110,Kyle Stanley,759,0,3,5970
78,0,27330,Josh Teater,726,0,3,6003
79,0,33419,Cameron Tringale,726,0,1,6003
80,0,23135,Tim Clark,703,0,3,6026
81,0,22913,John Rollins,696,0,2,6033
82,0,27770,Camilo Villegas,695,0,2,6034
83,0,01320,Bob Estes,688,0,2,6041
84,0,27408,Martin Kaymer,679,0,3,6050
85,0,08075,Jerry Kelly,650,0,2,6079
86,0,10860,Justin Leonard,644,0,1,6085
87,0,28500,Martin Flores,630,0,2,6099
88,0,29479,Scott Brown,628,1,1,6101
89,0,23623,Bo Van Pelt,612,0,1,6117
90,0,35539,Luke Guthrie,607,0,2,6122
91,0,24358,Robert Garrigus,601,0,2,6128
92,0,31560,Brian Stuard,598,0,4,6131
93,0,37273,Derek Ernst,598,1,1,6131
94,0,27644,Brian Harman,578,0,2,6151
95,0,20098,Stuart Appleby,570,0,1,6159
96,0,35139,Richard Lee,569,0,2,6160
97,0,20593,Greg Chalmers,558,0,2,6171
98,0,24361,Pat Perez,549,0,4,6180
99,0,24494,Erik Compton,547,0,1,6182
100,0,31202,William McGirt,533,0,2,6196
101,0,22371,Aaron Baddeley,526,0,2,6203
102,0,24490,George McNeill,524,0,6205
103,0,23409,James Driscoll,524,0,2,6205
104,0,22046,Geoff Ogilvy,522,0,1,6207
105,0,27556,Ted Potter Jr.,518,0,2,6211
106,0,23353,J.J. Henry,516,0,2,6213
107,0,25345,Carl Pettersson,516,0,1,6213
108,0,28475,Jeff Overton,506,0,2,6223
109,0,20645,John Senden,498,0,6231
110,0,32448,James Hahn,480,0,2,6249
111,0,21878,Mark Wilson,476,0,3,6253
112,0,32334,Charlie Beljan,459,0,1,6270
113,0,24507,Jason Bohn,454,0,2,6275
114,0,25900,Lucas Glover,454,0,2,6275
115,0,01724,Jeff Maggert,453,0,2,6276
116,0,25444,Justin Hicks,451,0,1,6278
117,0,33461,Morgan Hoffmann,444,0,3,6285
118,0,26476,Chez Reavie,439,0,6290
119,0,28092,D.H. Lee,432,0,3,6297
120,0,25562,Andres Romero,430,0,2,6299
121,0,26951,Johnson Wagner,430,0,2,6299
122,0,34261,Scott Langley,426,0,1,6303
123,0,20160,Charlie Wi,401,0,1,6328
124,0,25274,Steven Bowditch,400,0,1,6329
125,0,23541,Ben Crane,369,0,2,6360
126,0,34431,Robert Streb,359,0,6370
127,0,22792,Peter Hanson,356,0,1,6373
128,0,23452,Nicolas Colsaerts,353,0,3,6376
129,0,29740,Brad Fritsch,350,0,1,6379
130,0,20766,Padraig Harrington,345,0,3,6384
131,0,34021,Bud Cauley,343,0,6386
132,0,24846,Ricky Barnes,342,0,6387
133,0,28679,Fabián Gómez,339,0,1,6390
134,0,20691,Greg Owen,336,0,6393
135,0,33418,Shawn Stefani,333,0,2,6396
136,0,12510,Chad Campbell,330,0,1,6399
137,0,07867,Woody Austin,326,1,1,6403
138,0,02206,David Toms,326,0,1,6403
139,0,31557,Jim Herman,325,0,2,6404
140,0,30750,Tommy Gainey,324,0,1,6405
141,0,30852,Ryo Ishikawa,298,0,1,6431
142,0,23497,Tag Ridings,295,0,1,6434
143,0,22378,Trevor Immelman,295,0,1,6434
144,0,10213,Dicky Pride,293,0,2,6436
145,0,30927,Brendon Todd,293,0,6436
146,0,06567,Vijay Singh,291,0,6438
147,0,22806,Doug LaBelle II,290,0,6439
148,0,36884,Ben Kohles,286,0,1,6443
149,0,06573,Brandt Jobe,283,0,6446
150,0,24227,Justin Bolli,278,0,2,6451
151,0,27503,Steve LeBrun,270,0,6459
152,0,08725,Tom Gillis,264,0,6465
153,0,22621,Ben Curtis,251,0,6478
154,0,26329,Louis Oosthuizen,249,0,1,6480
155,0,23325,Vaughn Taylor,246,0,1,6483
156,0,19970,Robert Karlsson,236,0,1,6493
157,0,24925,Jonathan Byrd,234,0,2,6495
158,0,22056,Cameron Percy,230,0,6499
159,0,30163,Henrik Norlander,229,0,6500
160,0,29289,S.Y. Noh,226,0,1,6503
161,0,27896,Ross Fisher,215,0,1,6514
162,0,01706,Davis Love III,209,0,1,6520
163,0,27129,Luke List,202,0,6527
164,0,26497,Casey Wittenberg,199,0,1,6530
165,0,22961,David Mathis,197,0,1,6532
166,0,33122,Russell Knox,197,0,6532
167,0,27120,Troy Matteson,194,0,6535
168,0,12782,Tim Herron,190,0,6539
169,0,28455,Will Claxton,186,0,6543
170,0,24140,Sean O'Hair,183,0,6546
171,0,20157,Retief Goosen,182,0,1,6547
172,0,24663,Y.E. Yang,182,0,6547
173,0,06004,Stephen Ames,182,0,6547
174,0,10423,Mike Weir,173,0,6556
175,0,23788,D.J. Trahan,169,0,1,6560
